"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013","value.2014"
"CD",9733936000.35621,9237827725.75364,9678658551.07148,10295708446.8649,10936166841.7285,11457022315.3541,12191496125.2602,12871532657.4008,13263794259.5856,14000409008.4438,14919461078.8009,15790107362.4785,16857123815.2268,17584116211.0291,
"CF",1215258786.80143,1277103511.35038,1322273027.39273,1259376683.97121,1323594252.6461,1340079423.86551,1441637270.85877,1561054397.85884,1612870294.49378,,,,,,
"CG",3901896766.10805,4275677096.5447,4435671994.00337,5135105944.32836,4042032313.88201,4032288390.05954,4487684500.2419,3981937623.89599,4757267756.28444,5533279305.70189,5680388968.83963,5733746827.83571,7018183376.1695,7747686264.36643,
"CH",,,,,,442359799011.116,,,,,,,,,
"CI",,,,,,16432852653.3283,,,,,,,,,
"CL",97809273432.2686,101296357443.611,102931150815.737,105216392836.559,108949357663.241,113944210966.988,113421898590.508,120704291245.254,130681106420.677,130224861743.726,136676382175.293,146611061561.248,156819572254.149,163855302164.352,
"CM",12937553189.6488,13422680312.3556,14119821159.1193,15031496061.4768,15798594287.2076,16099188628.4891,16870168495.5382,17235207701.5762,17862667608.3295,18442586947.9482,18922025339.5606,19700900148.1493,20489201245.9182,21538701444.0993,
"CN",1399832114798.97,1512548272799.14,1656846856861.49,1830451402780.66,2022335659518.7,2240793900040.27,2538415813243.29,2910157305227.76,3202832697965.55,3470560710807.94,3823452180801.79,4158066528066.08,4507391998945.02,4841980602267.76,
"CO",120050316058.262,121725741417.032,124493399780.212,128427988975.556,135144874507.512,141255145063.339,150809440489.055,160752454321.937,165992968260.144,169444657156.407,175390013035.563,185230258498.12,193914194641.896,203771418734.545,
"CR",15048484777.309,15824383072.6914,16545562690.9822,17294310441.3783,18413428834.7846,19756371751.0399,21708310982.3175,22726617664.2917,23760188094.3482,23001832278.9495,24515409164.1585,25777542713.1728,26997601471.5094,27834325129.961,
"CU",32711198122.7115,33903442784.534,34305810661.716,35687695160.9377,37689777064.5463,42011100000,47224909286.4586,50414712318.7487,52615836561.0274,53374780424.9632,54619324499.4682,56141015251.7358,,,
"CV",,,,,,938319881.232312,,,,,,,,,
"CW",,,,,,,,,,,,,,,
"CY",13556534713.0184,14260252622.9998,14891734930.3337,15351717104.1793,15641851830.6997,16292550259.547,16852094279.5689,17538936800.938,18900201688.0437,18048289927.0297,18519050258.6443,,,,
"CZ",110169509356.777,112485404846.239,113404538798.404,117674628349.946,121801015008.648,129840501723.544,136645477075.108,143644671646.949,147501200196.112,139432364088.803,142055797850.573,144773421438.133,145733401812.099,143511517268.26,
"DE",2758462992150.69,2800104427749.7,2791294475242.84,2780807580743.41,2859065847946.45,2886049345868.78,3018953490596.36,3111072574315.76,3130080004599.98,2988684683618.33,3101189905518.74,3226447686429.89,3240149417275.36,3242294344062.77,
"DJ",,,,,,775822778.399851,,,,,,,,,
"DK",242450251983.328,246051313831.34,247743661391.164,250092723589.435,259381215717.075,266570783953.736,277922700243.329,278275010512.696,277965542883.481,263511423184.296,269562784805.109,273910154412.644,273229097555.877,273767108393.557,
"DM",,,,,,341481481.481481,,,,,,,,,
"DO",27301836942.919,27764667253.2596,29404026670.3451,28692223101.2558,28495118070.7011,32067520956.3479,35656719434.0823,38745386120.8239,40551981349.0699,40908853638.6244,44501459088.6664,45635958861.2456,46804882400.6969,48536400757.7723,
"DZ",75447994312.2779,80380071492.6873,84280382085.2381,90415567980.8711,93833382717.3037,98611507228.8294,100698880900.502,106895874135.918,109671030214.571,111435036418.933,,,,,
"EC",30314634039.6659,32301222899.6003,33935478853.0486,34768111971.0884,37489094930.2445,39692188000,41591942336.076,42482301183.9224,45880927545.7867,46307668916.2305,48197878172.7039,51953411799.3605,54700132360.1164,57209574143.881,
"EE",9557181753.1563,10057044406.0605,10659859243.9228,11326400902.6619,12106177731.0161,13385688703.1786,14549211224.7179,15444141401.4007,14886470572.9677,12953730499.6677,12991060411.9122,14058508428.8567,14794750857.9086,15329546509.3271,
"EG",76097180294.262,78920040507.1319,80005907572.7105,82364849180.9285,85613704815.7016,89432106656.8959,96297787742.3956,103536083599.333,110862099002.82,115185421437.91,118682510188.37,120002819163.861,122792559976.103,125063401557.99,
"ER",968401786.463509,1049170381.8825,1075233868.97825,1043331063.77009,1055106663.41577,1089003672.85657,1080238080.79047,1097455784.27219,987125548.158342,1024905832.6653,1046703586.26154,1139119430.15571,,,
"ES",975960233007.612,1008094159390.34,1036485610885.91,1072734062679.49,1105485871557.88,1140511366462.72,1184554560831,1220650676282.21,1231148901103.95,1197174699903.46,1202760750907,1192005707270.38,1177191865514.51,1164413796444.22,
"ET",,,,,,12365246788.0734,,,,,,,,,
"EU",13289218411860.1,13520824784987.2,13612945140218.6,13733742888195.5,14124246579136.3,14373132106466.5,14895233939239.6,15293877563717.5,15336133711634.1,14713825247208.8,15066336654752.2,15357664458355.7,15280874021925.9,15198983862899.7,
"FI",178750814063.63,184468806950.154,188259731918.95,190228058947.212,200298416250.812,205244242152.913,214619121376.974,224313300074.663,225607953353.175,209271561815.712,215685782268.251,219302294357.624,216234328256.799,213226027126.265,
"FJ",,,,,,3050072146.65878,,,,,,,,,
"FM",,,,,,258595300,,,,,,,,,
"FO",,,,,,1772349047.00762,,,,,,,,,
"FR",2068050757089.29,2106987951655.66,2114208549843.44,2136517390271.82,2200406059280.72,2242152912500.62,2301143592257.5,2357253181912.08,2363005529246.36,2285983301453.37,2336622019661.14,2390927676237.13,2381639337697.04,2392615084986.41,
"GA",6728305995.76151,7241723697.51043,7585363615.63113,7541039820.67948,7031506250.11692,7708145136.70696,7426983846.1587,7998850850.97629,8021854892.59324,8526965135.43531,8595511177.36056,9013150052.09624,9829289783.85415,,
"GB",,,,,,2467918387631.48,,,,,,,,,
"GD",,,,,,667088136.366947,,,,,,,,,
"GE",,,,,,6473294335.07727,,,,,,,,,
"GH",,,,,,10600896542.4794,,,,,,,,,
"GL",,,,,,1662189360.85417,,,,,,,,,
"GM",515103291.086303,541135939.239852,516045364.833525,551915549.560467,607545230.057127,601737726.928609,606803466.205236,632657161.9054,673146655.153296,713137084.476197,759630136.569546,722834638.101779,770151179.171339,807018563.132167,
"GN",,,,,,2657936930.7909,,,,,,,,,
"GQ",1896671600.30458,2728085139.64527,3566210905.32371,3261677462.5782,4041959319.07717,4173013355.93206,7041048470.24925,7086386610.45082,5524273771.44505,8657474409.85363,7166731670.35764,6607354626.85258,5430486726.78455,5287469497.49652,
"GR",,,,,,247783291051.087,,,,,,,,,
"GT",23154764765.1844,23889527077.446,24574782447.9107,25184815017.0991,25897326074.76,26726434842.2964,28035766644.9956,29739912677.1387,30742255952.568,30718027014.0392,31594449961.3939,32718981164.2789,34003578265.9849,35358164438.5044,
"GU",,,,,,,,,,,,,,,
"GW",,,,,,575359866.030919,,,,,,,,,
"GY",,,,,,804427767.354597,,,,,,,,,
"HK",148900887084.726,152172030039.411,151981845552.288,159875657679.068,172841451770.705,182529669679.709,198985204799.36,213683916828.832,223922150399.175,212396338558.933,224711827586.82,236867042816.322,237495757430.853,245785784958.972,
"HN",7444857978.93961,7627574359.71222,7883297144.42942,8191999261.06307,8649884341.00961,9219012009.27473,9810546900.38699,10588024101.2909,11078303352.4906,10897540427.932,11024363291.3318,11361024117.888,11621566125.7179,11930927802.7699,
"HR",35787801189.1723,37042536748.7684,39078908627.5016,40564393078.797,42899256906.1115,44466146708.8012,46484772254.9337,49021005161.0281,49658964890.8093,45757215379.6379,45164128345.8736,45069094667.7794,43971546969.5555,43770682384.3352,
"HT",,,,,4170231880.05419,4227910414.58841,4216320436.59853,4350850736.193,4390614947.40154,4533823994.11651,4293701762.40498,4544980948.69181,4697347967.46602,4889144007.60395,
"HU",86699730479.8346,89813709777.3358,93663298653.7562,97783903150.2508,101945605673.207,106183918930.768,110541853949.327,109342594110.762,110836355044.402,105256040714.996,105979007319.987,107824829659.834,106856640167.945,109959915879.399,
"ID",206188380243.334,209941298397.758,217003794021.481,247375295240.268,257893260613.292,271957828699.404,288571246519.594,307515830464.274,328159102819.458,343410276839.277,367333168793.332,390857350703.386,415285296119.104,438982815641.99,
"IE",,,,,,180449435407.651,,,,,,,,,
"IL",116543427548.171,121327775539.607,122522494137.393,123750877427.156,132277952318.534,139541703877.005,148678697927.756,158567542901.497,161278683182.289,163258790819.75,173146503121.986,181964577864.544,185198244715.093,191876796834.87,
"IM",,,,,,3034894768.48316,,,,,,,,,
"IN",596272261555.955,626280822404.546,651438016567.663,702092106862.283,758094841638.794,828316236494.675,904430236423.34,996724797904.632,1033608272042.46,1121263551093.44,1230365152980.77,1314721866616.65,1372690693140.01,1441929407218.33,
"IQ",,,,,,50694700135.8696,,,,,,,,,
"IR",146765391586.278,152409157101.906,160548102162.244,171528896638.527,180463576427.322,188502764503.651,200131695243.475,217071258811.583,,,,,,,
"IS",,,,,,16125248088.0679,,,,,,,,,
"IT",1761746204172.17,1794233060405.53,1796214946873.69,1798059774126.91,1832328620646.86,1855522807541.16,1897097389613.04,1919414314916.57,1880816098733.34,1792407550135.2,1820365697145.94,1829746499277.04,1790428658803.72,1756589941406.56,
"JM",,,,,,10407364715.1899,,,,,,,,,
"JO",9380168214.19375,9931352125.42536,10407314267.5346,10883863602.2066,11926385136.2821,12925054740.3902,14015510501.52,15282773818.0457,16318869327.4995,17058099581.6862,16976140256.0813,17397980492.0394,17802676567.0138,18348450459.6602,
"JP",4363733881850.78,4396368292509.82,4406907619811.44,4482971490850.18,4597902451952.17,4678468215030.45,4780710886966.14,4909343346353.16,4854167459003.58,4563704000431.37,4770792993965.22,4766598557176.43,4852311486591.33,4952903345341,
"KE",15524335652.2842,16088772603.9483,16208752239.9163,16656941173.6365,17546707078.7546,18731703507.8176,19872377065.1914,21225484358.1167,21348480774.9598,22046497140.9492,23841975757.3873,25397472765.2619,26447896385.5156,27894292926.6015,
"KG",1919671419.03781,2062805352.04655,2070038949.61908,2223727043.06029,2349329240.22538,2371676125.1158,2490054691.32706,2710063887.38677,2872699975.95222,2956056569.0014,2882555107.55835,2930527154.44129,3157871013.96054,3451118198.90007,
"KH",3895776665.88013,4201846004.17414,4436469201.6836,4843268408.91928,5333123594.0625,6005719072.865,6666653863.48111,7356681152.26087,7809638363.19815,7811037663.3869,8246726636.70559,8873662171.86469,9556052922.04851,10230077260.5995,
"KI",,,,,,161130202.367316,,,,,,,,,
"KM",,348415591.733809,354283406.230115,361329286.313893,367715427.418712,378701227.497983,389072011.48657,392664004.056555,398236281.068065,408788624.693212,420990130.715215,435920712.727345,449147949.052065,463008610.152647,
"KN",,,,,,508031620.657468,,,,,,,,,
"KP",,,,,,,,,,,,,,,
"KR",707496706399.567,739842899435.727,797163585355.227,820697023611.156,862569890060.703,891114810764.364,941260634498.13,993392627962.696,1024573708198.68,1029452240324.68,1100038619669.12,1145941021187.35,1177164014681.58,1210683096980.85,
"KW",,,,,,87979452054.7945,,,,,,,,,
"KY",,,,,,,,,,,,,,,
"KZ",32366828283.2407,37450871554.1926,41655840231.3526,45106473444.2974,48831881217.0245,51757264449.127,55484625769.733,59667963793.0006,58934234351.7624,63969244879.9376,66162694677.9888,68428654631.7993,73010676435.5092,80716003454.655,
"LA",1938192857.08281,2053810253.384,2181203805.58638,2266801162.14971,2449330579.4569,2669812773.40641,2807386397.95164,3085339224.02297,3285432786.34989,3600966781.89103,3759646830.98544,4034167519.81609,4388691178.55826,4803765256.18377,
"LB",17716570937.4393,17991757735.4859,17782560445.2769,15818818542.6655,19896458664.4297,21101162189.0547,21809063580.1564,24350365230.5412,26182807414.8112,28290124363.2007,30348730382.3523,31238249737.4542,32355802970.8098,32806446345.0154,
"LC",,,,,,862953281.055992,,,,,,,,,
"LI",,,,,,3125901813.12959,,,,,,,,,
"LK",19733988702.1875,19449400384.011,20260992612.6805,21580697261.0796,22740305134.9322,24106796019.9005,25919624992.9944,27762197281.7812,29052440400.121,30421111110.5697,32830601925.5675,35600814384.078,37499097557.486,39930505928.0861,
"LR",418551219.029301,365331350.934869,465340904.111246,113500905.583503,333750715.877199,394400000.000001,464726594.874506,543407949.255318,616079431.073995,709800854.11616,779580715.796708,889393091.893778,969437632.904396,,
"LS",1554270734.61013,1919954970.2613,1908277208.86265,1948702817.52868,1928780574.75316,1869402832.63668,1870578580.04584,1900058398.94654,1986271081.72645,2018965943.48678,2088254472.66853,2298569240.73029,2372927219.87289,,
"LT",17636585812.0832,18866373617.4404,20212399017.4441,21963739451.0519,23526404918.9697,25688654036.689,27561803244.3408,29705778507.5065,30772845521.1632,27637185247.3561,26913611007.04,,,,
"LU",,,,,,32659553300.5024,,,,,,,,,
"LV",10726941615.4291,11646070891.1581,12405905128.3738,13215993585.5611,14097368995.8238,15734987613.2647,17360142579.6206,18938214699.69,18524334436.5151,16637909854.7437,15771785416.2144,,,,
"LY",,,,,,4.3719e+10,,,,,,,,,
"MA",45472305465.8627,48917437851.4484,50637120817.2761,53989519828.7959,56794650054.0137,58760406091.3706,63240420131.1263,65028880870.7468,68449407903.2353,70965002422.7284,73529728762.2733,76941755192.13,78850348905.5284,82775641177.4009,
"MC",,,,,,4280072625.97622,,,,,,,,,
"MD",2150916091.91867,2396105311.86295,2586635265.84215,2905961798.50831,3140820383.63879,3346983801.97297,3510052854.46653,3542222267.67855,3830276080.1626,3454674055.72584,3800946819.57663,4035359226.52273,4142424057.62861,4479893378.03014,
"ME",2062863402.1393,2097583269.69739,2146036857.75594,2199661061.38283,2282193899.84231,2282062056.95809,2494421995.82138,2746064252.1231,2947124064.41352,2739290802.32102,2778886087.6169,2917228435.57086,2870671575.58555,2975492491.12519,
"MF",,,,,,,,,,,,,,,
"MG",4419928083.7356,4706234816.74234,4096488649.90224,4503400466.77467,4726759909.5334,4959854628.5682,5213099202.82324,5578036722.53025,5988096743.25827,5720457015.08151,5735819940.92909,5775680519.66825,5881097703.50672,6010846896.77897,
"MH",,,,,,178790600,,,,,,,,,
"MK",5428312679.60149,5244098508.51673,5266835016.83114,5413755758.58462,5699074254.50928,5876657438.59361,6259204704.98723,6348432051.74007,6918849948.99435,6877244935.33224,7040276271.66277,7237524000.69913,7287560258.84637,7473834960.35149,
"ML",3841991441.43034,4104635830.08,4253435741.01426,4708775762.91202,4800155409.7119,5098670787.16952,5516756147.73718,5758822033.32322,,,,,,,
"MM",,,,,,,,,,,,,,,
"MN",,,,,,2471571798.35326,2701015896.37223,2938535870.59757,3176192517.10745,3103526008.90349,3094794020.1166,3619772565.37172,4049425810.00561,4674695632.2854,
"MO",,,7591068168.75427,8400703723.31892,10261192263.3027,11040854692.8974,12140966286.2861,15406714906.8589,14331870072.8514,14791756879.1211,18508316799.9918,21737305193.1823,23673656081.3303,,
"MP",,,,,,,,,,,,,,,
"MR",1555974104.93086,1537970382.98161,1762318195.38354,1756941510.41755,1839123367.13555,1922440871.27436,2000618252.90393,2138076093.89046,2165010678.6364,2090177048.08324,2170137975.2594,2201376626.16351,2317167670.45703,2410669791.19043,
"MT",5580411011.50711,5687615803.3026,5827726696.13626,5769310206.64523,5698153941.44549,5710261961.17656,5890298619.01589,6118452520.51766,6541663216.99036,6089009416.43034,6562648885.1636,,,,
"MU",,,,,,6275693425.26222,,,,,,,,,
"MV",,,,,,961573987.301945,,,,,,,,,
"MW",,,,2509889850.71393,2631699209.72661,2715176945.62329,2774681261.01229,3056488740.9367,3312988901.84813,3588595967.57123,3790520502.24134,3953586421.54135,3984946906.67116,4173051419.1538,
"MX",781380581607.797,778836212997.142,781404707612.08,792275776863.609,829359644993.622,850653641055.68,890640986526.889,918413280164.692,935037493191.317,895165075624.62,944171830822.613,976641192524.406,1013814253883.68,1019764824177.94,
"MY",105093496266.612,106675416502.601,113210650095.767,120984074883.018,129381462373.236,137210942140.418,147106512388.527,157651402475.978,163496609156.528,162883164067.593,172599262784.715,183122025624.298,190687207097.726,200584165510.396,
"MZ",4045222240.71256,4454986605.79277,5036690197.13194,5331410135.27995,5729959441.53586,6218672319.21995,6376760262.39545,7030555868.25463,7475602190.02599,8242828325.16458,8766648607.98924,9597119091.28692,10407141146.0196,11156974415.3741,
"NA",5743650079.48486,5765464663.33292,6100399744.25556,6557925171.00448,7151293428.87589,7148868184.97866,7716612351.18404,8131046676.2349,8339128274.14711,8341744113.31522,8624268150.93282,9191963648.47416,9689758519.75851,10394320244.8138,
"NC",,,,,,,,,,,,,,,
"NE",,,,,,3395616102.91088,,,,,,,,,
"NG",57396664589.5999,64508440101.7762,66313466145.1345,72692358391.4139,96585623903.1752,98881148053.1487,118062685278.67,121227270610.712,128149667302.81,135693241478.383,151358368418.785,158874585117.873,166414041692.734,176172232682.678,
"NI",5190887017.44659,5313103766.40054,5386750942.47919,5537852600.65126,5860112961.82189,6172552516.43754,6331202504.64049,6724508897.84469,6941239914.75382,6713592283.77964,6961526632.82493,7368581771.12741,7705762253.43637,8065727202.17317,
"NL",645954414361.523,639881919352.204,643404709344.831,653322697453.253,671380047623.282,672847336218.475,708079402528.861,731870044910.943,726267965601.762,713264038612.248,730257728236.023,738233757006.724,734894253740.451,722318797237.672,
"NO",269223624756.996,278378744123.278,283108253534.601,286701537244.328,296920485492.577,307439503298.409,311284145553.989,318257218453.162,317900145014.112,316082466637.462,319629978801.417,323700715289.866,336798300303.912,337160836294.474,
"NP",,7239993297.28719,7211373933.16488,7495595963.3414,7832937741.60817,8152825709.79975,8466127017.01757,8776885774.38801,9308318242.70415,9750980537.74487,10181835984.5302,10507967808.1942,11046146745.1223,11459926129.7361,
"NZ",88701306983.5981,92467343102.4262,97177817302.3593,101371698839.727,103933428191.727,106358672899.58,108066106656.483,111153071467.117,108995707832.689,115395455995.919,114881204564.044,118065791982.845,121354650376.573,,
"OM",28749398252.2254,30116410752.198,29441448098.0142,29065285111.1879,29603898631.8589,29882965130.3524,29314664918.3646,30215576563.7867,31479988527.3299,32644444766.763,34907742510.7844,34257342955.6185,51682296626.2772,,
"PA",11910985810.6914,11996261666.8705,12659520680.5396,12650953364.8581,13395872255.7969,14339800000,18126931799.1945,20135693422.3868,21787849997.4934,22604570893.8088,23806663181.2085,23646013094.1862,25670200237.0756,,
"PE",58949407149.5718,59677195639.3557,62635538770.2042,64656677731.7037,66626386726.7357,69897947512.1359,73388803577.2652,79943547115.6431,88345287037.9571,89569395738.5569,96132460419.3086,101824581028.914,109632975857.115,117564513670.772,
"PF",,,,,,,,,,,,,,,
"PG",,,,,,4530524108.266,,,,,,,,,
"PH",96814587691.6418,100292550038.589,104464499679.904,113323980658.207,121367553456.157,129796867725.569,136192931202.466,144463601339.644,152036455769.749,161502081337.824,174448563629.734,162611543630.482,172996571575.445,186632540848.585,
"PK",84665535833.3278,86315469101.2513,90815787326.071,97738749946.8795,103967351805.407,111767372670.054,118347544894.018,123912399928.914,126281583308.75,130688950380.83,134295411176.736,138891487931.905,144576227340.936,150935596129.079,
"PL",,,,,,302593216462.472,,,,,,,,,
"PR",61096142708.6971,57891568419.5323,54389675169.1525,56164593995.5496,55500861602.5896,54861880340.5431,54214500611.5541,55753525426.6742,51207014268.257,45900812091.3945,40997400901.4157,38767485859.3787,44996308251.7937,45931037375.3554,
"PS",4447049734.29269,4015555312.17349,3894349235.83753,4252492587.07965,4584406968.65572,5183455238.79461,5009258921.83286,4967299049.07909,4550537048.49057,5369775193.33136,5466196223.85482,5926402151.80859,6814176191.68919,,
"PT",185426245450.009,188820582351.574,190734461977.38,189891995423.358,192858225826.009,194261179923.395,193991836964.123,198785776357.423,197801689870.987,192218015926.264,196307236536.423,195579546494.42,187448687688.008,186261348162.1,
"PW",,,,,,189365100,,,,,,,,,
"PY",6975621659.30176,6967535201.0555,7112512797.71296,6697586585.27835,7132869830.50947,7360465283.55638,8063825033.28262,9001014086.54851,9699747274.64153,9155847103.42256,10420964394.0048,11093340754.9979,10885901132.0657,12513192921.4119,
"QA",,,,,,38814834046.1984,,,,,,,,,
"RO",74297938457.2286,78560761681.2609,82249282848.3113,86312969578.2221,91172845755.6548,96278837115.9197,104013402867.411,110139373477.626,119794020079.459,113235154270.673,112217770751.077,114553764544.997,114023432847.406,,
"RS",19418453170.1917,20399765778.3329,21745504870.6603,22660893516.265,24657335715.2363,25925756641.0548,27166251280.7865,28568969726.1624,29863551295.7836,29273700459.4176,29259133434.8204,29658831686.2111,29179428950.219,,
"RU",553333048335.295,589106371431.598,614121395674.778,651427828395.855,703674999702.424,745474966862.295,800847140993.556,875153014085.187,912563984675.26,841888091053.511,878732321007.665,911900583552.212,939718467238.155,947157483766.42,
"RW",1787322767.10417,1933595195.88514,2200316904.34811,2221906097.23005,2376722600.47067,2554252482.15177,2792638700.67406,3018935338.8611,3346933310.71987,3558808628.51056,3816702484.33453,4113001288.32131,4465003986.79876,4650148778.14948,
"SA",,,,,,334314608764.111,,,,,,,,,
"SB",,,,,,415509873.96911,,,,,,,,,
"SC",882999149.757677,882220380.894109,830961772.840552,811408336.556368,809236381.871993,876871019.821473,960995731.971096,1037272868.47742,1005250351.02399,1014870510.68872,1077822889.96698,1161720093.31985,1199879309.05414,1273463313.47943,
"SD",18241459927.8115,19298051787.1156,20675191847.5057,21896166798.2413,22649251513.0353,24581223614.7338,27527660919.6254,30416657535.8692,,,,,,,
"SE",,,,,,394300571405.887,,,,,,,,,
"SG",100114510058.362,98728078894.5932,101089166992.723,104733047512.275,110274001189.565,118992548354.585,134049610049.038,146942349224.237,147551794658.572,146606958909.509,176081016827.497,185190629939.578,188115898129.035,195303221539.417,
"SI",30520464931.0662,31461170090.3834,32401040068.0936,33247341758.8353,34618970224.0768,36171806425.6526,38101888895.9358,40320292483.6805,41401626247.9582,38572471662.6528,39211416864.2648,39506015208.4556,38501029256.8171,38119769072.0031,
"SK",,,,,56572554831.3072,61031463748.29,65935703796.5171,72999275290.6694,77731284694.0676,74564620372.4699,76867349909.3181,79280247869.1254,80491055813.5755,81700113322.4686,
"SL",1110664118.98271,1034557457.06079,1308442259.67813,1437695568.43363,1525411741.87691,1589853119.30066,1683592725.48756,1947325218.8666,2106078797.62805,2194234862.30397,2150753104.50932,2340872927.52687,2302659816.35901,2746465875.02278,
"SM",,,,,,1206287618.76337,,,,,,,,,
