"di_id","entity_name","year","value"
"AU","Australia",2000,0
"AU","Australia",2001,0
"AU","Australia",2002,0
"AU","Australia",2003,0
"AU","Australia",2004,0
"AU","Australia",2005,0
"AU","Australia",2006,6162893.081
"AU","Australia",2007,5303903.093
"AU","Australia",2008,4887107.532
"AU","Australia",2009,5270885.154
"AU","Australia",2010,7401279.414
"AU","Australia",2011,49768059.22
"AU","Australia",2012,46024980.13
"AU","Australia",2013,47145346.76
"AU","Australia",2014,73423452.24
"AU","Australia",2015,0
"AU","Australia",2016,47423138.9
"AU","Australia",2017,21469333.17
"AU","Australia",2018,20898063.67
"AU","Australia",2019,65926313.67
"AU","Australia",2020,85563504.58
"BR","Brazil",2000,0
"BR","Brazil",2001,0
"BR","Brazil",2002,0
"BR","Brazil",2003,0
"BR","Brazil",2004,0
"BR","Brazil",2005,0
"BR","Brazil",2006,0
"BR","Brazil",2007,0
"BR","Brazil",2008,0
"BR","Brazil",2009,0
"BR","Brazil",2010,0
"BR","Brazil",2011,0
"BR","Brazil",2012,0
"BR","Brazil",2013,0
"BR","Brazil",2014,0
"BR","Brazil",2015,0
"BR","Brazil",2016,0
"BR","Brazil",2017,0
"BR","Brazil",2018,0
"BR","Brazil",2019,0
"BR","Brazil",2020,0
"CA","Canada",2000,0
"CA","Canada",2001,0
"CA","Canada",2002,3018595.49
"CA","Canada",2003,6600262.193
"CA","Canada",2004,11310728.87
"CA","Canada",2005,147472378
"CA","Canada",2006,5335871.292
"CA","Canada",2007,0
"CA","Canada",2008,0
"CA","Canada",2009,0
"CA","Canada",2010,13820646.03
"CA","Canada",2011,44177114.37
"CA","Canada",2012,58133575.91
"CA","Canada",2013,62255088.67
"CA","Canada",2014,54017305.66
"CA","Canada",2015,11183040.6
"CA","Canada",2016,82758781.5
"CA","Canada",2017,92545097.03
"CA","Canada",2018,76863140.85
"CA","Canada",2019,90563729.31
"CA","Canada",2020,94956141.48
"CN","China",2000,0
"CN","China",2001,0
"CN","China",2002,0
"CN","China",2003,0
"CN","China",2004,0
"CN","China",2005,0
"CN","China",2006,0
"CN","China",2007,0
"CN","China",2008,0
"CN","China",2009,0
"CN","China",2010,0
"CN","China",2011,0
"CN","China",2012,0
"CN","China",2013,0
"CN","China",2014,0
"CN","China",2015,0
"CN","China",2016,2132874.873
"CN","China",2017,1e+06
"CN","China",2018,0
"CN","China",2019,0
"CN","China",2020,0
"DK","Denmark",2000,0
"DK","Denmark",2001,1849413.299
"DK","Denmark",2002,0
"DK","Denmark",2003,0
"DK","Denmark",2004,3653877.344
"DK","Denmark",2005,3636172.513
"DK","Denmark",2006,4561670.519
"DK","Denmark",2007,4378216.942
"DK","Denmark",2008,0
"DK","Denmark",2009,7909987.956
"DK","Denmark",2010,1596765.957
"DK","Denmark",2011,7373529.989
"DK","Denmark",2012,3843664.778
"DK","Denmark",2013,3904305.435
"DK","Denmark",2014,0
"DK","Denmark",2015,0
"DK","Denmark",2016,0
"DK","Denmark",2017,0
"DK","Denmark",2018,0
"DK","Denmark",2019,0
"DK","Denmark",2020,0
"EU","European Union",2000,0
"EU","European Union",2001,0
"EU","European Union",2002,0
"EU","European Union",2003,1491374.061
"EU","European Union",2004,0
"EU","European Union",2005,0
"EU","European Union",2006,0
"EU","European Union",2007,4302439.043
"EU","European Union",2008,19081075.25
"EU","European Union",2009,25323797.84
"EU","European Union",2010,0
"EU","European Union",2011,0
"EU","European Union",2012,11386733.92
"EU","European Union",2013,0
"EU","European Union",2014,0
"EU","European Union",2015,22270090
"EU","European Union",2016,14605955.11
"EU","European Union",2017,7813890
"EU","European Union",2018,54832750
"EU","European Union",2019,0
"EU","European Union",2020,32250000
"FR","France",2000,0
"FR","France",2001,0
"FR","France",2002,0
"FR","France",2003,0
"FR","France",2004,6229060.168
"FR","France",2005,0
"FR","France",2006,158447551.9
"FR","France",2007,106460499
"FR","France",2008,61651620.04
"FR","France",2009,78781636.49
"FR","France",2010,79325770.16
"FR","France",2011,91565634.73
"FR","France",2012,40256341.01
"FR","France",2013,72854659.19
"FR","France",2014,5776186.083
"FR","France",2015,5858600
"FR","France",2016,159337958.9
"FR","France",2017,30812027.23
"FR","France",2018,107314875.7
"FR","France",2019,107314875.7
"FR","France",2020,132470264.7
"DE","Germany",2000,0
"DE","Germany",2001,0
"DE","Germany",2002,0
"DE","Germany",2003,0
"DE","Germany",2004,0
"DE","Germany",2005,0
"DE","Germany",2006,5316937.119
"DE","Germany",2007,5421383.242
"DE","Germany",2008,0
"DE","Germany",2009,4991066.498
"DE","Germany",2010,4661503.418
"DE","Germany",2011,7325340.996
"DE","Germany",2012,31747397.78
"DE","Germany",2013,30776680.05
"DE","Germany",2014,51513355.08
"DE","Germany",2015,63296056.62
"DE","Germany",2016,113943211.1
"DE","Germany",2017,149743712.2
"DE","Germany",2018,48654975
"DE","Germany",2019,0
"DE","Germany",2020,0
"IN","India",2000,0
"IN","India",2001,0
"IN","India",2002,0
"IN","India",2003,0
"IN","India",2004,0
"IN","India",2005,0
"IN","India",2006,0
"IN","India",2007,0
"IN","India",2008,0
"IN","India",2009,0
"IN","India",2010,0
"IN","India",2011,0
"IN","India",2012,0
"IN","India",2013,0
"IN","India",2014,1901237.63
"IN","India",2015,1e+06
"IN","India",2016,988780.704
"IN","India",2017,0
"IN","India",2018,4e+06
"IN","India",2019,2e+06
"IN","India",2020,2e+06
"IE","Ireland",2000,0
"IE","Ireland",2001,0
"IE","Ireland",2002,672285.223
"IE","Ireland",2003,660574.605
"IE","Ireland",2004,622922.429
"IE","Ireland",2005,773610.555
"IE","Ireland",2006,7079094.349
"IE","Ireland",2007,6729094.74
"IE","Ireland",2008,2922454.799
"IE","Ireland",2009,2995191.51
"IE","Ireland",2010,3331649.509
"IE","Ireland",2011,4290289.703
"IE","Ireland",2012,3245645.09
"IE","Ireland",2013,2665909.434
"IE","Ireland",2014,669193.491
"IE","Ireland",2015,3281400
"IE","Ireland",2016,3208693.986
"IE","Ireland",2017,3532777.49
"IE","Ireland",2018,0
"IE","Ireland",2019,0
"IE","Ireland",2020,0
"IT","Italy",2000,0
"IT","Italy",2001,0
"IT","Italy",2002,0
"IT","Italy",2003,0
"IT","Italy",2004,0
"IT","Italy",2005,0
"IT","Italy",2006,58742358.43
"IT","Italy",2007,42876154.59
"IT","Italy",2008,24805299.54
"IT","Italy",2009,31118823.99
"IT","Italy",2010,49470019.05
"IT","Italy",2011,68496596.64
"IT","Italy",2012,91386505
"IT","Italy",2013,84473762.38
"IT","Italy",2014,63290781.45
"IT","Italy",2015,53218072.73
"IT","Italy",2016,67880340.22
"IT","Italy",2017,38550712.24
"IT","Italy",2018,116406520.4
"IT","Italy",2019,155461989.6
"IT","Italy",2020,110362785.5
"JP","Japan",2000,0
"JP","Japan",2001,0
"JP","Japan",2002,0
"JP","Japan",2003,0
"JP","Japan",2004,0
"JP","Japan",2005,0
"JP","Japan",2006,0
"JP","Japan",2007,0
"JP","Japan",2008,0
"JP","Japan",2009,0
"JP","Japan",2010,0
"JP","Japan",2011,6330966.768
"JP","Japan",2012,6186875.245
"JP","Japan",2013,7592752.404
"JP","Japan",2014,7758491.981
"JP","Japan",2015,17368928
"JP","Japan",2016,16815756.44
"JP","Japan",2017,19166666
"JP","Japan",2018,18999999
"JP","Japan",2019,0
"JP","Japan",2020,0
"LU","Luxembourg",2000,0
"LU","Luxembourg",2001,0
"LU","Luxembourg",2002,0
"LU","Luxembourg",2003,0
"LU","Luxembourg",2004,0
"LU","Luxembourg",2005,760377.524
"LU","Luxembourg",2006,1440706.698
