"di_id","entity_name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AU","Australia",0,0,0,0,0,0,6162893.081,5303903.093,4887107.532,5270885.154,7401279.414,49768059.22,46024980.13,47145346.76,73423452.24,0,47423138.9,21469333.17,20898063.67,65926313.67,85563504.58
"BR","Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA","Canada",0,0,3018595.49,6600262.193,11310728.87,147472378,5335871.292,0,0,0,13820646.03,44177114.37,58133575.91,62255088.67,54017305.66,11183040.6,82758781.5,92545097.03,76863140.85,90563729.31,94956141.48
"CN","China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132874.873,1e+06,0,0,0
"DK","Denmark",0,1849413.299,0,0,3653877.344,3636172.513,4561670.519,4378216.942,0,7909987.956,1596765.957,7373529.989,3843664.778,3904305.435,0,0,0,0,0,0,0
"EU","European Union",0,0,0,1491374.061,0,0,0,4302439.043,19081075.25,25323797.84,0,0,11386733.92,0,0,22270090,14605955.11,7813890,54832750,0,32250000
"FR","France",0,0,0,0,6229060.168,0,158447551.9,106460499,61651620.04,78781636.49,79325770.16,91565634.73,40256341.01,72854659.19,5776186.083,5858600,159337958.9,30812027.23,107314875.7,107314875.7,132470264.7
"DE","Germany",0,0,0,0,0,0,5316937.119,5421383.242,0,4991066.498,4661503.418,7325340.996,31747397.78,30776680.05,51513355.08,63296056.62,113943211.1,149743712.2,48654975,0,0
"IN","India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901237.63,1e+06,988780.704,0,4e+06,2e+06,2e+06
"IE","Ireland",0,0,672285.223,660574.605,622922.429,773610.555,7079094.349,6729094.74,2922454.799,2995191.51,3331649.509,4290289.703,3245645.09,2665909.434,669193.491,3281400,3208693.986,3532777.49,0,0,0
"IT","Italy",0,0,0,0,0,0,58742358.43,42876154.59,24805299.54,31118823.99,49470019.05,68496596.64,91386505,84473762.38,63290781.45,53218072.73,67880340.22,38550712.24,116406520.4,155461989.6,110362785.5
"JP","Japan",0,0,0,0,0,0,0,0,0,0,0,6330966.768,6186875.245,7592752.404,7758491.981,17368928,16815756.44,19166666,18999999,0,0
"LU","Luxembourg",0,0,0,0,0,760377.524,1440706.698,800555.231,1257911.39,1097424.401,1026992.097,1007546.465,963947.073,905539.907,942355.367,920747.66,904003.268,863788,984000,1041400,1057800
"MC","Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107821,184512,190500,193500
"NL","Netherlands",0,36822309.68,18732291.66,18881075.04,17803911.66,15952016.42,12926958.44,38754831.56,36332090.35,33036192.1,28867177.34,27562211.6,14601905.51,32959206.82,33506180.68,33945600,38799113.86,64944297.6,47767431.55,64345690.81,73621553.1
"NO","Norway",0,32034175.88,34483270.98,30530045.32,51353998.76,43575706.33,97896088.17,98731451.11,63015668.66,92993617.69,78851021.04,74295651.23,93406933.07,106305653.6,116224851.1,158252945.1,151874471.6,162598344.7,148406242.3,155192802.5,225745623.1
"OM","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e+05,0,6e+05,6e+05,6e+05,6e+05
"QA","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160816.688,2e+06,2e+06,2e+06,2e+06
"RU","Russian Federation",0,0,0,0,0,0,0,0,0,0,785686.62,2816101.742,5890771.523,5804340.858,6687864.718,7608594.036,8377616.335,4158764.076,7768896.279,12879457.48,5432065.997
"SA","Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574366.696,5e+06,5e+06,5e+06,5e+06
"ZA","South Africa",0,0,0,0,0,0,1745759.268,1364502.308,933640.495,1074873.47,850471.958,546942.029,196009.472,434121.958,0,0,232198.597,205220.494,720066.451,720066.451,842957.449
"KR","South Korea",0,0,0,0,0,0,0,0,0,0,435938.908,308555.682,310376.895,997040.348,953163.48,4e+06,4030690.981,4e+06,4e+06,0,0
"ES","Spain",0,0,0,0,0,0,22387637.48,16198979.48,40304589,11997246.61,12191358.08,10101930.79,2870452.434,5537372.716,0,0,2830167.449,2530922.527,8880362.593,8880362.593,10216616.82
"SE","Sweden",0,2912068.639,1592172.991,2780286.934,5201308.498,13475122.7,19141529.86,17219995.14,18388879.05,16019923.75,35672203.44,77076597.98,478989.971,57773555.01,41364652.65,41475000,36817600.72,33856347,43671215.37,1234264.482,1419273.204
"CH","Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626018.512,0,0,420000,0
"GB","United Kingdom",6036273.459,0,19926545.15,6658672.092,19130979.37,6718160.656,261058335.2,216737111.9,116828292.5,164997254.4,179399040.2,248656497.4,287067819.2,603266712.9,391548225.7,499862929.3,435518270.4,339761690.7,414024031.5,487465947.7,507836923.5
"US","USA",0,63170919.22,68565079.28,73566727.17,73621999.99,77115368.07,80408771.92,78324751.51,79714029.11,82508940.22,84773736.86,95646193.85,135928595.7,141977794.4,176897001.5,2e+08,232039132,2.75e+08,0,0,0
