"di_id","entity_name","2011","2012","2013","2016","2009","2014","2015","2010"
"AF","Afghanistan",12488900,7987950,9125660,,,,,
"AR","Argentina",,,,76046.667,,,,
"BD","Bangladesh",,,1465869,2316761,731030.667,1290098,2175398,
"BF","Burkina Faso",,,257399,,,25299.75,0,
"ET","Ethiopia",,,,3132390,,,1207970,
"GM","Gambia",743755,1786050,2104600,893937,,1575860,1406020,1591463
"IN","India",465013.5,11426292.5,3681530.75,8617174.6,,9103202.9,6038484.667,2006847.5
"KE","Kenya",,,,417037,,,,
"LA","Lao",,,,205041,,119105,209017,
"MG","Madagascar",,,699200,,,610129,,
"MW","Malawi",603277,1346135,,269408.5,,,31178.333,
"FM","Micronesia",729849,435707,422153.1,,136370,230628,,585859
"MN","Mongolia",,,,205041,,119105,209017,
"MZ","Mozambique",,,,289611,,,,
"NG","Nigeria",2044030,2828990.333,3942781.833,4083665.55,,1816656.75,4002037.5,
"PK","Pakistan",,,,149289.6,,,1290000,
"PG","Papua New Guinea",,,,788831,,119105,2257997,
"PH","Philippines",,,,904949,,,,110466
"ZA","South Africa",,,,1216880,,,,
"TZ","Tanzania",,362468.5,,,,,,
"UG","Uganda",775020,465207.5,,634095,,1071780,931985,
"VN","Viet Nam",,,,3101640,,1351340,3840560,
"ZM","Zambia",,,711847,72826.667,,621165,,
