"district_id","2012","2013","2014","2015","2016","2017","2018","2019"
"d314",11.87334619,8.892209891,5.952884113,2.955952661,1.752403818,6.422736197,10.23432868,4
"d301",8.188506523,8.683403621,7.250343973,4.005327384,2.14654184,3.867920057,4.076285884,4
"d322",,10.79292382,9.375976814,3.582558737,3.711944158,2.82512737,2.595717102,4
"d323",10.43333897,7.799987262,7.812113097,3.247486469,2.32779788,8.372727177,4.814866869,4
"d315",9.518861411,15.2069806,8.479501676,3.595834906,2.048996622,3.83006495,4.760815099,6
"d324",,8.973544909,10.22939777,4.532012014,2.951296008,,,8
"d216",10.77002571,11.14165656,9.844253154,4.784277038,2.350900922,3.623291416,14.33981576,5
"d316",,4.577793829,4.650622955,2.59816297,2.311528357,6.44740542,5.105152453,3
"d302",7.185954566,7.340005601,5.027843478,2.47190262,1.499855812,3.14130958,,2
"d303",5.611839849,6.814586688,5.177744939,2.254779888,2.364409314,1.404328326,4.765611768,2
"d217",7.12961163,9.910212324,8.615299984,3.566597975,1.857498481,2.001195374,1.937564321,4
"d218",9.767832708,13.12419932,15.44295832,4.428399689,1.982066637,4.491510191,5.990325025,5
"d201",9.585009314,7.109693889,6.73875496,3.499457374,1.200070335,2.922693867,,4
"d420",11.06095928,11.24666549,11.34848078,4.737542817,5.152462564,,,5
"d117",6.396260047,7.77869646,6.375463493,2.634839265,1.806530792,2.614111234,2.300902566,6
"d219",7.473710176,7.037454007,7.082147298,3.656253234,2.715809349,3.227392236,,3
"d118",8.95026219,6.517800489,5.835064239,2.958546828,2.661757452,,,6
"d220",8.638288504,8.581337252,10.37349718,3.4775157,3.196129067,,,5
"d225",14.62941147,18.14856921,15.55076053,5.788422482,6.242909564,4.526025022,,7
"d416",9.24034045,11.26930019,7.356654659,3.18626678,3.684931083,4.130396084,,6
"d401",9.312786173,11.59492475,10.54307061,4.600869974,3.72715653,3.626153897,,5
"d402",7.275469838,7.00401986,6.051358032,2.352661642,1.779983392,11.83337615,1.114262845,4
"d202",7.996109075,10.59829892,6.662711245,2.936851133,0.894119231,1.506047636,5.464713925,3
"d221",7.316662984,9.139772555,7.779018389,3.016307154,2.976695854,2.091959825,5.464713925,4
"d119",9.31052411,6.190353261,5.08871358,1.671396802,1.674862699,1.938093899,3.862720684,5
"d120",,16.92050243,14.66879303,6.703623373,5.323973424,8.755672547,8.606427879,11
"d226",11.17683559,8.677819279,7.923132849,3.236832191,2.905021334,4.106341598,4.003467427,4
"d317",,9.450783712,7.682968538,3.209901211,3.315908479,2.617105994,2.708797087,5
"d121",10.07812103,7.631549605,7.942369386,3.002171619,1.745186391,3.382712624,3.471421006,6
"d304",6.413500277,4.969614141,5.407350688,1.726266707,2.116209933,6.451870719,3.949282873,1
"d403",8.672817387,8.087441799,6.298936119,2.095652076,1.629054264,2.729981752,2.570071268,4
"d417",8.401720997,9.524288964,9.155132244,4.327210441,2.194844444,4.074110522,2.504733008,7
"d203",6.094423425,5.744751533,,2.315531668,0.714561608,0.677857429,,2
"d418",10.24369077,10.40624917,8.571570439,3.260895225,3.393136017,2.477740485,3.627060607,5
"d204",4.51517863,6.041629183,,1.499079638,0.524528986,0.460677944,0.61622967,3
"d318",9.779581025,12.12751862,9.197913338,6.112169761,5.585057331,18.68652144,,4
"d404",,6.371372375,7.457350141,5.885042115,1.665181655,1.974994361,1.814867336,3
"d405",7.355012503,7.185618653,7.079030006,2.457319284,2.435452459,2.106688443,1.812632426,5
"d213",7.756913459,8.198018977,9.33879779,5.612394421,5.226815489,5.009993116,,6
"d101",19.42860015,14.72116213,19.63460585,12.44968564,16.11223769,8.104426504,8.370576216,12
"d222",8.758845898,6.717775503,6.250184822,2.680056896,2.546527381,3.616318166,3.745560814,5
"d122",7.374693703,5.827373829,5.308327475,1.647960575,1.628410044,2.046978995,1.94729581,4
"d205",7.639969366,7.094708095,6.329421772,2.661006943,1.434205349,2.176415329,2.243302112,4
"d413",13.05365437,11.63574038,8.875607175,3.515628377,2.005468043,2.999614194,3.116318247,4
"d414",9.325882346,8.5212855,7.613472179,3.057329757,3.109843513,2.720667164,2.785882264,5
"d206",13.30342186,11.7309863,11.14864995,4.45681874,2.496081744,3.776287044,0.656907857,2
"d406",9.273705095,7.308648704,6.215991212,4.382120927,2.926495422,2.214783114,1.002990451,3
"d207",8.268120893,10.07259618,7.739272916,3.649594552,2.483738647,2.732327148,,4
"d112",,5.429697115,5.911379378,3.044056324,2.347453384,1.767767624,1.601562483,2
"d407",12.55663741,13.4947694,10.59233146,3.937115595,1.886279099,3.544444399,4.055428222,8
"d103",9.527749874,10.32822701,9.611030612,5.258600219,3.304623093,2.694983598,3.472006354,5
"d227",8.810101608,10.40787417,9.199899897,3.319007227,1.707794002,2.546916856,2.65054336,4
"d419",11.2271463,11.42940062,10.81767698,4.039494032,4.106281371,2.811267384,2.85985967,5
"d421",9.252667571,8.282861203,8.157896494,4.733667779,4.935243164,7.917347211,13.40993935,5
"d408",8.278764627,6.605396937,5.948356666,2.732331569,2.777502671,1.590975731,2.023641468,4
"d305",7.320329156,6.637118213,6.083140576,4.090159435,3.217579544,1.006917898,,3
"d319",6.660109178,7.956123714,7.120992247,2.880850013,2.518217392,3.818712015,6.392547271,5
"d325",8.308282678,8.856352873,7.997793487,2.560668141,2.509606349,4.10619028,,3
"d306",6.808096671,9.538088367,8.601748899,5.317879946,5.122073477,3.420491091,3.897838461,7
"d208",7.329428945,6.857407893,7.497914909,3.96529594,2.3008541,3.30757596,1.24496374,3
"d228",15.61162621,12.28359743,12.52341815,6.674131989,2.504806784,3.321172928,3.271462172,8
"d123",10.56441788,12.43834047,12.98859697,4.787844452,3.580303834,4.622388619,,6
"d422",8.994988626,9.007743047,9.989545729,6.062359085,5.957715056,3.793899222,6.38566475,6
