"id","entity-name","year","budget-type","value"
"d121","Gomba",2013,"budget",7.6315496049
"d121","Gomba",2014,"budget",7.9423693859
"d121","Gomba",2015,"budget",3.0021716188
"d121","Gomba",2016,"budget",2.7327889703
"d304","Gulu",2012,"budget",6.4135002767
"d304","Gulu",2013,"budget",4.9696141412
"d304","Gulu",2014,"budget",5.4073506881
"d304","Gulu",2015,"budget",1.7262667069
"d304","Gulu",2016,"budget",2.1162099333
"d403","Hoima",2012,"budget",8.6728173875
"d403","Hoima",2013,"budget",8.0874417986
"d403","Hoima",2014,"budget",6.2989361187
"d403","Hoima",2015,"budget",2.0956520758
"d403","Hoima",2016,"budget",2.4625199432
"d417","Ibanda",2012,"budget",8.4017209974
"d417","Ibanda",2013,"budget",9.5242889642
"d417","Ibanda",2014,"budget",9.1551322441
"d417","Ibanda",2015,"budget",4.3272104415
"d417","Ibanda",2016,"budget",3.6832593278
"d203","Iganga",2012,"budget",6.0944234253
"d203","Iganga",2013,"budget",5.744751533
"d203","Iganga",2015,"budget",2.3155316675
"d203","Iganga",2016,"budget",2.3542088206
"d418","Isingiro",2012,"budget",10.243690773
"d418","Isingiro",2013,"budget",10.4062491731
"d418","Isingiro",2014,"budget",8.5715704389
"d418","Isingiro",2015,"budget",3.2608952248
"d418","Isingiro",2016,"budget",3.3931360173
"d204","Jinja",2012,"budget",4.5151786302
"d204","Jinja",2013,"budget",6.0416291829
"d204","Jinja",2015,"budget",1.4990796377
"d204","Jinja",2016,"budget",1.8595613007
"d318","Kaabong",2012,"budget",9.7795810249
"d318","Kaabong",2013,"budget",12.1275186195
"d318","Kaabong",2014,"budget",9.1979133384
"d318","Kaabong",2015,"budget",6.1121697614
"d318","Kaabong",2016,"budget",6.3149624849
"d404","Kabale",2013,"budget",6.3713723748
"d404","Kabale",2014,"budget",7.4573501411
"d404","Kabale",2015,"budget",5.8850421145
"d404","Kabale",2016,"budget",6.0903558114
"d405","Kabarole",2012,"budget",7.3550125034
"d405","Kabarole",2013,"budget",7.1856186531
"d405","Kabarole",2014,"budget",7.0790300064
"d405","Kabarole",2015,"budget",2.457319284
"d405","Kabarole",2016,"budget",2.6303882313
"d213","Kaberamaido",2012,"budget",7.7569134587
"d213","Kaberamaido",2013,"budget",8.1980189765
"d213","Kaberamaido",2014,"budget",9.3387977897
"d213","Kaberamaido",2015,"budget",5.6123944214
"d213","Kaberamaido",2016,"budget",5.2268154886
"d101","Kalangala",2012,"budget",19.4286001497
"d101","Kalangala",2013,"budget",14.7211621314
"d101","Kalangala",2014,"budget",19.634605851
"d101","Kalangala",2015,"budget",12.4496856368
"d101","Kalangala",2016,"budget",16.1122376939
"d222","Kaliro",2012,"budget",8.7588458979
"d222","Kaliro",2013,"budget",6.7177755028
"d222","Kaliro",2014,"budget",6.2501848216
"d222","Kaliro",2015,"budget",2.6800568957
