"id","value.2000","estimate.2000","value.2001","estimate.2001","value.2002","estimate.2002","value.2003","estimate.2003","value.2004","estimate.2004","value.2005","estimate.2005","value.2006","estimate.2006","value.2007","estimate.2007","value.2008","estimate.2008","value.2009","estimate.2009","value.2010","estimate.2010","value.2011","estimate.2011","value.2012","estimate.2012","value.2013","estimate.2013","value.2014","estimate.2014"
"CD",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,8.9994098941,FALSE,11.2178529383,FALSE,10.3320489271,FALSE,12.1179060968,FALSE,12.3853544689,FALSE,14.9030546985,FALSE,13.0416082598,FALSE,13.8484611761,TRUE
"CF",,FALSE,9.6077397032,FALSE,11.6794584545,FALSE,8.3241488674,FALSE,11.8226452604,FALSE,12.4749261073,FALSE,23.0845880586,FALSE,14.3807607545,FALSE,15.1508334646,FALSE,16.0620338617,FALSE,17.1507927794,FALSE,13.3297427003,FALSE,16.3673361055,FALSE,8.3979965908,TRUE,9.0781845078,TRUE
"CG",26.2857142857,FALSE,30.6595713519,FALSE,27.1746876336,FALSE,29.7273353677,FALSE,30.0513071097,FALSE,38.6208614944,FALSE,44.3031712264,FALSE,38.8736098148,FALSE,45.9840848367,FALSE,28.8524792823,FALSE,37.3659902896,FALSE,41.9435346554,FALSE,42.3259681277,FALSE,46.509762318,FALSE,46.0282290866,TRUE
"CI",,FALSE,,FALSE,,FALSE,,FALSE,16.3696363599,FALSE,16.3275632771,FALSE,17.9642944473,FALSE,18.6419958341,FALSE,18.2226466717,FALSE,17.9500152658,FALSE,17.657191971,FALSE,18.8476672088,FALSE,18.3612554236,TRUE,18.4935570676,TRUE,18.3174671807,TRUE
"CM",,FALSE,,FALSE,17.4731181023,FALSE,18.2897562208,FALSE,15.2030008588,FALSE,17.6350918899,FALSE,19.2596537949,FALSE,19.0660534076,FALSE,20.3182185384,FALSE,16.6571123016,FALSE,15.9747890648,FALSE,17.4561802052,FALSE,17.5364771674,FALSE,17.8216418935,FALSE,17.9957717962,TRUE
"CV",,,,,20.980690227,FALSE,20.0941554714,FALSE,20.9225754589,FALSE,21.8461061123,FALSE,23.2289692978,FALSE,24.2338531162,FALSE,24.318846605,FALSE,21.8503227136,FALSE,21.6736788171,FALSE,22.6967902436,FALSE,21.4355433087,FALSE,21.7212000363,FALSE,23.558501948,TRUE
"DJ",24.2613492586,FALSE,23.0939366481,FALSE,23.3310996385,FALSE,27.9960548731,FALSE,28.7694256757,FALSE,30.912584664,FALSE,31.086205382,FALSE,30.2227561762,FALSE,28.7492634481,FALSE,30.5740443767,FALSE,30.1224461307,FALSE,28.2283332274,FALSE,29.1912091749,FALSE,,TRUE,,TRUE
"EG",,,,,,FALSE,,FALSE,24.5415207088,FALSE,24.2896935933,FALSE,28.1852031731,FALSE,27.1000268528,FALSE,27.6,FALSE,26.9067357513,FALSE,23.8209845848,FALSE,23.803734228,FALSE,21.5042843542,FALSE,22.7228654537,FALSE,21.3226163193,TRUE
"ET",14.4149339809,FALSE,15.1203566122,FALSE,15.8097783988,FALSE,15.3503035643,FALSE,16.212343608,FALSE,14.7835409531,FALSE,14.9948174594,FALSE,12.8127204326,FALSE,12.1345660408,FALSE,12.1253644491,FALSE,14.2152839177,FALSE,13.669642398,FALSE,13.92679443,FALSE,14.5503905059,FALSE,14.0837533158,TRUE
"FJ",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,24.7821681864,FALSE,26.8507863445,FALSE,26.0240511086,FALSE,25.6812110419,FALSE,25.0089063057,FALSE,25.3652058433,FALSE,27.5118519651,FALSE,27.789870846,FALSE,27.9348411416,FALSE,28.4535297105,TRUE
"FM",22.5751072961,FALSE,18.9166666667,FALSE,19.4214876033,FALSE,19.7551020408,FALSE,24.9166666667,FALSE,20.84,FALSE,21.6996047431,FALSE,20.625,FALSE,21.1832061069,FALSE,21.4079422383,FALSE,21.8707482993,FALSE,21.8387096774,FALSE,23.3435582822,FALSE,22.4024024024,TRUE,,TRUE
"GE",14.9193414269,FALSE,15.585978637,FALSE,18.0254862508,FALSE,18.5952825782,FALSE,24.2162052117,FALSE,22.4765510713,FALSE,25.4532269761,FALSE,28.6571731199,FALSE,27.4547837484,FALSE,27.1099744246,FALSE,25.9991322374,FALSE,27.3209004272,FALSE,27.7525127068,FALSE,26.7586206897,FALSE,26.775375972,TRUE
"GH",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,17.042649982,FALSE,16.2549084645,FALSE,17.0893101093,TRUE
"GM",12.8141091658,FALSE,10.4618473896,FALSE,11.3068021451,FALSE,10.8790601244,FALSE,14.4859329153,FALSE,14.5963220453,FALSE,16.4481914604,FALSE,17.4525690705,FALSE,16.3299584752,FALSE,16.2061924407,FALSE,14.8563498612,FALSE,16.1118458341,FALSE,16.4422151986,FALSE,17.1746847839,FALSE,17.9492743795,TRUE
"GN",10.9345539815,FALSE,11.3215751348,FALSE,12.0482972849,FALSE,11.0233227841,FALSE,11.4737969614,FALSE,14.5464153036,FALSE,14.3896283375,FALSE,14.2731739125,FALSE,15.6349026464,FALSE,16.1842514221,FALSE,15.3216874005,FALSE,16.7815211918,FALSE,20.1461255876,TRUE,18.3631520647,TRUE,18.3233205731,TRUE
"GQ",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,49.7800633177,FALSE,47.2172019927,FALSE,44.1393314883,FALSE,53.5510472871,FALSE,37.4950255031,FALSE,38.3938875961,FALSE,33.3365704315,FALSE,40.5133963475,FALSE,31.6657385561,TRUE
"GT",12.343078987,FALSE,12.3977738165,FALSE,12.781603254,FALSE,12.5307393533,FALSE,12.3198907792,FALSE,12,FALSE,12.7264658278,FALSE,12.8403881418,FALSE,12.0247945057,FALSE,11.0521581858,FALSE,11.2356008682,FALSE,11.6378985046,FALSE,11.6218208719,FALSE,11.654245629,FALSE,11.2040486552,TRUE
"GW",,FALSE,8.5201091965,FALSE,7.4869409808,FALSE,7.5123610845,FALSE,8.7320058308,FALSE,9.0464405487,FALSE,10.1789557361,FALSE,7.9788590232,FALSE,8.9416775207,FALSE,9.0785525607,FALSE,10.6255494433,FALSE,10.1003118423,FALSE,9.3969026992,TRUE,8.6354515753,TRUE,11.3940659546,TRUE
"GY",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,23.3028729569,FALSE,24.4033951345,FALSE,21.699667438,FALSE,24.4242509332,FALSE,23.7571510546,FALSE,22.9991762909,FALSE,23.4786906854,FALSE,23.3826714214,TRUE,24.2757558757,TRUE
"HN",17.7,FALSE,18.2,FALSE,18.3,FALSE,19,FALSE,19.7,FALSE,16.5000897974,FALSE,16.570229485,FALSE,17.344127381,FALSE,17.8300186345,FALSE,15.2329918152,FALSE,15.5089112087,FALSE,16.193273398,FALSE,15.7,FALSE,16.3,FALSE,17.9,TRUE
"HT",,FALSE,,FALSE,,FALSE,,FALSE,8.873328727,FALSE,9.6735799089,FALSE,10.2009759661,FALSE,10.5388214983,FALSE,10.7143142184,FALSE,11.1546214723,FALSE,11.7717791963,FALSE,12.8421615696,FALSE,12.7933524558,FALSE,12.7394733163,FALSE,12.2177704809,TRUE
"ID",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,19.2361565228,FALSE,21.2379506585,FALSE,16.4639050663,FALSE,16.9540113059,FALSE,17.7917065874,FALSE,17.9842140888,FALSE,17.8886499338,FALSE,17.3709113824,TRUE
"IN",17.4000087351,FALSE,17.7000169621,FALSE,15.6722718596,FALSE,15.7627869142,FALSE,15.8811408414,FALSE,16.5187944405,FALSE,16.3247499672,FALSE,17.4634921338,FALSE,19.4052994107,FALSE,17.0855054856,FALSE,15.505670519,FALSE,18.7989193893,FALSE,18.8000332236,FALSE,19.500011889,FALSE,19.7000019211,TRUE
"IQ",,,,,,,,,49.5460169621,FALSE,49.799004126,FALSE,51.5567050263,FALSE,50.6030134112,FALSE,50.3738035537,FALSE,40.1095551164,FALSE,42.5139200385,FALSE,47.1179142876,FALSE,47.3983201035,FALSE,47.1585895197,FALSE,50.1540036296,TRUE
"KE",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,17.7718361164,FALSE,16.6479936039,FALSE,17.1755637315,FALSE,17.1056198808,FALSE,17.0993729763,FALSE,17.1987905306,FALSE,17.4842805186,FALSE,17.5738998696,FALSE,17.8879054154,FALSE,18.008781046,TRUE
"KG",,FALSE,19.5295264134,FALSE,21.6606737697,FALSE,21.7200019077,FALSE,22.2742737226,FALSE,23.6702048583,FALSE,25.6362038664,FALSE,28.0631157592,FALSE,28.0331077918,FALSE,27.0500887076,FALSE,27.733937169,FALSE,28.8238358818,FALSE,31.2789278226,FALSE,31.4769104186,FALSE,28.7197957113,TRUE
"KH",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,11.4943356644,FALSE,11.8856757232,FALSE,13.0169412047,FALSE,15.7906542014,FALSE,17.0333977947,FALSE,15.5577458602,FALSE,16.8909416187,FALSE,17.2669104658,FALSE,17.6539238512,TRUE
"KI",,FALSE,,FALSE,,FALSE,,FALSE,46.2589928058,FALSE,42.8776978417,FALSE,43.1654676259,FALSE,41.8367346939,FALSE,41.801242236,FALSE,42.6993865031,FALSE,47.8048780488,FALSE,37.0658682635,TRUE,54.0236686391,TRUE,70.0571428571,TRUE,39.1351351351,TRUE
"KM",10.2188088414,FALSE,13.9685162996,FALSE,16.3915821864,FALSE,15.7914831338,FALSE,15.6306582356,FALSE,15.6565128795,FALSE,13.632568906,FALSE,12.6178450677,FALSE,13.0925584117,FALSE,13.9530581937,FALSE,14.3058149732,FALSE,16.1070501039,FALSE,19.3441645812,FALSE,15.1615684664,FALSE,15.0218176664,TRUE
