"series","country-year"
"id","oda-per-poor-person"
"type","simple"
"parent",
"name","ODA per person living under $1.25 a day"
"columns","id, year, value"
"description","Gross ODA received per person living under $1.25 a day"
"default-scale","log"
"theme","official"
"theme-order","4"
"global-picture-color-ramp","darkpurple"
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","highisbetter"
"range","100, 250, 1000, 5000,500000"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
