"id","out-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","out-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","out-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","out-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","out-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","out-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","out-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","out-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","out-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","out-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","out-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","out-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","out-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","out-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"AU",1576950000,226610000,108150000,168360000,246300000,98600000,142970000,236600000,37930000,248090000,265920000,11430000,179100000,326190000,84010000,179090000,335740000,59610000,316090000,0,0,387630000,420080000,0,200920000,351020000,0,540650000,4280000,0,318970000,8820000,0,260910000,0,0,326860000,0,0,492930000,0,0
"AT",270870000,147080000,132300000,188140000,4.17e+08,138210000,251160000,309940000,214560000,216560000,157350000,129920000,164270000,437860000,125450000,659210000,296310000,79300000,169470000,678370000,122100000,101590000,740140000,252990000,269460000,171780000,82520000,183810000,226400000,79580000,154200000,309740000,69210000,227120000,198670000,48210000,147710000,99230000,840000,617750000,186820000,86290000
"BE",92130000,107650000,0,71700000,59170000,0,229050000,52580000,0,1367570000,62150000,0,29210000,142210000,0,548810000,83910000,0,33950000,533120000,0,31850000,198100000,0,49930000,181780000,0,126160000,37870000,0,19360000,34610000,0,9990000,24030000,0,146760000,91810000,0,187040000,114230000,0
"CA",2364870000,2355470000,32870000,2519900000,2716220000,1258410000,2018320000,2.871e+09,596300000,1251520000,1873100000,508870000,1018850000,2258310000,478410000,1843840000,2596520000,474560000,2836590000,2379190000,485840000,1944780000,1949760000,99900000,3448810000,1634270000,484210000,1828010000,3228250000,400360000,3586720000,2124790000,231110000,10580610000,10247900000,1063980000,3996690000,2370880000,282960000,3228360000,2070170000,338200000
"DK",16200000,2.1e+07,5700000,12200000,19540000,7080000,15110000,20750000,3270000,71490000,13770000,7240000,58910000,33160000,6460000,31560000,41520000,7160000,55470000,146790000,12500000,30830000,153920000,15930000,48340000,123440000,12540000,36750000,30470000,14420000,39450000,73200000,5850000,43160000,33200000,8550000,37110000,31590000,8770000,44530000,36760000,7340000
"FI",3610000,0,2660000,14090000,5560000,3390000,7210000,2010000,3510000,27800000,18510000,3290000,17560000,20880000,2190000,0,0,0,0,0,0,100380000,0,5850000,36790000,15380000,0,142950000,9220000,4650000,52090000,7780000,5700000,1068330000,28300000,7800000,14210000,4840000,3270000,23790000,53200000,6930000
"FR",607950000,583640000,0,640380000,708030000,0,1430030000,401560000,0,5609830000,1893870000,258860000,485370000,741230000,87460000,2197030000,3811710000,96600000,350870000,2988290000,1241230000,226300000,1413600000,472810000,896490000,1109630000,395060000,927170000,645030000,4.13e+08,801790000,1373510000,436350000,1199310000,1265600000,348810000,1272330000,1800650000,580400000,1437130000,797150000,683900000
"DE",1783150000,2506660000,1644010000,954360000,2024440000,1042770000,8017480000,2405390000,811410000,-1362510000,3085730000,724930000,1035860000,2216220000,650690000,12171020000,4300940000,226850000,126600000,6434690000,457530000,1430370000,3939740000,572840000,2554590000,2986810000,970200000,1557360000,1378310000,402810000,1308280000,1714720000,447270000,1389870000,1774110000,579740000,1288400000,2134130000,478370000,1160050000,1507130000,380300000
"GR",4640000,0,0,0,0,0,0,0,0,0,0,0,4300000,0,0,0,0,0,9420000,0,0,3610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT",185040000,370860000,0,111070000,12990000,5570000,417540000,1029320000,0,550360000,932120000,0,2402380000,1800410000,771610000,106940000,1419730000,608470000,181190000,1268070000,543450000,140180000,405460000,173790000,973680000,589460000,250790000,41440000,110250000,47240000,56280000,207060000,68790000,169390000,370310000,158710000,197600000,1450000,0,153530000,0,0
