"id","entity-name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"AU","Australia",2654330000,2544700000,2660620000,2678470000,2728330000,2902570000,3532970000,3843080000,4048860000,3992960000,4459300000,4967350000,5514610000,5235820000
"AT","Austria",751360000,1103840000,846440000,724440000,841850000,1854650000,1713880000,1876020000,1676800000,1122640000,1222150000,1049970000,1113480000,1117840000
"BE","Belgium",1497030000,1587620000,1855340000,2579050000,1878080000,2387590000,2322840000,2074920000,2332710000,2604350000,3080730000,2844980000,2359230000,2246250000
"BG","Bulgaria",0,0,0,0,0,0,0,0,0,0,42050000,47230000,39950000,49600000
"CA","Canada",3458270000,3120980000,4087390000,4107050000,4105990000,5319220000,4781870000,4850880000,5484100000,4971550000,5689420000,5540640000,5697890000,5087680000
"HR","Croatia",0,0,0,0,0,0,0,0,0,0,0,0,21360000,45040000
"CY","Cyprus",0,0,0,0,0,17870000,30080000,37250000,38070000,47670000,53140000,36720000,25080000,20370000
"CZ","Czech Republic",38520000,59340000,85490000,145020000,152190000,177730000,198450000,191820000,224190000,206770000,223800000,230260000,219620000,207860000
"DK","Denmark",3102620000,3116670000,2916550000,2659320000,2629800000,2650060000,2738220000,2823640000,2765980000,2822200000,2948380000,2840610000,2812370000,2959070000
"EE","Estonia",1280000,1160000,2680000,1880000,7300000,13420000,18050000,17060000,20690000,18220000,19380000,23130000,23240000,28510000
"FI","Finland",634020000,666470000,736540000,740540000,823970000,1080550000,979630000,1021580000,1120760000,1263950000,1368130000,1356520000,1322430000,1366540000
"FR","France",8447640000,8690520000,10659520000,11919380000,11358910000,13144710000,13588130000,11396040000,11503220000,13419820000,14253900000,13303380000,13506690000,12242060000
"DE","Germany",9198840000,9446180000,10076760000,10008670000,10049520000,12935170000,13269400000,13598940000,14935480000,12781490000,14340770000,14629300000,14569650000,15376850000
"GR","Greece",416200000,374740000,471860000,496700000,388650000,456840000,487260000,510630000,649800000,568240000,493930000,389590000,327390000,236740000
"HU","Hungary",0,0,0,29440000,83530000,114910000,174350000,99920000,93810000,113640000,111950000,128890000,118380000,123430000
"IS","Iceland",10430000,13460000,15530000,18040000,19390000,21650000,33700000,33950000,43270000,38530000,29830000,24430000,26130000,32980000
"IE","Ireland",388750000,462270000,577900000,588480000,630550000,728860000,992430000,1043820000,1135700000,926570000,880350000,850140000,808370000,816230000
"IL","Israel",215910000,123130000,188520000,155340000,114620000,129350000,118960000,135500000,143940000,135710000,148860000,199130000,181190000,184840000
"IT","Italy",2871590000,3258210000,4187460000,3571930000,3266930000,6141700000,4546360000,4364550000,4799370000,3320730000,3181350000,4350340000,2837010000,3326720000
"JP","Japan",18777030000,16590750000,16821500000,16804070000,19813830000,23523240000,23050240000,18745300000,21457550000,18320720000,20177700000,19792490000,18662120000,27688090000
"KW","Kuwait",655050000,608810000,489440000,635680000,576710000,660220000,541440000,522200000,674670000,554330000,640610000,483490000,451660000,495100000
"LV","Latvia",0,0,2300000,1170000,10140000,12630000,13660000,16890000,22190000,21990000,16220000,18680000,21110000,23700000
"LI","Liechtenstein",0,0,0,0,0,0,0,19220000,24090000,27520000,27660000,30710000,28600000,28240000
"LT","Lithuania",0,2770000,2500000,2530000,11030000,18400000,2.9e+07,50890000,48640000,37960000,38140000,50450000,51910000,50370000
"LU","Luxembourg",255270000,296620000,291710000,303470000,329400000,342030000,359690000,410590000,428630000,440190000,419600000,390830000,401890000,405630000
"MT","Malta",0,0,0,0,0,0,0,0,0,14360000,14330000,19480000,18580000,18240000
"NL","Netherlands",5665650000,5744040000,5478070000,5284330000,5511460000,5827930000,6150230000,6339410000,6553650000,6238920000,6432340000,6142520000,5629290000,5350790000
"NZ","New Zealand",2.71e+08,276650000,271340000,289090000,313420000,372180000,371500000,388910000,432660000,424070000,390830000,431270000,449130000,440670000
"NO","Norway",3119400000,3334040000,3797060000,3943390000,3810050000,4237220000,4087840000,4595090000,4328830000,5128260000,4974400000,4699840000,4849450000,5623980000
"PL","Poland",52980000,59450000,23260000,42100000,163660000,246350000,344070000,362750000,315180000,388750000,375940000,396660000,438700000,473820000
"PT","Portugal",734980000,471380000,518890000,418590000,1197040000,431740000,436870000,461710000,567320000,508980000,664140000,687370000,618630000,504560000
"QA","Qatar",848624,1579139,0,20358067,0,54186589,5211879,213892,2692649,13579173,2118669,12133437,104942844,69172972
"RO","Romania",0,0,0,0,0,0,0,0,124940000,159960000,118620000,159930000,142410000,133780000
"RU","Russian Federation",0,0,0,0,0,0,0,0,0,0,578800000,538720000,465010000,688200000
"SA","Saudi Arabia",647790000,772980000,3979980000,3355970000,2248710000,1216780000,2450530000,1767460000,5163990000,3403860000,3628370000,5114260000,1436180000,5819660000
"SK","Slovakia",15740000,22130000,16070000,28030000,43460000,82360000,74110000,74410000,86820000,72020000,73620000,80510000,79680000,82250000
