"id-from","entity-from-name","id-to","entity-to-name","year","value"
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2002,20920000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2003,1300000
"ida","IDA","AF","Afghanistan",2003,33410000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2004,1310000
"ida","IDA","AF","Afghanistan",2004,3050000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2005,1260000
"ida","IDA","AF","Afghanistan",2005,2980000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2006,1140000
"ida","IDA","AF","Afghanistan",2006,2910000
"islamic-dev-bank","Islamic Dev Bank","AF","Afghanistan",2006,440000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2007,1360000
"ida","IDA","AF","Afghanistan",2007,1560000
"islamic-dev-bank","Islamic Dev Bank","AF","Afghanistan",2007,50000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2008,890000
"ida","IDA","AF","Afghanistan",2008,420000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2009,470000
"ida","IDA","AF","Afghanistan",2009,450000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2010,1e+06
"ida","IDA","AF","Afghanistan",2010,0
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2011,850000
"FR","France","AF","Afghanistan",2011,190000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2012,930000
"FR","France","AF","Afghanistan",2012,350000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AF","Afghanistan",2012,3750000
"islamic-dev-bank","Islamic Dev Bank","AF","Afghanistan",2012,840000
"asdb-special-funds","AsDB Special Funds","AF","Afghanistan",2013,2920000
"FR","France","AF","Afghanistan",2013,310000
"ida","IDA","AF","Afghanistan",2013,1300000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AF","Afghanistan",2013,12590000
"badea","BADEA","africa","Africa, regional",2000,1e+06
"DE","Germany","africa","Africa, regional",2000,1920000
"EU","European Union","africa","Africa, regional",2000,10930000
"FR","France","africa","Africa, regional",2000,61530000
"FR","France","africa","Africa, regional",2001,46560000
"afdf","AfDF","africa","Africa, regional",2002,4290000
"FR","France","africa","Africa, regional",2002,33780000
"DE","Germany","africa","Africa, regional",2003,160000
"FR","France","africa","Africa, regional",2003,27830000
"DE","Germany","africa","Africa, regional",2004,1810000
"FR","France","africa","Africa, regional",2004,5790000
"DE","Germany","africa","Africa, regional",2005,26520000
"FR","France","africa","Africa, regional",2005,2880000
"GB","United Kingdom","africa","Africa, regional",2005,111210000
"DE","Germany","africa","Africa, regional",2006,9470000
"GB","United Kingdom","africa","Africa, regional",2006,34860000
"DE","Germany","africa","Africa, regional",2007,7860000
"DK","Denmark","africa","Africa, regional",2007,1050000
"GB","United Kingdom","africa","Africa, regional",2007,14310000
"DE","Germany","africa","Africa, regional",2008,2490000
"DK","Denmark","africa","Africa, regional",2008,580000
"GB","United Kingdom","africa","Africa, regional",2008,32940000
"afdf","AfDF","africa","Africa, regional",2009,940000
"DE","Germany","africa","Africa, regional",2009,6480000
"DK","Denmark","africa","Africa, regional",2009,440000
"GB","United Kingdom","africa","Africa, regional",2009,115880000
"afdf","AfDF","africa","Africa, regional",2010,480000
"DE","Germany","africa","Africa, regional",2010,25980000
"DK","Denmark","africa","Africa, regional",2010,1340000
"GB","United Kingdom","africa","Africa, regional",2010,53550000
"afdf","AfDF","africa","Africa, regional",2011,180000
"DE","Germany","africa","Africa, regional",2011,13160000
"DK","Denmark","africa","Africa, regional",2011,370000
"GB","United Kingdom","africa","Africa, regional",2011,4940000
"ida","IDA","africa","Africa, regional",2011,80000
"nordic-dev-fund","Nordic Dev.Fund","africa","Africa, regional",2011,740000
"afdf","AfDF","africa","Africa, regional",2012,320000
"DE","Germany","africa","Africa, regional",2012,10120000
"DK","Denmark","africa","Africa, regional",2012,1410000
"GB","United Kingdom","africa","Africa, regional",2012,8330000
"ida","IDA","africa","Africa, regional",2012,150000
"NO","Norway","africa","Africa, regional",2012,1020000
"nordic-dev-fund","Nordic Dev.Fund","africa","Africa, regional",2012,7e+05
"afdf","AfDF","africa","Africa, regional",2013,420000
"DE","Germany","africa","Africa, regional",2013,24800000
"DK","Denmark","africa","Africa, regional",2013,2220000
"EU","European Union","africa","Africa, regional",2013,38280000
"GB","United Kingdom","africa","Africa, regional",2013,6460000
"ida","IDA","africa","Africa, regional",2013,150000
"NO","Norway","africa","Africa, regional",2013,8950000
"nordic-dev-fund","Nordic Dev.Fund","africa","Africa, regional",2013,730000
"DE","Germany","AL","Albania",2000,290000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2000,11010000
"KW","Kuwait","AL","Albania",2000,1710000
"ofid","OFID","AL","Albania",2000,760000
"DE","Germany","AL","Albania",2001,390000
"EU","European Union","AL","Albania",2001,1070000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2001,12490000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2001,1030000
"IT","Italy","AL","Albania",2001,90000
"JP","Japan","AL","Albania",2001,30000
"KW","Kuwait","AL","Albania",2001,1770000
"ofid","OFID","AL","Albania",2001,1580000
"DE","Germany","AL","Albania",2002,510000
"ida","IDA","AL","Albania",2002,610000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2002,12220000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2002,680000
"IT","Italy","AL","Albania",2002,5010000
"JP","Japan","AL","Albania",2002,60000
"KW","Kuwait","AL","Albania",2002,1700000
"ofid","OFID","AL","Albania",2002,1520000
"DE","Germany","AL","Albania",2003,7e+05
"ida","IDA","AL","Albania",2003,1900000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2003,12670000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2003,640000
"IT","Italy","AL","Albania",2003,5500000
"JP","Japan","AL","Albania",2003,60000
"KW","Kuwait","AL","Albania",2003,2240000
"ofid","OFID","AL","Albania",2003,1880000
"DE","Germany","AL","Albania",2004,2460000
"ida","IDA","AL","Albania",2004,3120000
"ifad","IFAD","AL","Albania",2004,370000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2004,11530000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2004,2860000
"IT","Italy","AL","Albania",2004,5370000
"JP","Japan","AL","Albania",2004,1260000
"KW","Kuwait","AL","Albania",2004,2070000
"DE","Germany","AL","Albania",2005,940000
"GR","Greece","AL","Albania",2005,210000
"ida","IDA","AL","Albania",2005,4940000
"ifad","IFAD","AL","Albania",2005,710000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2005,10800000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2005,2550000
"IT","Italy","AL","Albania",2005,5360000
"JP","Japan","AL","Albania",2005,1760000
"KW","Kuwait","AL","Albania",2005,2040000
"ofid","OFID","AL","Albania",2005,2120000
"DE","Germany","AL","Albania",2006,890000
"ida","IDA","AL","Albania",2006,5640000
"ifad","IFAD","AL","Albania",2006,680000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2006,12940000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2006,2440000
"IT","Italy","AL","Albania",2006,7140000
"JP","Japan","AL","Albania",2006,3110000
"KW","Kuwait","AL","Albania",2006,2770000
"ofid","OFID","AL","Albania",2006,2070000
"DE","Germany","AL","Albania",2007,790000
"ida","IDA","AL","Albania",2007,5900000
"ifad","IFAD","AL","Albania",2007,660000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2007,15380000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2007,2090000
"IT","Italy","AL","Albania",2007,5420000
"JP","Japan","AL","Albania",2007,3970000
"KW","Kuwait","AL","Albania",2007,2580000
"ofid","OFID","AL","Albania",2007,2e+06
"DE","Germany","AL","Albania",2008,2530000
"ida","IDA","AL","Albania",2008,7230000
"ifad","IFAD","AL","Albania",2008,590000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2008,15460000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2008,1470000
"IT","Italy","AL","Albania",2008,6630000
"JP","Japan","AL","Albania",2008,4030000
"KW","Kuwait","AL","Albania",2008,2590000
"ofid","OFID","AL","Albania",2008,1990000
"DE","Germany","AL","Albania",2009,4080000
"ida","IDA","AL","Albania",2009,9280000
"ifad","IFAD","AL","Albania",2009,650000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2009,14690000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2009,2230000
"IT","Italy","AL","Albania",2009,7080000
"JP","Japan","AL","Albania",2009,4050000
"KW","Kuwait","AL","Albania",2009,2510000
"ofid","OFID","AL","Albania",2009,2250000
"DE","Germany","AL","Albania",2010,10060000
"ida","IDA","AL","Albania",2010,11330000
"ifad","IFAD","AL","Albania",2010,1140000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2010,12590000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2010,3180000
"IT","Italy","AL","Albania",2010,7050000
"JP","Japan","AL","Albania",2010,4140000
"KW","Kuwait","AL","Albania",2010,2490000
"ofid","OFID","AL","Albania",2010,2430000
"DE","Germany","AL","Albania",2011,10270000
"ES","Spain","AL","Albania",2011,1160000
"EU","European Union","AL","Albania",2011,770000
"ida","IDA","AL","Albania",2011,11810000
"ifad","IFAD","AL","Albania",2011,1120000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2011,10990000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2011,3120000
"IT","Italy","AL","Albania",2011,7790000
"JP","Japan","AL","Albania",2011,4220000
"KW","Kuwait","AL","Albania",2011,3210000
"ofid","OFID","AL","Albania",2011,1960000
"DE","Germany","AL","Albania",2012,11880000
"ES","Spain","AL","Albania",2012,1540000
"EU","European Union","AL","Albania",2012,1580000
"ida","IDA","AL","Albania",2012,13500000
"ifad","IFAD","AL","Albania",2012,1100000
