"id","currency.2000","budget-type.2000","l1.2000","l2.2000","l3.2000","l4.2000","l5.2000","l6.2000","value.2000","currency.2001","budget-type.2001","l1.2001","l2.2001","l3.2001","l4.2001","l5.2001","l6.2001","value.2001","currency.2002","budget-type.2002","l1.2002","l2.2002","l3.2002","l4.2002","l5.2002","l6.2002","value.2002","currency.2003","budget-type.2003","l1.2003","l2.2003","l3.2003","l4.2003","l5.2003","l6.2003","value.2003","currency.2004","budget-type.2004","l1.2004","l2.2004","l3.2004","l4.2004","l5.2004","l6.2004","value.2004","currency.2005","budget-type.2005","l1.2005","l2.2005","l3.2005","l4.2005","l5.2005","l6.2005","value.2005","currency.2006","budget-type.2006","l1.2006","l2.2006","l3.2006","l4.2006","l5.2006","l6.2006","value.2006","currency.2007","budget-type.2007","l1.2007","l2.2007","l3.2007","l4.2007","l5.2007","l6.2007","value.2007","currency.2008","budget-type.2008","l1.2008","l2.2008","l3.2008","l4.2008","l5.2008","l6.2008","value.2008","currency.2009","budget-type.2009","l1.2009","l2.2009","l3.2009","l4.2009","l5.2009","l6.2009","value.2009","currency.2010","budget-type.2010","l1.2010","l2.2010","l3.2010","l4.2010","l5.2010","l6.2010","value.2010","currency.2011","budget-type.2011","l1.2011","l2.2011","l3.2011","l4.2011","l5.2011","l6.2011","value.2011","currency.2012","budget-type.2012","l1.2012","l2.2012","l3.2012","l4.2012","l5.2012","l6.2012","value.2012","currency.2013","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","currency.2014","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","currency.2015","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","currency.2016","budget-type.2016","l1.2016","l2.2016","l3.2016","l4.2016","l5.2016","l6.2016","value.2016","currency.2017","budget-type.2017","l1.2017","l2.2017","l3.2017","l4.2017","l5.2017","l6.2017","value.2017","currency.2018","budget-type.2018","l1.2018","l2.2018","l3.2018","l4.2018","l5.2018","l6.2018","value.2018","currency.2019","budget-type.2019","l1.2019","l2.2019","l3.2019","l4.2019","l5.2019","l6.2019","value.2019","currency.2020","budget-type.2020","l1.2020","l2.2020","l3.2020","l4.2020","l5.2020","l6.2020","value.2020"
"UG","Ugandan Shillings","actual","total-revenue-and-grants",,,,,,1.575e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,1.914e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,1.969e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2.264e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2.9183e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3.146e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3.241e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3.624e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3.8e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,4.546e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,5.136e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,7.221e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,7.771e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,8.245e+12,"Ugandan Shillings","budget","total-revenue-and-grants",,,,,,9.6799e+12,"Ugandan Shillings","budget","total-revenue-and-grants",,,,,,1.08685e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,1.1872e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,1.351e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,1.5537e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,1.7726e+13,,,,,,,,,
"MZ","Meticais","actual","total-revenue-and-grants",,,,,,,"Meticais","actual","total-revenue-and-grants",,,,,,,"Meticais","actual","total-revenue-and-grants",,,,,,2.2077e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2.5555e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2.6891e+10,"Meticais","actual","total-revenue-and-grants",,,,,,3.1393e+10,"Meticais","actual","total-revenue-and-grants",,,,,,4.6121e+10,"Meticais","actual","total-revenue-and-grants",,,,,,5.233e+10,"Meticais","actual","total-revenue-and-grants",,,,,,6.091e+10,"Meticais","actual","total-revenue-and-grants",,,,,,7.203e+10,"Meticais","actual","total-revenue-and-grants",,,,,,8.996e+10,"Meticais","actual","total-revenue-and-grants",,,,,,1.044e+11,"Meticais","actual","total-revenue-and-grants",,,,,,1.167e+11,"Meticais","actual","total-revenue-and-grants",,,,,,1.515e+11,"Meticais","proj","total-revenue-and-grants",,,,,,1.649e+11,"Meticais","proj","total-revenue-and-grants",,,,,,1.722e+11,"Meticais","proj","total-revenue-and-grants",,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,
"BD","Taka","actual","total-revenue-and-grants",,,,,,,"Taka","actual","total-revenue-and-grants",,,,,,,"Taka","actual","total-revenue-and-grants",,,,,,2.768e+11,"Taka","actual","total-revenue-and-grants",,,,,,3.097e+11,"Taka","actual","total-revenue-and-grants",,,,,,3.39e+11,"Taka","actual","total-revenue-and-grants",,,,,,3.892e+11,"Taka","actual","total-revenue-and-grants",,,,,,4.44e+11,"Taka","actual","total-revenue-and-grants",,,,,,5.11e+11,"Taka","actual","total-revenue-and-grants",,,,,,6.15e+11,"Taka","actual","total-revenue-and-grants",,,,,,6.67e+11,"Taka","actual","total-revenue-and-grants",,,,,,7.99e+11,"Taka","actual","total-revenue-and-grants",,,,,,9.49e+11,"Taka","actual","total-revenue-and-grants",,,,,,1.187e+12,"Taka","actual","total-revenue-and-grants",,,,,,1.34e+12,"Taka","proj","total-revenue-and-grants",,,,,,1.551e+12,"Taka","proj","total-revenue-and-grants",,,,,,1.794e+12,"Taka","proj","total-revenue-and-grants",,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,
"KE","Kenyan shillings","actual","total-revenue-and-grants",,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,3.047e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,3.314e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,3.885e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,4.581e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,5.08e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,5.688e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,6.863e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,7.635e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,8.682e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,9.944e+11,"Kenyan shillings","budget","total-revenue-and-grants",,,,,,1.2384e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,1.3638e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,1.5558e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,1.7852e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,2.0164e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,
"RW","Rwandan francs","actual","total-revenue-and-grants",,,,,,,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1.482e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1.603e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1.955e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,2.726e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,3.494e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,3.76e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,3.88e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,5.182e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,6.707e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,8.007e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,8.442e+11,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.0491e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.1013e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.3364e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.3947e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.4832e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.6283e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1.8307e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,,"Rwandan francs","proj","total-revenue-and-grants",,,,,,
"CD","Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,8.77e+11,"Congo francs","actual","total-revenue-and-grants",,,,,,1.356e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,2.206e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,3.929e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,3.94e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,5.069e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,4.796e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,5.293e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,6.186e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,7.355e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,8.271e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,9.209e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,1.013e+13,"Congo francs","proj","total-revenue-and-grants",,,,,,
"LR","US dollars","actual","total-revenue-and-grants",,,,,,85300000,"US dollars","actual","total-revenue-and-grants",,,,,,69500000,"US dollars","actual","total-revenue-and-grants",,,,,,72700000,"US dollars","actual","total-revenue-and-grants",,,,,,56600000,"US dollars","actual","total-revenue-and-grants",,,,,,5.9e+07,"US dollars","actual","total-revenue-and-grants",,,,,,80300000,"US dollars","actual","total-revenue-and-grants",,,,,,85600000,"US dollars","actual","total-revenue-and-grants",,,,,,148300000,"US dollars","actual","total-revenue-and-grants",,,,,,206900000,"US dollars","actual","total-revenue-and-grants",,,,,,234900000,"US dollars","actual","total-revenue-and-grants",,,,,,2.88e+08,"US dollars","actual","total-revenue-and-grants",,,,,,374900000,"US dollars","actual","total-revenue-and-grants",,,,,,458900000,"US dollars","actual","total-revenue-and-grants",,,,,,5.55e+08,"US dollars","actual","total-revenue-and-grants",,,,,,5.45e+08,"US dollars","proj","total-revenue-and-grants",,,,,,4.84e+08,"US dollars","proj","total-revenue-and-grants",,,,,,5.26e+08,"US dollars","proj","total-revenue-and-grants",,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,
"NP","Nepalese rupees","actual","total-revenue-and-grants",,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,6.57e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,7.18e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,8.33e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,8.46e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,1.02e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,1.253e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,1.638e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2.147e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2.42e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2.85e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3.27e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,4.07e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,4.65e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,
"SN","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,6.263e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,6.644e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.267e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.98e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,8.75e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,9.56e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.036e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.277e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.293e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.305e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.398e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.526e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.67e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,1.813e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,1.891e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,1.978e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2.107e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2.279e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2.478e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2.735e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,
"ET","birr","actual","total-revenue-and-grants",,,,,,1.1222e+10,"birr","actual","total-revenue-and-grants",,,,,,1.2804e+10,"birr","actual","total-revenue-and-grants",,,,,,1.2832e+10,"birr","actual","total-revenue-and-grants",,,,,,1.5703e+10,"birr","actual","total-revenue-and-grants",,,,,,1.7919e+10,"birr","actual","total-revenue-and-grants",,,,,,2.0147e+10,"birr","actual","total-revenue-and-grants",,,,,,2.4251e+10,"birr","actual","total-revenue-and-grants",,,,,,2.9381e+10,"birr","actual","total-revenue-and-grants",,,,,,3.9705e+10,"birr","actual","total-revenue-and-grants",,,,,,5.4627e+10,"birr","actual","total-revenue-and-grants",,,,,,6.6237e+10,"birr","actual","total-revenue-and-grants",,,,,,8.5611e+10,"birr","actual","total-revenue-and-grants",,,,,,1.15659e+11,"birr","actual","total-revenue-and-grants",,,,,,1.37192e+11,"birr","actual","total-revenue-and-grants",,,,,,1.56344e+11,"birr","proj","total-revenue-and-grants",,,,,,1.88283e+11,"birr","proj","total-revenue-and-grants",,,,,,2.21185e+11,"birr","proj","total-revenue-and-grants",,,,,,2.58074e+11,"birr","proj","total-revenue-and-grants",,,,,,3.0593e+11,"birr","proj","total-revenue-and-grants",,,,,,3.62995e+11,"birr","proj","total-revenue-and-grants",,,,,,
