"district_id","2013","2014","2015","2016","2017"
"d314",81,81,,72,75
"d301",85,88,,89,90
"d322",72,71,,69,70
"d323",77,75,,69,70
"d315",78,80,,81,82
"d324",93,98,,82,75
"d216",88,88,,89,94
"d316",71,73,,76,79
"d302",77,79,,84,79
"d303",89,86,,86,86
"d217",92,92,,94,95
"d218",88,95,,91,91
"d201",90,86,,93,93
"d420",85,88,,94,94
"d117",88,88,,89,89
"d219",88,86,,90,91
"d118",74,66,,96,86
"d220",85,95,,94,86
"d225",88,90,,84,85
"d416",84,73,,73,75
"d401",85,89,,88,74
"d402",83,84,,89,90
"d202",87,83,,86,94
"d221",92,91,,89,90
"d119",81,82,,81,78
"d120",84,87,,90,89
"d226",90,93,,90,91
"d317",81,83,,85,81
"d121",86,84,,79,74
"d304",84,85,,88,75
"d403",87,90,,85,84
"d417",78,79,,88,79
"d203",92,92,,93,94
"d418",96,94,,99,97
"d204",88,87,,85,85
"d318",91,93,,75,74
"d404",88,89,,86,85
"d405",82,78,,84,83
"d213",85,90,,83,87
"d101",89,86,,89,90
"d222",97,94,,94,94
"d122",70,58,,65,82
"d102",,,,,
"d205",90,90,,88,89
"d413",80,82,,91,84
"d414",82,83,,91,93
"d206",86,92,,84,93
"d406",85,86,,93,79
"d207",95,93,,93,93
"d112",80,83,,86,86
"d407",86,87,,90,84
"d103",70,73,,67,70
"d227",93,91,,90,91
"d419",91,91,,92,87
"d421",84,85,,85,84
"d408",88,90,,93,89
"d305",55,60,,59,59
"d319",94,95,,89,90
"d325",67,65,,77,80
"d306",78,75,,59,72
"d208",90,87,,85,86
"d228",91,93,,90,91
"d123",89,90,,93,83
"d422",75,75,,74,74
"d415",78,76,,77,77
"d326",82,83,,83,78
"d307",74,82,,75,84
"d229",93,94,,97,97
"d104",77,89,,95,84
"d124",74,83,,79,79
"d114",85,86,,93,93
"d223",94,95,,95,95
"d320",89,84,,84,84
"d105",62,67,,74,78
"d409",84,86,,90,88
"d214",86,87,,88,88
"d209",89,90,,89,86
"d410",94,94,,94,94
"d423",93,87,,91,92
"d115",72,78,,75,66
"d308",89,81,,77,80
"d309",88,84,,80,81
"d106",77,77,,78,71
"d107",86,87,,91,87
"d108",85,85,,86,86
"d311",86,88,,74,73
"d116",84,75,,79,73
"d109",66,67,,67,80
"d230",74,73,,78,79
"d224",97,95,,94,87
"d327",74,73,,58,61
"d310",68,70,,76,75
"d231",94,95,,98,89
"d424",54,55,,73,68
"d411",78,79,,82,82
"d328",77,76,,75,76
"d329",81,81,,82,83
"d321",81,81,,88,90
"d312",78,83,,79,80
"d210",91,97,,94,94
"d110",78,80,,75,78
"d425",95,95,,95,95
"d412",78,78,,86,86
"d111",79,80,,85,87
"d232",88,88,,93,94
"d426",89,94,,85,88
"d215",89,91,,92,92
"d211",89,90,,88,88
"d212",94,94,,94,86
"d113",81,81,,84,83
"d313",95,97,,79,80
"d330",79,82,,85,83
