"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"BF",5429017,5857981,320946,5580524,6041132,324421,5737896,6230098,328403,5900765,6425321,333000,6068546,6627406,338306,6240651,6836893,344385,6416924,7053999,351334,6596995,7278947,359130,6779780,7512311,367553,6963927,7754749,376291,7148366,8006785,385133,7332566,8268703,394045,7516387,8540619,403134,7712086,8808536,414217
"BD",48950877,78061666,5370723,49074773,80131362,5523369,49161968,82166352,5677962,49202435,84149218,5834332,49182015,86060649,5992371,49092346,87890900,6151938,48930064,89625114,6313521,48703964,91276050,6477059,48432844,92895797,6641321,48142435,94555994,6804675,47852122,96307059,6966295,47570603,98164348,7127484,47296021,100109284,7290069,46976764,102133728,7484470
"BG",1280565,5534864,1354743,1220843,5453119,1346318,1162034,5371746,1334687,1121609,5362677,1339268,1086187,5351450,1343524,1057375,5334503,1348022,1035636,5310625,1352759,1005313,5202259,1337765,994176,5156942,1341442,987982,5108733,1347726,984912,5054515,1356172,985012,4995692,1367623,988538,4934970,1382379,994213,4867834,1403067
"BH",206132,445820,16287,213464,468412,16872,220517,494549,17476,226958,526972,18129,232403,569228,18872,236650,623152,19732,239321,690907,20729,240627,769882,21844,241682,851316,23042,244017,923266,24254,248653,977421,25439,256079,1010035,26652,265735,1024164,27926,279621,1022723,29827
"BS",87170,194650,15939,86674,199580,16751,86107,205284,17648,85482,211544,18597,84816,218033,19548,84126,224490,20472,83430,230843,21352,82752,237093,22202,82116,243150,23074,81551,248924,24017,81081,254336,25081,80702,259352,26275,80425,263941,27595,80483,267844,29047
"BA",773038,2650723,410603,773808,2671376,434168,767968,2674292,455319,757228,2664112,474441,744878,2649467,492378,733277,2636830,509721,722679,2625930,526551,711845,2614373,542447,699985,2604255,556959,685944,2598041,569463,669038,2597278,579613,649037,2603087,587196,626695,2614603,592620,601646,2631200,596461
"BY",1864910,6796332,1343759,1780801,6786532,1360667,1700986,6781299,1382715,1625022,6769038,1402937,1557615,6756396,1415986,1501323,6744148,1417530,1458705,6738099,1407192,1430331,6741433,1388233,1414342,6749261,1364397,1408267,6757178,1341553,1409121,6757668,1323211,1415868,6746957,1310175,1429469,6731682,1302848,1448597,6708895,1308508
"BZ",95943,132434,10209,97437,137377,10384,98895,142293,10578,100323,147246,10777,101724,152351,10968,103098,157680,11142,104450,163241,11295,105771,168984,11438,107049,174902,11591,108266,180967,11783,109412,187150,12033,110479,193450,12351,111476,199851,12734,112379,206326,13195
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BO",3382417,4758010,354844,3430331,4872567,366172,3476120,4989403,377829,3518314,5108758,389718,3554947,5230986,401678,3584819,5356265,413625,3607236,5484643,425514,3623189,5615811,437454,3635235,5749171,449693,3646929,5883905,462576,3660873,6019382,476346,3678121,6155208,491113,3698111,6291353,506822,3719968,6427948,523284
"BR",51647260,113277247,9580400,51557675,115477141,9933392,51516062,117566041,10311661,51490517,119556770,10705671,51435150,121473559,11101575,51316020,123335929,11490456,51124279,125140610,11869428,50867779,126884240,12244966,50549792,128586778,12628992,50178888,130273810,13038217,49762553,131962285,13485311,49304498,133656425,13974210,48805729,135346917,14503377,48256432,137026897,15078596
