"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"HK",1152195,4781407,731399,1123543,4837087,753669,1087161,4883035,773907,1041304,4900855,788641,1005804,4968029,809667,969341,5017910,825949,938492,5077193,841418,913197,5146157,856940,889555,5197820,870425,866844,5222537,883419,853017,5265286,905897,843179,5294875,933547,842274,5341020,971308,842545,5338514,1006441
"HN",2643065,3348297,244199,2668421,3443957,252661,2691574,3543130,261095,2712420,3646287,269463,2730763,3753945,277719,2746585,3866385,285855,2759849,3983693,293887,2771027,4105498,301910,2781242,4231017,310112,2791953,4359157,318734,2804228,4488987,327989,2818466,4620270,337932,2834478,4752743,348625,2853268,4884509,359911
"HR",759489,2977999,688511,750712,2982113,707173,739580,2977768,722655,728835,2974623,736541,718755,2972245,748001,710427,2974034,757539,702608,2974092,763302,695666,2974111,766218,689846,2976147,768514,683467,2974594,771016,675797,2967159,774825,648364,2873085,759170,639456,2860352,767747,632838,2842232,777630
"HT",3458838,4777192,342204,3474497,4895617,350134,3488844,5012547,358245,3502135,5127375,366721,3514470,5239655,375811,3525960,5349254,385665,3536871,5455306,396466,3547465,5558182,408070,3557807,5660539,419912,3567902,5766034,431217,3577745,5877168,441487,3587373,5995050,450439,3596817,6118572,458385,3606615,6244812,466034
"HU",1717278,6946990,1546703,1687407,6944685,1555483,1655334,6942025,1561249,1622810,6940443,1566303,1592256,6941139,1573751,1564065,6938623,1584377,1538454,6933596,1599320,1514671,6923716,1617394,1493506,6907899,1636784,1476921,6889739,1655991,1464417,6863511,1672095,1456638,6830698,1684390,1450461,6779191,1690708,1452094,6741205,1703948
"ID",64060326,135131715,9746666,64346601,137601231,10022535,64871883,139894191,10272217,65593162,142051539,10500909,66440060,144136478,10717268,67350821,146201116,10928968,68323483,148247724,11138618,69345739,150278639,11348431,70331187,152346517,11565786,71172116,154515418,11799367,71791569,156828038,12056888,72150303,159308557,12342772,72264481,161938743,12660963,72185545,164629967,13050119
"IN",356660754,640122125,45478894,358417085,654139382,46944421,359980473,668264169,48461045,361319979,682453693,50013105,362390066,696656097,51579977,363166568,710829537,53147454,363630312,724936268,54722787,363816557,738964210,56314505,363821102,752927709,57913512,363773425,766856265,59508356,363764460,780760524,61099630,363847858,794637065,62671425,363996089,808440266,64250330,364250394,821843328,66045874
"IE",828514,2549795,426865,827350,2607073,431818,828484,2665901,437561,831680,2721343,443496,840283,2779204,450771,856370,2843352,460193,882143,2919338,472659,914257,2997845,486841,941943,3049148,498455,960605,3067609,507160,973411,3070666,516078,982414,3067526,526854,988183,3059403,539313,993083,3048275,553923
"IR",22850498,40290366,2770187,21924181,42030470,2902970,20872740,43806352,3048183,19800827,45546004,3196342,18848107,47159571,3334443,18115552,48583245,3453588,17640467,49784703,3551412,17398301,50778791,3632130,17350371,51608826,3701687,17430385,52343504,3769065,17585545,53034970,3841798,17806789,53696772,3920722,18098797,54318863,4006778,18440404,54912946,4093818
"IQ",10186522,12772045,842589,10442005,13211577,863260,10700595,13653689,883981,10961026,14093834,904670,11221950,14526318,925271,11482325,14948995,945725,11741195,15356377,966522,11998285,15754624,987718,12254120,16167324,1008385,12509677,16626264,1027257,12765553,17153077,1043749,12990405,17715415,1054199,13197093,18320229,1060890,13386280,18963219,1067977
"IS",65453,183175,32577,65631,186218,33121,65524,188492,33508,65283,190417,33823,65143,192722,34209,65438,196438,34859,66210,201762,35811,67109,207577,36880,67602,212023,37790,67164,213099,38237,66534,212879,38628,66340,213341,39335,66412,214038,40265,66846,214786,41370
"IL",1766365,3892283,630351,1804519,3988931,645552,1839472,4072636,657891,1871780,4148956,668961,1902315,4225727,680963,1930330,4304891,694879,1954786,4387581,711336,1976716,4473259,730127,1999327,4559184,750288,2039561,4670732,775308,2076527,4751559,795514,2123261,4827676,814864,2177592,4899067,833843,2235542,4959679,864179
"IT",8155762,38388617,10397730,8121823,38272045,10580231,8101860,38186459,10770692,8111680,38217651,10983874,8143693,38340594,11201039,8168460,38424305,11376719,8181862,38460682,11501435,8215031,38597462,11625813,8263930,38801223,11761576,8298329,38908400,11888634,8322537,38925905,12028976,8337220,38850991,12191241,8360875,38780960,12397881,8410071,38776523,12644499
"JM",845653,1550507,193229,843689,1566168,195698,839204,1578422,197630,834197,1591029,199472,828721,1604183,201244,822720,1617928,202953,816356,1632040,204641,809573,1646569,206336,801873,1662063,207999,792597,1679216,209571,781406,1698361,211056,767887,1719600,212353,752358,1741914,213535,737572,1762653,214775
"JO",1888156,2758870,149974,1925813,2836835,154349,1962498,2917100,158403,1997976,3003486,162537,2028338,3094634,167029,2050736,3188244,172020,2068808,3289329,177863,2082501,3394218,184280,2093852,3501060,191086,2106509,3610299,198194,2121267,3719323,205410,2137976,3830215,212810,2156068,3941512,220418,2198516,4031503,228981
"JP",18553898,86519364,21796738,18336267,86286620,22526114,18148766,86051181,23245059,17982123,85776797,23959079,17803378,85310636,24646987,17637166,84777013,25358815,17481710,84180835,26093458,17343670,83568613,26858460,17205035,82863634,27635370,17063719,82065277,28428962,16933638,81251457,29265366,16870173,80694695,30252409,16727726,79711697,31122069,16619555,78785683,31933383
"KZ",4121491,9753759,1008377,4019503,9815002,1023831,3915020,9886858,1057067,3825449,9984432,1099136,3765583,10111785,1135620,3738480,10253658,1154892,3746100,10408593,1153392,3782391,10566852,1134947,3842776,10723673,1107548,3973507,11021383,1097812,4066133,11169874,1085575,4167058,11302149,1087394,4274635,11416222,1100570,4390397,11512091,1135020
"KE",13816196,16604626,864227,14069674,17168993,887687,14341198,17748720,910608,14635153,18337274,932587,14956235,18925235,953134,15307011,19506581,972125,15688939,20079198,989358,16099126,20647602,1005576,16529967,21220555,1022753,16970925,21810304,1043500,17413340,22426067,1069788,17854642,23070991,1102256,18293665,23743800,1140675,18728333,24438524,1186834
"KG",1713479,2917038,267883,1693428,2978560,273115,1669425,3041732,279543,1646445,3110871,285985,1628402,3186133,290165,1614332,3258561,289707,1606241,3328170,283993,1603012,3391618,273772,1606292,3451048,261359,1619307,3513853,250139,1636875,3569652,241373,1659316,3619494,235789,1693831,3679352,234018,1735891,3744961,238648
"KH",4985133,6768993,468745,4953840,7029029,489718,4926214,7270980,512139,4898513,7500055,535801,4863540,7725496,560348,4817172,7953716,585536,4758013,8185577,611460,4691780,8417235,638273,4629721,8644970,665830,4586785,8863495,693944,4573253,9069107,722571,4593277,9261107,751482,4642630,9441080,780937,4704539,9620578,810052
"KI",33005,46971,2812,33212,48166,2879,33377,49453,2969,33490,50814,3067,33543,52224,3167,33531,53671,3266,33453,55143,3361,33321,56632,3448,33155,58132,3542,32985,59639,3645,32835,61142,3766,32711,62637,3902,32618,64115,4055,32601,65521,4229
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KR",9852494,33705775,3449842,9762265,33947499,3647596,9658797,34110272,3853110,9542325,34251879,4065108,9391900,34374068,4273445,9193760,34474501,4469816,8986074,34713496,4672374,8747588,34980465,4869600,8514693,35356860,5077142,8262438,35645893,5273706,8025239,35911537,5473589,7828748,36255723,5694971,7627035,36470982,5906422,7477037,36630986,6111646
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487912,1169789,118979,,,,,,,,,
"KW",489435,1357256,59540,508366,1407812,64429,525094,1454206,68933,541517,1502234,72604,560953,1560613,74900,585623,1635171,75520,615823,1727497,74126,649931,1833967,71023,686010,1948851,67360,721382,2064001,64718,754092,2173278,64210,783322,2275020,66361,809504,2370199,70793,834677,2455526,78369
"LA",2344103,2850282,193896,2354059,2917644,198467,2354873,2987225,203148,2349721,3061495,207852,2343027,3143623,212462,2338137,3235602,216907,2336352,3338390,221188,2337323,3450567,225388,2340752,3568750,229629,2345742,3688160,234068,2351719,3805139,238855,2358353,3918933,244029,2366253,4029940,249633,2381692,4131688,256347
"LB",926536,2078861,229983,955398,2160747,241454,998890,2262141,254576,1047706,2373609,268796,1088695,2481550,283334,1112610,2576634,297621,1115927,2652458,311441,1102059,2712789,324964,1077144,2770499,338443,1050545,2844087,352295,1029080,2945207,366805,993163,3015656,373974,957435,3088428,379023,930182,3150557,386651
"LR",1250272,1552150,89546,1295666,1610623,92482,1326848,1649765,94060,1350817,1678438,94966,1378248,1710164,96234,1416608,1754596,98582,1468067,1814457,102267,1529219,1886087,106987,1595289,1965186,112239,1659160,2045004,117275,1715697,2120722,121571,1763514,2191214,124968,1804311,2258422,127701,1841553,2322145,130379
"LY",1722805,3250668,202712,1713461,3335539,209678,1707983,3415699,216704,1706371,3492431,223809,1708259,3567729,231011,1713301,3642821,238328,1721516,3719102,245855,1732857,3795650,253601,1746702,3868708,261396,1762227,3933094,269004,1778666,3985636,276310,1795675,4024321,283239,1812832,4051790,289998,1825865,4078391,297265
"LC",50614,94453,11882,50041,96756,11853,49326,99118,11774,48536,101521,11712,47761,103936,11764,47073,106342,11992,46494,108732,12432,46009,111089,13051,45595,113375,13763,45201,115546,14455,44800,117564,15033,44384,119410,15476,43966,121095,15812,43676,122628,15969
"LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",5131528,12774964,1195508,4973945,12624145,1198908,4941695,12742944,1236359,4952908,12933443,1286652,4976026,13120766,1338208,4994409,13265677,1383913,5022699,13408471,1426830,5050833,13522523,1465645,5085175,13626954,1504873,5138714,13758959,1552328,5188474,13860406,1604119,5244809,13959739,1664447,5112838,13545821,1669338,5154515,13590588,1737896
"LS",765241,1007115,83869,766993,1019108,85400,767437,1031268,86781,766863,1043987,87908,765685,1057686,88648,764243,1072666,88935,762660,1089047,88708,760954,1106786,88043,759237,1125801,87166,757606,1145883,86384,756158,1166839,85924,754912,1188742,85859,753960,1211446,86141,754111,1232922,87432
"LT",697719,2316720,485097,671583,2307731,491504,643279,2302269,497521,614196,2298362,502654,584798,2287338,504938,555929,2263515,503085,531447,2238785,499677,512928,2221603,496760,498565,2206176,493491,486442,2187216,489258,471782,2145321,480180,458653,2098892,470571,452007,2070315,465451,448864,2044012,463245
"LU",82652,292239,61410,83673,295366,62489,84446,298133,63599,85208,301599,64822,85966,306091,66041,86624,311452,67081,87141,317618,67874,87463,324113,68413,87962,331639,69049,88619,339304,69864,89448,346571,70935,90869,354854,72624,92680,363517,74750,95144,370801,77258
"LV",422642,1588852,356056,401507,1575383,360281,381080,1563001,366093,362337,1552513,373108,345098,1538856,379165,330645,1524125,384029,319787,1510449,388119,312181,1496756,391391,306565,1478216,392543,301424,1449987,390259,296906,1415285,385364,294984,1384199,380527,296411,1360932,376975,298604,1340886,373896
"MO",98623,301469,31815,95816,309988,32276,92402,318995,32756,88605,328862,33246,84713,340098,33730,80971,352960,34218,77450,367652,34706,74200,383759,35247,71415,400152,35960,69305,415307,37006,68018,428108,38500,67631,438153,40494,68109,445699,42975,70029,450226,46120
"MF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",9776386,17591266,1342471,9677106,17963679,1380373,9578941,18316812,1415691,9480745,18658261,1447933,9379718,18999651,1476448,9275346,19349112,1500987,9165335,19707674,1522088,9055130,20071328,1540627,8960980,20436934,1557238,8904237,20799629,1572699,8899130,21155131,1588100,8952047,21504009,1603368,9055744,21845374,1620028,9193815,22170397,1643938
"MC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD",863141,2413060,363391,829455,2429894,372112,792101,2449245,381716,752809,2469057,391009,715330,2489814,398800,682032,2509308,403847,653927,2525881,405402,631532,2541166,404213,614587,2554138,401381,602354,2564536,398715,593810,2570832,397403,588992,2573152,397840,588015,2571615,399893,589189,2563911,405900
"MG",7163731,8113210,467870,7383066,8371590,481112,7594514,8646957,494555,7799146,8938089,508042,7999360,9242637,521373,8197031,9558935,534428,8392345,9886464,547315,8584784,10226025,560213,8774848,10578731,573206,8963125,10946166,586407,9150346,11329178,600008,9336717,11728270,613948,9523178,12142188,628548,9718059,12561031,645761
"MV",112612,149812,10321,110940,155919,10968,108810,162292,11641,106452,168818,12325,104157,175346,13002,102153,181768,13655,100526,188017,14283,99258,194096,14884,98368,200037,15436,97832,205909,15922,97626,211752,16316,97761,217580,16620,98236,223349,16857,99137,228847,17039
"MX",35399125,63359306,5115175,35538928,64536720,5264227,35636516,65678141,5409003,35696942,66803153,5556215,35729038,67937265,5715245,35739112,69099774,5892940,35729378,70294161,6093153,35697115,71518169,6314536,35638173,72777303,6552566,35546483,74076148,6800121,35418595,75414965,7052846,35253647,76799481,7308109,35056049,78221524,7569908,34839486,79654658,7838255
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",458707,1387850,205572,451381,1401315,212402,442768,1412732,218941,433183,1422759,224925,423124,1432554,230049,413016,1442892,234136,402870,1453887,237043,392698,1464978,238946,382923,1475436,240410,374065,1484281,242213,366484,1490800,244932,360370,1494773,248748,355620,1496414,253544,351822,1495203,260133
"ML",4730160,5175455,354962,4870941,5335445,356379,5021070,5503768,357822,5180599,5679382,359758,5349384,5860805,362749,5527240,6046843,367175,5714235,6238010,373297,5910256,6434448,380924,6114646,6634244,389407,6326532,6834934,397831,6545193,7035240,405528,6770270,7234173,412292,7001604,7433617,418352,7252347,7623357,425946
"MT",79119,261449,40795,78799,270427,43802,76415,273200,46351,73903,275603,49076,71602,278025,51639,69667,280406,53760,68039,282103,55167,66848,283761,56117,66154,286151,57077,65592,288523,58363,64762,289690,60057,63733,290163,62370,62832,291171,65450,62104,292182,68995
"MM",14893626,31267973,2291399,14727758,31835325,2331117,14561225,32331890,2368200,14398011,32776030,2403108,14242459,33196215,2436494,14097707,33614266,2469049,13966232,34032005,2501834,13847943,34445396,2535620,13740081,34863323,2570616,13638216,35295429,2606849,13539165,35747120,2644945,13441472,36225073,2684218,13346238,36724597,2726485,13267065,37209471,2782482
"ME",130284,411638,69274,128465,411344,71716,126981,411096,74250,125782,411058,76608,124800,411443,78426,123967,412375,79478,123289,413932,79630,122749,416015,79036,122226,418324,78097,121576,420455,77377,120699,422097,77282,119522,423172,77949,118081,423734,79266,116474,423663,81246
"MN",833658,1475324,88491,813346,1517062,89263,790327,1562699,90205,766961,1610304,91326,746387,1657225,92638,730910,1701462,94130,721327,1742316,95851,717212,1780072,97788,718100,1814928,99804,723029,1847462,101734,731171,1878101,103466,742349,1906892,104967,756481,1933658,106343,774229,1956775,108069
"MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MZ",8005273,9692353,577992,8256520,9934068,595130,8529081,10177974,612843,8817181,10425156,631121,9112645,10676219,649967,9409112,10931892,669372,9704038,11193919,689359,9997570,11463898,709940,10289219,11742212,731096,10579318,12028898,752803,10867731,12324466,775068,11154622,12628861,797883,11438345,12943740,821313,11723217,13262845,847690
"MR",1159081,1462997,86017,1187762,1515114,88527,1216974,1569366,91092,1246677,1625279,93711,1276828,1682234,96368,1307377,1739736,99051,1338271,1797669,101773,1369452,1856034,104549,1400834,1914678,107390,1432325,1973443,110309,1463833,2032266,113321,1495312,2091009,116443,1526689,2149752,119696,1560022,2206498,123360
"MU",305695,808288,72890,305549,819211,75119,304914,828434,76849,304650,839565,78595,303116,849883,80386,300276,860442,82535,296021,871550,85127,290240,882134,88030,283919,893245,91401,277254,902714,95065,271019,910833,99072,265401,917235,103416,260460,922549,108160,255904,927113,113287
"MW",5186809,5789141,345546,5342561,5926800,353806,5492908,6070947,362921,5641855,6224075,372809,5796167,6389636,383286,5960485,6570012,394249,6135774,6766187,405572,6319209,6977135,417411,6507202,7200750,430256,6694672,7433909,444759,6878062,7674330,461302,7055632,7921733,480166,7228657,8176831,500992,7410405,8428597,523565
"MY",7802906,14717907,899938,7829409,15157062,939273,7836311,15593021,984461,7830385,16027020,1033250,7821065,16461641,1082384,7815219,16898539,1129708,7816109,17336697,1174292,7822204,17774206,1217411,7829798,18210776,1261774,7832937,18646156,1311231,7827710,19079572,1368552,7813491,19510656,1434824,7793215,19937505,1509209,7758045,20367335,1591585
"NA",767844,1067254,62855,778581,1088842,63858,787745,1105829,64727,795422,1120265,65546,801789,1135101,66429,807016,1152550,67460,811114,1173146,68674,814164,1196474,70062,816538,1222636,71619,818705,1251471,73321,821030,1282784,75153,823673,1316816,77128,826644,1353488,79262,829505,1392082,81728
"NC",61093,139461,12676,61668,142454,13203,62234,145546,13709,62706,148728,14300,62983,151988,15099,62974,155233,16186,62563,158299,17597,61845,161273,19280,60426,162680,20878,59143,164100,22339,58806,167422,23772,58677,170485,24835,58817,173559,25623,59413,176663,25924
"NE",5267785,5444205,277825,5483791,5624806,287837,5711573,5807592,298135,5950720,5994385,308936,6200599,6187771,320526,6460774,6389917,333107,6731316,6601639,346749,7012467,6823418,361404,7304162,7056737,376995,7606350,7303212,393389,7919115,7564164,410467,8242565,7840569,428327,8577117,8132954,446968,8932301,8432311,466658
"NG",53455984,65976549,3444191,54762720,67730471,3511795,56146343,69498405,3579889,57612057,71287141,3650946,59164327,73106741,3728179,60805842,74966203,3813844,62536207,76869688,3909010,64353653,78820707,4012989,66256721,80827278,4124078,68242903,82898445,4239675,70307484,85042480,4357817,72449809,87264709,4478405,74661441,89570342,4601991,77008657,91842091,4764597
"NI",2086737,2825821,188362,2085457,2896119,195108,2082054,2964377,202147,2076712,3031688,209480,2069547,3099632,217122,2060775,3169398,225046,2050489,3241011,233426,2039137,3314167,242231,2027692,3389275,251017,2017376,3466770,259183,2009063,3546755,266391,2003075,3629685,272386,1999212,3714989,277532,1996346,3802039,282093
"NL",2956148,10809398,2159966,2981385,10877549,2187247,3002157,10934367,2212406,3014828,10974386,2236090,3017932,11002300,2261545,3010104,11018930,2290834,2991578,11029766,2324756,2967399,11048032,2366263,2944053,11081575,2419964,2924466,11118825,2487096,2908084,11141511,2565798,2895078,11141774,2656222,2883207,11116349,2755405,2871208,11075199,2857817
"NO",898516,2911138,681313,903119,2931806,678822,906143,2954604,677413,907835,2979741,677280,908056,3005640,678215,907874,3034508,680909,907606,3067526,685543,908435,3107696,693024,910992,3153369,703852,914480,3196828,717413,919328,3235969,733955,926408,3272353,754330,935299,3305320,777951,947992,3332021,804177
"NP",9366277,12945695,872205,9523001,13218845,913276,9667459,13474601,960801,9794981,13718331,1012220,9900103,13957957,1063847,9978783,14200293,1112982,10029774,14445246,1159020,10053424,14693967,1202629,10049560,14955936,1243916,10018686,15242919,1283340,9961958,15562636,1321422,9879721,15918880,1357765,9774123,16307657,1392596,9633221,16735047,1429189
"NZ",876807,2527035,453858,874871,2547941,457688,881200,2600482,466817,888448,2661108,477642,890993,2709200,487306,890569,2746564,496767,891254,2785035,508316,890611,2817142,520546,889838,2845059,534003,891278,2874630,549891,894926,2904806,568068,896872,2922246,586081,898111,2930522,604365,903902,2943113,623785
"OM",815267,1325927,51341,825682,1359939,53404,845892,1406568,55950,868796,1461708,58617,884309,1518804,60887,885712,1574138,62475,869719,1622185,63002,840052,1666927,62759,805493,1725105,62923,778564,1819562,65101,768085,1964350,70333,776954,2168552,79269,801802,2420918,91277,852932,2677405,102107
"PK",59626299,78525682,5680031,60009468,81006483,5841128,60178467,83512566,6002651,60212227,86040693,6167061,60222171,88591373,6337853,60289473,91164814,6517128,60448421,93750459,6706913,60679715,96343206,6905411,60946228,98955494,7106361,61187102,101605775,7301123,61361318,104303996,7483993,61453486,107059056,7653810,61488843,109857098,7814173,61609988,112554482,7978124
"PA",981400,1904495,168917,992312,1948664,175436,1003112,1993070,182267,1013753,2037633,189420,1024205,2082235,196895,1034421,2126813,204695,1044385,2171283,212839,1053995,2215697,221342,1063027,2260264,230190,1071205,2305274,239366,1078336,2350921,248871,1084342,2397231,258709,1089298,2444069,268915,1094071,2491005,279094
"PE",8862488,15881320,1256272,8880499,16189134,1302729,8889591,16490231,1350086,8890719,16784491,1398126,8885347,17071922,1446577,8874830,17353111,1495340,8859361,17626969,1544364,8839497,17894961,1593954,8817453,18163347,1644828,8795969,18440384,1697950,8777072,18731672,1754087,8761672,19039657,1813555,8749559,19361816,1876424,8739012,19695012,1941579
"PH",29903571,45237936,2510340,30321769,46384417,2591571,30732979,47546006,2674667,31127335,48717231,2760117,31491725,49890829,2848777,31817420,51062427,2941365,32100057,52227566,3038949,32344096,53389664,3141789,32560581,54561727,3248980,32765460,55761792,3359149,32970449,57001935,3471940,33181432,58286020,3585982,33396072,59607304,3703384,33592525,60963777,3837272
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PG",2165043,3079945,134238,2218687,3161487,138798,2273139,3243557,143570,2327902,3326833,148567,2382438,3412232,153792,2436235,3500467,159257,2489162,3591650,164983,2540873,3685762,170988,2590424,3783196,177258,2636671,3884387,183774,2678859,3989557,190529,2716547,4098927,197503,2750067,4212215,204725,2782994,4324889,213379
"PL",7406976,26152534,4699118,7145297,26317415,4785364,6895901,26463866,4870598,6662558,26593604,4948408,6450630,26719591,5012004,6263014,26845456,5056976,6099540,26963317,5078411,5963148,27074488,5082927,5857528,27180654,5087576,5781223,27259462,5110918,5731055,27287502,5165127,5752939,27483690,5297527,5745741,27376176,5413955,5766244,27203317,5561165
"PR",897815,2481506,431284,888767,2491268,438740,879608,2498203,445889,870072,2503300,452723,859783,2507882,459213,847310,2509339,464712,831644,2505028,468539,814044,2497615,471339,796129,2490417,474317,778614,2483492,478306,761693,2475843,483672,742060,2456118,488406,722843,2434498,494201,704818,2407866,502402
"KP",5943134,15545308,1351783,5941554,15677972,1423924,5940920,15801289,1505848,5936179,15918850,1594152,5919714,16035714,1683877,5886559,16155587,1771186,5835302,16280204,1854411,5769513,16408781,1933695,5695266,16539507,2009120,5621059,16669426,2081378,5553277,16796653,2150590,5494277,16918097,2218917,5443162,17034779,2285246,5399684,17140937,2354859
"PT",1664261,6956441,1669196,1657520,7002781,1702421,1652854,7035184,1731597,1648759,7053417,1756645,1644113,7061168,1778582,1638908,7065141,1799281,1633338,7069270,1819677,1627656,7074946,1840363,1620513,7076817,1860852,1611896,7074257,1882095,1601709,7066672,1904719,1587610,7043671,1926277,1568386,7001196,1945261,1545011,6951445,1963350
"PY",2042395,3071641,236217,2058832,3157787,244000,2074504,3244188,252677,2089281,3331041,262029,2102881,3418739,271711,2115168,3507509,281493,2126139,3597300,291342,2136128,3687775,301382,2145726,3778560,311721,2155701,3869170,322512,2166610,3959218,333893,2178689,4048557,345851,2191826,4137146,358388,2206628,4224294,371373
"PF",75338,151739,10190,74886,155734,10656,74156,159790,11086,73177,163812,11546,72004,167690,12116,70688,171344,12852,69224,174720,13784,67645,177835,14883,66083,180744,16050,64719,183537,17157,63676,186282,18107,63026,188980,18868,62737,191598,19478,62542,194395,19894
"QA",153706,429823,10164,160833,440668,10308,168901,450593,10249,177552,472498,10188,186320,523653,10411,194898,615157,11104,202895,752324,12384,210457,927849,14153,218459,1124523,16133,228132,1318024,17925,240232,1490224,19257,255186,1635653,20062,272355,1757675,20483,295482,1851140,22051
"RO",4184355,15260097,2998519,3995651,15111025,3025295,3772072,14916703,3041720,3588639,14897346,3088342,3429570,14894397,3127781,3303555,14867852,3148278,3217924,14825733,3150102,3137773,14636963,3108248,3077222,14408885,3051766,3054083,14292457,3020946,3039854,14203085,3003932,3027974,14121514,2998037,3021528,14051851,3003351,3010203,13936057,3017321
"RU",26681817,101711242,18203805,25554542,101944540,18477393,24450456,102068037,18889547,23386767,101965091,19315607,22445719,101750688,19624806,21716189,101642741,19754957,21207077,101611325,19668860,20932499,101746408,19436000,20866306,101968028,19122074,20959866,102132204,18817178,21244998,102487268,18653259,21656498,102710288,18589668,22119365,102503048,18555581,22656327,102147897,18695637
"RW",3908792,4238088,248697,4062549,4440555,256895,4121092,4610212,256217,4122015,4754471,249684,4124768,4887596,242014,4171799,5020917,236741,4273675,5152661,234611,4413101,5280283,234759,4571895,5413831,237234,4721809,5566143,241714,4842990,5745765,247977,4929789,5958301,256224,4991081,6199964,266756,5054353,6442177,279992
"SA",7742276,11699360,702948,7859546,12303824,728228,8023743,13057595,743876,8205765,13894033,752535,8363571,14717201,758458,8467674,15457500,764893,8507013,16091748,773177,8493273,16639570,782782,8447261,17126095,793001,8400265,17593622,802487,8374676,18072944,810767,8376536,18567882,817311,8397565,19066224,824069,8369349,19626801,832720
"SD",12125447,14776973,827378,12405595,15178502,850716,12708598,15601977,875852,13025363,16046000,902612,13341644,16506311,930618,13646715,16979568,959588,13939395,17468492,989652,14222354,17974906,1020988,14493324,18493317,1053423,14750301,19016164,1086713,14992431,19538832,1120739,15217792,20057733,1155396,15427806,20576644,1190898,15635119,21098736,1230451
"SN",4449008,5098711,313960,4543520,5253072,322524,4641893,5417077,331079,4745079,5588795,339658,4854081,5765181,348306,4969658,5944138,357030,5091795,6125193,365937,5220460,6309514,374999,5356220,6498583,383988,5499706,6694559,392563,5651007,6899017,400540,5810387,7112531,407820,5976663,7334754,414607,6148984,7562159,422137
"SG",864497,2867869,295534,871431,2954856,311710,859726,2993613,322662,826460,2962848,325491,816536,3013671,336492,816880,3098227,350692,825531,3208648,367220,844570,3356123,387910,874648,3549489,415264,884072,3666645,436884,880416,3738813,457471,877071,3822360,484270,875227,3919658,517516,867208,3981971,550021
"SB",172858,227844,11634,176834,234621,12075,180974,241396,12510,185228,248143,12965,189536,254829,13462,193847,261442,14017,198137,267964,14643,202386,274441,15323,206563,280948,16028,210628,287629,16709,214549,294564,17334,218309,301793,17895,221891,309303,18403,225463,316885,18883
"SL",1778154,2259948,101655,1841749,2349308,104608,1923686,2460423,108941,2015470,2583103,114193,2105301,2703153,119721,2184513,2810344,125038,2249967,2900969,129970,2303530,2977885,134598,2347694,3045455,138991,2386995,3110877,143311,2424788,3179524,147664,2461359,3252059,152072,2495421,3326865,156441,2531667,3398043,162365
"SV",2282168,3347023,329603,2268414,3377856,339026,2248864,3410988,348457,2224404,3447016,357948,2196401,3486316,367577,2166012,3529131,377395,2133723,3575520,387447,2099782,3625492,397677,2064892,3679009,407873,2029794,3735915,417778,1995218,3795776,427201,1961238,3858934,436069,1928376,3924535,444487,1899971,3988258,452225
"SM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SO",3483818,3684848,216750,3602190,3784407,222668,3714961,3882216,228743,3823572,3979332,234803,3931169,4078143,240651,4040093,4180657,246188,4150167,4286230,251276,4260273,4394594,255985,4370875,4508703,260682,4482535,4632437,265877,4595752,4768475,271946,4710619,4918274,279008,4827320,5080863,286951,4953615,5245390,296578
"RS",1518132,5027111,971102,1481531,5030854,991046,1447813,5041757,1010460,1412633,5043297,1024660,1380181,5048518,1034456,1349619,5053154,1037995,1321077,5056241,1034254,1295586,5060871,1025123,1272353,5064139,1013728,1250891,5064964,1004952,1230064,5059559,1001814,1205016,5027667,1001415,1184346,5004765,1009965,1162048,4974336,1027592
"SS",2973934,3476990,202060,3090748,3621121,212584,3200461,3763340,223017,3307388,3908770,233742,3418932,4065878,245369,3540346,4240694,258311,3671392,4432954,272549,3809263,4639642,287829,3953595,4860745,304045,4103654,5095884,321032,4258340,5343992,338597,4418284,5605960,356865,4582131,5879720,375675,4757537,6145649,392987
