"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",65,74,117,65,61.42,,64.8
"d301",86,80,65,85,84.92,,69.8
"d322",75,85,81,87,96.89,,73.3
"d323",83,80,66,79,76.69,,83.7
"d315",85,78,82,85,77.62,,89.3
"d324",86,82,100,100,92.83,,100
"d216",84,80,70,84,86.56,,86.6
"d316",98,92,83,93,92.84,,68.3
"d302",85,95,94,94,87.12,,91.8
"d303",93,87,91,90,90.46,,86.4
"d217",124,98,96,93,88.17,,78
"d218",87,83,69,84,83.48,,95.2
"d201",86,91,85,86,82.43,,89.2
"d420",93,82,91,84,96.28,,85.7
"d117",95,85,89,87,80.2,,77.6
"d219",84,82,80,93,91.23,,94.7
"d118",67,87,82,91,85.85,,83.9
"d220",66,69,73,88,79.13,,76.6
"d225",82,70,81,82,83.52,,90.4
"d416",62,73,83,85,84.99,,1866
"d401",91,80,87,85,79.67,,71.2
"d402",97,91,86,88,92.77,,96.9
"d202",107,88,86,89,90.93,,86.8
"d221",86,90,82,88,80.24,,85.5
"d119",97,90,96,94,81.5,,93.8
"d120",104,100,95,100,98.54,,80.6
"d226",99,81,88,94,98.03,,92.9
"d317",92,75,72,83,86.06,,71.8
"d121",93,99,90,85,84.71,,88.8
"d304",95,107,97,98,97.82,,91.6
"d403",101,84,90,94,89.64,,87.1
"d417",89,88,93,87,88.16,,85.7
"d203",91,96,94,91,94.34,,77.6
"d418",92,95,92,92,79.52,,69.8
"d204",94,85,93,91,89.3,,93
"d318",68,,84,86,87.33,,80.4
"d404",87,84,87,86,84.98,,66.2
"d405",94,90,91,93,94.27,,89.1
"d213",96,130,85,95,90.58,,89.3
"d101",83,100,91,95,96.95,,99.4
"d222",84,74,89,97,87.81,,92.8
"d122",91,83,86,91,91.84,,94.7
"d102",100,91,95,85,91.46,,85.2
"d205",94,87,90,86,87.29,,90.1
"d413",83,84,76,83,84.5,,63.2
"d414",81,86,85,88,84.83,,87.5
"d206",94,97,100,91,95.61,,97.4
"d406",88,85,91,89,93.82,,85.6
"d207",90,84,77,82,86.82,,93.4
"d112",102,92,89,96,94.44,,88
"d407",95,87,85,87,85.02,,89.1
"d103",87,78,90,90,91.89,,91.1
"d227",91,88,85,82,80.68,,89.5
"d419",87,87,78,89,76.8,,83.9
"d421",89,88,90,96,93.55,,70.1
"d408",79,88,90,91,91.15,,95
"d305",91,93,92,96,89.47,,94.9
"d319",103,101,99,93,95.98,,96.5
"d325",76,79,77,81,90.05,,85.4
"d306",100,96,100,44,57.7,,48.4
"d208",98,122,92,98,95.85,,95.9
"d228",85,83,83,78,80.71,,81.4
"d123",86,70,65,62,64.41,,73.7
"d422",68,71,89,70,76.69,,92.2
"d415",89,96,92,95,94.29,,66.8
"d326",90,83,95,94,81.65,,83.6
"d307",95,87,90,93,87.36,,92.5
"d229",101,83,73,86,84.8,,67.4
"d104",92,88,85,95,88.78,,77.2
"d124",91,85,78,85,89.25,,65.7
"d114",81,83,87,94,91.09,,66.3
"d223",84,79,79,79,83.12,,50.7
"d320",79,85,86,84,82.27,,87.8
"d105",91,89,84,88,89.3,,88.9
"d409",95,93,77,94,92.69,,91.8
"d214",91,82,77,83,91.8,,65.9
"d209",95,94,93,94,93.05,,84.2
"d410",98,87,91,95,92.57,,91.1
"d423",72,822,79,78,82.07,,79.5
"d115",86,78,82,92,91.91,,89.8
"d308",96,100,100,93,98.28,,76.6
"d309",91,87,82,79,65.96,,26.8
"d106",93,96,87,91,91.29,,88.9
"d107",84,85,88,84,90.64,,86.5
"d108",92,83,84,89,82.34,,85.2
"d311",96,100,89,79,84.43,,59.4
"d116",82,88,91,91,88.05,,91.6
"d109",83,87,86,87,88.1,,89.6
"d230",87,70,87,98,95.16,,99.8
"d224",95,88,86,93,94.92,,86.4
"d327",76,85,86,80,87.39,,77.7
"d310",93,328,78,89,86.94,,95.1
"d231",95,92,95,94,95.32,,89.3
"d424",81,63,54,96,90.13,,88
"d411",93,98,90,91,94.08,,90.2
"d328",107,100,95,94,94.24,,89
"d329",71,94,96,94,82.25,,71.2
"d321",84,87,83,92,88.16,,98.6
"d312",93,95,90,91,89.17,,93.4
"d210",99,95,78,89,85.08,,89.4
"d110",82,83,87,88,89.43,,91
"d425",73,80,90,93,92.92,,98
"d412",102,89,86,97,95.63,,83.8
"d111",85,97,83,94,90.59,,93
"d232",82,90,85,90,89.64,,85.3
"d426",94,75,95,83,92.8,,89.7
"d215",96,97,91,88,85.95,,87.6
"d211",94,85,95,91,86.5,,96.7
"d212",94,87,91,90,94.46,,89
"d113",100,96,91,93,91.39,,91.6
"d313",76,87,80,77,85.26,,83.2
"d330",83,72,87,85,93.99,,80.6
