"district_id","district_name"
"d18943","Kiambu"
"d18944","Kirinyaga"
"d18946","Murang'a"
"d18947","Nyandarua"
"d18948","Nyeri"
"d18949","Kilifi"
"d18950","Kwale"
"d18951","Lamu"
"d18952","Mombasa"
"d18953","Taita Taveta"
"d18954","Tana River"
"d18955","Embu"
"d18956","Isiolo"
"d18957","Kitui"
"d18958","Machakos"
"d18959","Makueni"
"d18960","Marsabit"
"d18961","Meru"
"d18962","Nithi"
"d18964","Nairobi"
"d18965","Garissa"
"d18966","Mandera"
"d18967","Wajir"
"d18968","Homa Bay"
"d18969","Kisii"
"d18970","Kisumu"
"d18971","Migori"
"d18972","Nyamira"
"d18973","Siaya"
"d18974","Baringo"
"d18975","Bomet"
"d18976","Elgeyo-Marakwet"
"d18977","Kericho"
"d18978","Laikipia"
"d18979","Nakuru"
"d18980","Nandi"
"d18981","Narok"
"d18982","Samburu"
"d18983","Trans-Nzoia"
"d18984","Turkana"
"d18985","Uasin Gishu"
"d18986","West Pokot"
"d18987","Bungoma"
"d18988","Busia"
"d18989","Kakamega"
"d18990","Vihiga"
"d18991","Kajiado"
