"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,,,0.12,0.12,0.115,,0.11,0.11,0.08,0.08,0.0633333333,,0.0466666667,,0.03,0.03,0.0475,,0.065,,0.0825,,0.1,0.1,,
"AM",,,4.29,4.29,3.11,3.11,1.93,1.93,1.74,1.74,0.87,0.87,0.54,0.54,0.64,0.64,0.31,0.31,0.25,0.25,0.38,0.38,0.4,0.4,0.31,0.31,,
"AO",29.94,29.94,28.4411111111,,26.9422222222,,25.4433333333,,23.9444444444,,22.4455555556,,20.9466666667,,19.4477777778,,17.9488888889,,16.45,16.45,,,,,,,,
"AR",2.73,2.73,4.57,4.57,4.95,4.95,4.46,4.46,2.87,2.87,2.04,2.04,1.74,1.74,1.64,1.64,1.31,1.31,1.38,1.38,0.89,0.89,0.78,0.78,,,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",0.28,0.28,0.565,,0.85,,1.135,,1.42,1.42,,,,,,,,,,,,,,,,,,
"AU",,,8.19,8.19,7.175,,6.16,6.16,,,,,,,,,,,,,,,,,,,,
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ",,,1.1,1.1,0.96,,0.82,,0.68,,0.54,,0.4,,0.26,,0.12,0.12,,,,,,,,,,
"BA",,,0.09,0.09,0.07,,0.05,,0.03,0.03,0.0233333333,,0.0166666667,,0.01,0.01,,,,,,,,,,,,
"BB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BD",18.61,18.61,17.722,,16.834,,15.946,,15.058,,14.17,14.17,13.57,,12.97,,12.37,,11.77,,11.17,11.17,,,,,,
"BE",0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
"BF",,,,,,,18.25,18.25,17.64,,17.03,,16.42,,15.81,,15.2,,14.59,14.59,,,,,,,,
"BG",,,0.47,0.47,0.28,,0.09,0.09,0.09,,0.09,,0.09,,0.09,0.09,0.32,0.32,0.435,,0.55,0.55,0.81,0.81,,,,
"BH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI",,,,,,,,,,,,,36.39,36.39,,,,,,,,,,,,,,
"BJ",,,,,,,15.73,15.73,16.0733333333,,16.4166666667,,16.76,,17.1033333333,,17.4466666667,,17.79,,18.1333333333,,18.4766666667,,18.82,18.82,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BO",17.76,17.76,12.06,12.06,12.83,12.83,8.95,,5.07,5.07,9.78,9.78,8.2,8.2,6.26,6.26,5.28,5.28,5.56,5.56,4.34,,3.12,3.12,4.2,4.2,,
"BR",,,4.6,4.6,3.76,3.76,4.18,4.18,3.48,3.48,3,3,2.61,2.61,2.98,2.98,2.41,2.41,2.4,2.4,2.455,,2.51,2.51,2.14,2.14,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BT",,,,,,,6.05,6.05,4.99,,3.93,,2.87,,1.81,1.81,1.522,,1.234,,0.946,,0.658,,0.37,0.37,,
"BW",,,,,,,8.54,8.54,7.775,,7.01,,6.245,,5.48,,4.715,,3.95,3.95,,,,,,,,
"BY",0.08,0.08,0.03,0.03,0.1,0.1,0.1,0.1,0.01,0.01,0.015,,0.02,0.02,,,,,,,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",3.57,3.57,2.9625,,2.355,,1.7475,,1.14,1.14,0.9533333333,,0.7666666667,,0.58,0.58,0.64,,0.7,,0.76,0.76,,,,,,
"CD",,,,,,,,,,,,,52.76,52.76,,,,,,,,,,,,,,
"CF",,,,,,,28.3,28.3,28.892,,29.484,,30.076,,30.668,,31.26,31.26,,,,,,,,,,
"CG",,,,,,,,,,,22.82,22.82,20.9283333333,,19.0366666667,,17.145,,15.2533333333,,13.3616666667,,11.47,11.47,,,,
"CH",1.79,1.79,3.36,,4.93,4.93,7.58,,10.23,10.23,,,,,,,,,,,,,,,,,,
"CI",,,,,9.11,9.11,9.705,,10.3,,10.895,,11.49,,12.085,,12.68,12.68,,,,,,,,,,
"CL",0.85,0.85,0.8166666667,,0.7833333333,,0.75,0.75,0.6533333333,,0.5566666667,,0.46,0.46,0.5266666667,,0.5933333333,,0.66,0.66,0.52,,0.38,0.38,,,,
"CM",,,6.69,6.69,6.7816666667,,6.8733333333,,6.965,,7.0566666667,,7.1483333333,,7.24,7.24,,,,,,,,,,,,
"CN",,,,,8.57,8.57,7.0166666667,,5.4633333333,,3.91,3.91,3.63,,3.35,,3.07,3.07,2.55,,2.03,2.03,1.32,1.32,,,,
"CO",11.46,11.46,9.14,9.14,4.25,4.25,3.96,3.96,3.19,3.19,2.87,2.87,5.41,5.41,4.03,4.03,3.64,3.64,3.07,3.07,2.32,2.32,2.02,2.02,2.33,2.33,,
"CR",2.83,2.83,3.26,3.26,3.11,3.11,2.9,2.9,2.62,2.62,1.76,1.76,1.84,1.84,1.08,1.08,1.42,1.42,1.73,1.73,0.64,0.64,0.56,0.56,0.58,0.58,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,6.05,6.05,5.5716666667,,5.0933333333,,4.615,,4.1366666667,,3.6583333333,,3.18,3.18,,,,,,,,,,
"CW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZ",,,,,,,,,,,,,0.02,0.02,0.03,,0.04,0.04,0.09,0.09,0.01,0.01,0.06,0.06,,,,
"DE",,,,,,,,,,,,,,,,,,,,,0.58,0.58,,,,,,
"DJ",,,,,5.29,5.29,,,,,,,,,,,,,,,,,,,,,,
"DK",4.8,4.8,5.44,,6.08,,6.72,,7.36,7.36,9.36,,11.36,,13.36,13.36,14.84,,16.32,,17.8,17.8,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",1.69,1.69,1.01,1.01,1.78,1.78,2.08,2.08,2.46,2.46,1.56,1.56,1.15,1.15,1.03,1.03,0.85,0.85,0.74,0.74,0.52,0.52,0.63,0.63,0.6,0.6,,
"DZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EC",8.18,8.18,7.23,,6.28,,5.33,5.33,4.52,4.52,4.15,4.15,2.52,2.52,3.12,3.12,2.97,2.97,2.7,2.7,2.07,2.07,1.94,1.94,1.8,1.8,,
"EE",0.12,0.12,0.16,0.16,0.16,0.16,0.08,0.08,0.505,,0.93,0.93,0.59,0.59,0.37,0.37,0.41,0.41,0.65,0.65,1.02,1.02,1.18,1.18,,,,
"EG",0.32,0.32,0.342,,0.364,,0.386,,0.408,,0.43,0.43,0.41,,0.39,,0.37,0.37,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ES",0.46,0.46,0.6,,0.74,,0.88,,1.02,1.02,3.4466666667,,5.8733333333,,8.3,8.3,8.2,,8.1,,8,8,,,,,,
"ET",15.74,15.74,14.512,,13.284,,12.056,,10.828,,9.6,9.6,9.7316666667,,9.8633333333,,9.995,,10.1266666667,,10.2583333333,,10.39,10.39,,,,
"FI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJ",,,,,,,11.29,11.29,9.5983333333,,7.9066666667,,6.215,,4.5233333333,,2.8316666667,,1.14,1.14,,,,,,,,
"FM",16.32,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FR",1.85,1.85,1.526,,1.202,,0.878,,0.554,,0.23,0.23,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,1.25,1.25,,,,,,,,,,,,,,,,
"GB",,,,,,,,,6.34,6.34,7.0433333333,,7.7466666667,,8.45,8.45,7.38,,6.31,,5.24,5.24,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",6.42,6.42,6,6,4.62,4.62,5.2,5.2,5.14,5.14,4.86,4.86,4.52,4.52,4.68,4.68,4.45,4.45,4.66,4.66,5.76,5.76,5.61,5.61,4.53,4.53,,
"GH",,,,,,,,,,,,,9.88,9.88,,,,,,,,,,,,,,
"GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GM",,,,,,,11.69,11.69,,,,,,,,,,,,,,,,,,,,
"GN",,,,,,,21.28,21.28,19.2125,,17.145,,15.0775,,13.01,13.01,12.948,,12.886,,12.824,,12.762,,12.7,12.7,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GR",0.6,0.6,1.1175,,1.635,,2.1525,,2.67,2.67,6.3666666667,,10.0633333333,,13.76,13.76,10.0566666667,,6.3533333333,,2.65,2.65,,,,,,
"GT",4.54,4.54,7.295,,10.05,10.05,7.41,7.41,6.56,6.56,5.63,,4.7,4.7,4.716,,4.732,,4.748,,4.764,,4.78,4.78,,,,
"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GW",,,,,16.55,16.55,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",,,7.43,7.43,14.22,14.22,11.64,11.64,10.95,10.95,13.02,13.02,10.58,10.58,6.24,6.24,5.67,5.67,4.24,4.24,4.77,4.77,7.21,7.21,,,,
"HR",0.06,0.06,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,
"HT",,,32.31,32.31,,,,,,,,,,,,,,,,,,,,,,,,
"HU",,,,,,,,,,,,,0.08,0.08,0.055,,0.03,0.03,0.055,,0.08,0.08,0.05,0.05,,,,
"ID",,,,,6.04,6.04,5.5566666667,,5.0733333333,,4.59,4.59,4.6366666667,,4.6833333333,,4.73,4.73,4.005,,3.28,3.28,2.68,2.68,,,,
"IE",0.85,0.85,0.861,,0.872,,0.883,,0.894,,0.905,,0.916,,0.927,,0.938,,0.949,,0.96,0.96,,,,,,
"IL",,,2.72,2.72,2.44,,2.16,,1.88,,1.6,1.6,1.025,,0.45,0.45,0.3966666667,,0.3433333333,,0.29,0.29,,,,,,
"IN",,,,,,,,,,,10.51,10.51,9.906,,9.302,,8.698,,8.094,,7.49,7.49,6.1637769005,,4.837553801,4.837553801,,
"IQ",,,,,,,,,,,,,,,0.56,0.56,0.576,,0.592,,0.608,,0.624,,0.64,0.64,,
"IR",,,,,,,,,,,0.34,0.34,,,,,,,,,,,,,,,,
"IS",,,,,,,,,0.74,0.74,0.6,,0.46,,0.32,0.32,,,,,,,,,,,,
"IT",1.11,1.11,1.0875,,1.065,,1.0425,,1.02,1.02,1.015,,1.01,,1.005,,1,1,1.075,,1.15,1.15,,,,,,
"JM",,,30.58,30.58,0.02,0.02,0.02,,0.02,0.02,,,,,,,,,,,,,,,,,,
"JO",,,,,,,0.16,0.16,0.1266666667,,0.0933333333,,0.06,0.06,0.035,,0.01,0.01,0.015,,0.02,0.02,,,,,,
"JP",,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,
"KE",,,,,,,,,,,16.91,16.91,,,,,,,,,,,,,,,,
"KG",9.64,9.64,7.8,7.8,7.3,7.3,5.07,5.07,2.27,2.27,5.9,5.9,3.4,3.4,0.08,0.08,1.39,1.39,1.46,1.46,1.4,1.4,1.18,1.18,,,,
