"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",77,79,66,78,74,83,79
"d301",49,48,53,54,61,74,68
"d322",75,69,73,73,78,75,80
"d323",85,71,78,81,99,88,79
"d315",71,71,68,66,66,70,66
"d324",86,83,77,97,59,68,69
"d216",75,78,82,78,81,73,69
"d316",89,85,70,66,72,75,70
"d302",81,79,79,83,89,96,89
"d303",99,102,101,101,103,101,100
"d217",74,71,75,75,83,108,87
"d218",61,55,59,59,70,74,67
"d201",67,66,73,68,71,80,72
"d420",41,37,39,38,39,44,38
"d117",49,51,47,49,45,51,44
"d219",76,76,78,79,101,80,76
"d118",65,64,60,68,66,37,74
"d220",62,68,61,59,101,86,82
"d225",79,72,76,68,63,35,64
"d416",72,79,103,64,90,87,75
"d401",59,53,52,54,55,71,54
"d402",35,36,32,33,37,37,35
"d202",74,67,74,72,68,76,70
"d221",88,93,94,100,133,108,96
"d119",53,42,42,36,38,45,44
"d120",66,50,56,82,77,123,57
"d226",81,70,70,70,66,99,69
"d317",77,71,66,66,64,75,72
"d121",61,65,55,60,53,57,44
"d304",58,57,58,58,59,60,59
"d403",51,52,55,53,46,47,46
"d417",38,39,38,35,39,58,39
"d203",68,66,61,57,59,58,62
"d418",46,44,47,44,46,43,39
"d204",54,49,53,51,53,58,50
"d318",97,91,99,108,140,98,125
"d404",43,42,44,42,47,47,47
"d405",63,63,64,61,62,66,52
"d213",73,72,78,83,81,72,67
"d101",25,27,28,26,29,25,31
"d222",62,64,71,73,70,101,85
"d122",57,59,60,64,68,84,60
"d102",36,38,38,34,41,42,36
"d205",66,63,63,63,64,63,64
"d413",52,50,52,50,51,56,48
"d414",44,43,46,41,38,46,38
"d206",59,48,49,57,56,77,56
"d406",56,57,59,61,60,60,53
"d207",70,70,76,83,82,79,73
"d112",66,61,59,57,53,67,53
"d407",47,50,53,49,46,48,42
"d103",44,39,44,43,35,42,38
"d227",72,61,72,71,72,67,69
"d419",40,41,45,44,50,56,39
"d421",74,79,70,70,70,96,65
"d408",54,48,45,48,48,55,49
"d305",61,58,58,64,69,57,53
"d319",98,94,81,89,89,120,87
"d325",95,93,82,74,108,115,86
"d306",101,94,51,80,68,94,74
"d208",91,84,94,99,97,124,94
"d228",69,73,51,69,74,133,52
"d123",49,49,48,46,45,58,44
"d422",60,54,53,52,50,58,49
"d415",68,68,62,58,58,78,52
"d326",74,65,64,68,67,62,61
"d307",72,65,67,70,94,78,77
"d229",65,54,64,58,75,81,65
"d104",52,53,52,55,50,49,48
"d124",59,61,56,60,62,71,51
"d114",50,51,47,46,43,51,37
"d223",77,69,80,82,77,93,75
"d320",120,122,115,131,171,222,148
"d105",45,49,43,38,39,43,39
"d409",65,65,57,57,57,63,48
"d214",73,62,53,62,62,103,81
"d209",66,62,68,65,63,87,67
"d410",32,34,34,34,37,50,37
"d423",38,35,39,37,36,40,38
"d115",43,37,40,38,39,47,38
"d308",41,33,43,35,42,40,42
"d309",48,45,52,50,50,50,46
"d106",48,47,49,54,46,51,44
"d107",62,58,50,58,54,61,43
"d108",47,46,49,43,51,53,47
"d311",68,56,59,54,55,55,55
"d116",50,49,44,41,46,49,47
"d109",43,38,43,39,36,39,34
"d230",80,71,82,76,68,72,67
"d224",93,77,79,90,76,75,72
"d327",67,60,76,72,72,159,63
"d310",82,78,88,86,98,104,84
"d231",82,69,72,78,66,62,53
"d424",60,52,49,46,53,42,35
"d411",41,40,39,41,42,50,42
"d328",67,65,65,74,67,62,63
"d329",64,67,64,74,94,102,60
"d321",85,85,80,77,68,86,79
"d312",68,68,59,67,67,73,81
"d210",76,69,70,72,68,64,67
"d110",56,57,60,61,59,70,57
"d425",48,43,44,45,45,45,43
"d412",38,29,35,35,34,39,33
"d111",57,57,56,56,64,60,52
"d232",85,75,67,67,69,71,68
"d426",37,38,38,38,49,34,28
"d215",74,72,66,73,63,66,60
"d211",65,62,60,60,61,57,58
"d212",80,76,85,84,80,83,76
"d113",35,36,37,36,39,40,37
"d313",82,86,79,85,85,86,91
"d330",83,89,93,89,97,94,86
