"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"africa",,,,,,,,,,,,,,
"america",,,,,,,,,,,,,,
"asia",,,,,,,,,,,,,,
"central-asia",,,,,,,,,,,,,,
"bilateral-unspecified",,,,,,,,,,,,,,
"europe",,,,,,,,,,,,,,
"east-asia",,,,,,,,,,,,,,
"middle-east",,,,,,,,,,,,,,
"north-central-america",,,,,,,,,,,,,,
"north-of-sahara",,,,,,,,,,,,,,
"oceania",,,,,,,,,,,,,,
"south-central-asia",,,,,,,,,,,,,,
"south-america",,,,,,,,,,,,,,
"south-asia",,,,,,,,,,,,,,
"south-of-sahara",,,,,,,,,,,,,,
"ex-yugoslavia",,,,,,,,,,,,,,
"west-indies",,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,
"AI",,,,,,,,,,,,,,
"AL",,,22016.16162,,24603.49252,31051.79222,,,67320.17167,,,,30540.03724,
"AM",,553.3764904,1009.042246,1089.906491,1470.667536,1901.924876,3059.290697,4291.031074,8588.476288,12901.32389,5428.617706,6023.464287,6251.659963,
"AO",66.40944571,,,,,,,,,37.99603532,,,,
"AR",109.0507927,118.0988159,38.18491215,55.31792738,60.3206644,74.59405633,110.2604121,146.671014,152.5583535,152.9132957,228.4551751,206.3993731,,
"AZ",,658.707125,310422.2766,127137.2192,,,,,10124.41565,,,,,
"BA",,96609.28006,,,215837.4067,,,416968.3258,,,,,,
"BB",,,,,,,,,,,,,,
"BD",31.52210216,,,,,29.48560932,,,,,33.65009955,,,
"BF",,,,130.6044803,,,,,,171.2072704,,,,
"BH",,,,,,,,,,,,,,
"BI",,,,,,,82.7249827,,,,,,,
"BJ",,,,127.0806994,,,,,,,,,104.8202227,
"BO",389.0603979,730.4425043,824.6971861,,1532.673142,523.9171975,1922.973728,1611.906134,629.9163702,710.5719237,,998.048954,822.4053371,
"BR",,37.37904178,38.59359221,33.94866601,32.76109517,41.52554896,41.87385407,46.89692689,69.63284974,66.10041289,,107.3570909,222.4374164,
"BT",,,,732.1664353,,,,1554.060866,,,,,9689.606344,
"BW",,,,123.8514231,,,,,,1166.03305,,,,
"BY",,,,,,12626.76785,19212.82799,,,110935.857,,,,
"BZ",,,,,,,,,,,,,,
"CD",,,,,,,52.24089935,,,,,,,
"CF",,,,32.18531379,,,,,110.7814331,,,,,
"CG",,,,,,936.3533298,,,,,,240.2934027,,
"CI",,,441.1499775,,,,,,129.9200618,,,,,
"CK",,,,,,,,,,,,,,
"CL",371.4931923,,,481.9224862,,,777.5852501,,,496.6114008,,1213.907838,,
"CM",,240.4569664,,,,,,408.8097787,,,,,,
"CN",,,9.849330985,,,18.60030361,,,20.64749718,,22.30640576,30.54055726,,
"CO",58.20025583,93.12409621,160.8234005,251.7894387,193.5230975,248.7065933,246.1649966,210.9817376,273.3058399,346.1587735,348.7941977,446.7516306,300.7529715,
"CR",550.1064146,476.2077027,388.6996416,472.2032303,456.9622281,540.2356237,524.6601918,1620.151835,1147.11745,1142.088586,2917.797825,1160.293022,996.2849347,
"CU",,,,,,,,,,,,,,
"CV",,,1611.111687,,,,,,3460.612988,,,,,
"DJ",,,894.5119385,,,,,,,,,,,
"DM",,,,,,,,,,,,,,
"DO",441.5117532,767.5702718,641.320229,337.741691,260.2300611,349.6308734,621.7625626,717.5428247,724.3319699,707.1462408,1120.752665,1177.890118,1498.330623,
"DZ",,,,,,,,,,,,,,
"EC",125.8008822,,,212.5469933,233.7263667,324.6631299,353.689769,310.3530807,357.3016789,345.8033832,385.8676746,401.4397086,378.8581962,
"EG",2096.014275,,,,,1168.128489,,,1947.512505,,,,,
"ER",,,,,,,,,,,,,,
"ET",31.77876515,,,,,82.59140926,,,,,,107.3607805,,
"FM",3928.699498,,,,,,,,,,,,,
"GA",,,,,,1640.776583,,,,,,,,
"GD",,,,,,,,,,,,,,
"GE",310.5267721,576.0812238,763.7426447,503.6277645,653.9360455,633.3242813,771.6519427,705.8052894,1555.565297,1594.593938,858.0142789,869.8709521,1151.649252,
"GH",,,,,,,1103.283415,,,,,,,
"GM",,,,212.2522419,,,,,,,,,,
"GN",,,,82.20068595,,,,84.18634878,,,,,378.399341,
"GQ",,,,,,,,,,,,,,
