"series","country-year"
"id","oda-percent-gni"
"type","simple"
"parent",
"name","ODA provided as a percent of GNI"
"columns","id, year, value"
"description","Gross ODA as a percent of GNI"
"default-scale","lin"
"themes","official"
"map-theme","official"
"theme-order","5"
"global-picture-color-ramp","darkpurple"
"uom","percent"
"uom_display","%"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","lowisbetter"
"range","0.05, 0.10, 0.25, 0.5, 0.7"
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription",
"laymans-heading",
