country-id,year,sector-id,aid-bundle-id,value
AFG,2006,A,A,0
AFG,2006,A,B,27.23074699
AFG,2006,A,E,24.11136807
AFG,2006,A,F,2.556645101
AFG,2006,A,G,32.27268023
AFG,2006,B,B,0.868888058
AFG,2006,B,E,45.10833353
AFG,2006,B,G,123.9739918
AFG,2006,C,A,1.492026
AFG,2006,C,B,7.946024491
AFG,2006,C,E,15.45422994
AFG,2006,C,G,6.516068949
AFG,2006,D,A,2.316139
AFG,2006,D,B,325.2701246
AFG,2006,D,E,137.3343396
AFG,2006,D,G,361.4258273
AFG,2006,E,B,5.912863792
AFG,2006,E,E,18.76462083
AFG,2006,E,G,94.24105738
AFG,2006,F,A,18.7994708
AFG,2006,F,B,7.609303159
AFG,2006,F,E,22.4058202
AFG,2006,F,G,174.4072609
AFG,2006,G,A,2.1226293
AFG,2006,G,B,386.303981
AFG,2006,G,E,0.447315326
AFG,2006,G,G,55.28707392
AFG,2006,H,A,11.1902
AFG,2006,H,B,24.72293888
AFG,2006,H,C,54.85907515
AFG,2006,H,E,6.819138615
AFG,2006,H,G,23.79261062
AFG,2006,I,A,3.927905
AFG,2006,I,B,6.27588803
AFG,2006,I,E,0.238183371
AFG,2006,I,G,24.62041719
AFG,2006,J,E,0.36828057
AFG,2006,J,G,0.01535
AFG,2006,K,A,6.6959327
AFG,2006,K,B,109.2999149
AFG,2006,K,D,4.701373762
AFG,2006,K,E,60.18732923
AFG,2006,K,F,9.291749299
AFG,2006,K,G,74.81005393
AFG,2006,L,B,47.05807036
AFG,2006,N,B,106.2901438
AFG,2006,N,C,110.3497024
AFG,2006,N,E,136.4619568
AFG,2006,N,G,11.11976212
AFG,2007,A,A,0
AFG,2007,A,B,53.87900374
AFG,2007,A,E,37.61549492
AFG,2007,A,F,3.376027047
AFG,2007,A,G,54.00014443
AFG,2007,B,B,51.28526638
AFG,2007,B,C,5.059005
AFG,2007,B,E,148.8225474
AFG,2007,B,G,40.72613143
AFG,2007,C,A,1.8511732
AFG,2007,C,B,9.632694216
AFG,2007,C,E,10.56873733
AFG,2007,C,G,34.31470873
AFG,2007,D,A,3.329343
AFG,2007,D,B,325.8973421
AFG,2007,D,E,353.7589493
AFG,2007,D,G,263.944547
AFG,2007,E,A,0.566606
AFG,2007,E,B,9.720212498
AFG,2007,E,E,15.56556067
AFG,2007,E,G,322.9429577
AFG,2007,F,A,24.8026548
AFG,2007,F,B,123.174905
AFG,2007,F,E,80.60374302
AFG,2007,F,G,63.60720919
AFG,2007,G,A,4.053678177
AFG,2007,G,B,43.59101325
AFG,2007,G,E,466.1278011
AFG,2007,G,G,6.187867355
AFG,2007,H,A,9.216351
AFG,2007,H,B,17.45522562
AFG,2007,H,C,49.68672334
AFG,2007,H,E,24.62625997
AFG,2007,H,G,49.74615343
AFG,2007,I,A,2.119895
AFG,2007,I,B,23.21710546
AFG,2007,I,E,11.64785146
AFG,2007,I,G,9.883426379
AFG,2007,J,E,2.088181567
AFG,2007,J,G,5.127355874
AFG,2007,K,B,173.8878529
AFG,2007,K,D,5.271798801
AFG,2007,K,E,75.33252539
AFG,2007,K,F,6.594713702
AFG,2007,K,G,21.63131441
AFG,2007,L,B,191.3461909
AFG,2007,M,F,59.45781147
AFG,2007,N,B,44.58175045
AFG,2007,N,C,88.32685216
AFG,2007,N,E,156.7802368
AFG,2007,N,G,11.85452693
AFG,2008,A,A,0
AFG,2008,A,B,98.56482377
AFG,2008,A,E,79.20797675
AFG,2008,A,F,2.733711884
AFG,2008,A,G,51.14264703
AFG,2008,B,B,49.49938922
AFG,2008,B,C,0.844493
AFG,2008,B,E,151.4080357
AFG,2008,B,G,55.77527553
AFG,2008,C,A,2.3677272
AFG,2008,C,B,25.09089854
AFG,2008,C,E,17.92403963
AFG,2008,C,G,9.382876896
AFG,2008,D,A,3.1670802
AFG,2008,D,B,498.0431268
AFG,2008,D,E,432.1981437
AFG,2008,D,F,0.00204
AFG,2008,D,G,430.6679527
AFG,2008,E,B,16.97880415
AFG,2008,E,E,10.96020996
AFG,2008,E,F,
AFG,2008,E,G,227.0070595
AFG,2008,F,A,30.9080532
AFG,2008,F,B,300.1033408
AFG,2008,F,E,292.426408
AFG,2008,F,F,0.098074
AFG,2008,F,G,31.01326117
AFG,2008,G,A,0.054651763
AFG,2008,G,B,17.816611
AFG,2008,G,E,209.2599532
AFG,2008,G,F,0.257222
AFG,2008,G,G,4.665914422
AFG,2008,H,A,4.831966
AFG,2008,H,B,44.00174857
AFG,2008,H,C,68.37687364
AFG,2008,H,E,45.25645729
AFG,2008,H,F,
AFG,2008,H,G,142.950533
AFG,2008,I,A,1.85514067
AFG,2008,I,B,0.2474019
AFG,2008,I,E,23.57716141
AFG,2008,I,F,
AFG,2008,I,G,36.25690867
AFG,2008,J,B,0.319451903
AFG,2008,J,E,5.264984659
AFG,2008,J,G,0.566124409
AFG,2008,K,B,126.0132731
AFG,2008,K,C,0.00219
AFG,2008,K,D,4.774294661
AFG,2008,K,E,85.01618033
AFG,2008,K,F,5.868957526
AFG,2008,K,G,23.60567551
AFG,2008,L,B,43.24918425
AFG,2008,M,F,14.89237352
AFG,2008,N,B,123.3198088
AFG,2008,N,C,251.9772373
AFG,2008,N,E,458.2761066
AFG,2008,N,F,0.034269
AFG,2008,N,G,7.880676933
AFG,2009,A,A,0
AFG,2009,A,B,77.71936754
AFG,2009,A,E,76.35338914
AFG,2009,A,F,3.042372641
AFG,2009,A,G,112.9715621
AFG,2009,B,B,38.32346354
AFG,2009,B,C,24.73909396
AFG,2009,B,E,187.5887494
AFG,2009,B,G,100.3496832
AFG,2009,C,A,3.5494706
AFG,2009,C,B,18.50709469
AFG,2009,C,E,31.48522578
AFG,2009,C,G,32.38580311
AFG,2009,D,A,3.154374
AFG,2009,D,B,590.3429251
AFG,2009,D,E,578.53409
AFG,2009,D,F,7.278145
AFG,2009,D,G,714.7705979
AFG,2009,E,A,1.25
AFG,2009,E,B,22.31241231
AFG,2009,E,E,58.13757079
AFG,2009,E,F,1.943971
AFG,2009,E,G,298.7916995
AFG,2009,F,A,18.4484308
AFG,2009,F,B,405.3289478
AFG,2009,F,E,432.4678794
AFG,2009,F,F,2.113784
AFG,2009,F,G,99.64265864
AFG,2009,G,A,0.0657
AFG,2009,G,B,110.9896249
AFG,2009,G,E,113.2614719
AFG,2009,G,F,0.182778
AFG,2009,G,G,16.14138642
