country-id,year,gdp-usd-current
AFG,2005,6275.076
AFG,2006,7057.598
AFG,2007,9843.851
AFG,2008,10190.535
AFG,2009,12486.95
AFG,2010,15936.784
AFG,2011,17870.159
AFG,2012,20496.777
AGO,2005,28233.699
AGO,2006,41789.494
AGO,2007,60448.891
AGO,2008,84178.087
AGO,2009,75492.418
AGO,2010,82470.895
AGO,2011,104116
AGO,2012,114147
ALB,2005,8376.484
ALB,2006,9132.562
ALB,2007,10704.662
ALB,2008,12968.653
ALB,2009,12118.581
ALB,2010,11858.166
ALB,2011,12959.564
ALB,2012,12648.096
ARG,2005,183193
ARG,2006,214066
ARG,2007,260769
ARG,2008,326583
ARG,2009,307155
ARG,2010,368736
ARG,2011,446044
ARG,2012,475502
ARM,2005,4900.437
ARM,2006,6384.458
ARM,2007,9206.277
ARM,2008,11662.018
ARM,2009,8648.015
ARM,2010,9260.297
ARM,2011,10142.408
ARM,2012,9950.523
ATG,2005,1001.971
ATG,2006,1141.418
ATG,2007,1295.824
ATG,2008,1354.617
ATG,2009,1259.082
ATG,2010,1161.529
ATG,2011,1094.862
ATG,2012,1134.159
AZE,2005,13245.422
AZE,2006,20982.271
AZE,2007,33049.381
AZE,2008,48852.483
AZE,2009,44291.49
AZE,2010,52905.999
AZE,2011,65952.764
AZE,2012,66604.589
BDI,2005,1117.254
BDI,2006,1273.181
BDI,2007,1356.078
BDI,2008,1611.634
BDI,2009,1739.782
BDI,2010,2026.864
BDI,2011,2355.652
BDI,2012,2472.385
BEN,2005,4358.016
BEN,2006,4705.087
BEN,2007,5506.276
BEN,2008,6633.562
BEN,2009,6585.135
BEN,2010,6558.416
BEN,2011,7294.9
BEN,2012,7557.287
BFA,2005,5462.709
BFA,2006,5844.67
BFA,2007,6755.824
BFA,2008,8350.71
BFA,2009,8348.156
BFA,2010,9209.288
BFA,2011,10395.757
BFA,2012,10726.305
BGD,2005,60277.561
BGD,2006,61901.117
BGD,2007,68415.421
BGD,2008,79554.351
BGD,2009,89359.767
BGD,2010,100357
BGD,2011,111879
BGD,2012,116355
BIH,2005,10948.051
BIH,2006,12400.103
BIH,2007,15280.616
BIH,2008,18543.289
BIH,2009,17082.889
BIH,2010,16775.47
BIH,2011,18252.422
BIH,2012,17465.959
BLR,2005,30210.092
BLR,2006,36961.919
BLR,2007,45275.712
BLR,2008,60763.483
BLR,2009,49271.267
BLR,2010,55220.933
BLR,2011,59734.594
BLR,2012,63267.017
BLZ,2005,1114.2
BLZ,2006,1217.45
BLZ,2007,1290.55
BLZ,2008,1369.6
BLZ,2009,1338.5
BLZ,2010,1397.9
