country-id,year,gni-usd-current
AFG,2005,6286.221
AFG,2006,7100.895
AFG,2007,9873.644
AFG,2008,10257.208
AFG,2009,12504.199
AFG,2010,15950.423
AFG,2011,17895.148
AFG,2012,20524.702
AGO,2005,24202.811
AGO,2006,35611.627
AGO,2007,52849.864
AGO,2008,70460.539
AGO,2009,68669.276
AGO,2010,74299.13
AGO,2011,92034.511
AGO,2012,1.03E+05
ALB,2005,8540.849
ALB,2006,9346.567
ALB,2007,11006.055
ALB,2008,13135.206
ALB,2009,12009.456
ALB,2010,11759.01
ALB,2011,12893.456
ALB,2012,12483.198
ARG,2005,1.77E+05
ARG,2006,2.09E+05
ARG,2007,2.56E+05
ARG,2008,3.19E+05
ARG,2009,2.98E+05
ARG,2010,3.59E+05
ARG,2011,4.35E+05
ARG,2012,4.65E+05
ARM,2005,5032.956
ARM,2006,6599.622
ARM,2007,9485.061
ARM,2008,12133.205
ARM,2009,8814.607
ARM,2010,9598.944
ARM,2011,10693.46
ARM,2012,10430.924
ATG,2005,959.931
ATG,2006,1094.675
ATG,2007,1243.157
ATG,2008,1293.533
ATG,2009,1208.196
ATG,2010,1129.601
ATG,2011,1059.098
ATG,2012,1092.556
AZE,2005,11598.94
AZE,2006,18301.692
AZE,2007,27969.986
AZE,2008,43586.308
AZE,2009,40772.406
AZE,2010,49438.921
AZE,2011,61092.917
AZE,2012,61226.3
BDI,2005,1099.554
BDI,2006,1264.381
BDI,2007,1350.178
BDI,2008,1607.334
BDI,2009,1722.782
BDI,2010,2014.764
BDI,2011,2338.152
BDI,2012,2463.262
BEN,2005,4340.195
BEN,2006,4675.668
BEN,2007,5497.304
BEN,2008,6622.166
BEN,2009,6552.137
BEN,2010,6504.939
BEN,2011,7259.58
BEN,2012,7511.942
BFA,2005,5442.137
BFA,2006,5842.308
BFA,2007,6753.604
BFA,2008,8347.655
BFA,2009,8342.688
BFA,2010,9202.852
BFA,2011,10391.738
BFA,2012,10720.553
BGD,2005,63355.285
BGD,2006,65952.263
BGD,2007,73522.98
BGD,2008,86607.186
BGD,2009,97484.942
BGD,2010,1.10E+05
BGD,2011,1.22E+05
BGD,2012,1.28E+05
BIH,2005,11416.036
BIH,2006,12791.995
BIH,2007,15740.378
BIH,2008,19212.852
BIH,2009,17661.055
BIH,2010,17053.786
BIH,2011,18469.916
BIH,2012,17953.431
BLR,2005,30220.092
BLR,2006,36841.119
BLR,2007,44864.612
BLR,2008,59975.883
BLR,2009,48157.367
BLR,2010,54058.304
BLR,2011,59052.091
BLR,2012,61750.908
BLZ,2005,1242.188
BLZ,2006,1088.419
BLZ,2007,1131.597
BLZ,2008,1204.423
BLZ,2009,1252.679
BLZ,2010,1328.65
BLZ,2011,1444
BLZ,2012,
BOL,2005,9172.84
BOL,2006,11054.602
BOL,2007,12630.67
BOL,2008,16137.901
BOL,2009,16666.184
BOL,2010,18785.618
BOL,2011,22787.92
BOL,2012,25405.832
BRA,2005,8.57E+05
BRA,2006,1.06E+06
BRA,2007,1.34E+06
BRA,2008,1.61E+06
BRA,2009,1.59E+06
BRA,2010,2.10E+06
BRA,2011,2.43E+06
BRA,2012,2.22E+06
BTN,2005,807.3
BTN,2006,894.117
BTN,2007,1180.134
BTN,2008,1222.323
BTN,2009,1219.213
BTN,2010,1497.476
BTN,2011,1729.167
BTN,2012,1675.208
BWA,2005,9095.644
BWA,2006,9354.022
BWA,2007,10200.899
BWA,2008,10481.085
BWA,2009,9845.452
BWA,2010,13192.562
BWA,2011,15233.02
BWA,2012,14463.722
CAF,2005,1340.079
CAF,2006,1462.249
CAF,2007,1687.432
CAF,2008,1962.488
CAF,2009,1960.61
CAF,2010,1981.475
CAF,2011,2207.535
CAF,2012,2183.105
CHL,2005,1.14E+05
CHL,2006,1.36E+05
CHL,2007,1.54E+05
CHL,2008,1.67E+05
CHL,2009,1.61E+05
CHL,2010,2.03E+05
CHL,2011,2.37E+05
CHL,2012,2.57E+05
CHN,2005,2.24E+06
CHN,2006,2.71E+06
CHN,2007,3.50E+06
CHN,2008,4.55E+06
CHN,2009,4.98E+06
CHN,2010,5.90E+06
CHN,2011,7.25E+06
CHN,2012,8.18E+06
CIV,2005,15642.523
CIV,2006,16589.363
CIV,2007,18912.715
CIV,2008,22433.859
CIV,2009,22054.522
CIV,2010,21923.319
CIV,2011,23035.121
CIV,2012,23682.581
CMR,2005,16099.189
CMR,2006,17701.032
CMR,2007,19931.428
CMR,2008,23322.943
CMR,2009,22051.32
CMR,2010,22229.307
CMR,2011,25183.754
CMR,2012,24876.18
COG,2005,4032.288
COG,2006,5105.401
COG,2007,5774.289
COG,2008,8768.094
COG,2009,6978.833
COG,2010,9024.207
COG,2011,10713.458
COG,2012,10831.777
COL,2005,1.41E+05
COL,2006,1.57E+05
COL,2007,2.00E+05
COL,2008,2.34E+05
COL,2009,2.25E+05
COL,2010,2.75E+05
COL,2011,3.21E+05
COL,2012,3.54E+05
COM,2005,385.946
COM,2006,403.589
COM,2007,466.879
COM,2008,528.351
COM,2009,534.725
COM,2010,541.085
COM,2011,608.593
COM,2012,595.355
CRI,2005,19756.372
CRI,2006,22530.74
CRI,2007,25457.276
CRI,2008,29414.07
CRI,2009,28298.852
CRI,2010,35553.168
CRI,2011,40465.149
CRI,2012,44271.18
CUB,2005,42011.1
CUB,2006,52124.8
CUB,2007,57644.1
CUB,2008,59887.729
CUB,2009,61147.252
CUB,2010,63388.654
CUB,2011,67240.568
CUB,2012,
DJI,2005,775.823
DJI,2006,
DJI,2007,
DJI,2008,
DJI,2009,
DJI,2010,
DJI,2011,
DJI,2012,
DMA,2005,332.636
