"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/737/study-description"
"AO","Angola","orange","DHS (2015)","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-477.cfm"
"BJ","Benin","orange","DHS 2011 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4200"
"BW","Botswana","red","HIES 2002; DHS 1988","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-23.cfm"
"BF","Burkina Faso","orange","DHS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3388"
"BI","Burundi","orange","DHS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3387"
"CM","Cameroon","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3368/related_materials"
"CV","Cape Verde","orange","DHS 2005","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/98"
"CF","CAR","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4742"
"TD","Chad","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-465.cfm"
"KM","Comoros","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4741"
"CG","Congo","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3783"
"CI","Côte d'Ivoire","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6036"
"DJ","Djibouti","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/76"
"CD","DRC","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5256"
"EG","Egypt","green","DHS 2014","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6007"
"GQ","Equatorial Guinea","orange","DHS 2011","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-314.cfm"
"ER","Eritrea","red","DHS 2002","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/153"
"ET","Ethiopia","orange","DHS 2011 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2429"
"GA","Gabon","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3357"
"GM","Gambia","green","DHS 2013","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-425.cfm"
"GH","Ghana","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-437.cfm"
"GN","Guinea","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4086"
"GW","Guinea-Bissau","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2960"
"KE","Kenya","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-451.cfm"
"LS","Lesotho","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-462.cfm"
"LR","Liberia","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5402"
"LY","Libya","orange","NS (2011)","Institute of Human Sciences, Oxford","http://www.ihs.ox.ac.uk/fileadmin/IHS/First_National_Survey_of_Libya_Cover_Sheet_and_Technical_Summary.pdf"
"MG","Madagascar","orange","DHS 2008 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2440"
"MW","Malawi","orange","DHS 2010 (2015)","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-483.cfm"
"ML","Mali","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5128"
"MR","Mauritania","orange","MICS (2011)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5872/related_materials"
"MU","Mauritius","green","Continuous Multipurpose Household Survey 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4398"
"MA","Morocco","orange","Household Panel Survey 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6106/study-description"
"MZ","Mozambique","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3367"
"NA","Namibia","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5873"
"NE","Niger","green","DHS 2012","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-407.cfm"
"NG","Nigeria","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4749"
"RW","Rwanda","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-468.cfm"
"ST","Sao Tome & Principe","green","MICS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-470.cfm"
"SN","Senegal","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-457.cfm"
"SC","Seychelles","orange","Household Budget Survey 2013","Household Budget Survey 2013","http://www.nsb.gov.sc/wp-content/uploads/2015/06/HBS-2013-Report.pdf"
"SL","Sierra Leone","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5501"
"SO","Somalia","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/977"
"ZA","South Africa","green","General Household Survey 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5554/study-description"
"SS","South Sudan","red","National Baseline Household Survey 2009","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2175"
"SD","Sudan","red","National Baseline Household Survey 2009","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2131"
"SZ","Swaziland","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2861"
"TZ","Tanzania","green","DHS 2015","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-485.cfm"
"TG","Togo","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6229/study-description"
"TN","Tunisia","orange","MICS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4701"
"UG","Uganda","green","National Household Survey 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4620"
"EH","Western Sahara","red","None",,
"ZM","Zambia","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6251"
"ZW","Zimbabwe","orange","DHS 2010 (2015)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2482"
