"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013","value.2014","original-value.2014"
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,,,,,,,,,,,6.5,6.5,6.52166666666667,,6.54333333333333,,6.565,,6.58666666666667,,6.60833333333333,,6.63,6.63,6.1,,5.57,5.57,5,5,3.83333333333333,,2.66666666666667,,1.5,1.5,1.8825,,2.265,,2.6475,,3.03,3.03,,,,
"AM",,,,,,,,,,,,,38.87,38.87,41.58,,44.29,,47,47,48.92,,50.84,50.84,47.05,47.05,43.3,43.3,32.02,32.02,22.46,22.46,18.55,18.55,20.15,20.15,11.24,11.24,14.66,14.66,19.61,19.61,17.58,17.58,15.5,15.5,,,,
"AO",,,,,,,,,,,,,,,,,,,,,70.21,70.21,69.9,,69.59,,69.28,,68.97,,68.66,,68.35,,68.04,,67.73,,67.42,67.42,,,,,,,,,,
"AR",,,2.78,2.78,4,4,4.39,4.39,4.27,4.27,7.04,7.04,7.9,7.9,7.49,7.49,7.97,7.97,8.49,8.49,10.44,10.44,14.88,14.88,23.05,23.05,16.35,16.35,12.35,12.35,9.82,9.82,7.35,7.35,6.36,6.36,5.74,5.74,5.44,5.44,3.95,3.95,2.9,2.9,,,,,,
"AZ",,,,,,,,,,,53.85,53.85,49.375,,44.9,,40.425,,35.95,,31.475,,27,27,0.82,0.82,1.27,1.27,0.18,0.18,0.11,0.11,0.866666666666667,,1.62333333333333,,2.38,2.38,,,,,,,,,,,,
"BA",,,,,,,,,,,,,,,,,,,,,,,0.63,0.63,0.533333333333333,,0.436666666666667,,0.34,0.34,0.27,,0.2,,0.13,0.13,,,,,,,,,,,,,,
"BD",,,,,92.99,92.99,91.1275,,89.265,,87.4025,,85.54,85.54,85.255,,84.97,,84.685,,84.4,84.4,83.584,,82.768,,81.952,,81.136,,80.32,80.32,79.564,,78.808,,78.052,,77.296,,76.54,76.54,,,,,,,,
"BF",,,,,,,,,85.83,85.83,86.2725,,86.715,,87.1575,,87.6,87.6,84.586,,81.572,,78.558,,75.544,,72.53,72.53,72.515,,72.5,,72.485,,72.47,,72.455,,72.44,72.44,,,,,,,,,,
"BG",,,,,0,0,0.215,,0.43,0.43,2.72,2.72,2.535,,2.35,2.35,3.4625,,4.575,,5.6875,,6.8,6.8,4.87,,2.94,2.94,2.5325,,2.125,,1.7175,,1.31,1.31,2.16,2.16,2.735,,3.31,3.31,3.92,3.92,,,,,,
"BI",,,,,95.18,95.18,95.2183333333333,,95.2566666666667,,95.295,,95.3333333333333,,95.3716666666667,,95.41,95.41,95.165,,94.92,,94.675,,94.43,,94.185,,93.94,,93.695,,93.45,93.45,,,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,,,,,,,,,,,,75.32,75.32,75.2033333333333,,75.0866666666667,,74.97,,74.8533333333333,,74.7366666666667,,74.62,,74.5033333333333,,74.3866666666667,,74.27,74.27,,,,
"BO",,,19.21,19.21,20.24,,21.27,21.27,22.6875,,24.105,,25.5225,,26.94,26.94,30.18,,33.42,33.42,37.63,37.63,31.42,31.42,32.77,32.77,27.865,,22.96,22.96,28.19,28.19,24.47,24.47,23.24,23.24,18.18,18.18,16.3,16.3,14.125,,11.95,11.95,12.72,12.72,,,,
"BR",29.24,29.24,29.335,,29.43,29.43,28.4,28.4,24.04,,19.68,19.68,20.81,20.81,20.47,20.47,19.27,19.27,20.15,20.15,20.23,,20.31,20.31,18.95,18.95,19.4,19.4,17.46,17.46,15.48,15.48,12.9,12.9,12.05,12.05,10.24,10.24,9.53,9.53,8.84,,8.15,8.15,6.79,6.79,,,,
"BT",,,,,,,,,,,,,,,,,,,,,,,,,,,46.94,46.94,42.645,,38.35,,34.055,,29.76,29.76,26.838,,23.916,,20.994,,18.072,,15.15,15.15,,,,
"BW",,,,,,,,,49.4,49.4,48.5277777777778,,47.6555555555556,,46.7833333333333,,45.9111111111111,,45.0388888888889,,44.1666666666667,,43.2944444444444,,42.4222222222222,,41.55,41.55,39.2633333333333,,36.9766666666667,,34.69,,32.4033333333333,,30.1166666666667,,27.83,27.83,,,,,,,,,,
"BY",,,,,,,0.14,0.14,0.49,,0.84,0.84,1.44333333333333,,2.04666666666667,,2.65,2.65,2.2,2.2,1.69,1.69,0.67,0.67,2.53,2.53,1.95,1.95,0.58,0.58,0.42,0.42,0.13,0.13,0.02,0.02,0,0,0.03,0.03,0,0,0,0,,,,,,
"BZ",,,,,,,19.87,19.87,20.52,20.52,23.64,23.64,23.84,23.84,27.95,27.95,26.42,26.42,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.15,95.15,,,,,,,,,,,,,,,,
"CF",,,,,90.97,90.97,90.1454545454545,,89.3209090909091,,88.4963636363636,,87.6718181818182,,86.8472727272727,,86.0227272727273,,85.1981818181818,,84.3736363636364,,83.5490909090909,,82.7245454545455,,81.9,81.9,81.538,,81.176,,80.814,,80.452,,80.09,80.09,,,,,,,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,74.4,71.5416666666667,,68.6833333333333,,65.825,,62.9666666666667,,60.1083333333333,,57.25,57.25,,,,,,
"CI",,,,,,,50.75,50.75,49.35,,47.95,47.95,50.9933333333333,,54.0366666666667,,57.08,57.08,57.03,,56.98,,56.93,,56.88,56.88,57.245,,57.61,,57.975,,58.34,,58.705,,59.07,59.07,,,,,,,,,,,,
"CL",13.73,13.73,11.485,,9.24,9.24,8.975,,8.71,8.71,7.595,,6.48,6.48,6.295,,6.11,6.11,5.785,,5.46,5.46,5.15666666666667,,4.85333333333333,,4.55,4.55,4.07333333333333,,3.59666666666667,,3.12,3.12,2.94666666666667,,2.77333333333333,,2.6,2.6,2.23,,1.86,1.86,,,,,,
"CM",,,,,,,,,,,,,71.5,71.5,67.338,,63.176,,59.014,,54.852,,50.69,50.69,51.1,,51.51,,51.92,,52.33,,52.74,,53.15,53.15,,,,,,,,,,,,,,
"CN",84.97,84.97,83.1666666666667,,81.3633333333333,,79.56,79.56,75.1066666666667,,70.6533333333333,,66.2,66.2,64.76,,63.32,,61.88,61.88,58.1633333333333,,54.4466666666667,,50.73,50.73,45.83,,40.93,,36.03,36.03,33.4633333333333,,30.8966666666667,,28.33,28.33,25.76,,23.19,23.19,18.61,18.61,,,,,,
"CO",,,17.29,17.29,14.02,14.02,16.0525,,18.085,,20.1175,,22.15,22.15,23.83,,25.51,,27.19,27.19,31.68,31.68,30.21,30.21,22.24,22.24,20.39,20.39,20.37,20.37,17.72,17.72,20.91,20.91,17.66,17.66,18.04,18.04,15.73,15.73,13.68,13.68,11.33,11.33,12,12,,,,
"CR",15.27,15.27,18.96,18.96,15.15,15.15,12.39,12.39,10.54,10.54,11.24,11.24,12.89,12.89,10.04,10.04,8.13,8.13,10.25,10.25,10.92,10.92,10.08,10.08,9.58,9.58,9.22,9.22,8.74,8.74,7.32,7.32,7.27,7.27,4.32,4.32,4.51,4.51,5.17,5.17,2.9,2.9,3.2,3.2,3.11,3.11,,,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,,,,,,,,,,,,,,,,,,,,,40.85,40.85,39.825,,38.8,,37.775,,36.75,,35.725,,34.7,34.7,,,,,,,,,,,,
"CZ",,,,,,,0.02,0.02,0.0766666666666667,,0.133333333333333,,0.19,0.19,0.172222222222222,,0.154444444444444,,0.136666666666667,,0.118888888888889,,0.101111111111111,,0.0833333333333333,,0.0655555555555555,,0.0477777777777778,,0.03,0.03,0.08,0.08,0.085,,0.09,0.09,0.08,0.08,0.1,0.1,0.09,0.09,,,,,,
"DJ",,,,,,,,,,,,,,,,,,,,,,,,,41.19,41.19,,,,,,,,,,,,,,,,,,,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,14.62,14.62,13.7525,,12.885,,12.0175,,11.15,11.15,10.92,10.92,10.9333333333333,,10.9466666666667,,10.96,10.96,10.35,10.35,12.45,12.45,14.82,14.82,19.77,19.77,14.59,14.59,11.94,11.94,11.37,11.37,11.36,11.36,9.97,9.97,9.88,9.88,8.52,8.52,8.76,8.76,,,,
"DZ",,,,,,,,,,,22.78,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EE",,,,,,,2.81,2.81,2.315,,1.82,1.82,1.46333333333333,,1.10666666666667,,0.75,0.75,1.785,,2.82,2.82,2.89,2.89,2.77,2.77,2.88,2.88,2.055,,1.23,1.23,1.2,1.2,0.63,0.63,0.62,0.62,0.91,0.91,1.21,1.21,1.39,1.39,,,,,,
"EG",,,27.64,27.64,27.374,,27.108,,26.842,,26.576,,26.31,26.31,24.575,,22.84,,21.105,,19.37,19.37,19.512,,19.654,,19.796,,19.938,,20.08,20.08,18.53,,16.98,,15.43,15.43,,,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET",,,,,,,,,,,86,86,85.99,,85.98,,85.97,,85.96,,85.95,85.95,84.286,,82.622,,80.958,,79.294,,77.63,77.63,76.725,,75.82,,74.915,,74.01,,73.105,,72.2,72.2,,,,,,
"FJ",,,,,,,,,,,,,,,,,,,,,,,,,,,48.66,48.66,44.3666666666667,,40.0733333333333,,35.78,,31.4866666666667,,27.1933333333333,,22.9,22.9,,,,,,,,,,
"FM",,,,,,,,,,,,,,,,,,,,,44.69,44.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.88,20.88,,,,,,,,,,,,,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",,,,,,,,,,,,,14.01,14.01,34.6,34.6,29.97,29.97,36.21,36.21,38.92,38.92,40.82,40.82,33.47,33.47,36.46,36.46,33.52,33.52,32.88,32.88,32.92,32.92,33.41,33.41,31.78,31.78,31.76,31.76,35.76,35.76,33.51,33.51,31.28,31.28,,,,
"GH",,,,,77.65,77.65,75.265,,72.88,,70.495,,68.11,,65.725,,63.34,63.34,61.9025,,60.465,,59.0275,,57.59,,56.1525,,54.715,,53.2775,,51.84,51.84,,,,,,,,,,,,,,,,
"GM",,,,,,,,,,,,,,,,,81.23,81.23,76.17,,71.11,,66.05,,60.99,,55.93,55.93,,,,,,,,,,,,,,,,,,,,,,
"GN",,,98.98,98.98,93.2033333333333,,87.4266666666667,,81.65,81.65,81.5544444444445,,81.4588888888889,,81.3633333333333,,81.2677777777778,,81.1722222222222,,81.0766666666667,,80.9811111111111,,80.8855555555556,,80.79,80.79,77.0725,,73.355,,69.6375,,65.92,65.92,67.266,,68.612,,69.958,,71.304,,72.65,72.65,,,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GT",,,,,,,,,,,,,,,,,30.06,30.06,27.645,,25.23,25.23,29.095,,32.96,32.96,30.27,30.27,31.19,31.19,28.6,,26.01,26.01,26.766,,27.522,,28.278,,29.034,,29.79,29.79,,,,,,
"GW",,,58.49,58.49,71.55,,84.61,84.61,83.8711111111111,,83.1322222222222,,82.3933333333333,,81.6544444444444,,80.9155555555556,,80.1766666666667,,79.4377777777778,,78.6988888888889,,77.96,77.96,,,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,17.08,17.08,17.268,,17.456,,17.644,,17.832,,18.02,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",64.95,64.95,53.65,53.65,45.84,45.84,41.18,41.18,41.39,41.39,43.44,43.44,46.48,46.48,35.91,35.91,37.95,37.95,38.62,38.62,34.005,,29.39,29.39,40.6,40.6,39.88,39.88,38.44,38.44,39.48,39.48,34.48,34.48,28.96,28.96,26.72,26.72,24.3,24.3,26.28,26.28,29.2,29.2,,,,,,
"HR",,,,,,,,,,,,,,,,,0,0,0.34,0.34,0.15,0.15,0.15,0.15,0.1,,0.05,,0,0,0.005,,0.01,,0.015,,0.02,0.02,,,,,,,,,,,,
