id,year,budget-type,l1,l2,l3,l4,l5,value
UG,2014,budget,agriculture,,,,,138418336
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,,,,30643054.81
UG,2014,budget,agriculture,national-agricultural-research-organisation,,,,29358416.9
UG,2014,budget,agriculture,national-agricultural-advisory-services-secretariat,,,,17278760.41
UG,2014,budget,agriculture,local-governments,,,,53311674.67
UG,2014,budget,agriculture,other,,,,7826429.237
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,,,12542893.81
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,,,11070005.33
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,,,7030155.679
UG,2014,budget,agriculture,national-agricultural-research-organisation,headquarters,,,8922076.928
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-crops-research,,,220013.5189
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-fisheries-research,,,113987.5332
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-forestry-research,,,74057.31623
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-livestock-research,,,107574.5839
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-semi-arid-research,,,101302.8163
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-laboratories-research,,,249375.6443
UG,2014,budget,agriculture,national-agricultural-research-organisation,abi-zonal-agricultural-research-and-development-institute,,,38394.08679
UG,2014,budget,agriculture,national-agricultural-research-organisation,bulindi-zonal-agricultural-research-and-development-institute,,,35172.21051
UG,2014,budget,agriculture,national-agricultural-research-organisation,kacwekano-zonal-agricultural-research-and-development-institute,,,44978.65434
UG,2014,budget,agriculture,national-agricultural-research-organisation,mukono-zonal-agricultural-research-and-development-institute,,,44461.96601
UG,2014,budget,agriculture,national-agricultural-research-organisation,ngetta-zonal-agricultural-research-and-development-institute,,,48782.12586
UG,2014,budget,agriculture,national-agricultural-research-organisation,nabium-zonal-agricultural-research-and-development-institute,,,36157.91543
UG,2014,budget,agriculture,national-agricultural-research-organisation,mbarara-zonal-agricultural-research-and-development-institute,,,35938.62542
UG,2014,budget,agriculture,national-agricultural-research-organisation,buginyaya-zonal-agricultural-research-and-development-institute,,,48328.51091
UG,2014,budget,agriculture,national-agricultural-research-organisation,rwebitaba-zonal-agricultural-research-and-development-institute,,,29717.82993
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-agricultural-research-organisation-internal-audit,,,21085.57775
UG,2014,budget,agriculture,national-agricultural-research-organisation,support-for-national-agricultural-research-organisation,,,2248087.094
UG,2014,budget,agriculture,national-agricultural-research-organisation,eastern-africa-agricultural-productivity-adaptable-program,,,6007413.848
UG,2014,budget,agriculture,national-agricultural-research-organisation,agricultural-technology-and-agribusiness-advisory-services,,,10931510.12
UG,2014,budget,agriculture,local-governments,agriculture-advisory-services,,,48126456.07
UG,2014,budget,agriculture,local-governments,district-production-services,,,5185218.598
UG,2014,budget,agriculture,other,dairy-development-authority,,,1849737.625
UG,2014,budget,agriculture,other,kampala-capital-city-authority,,,494441.3966
UG,2014,budget,agriculture,other,national-animal-genetic-research-centre-and-data-bank,,,1265134.665
UG,2014,budget,agriculture,other,uganda-cotton-development-organisation,,,1316473.463
UG,2014,budget,agriculture,other,uganda-coffee-development-authority,,,2900642.087
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,directorate-of-crop-resources,,221490.2428
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,farm-development,,832505.1812
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-protection-department,,777505.5602
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-production-department,,393573.8599
