"id","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","value-ncu.2014","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","value-ncu.2015","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","value-ncu.2013"
"UG","budget","defence",,,,,,353076451.2,1.03e+12,"budget","defence",,,,,,335513967.8,1.13e+12,,,,,,,,,
"SN","budget","education",,,,,,1047707508,5.03e+11,"budget","education",,,,,,1072734534,5.31e+11,"budget","education","ministere-de-leducation-nationale",,,,,724224515.5,3.53e+11
