id,level,name
expenditure,1,Expenditure
revenue,1,Revenue
administration,2,Administration
finance,2,Finance
statutory-bodies,2,Statutory Bodies
production-and-marketing,2,Production and Marketing
health,2,Health
education,2,Education
roads-and-engineering,2,Roads and Engineering
water,2,Water
natural-resources,2,Natural Resources
community-based-services,2,Community Based Services
planning,2,Planning
internal-audit,2,Internal Audit
locally-raised-revenues,2,Locally Raised Revenues
discretionary-government-transfers,2,Discretionary Government Transfers
conditional-government-transfers,2,Conditional Government Transfers
other-government-transfers,2,Other Government Transfers
local-development-grant,2,Local Development Grant
donor-funding,2,Donor Funding
recurrent-expenditure,3,Recurrent Expenditure
development-expenditure,3,Development Expenditure
local-service-tax,3,Local Service Tax
registration-eg-births-deaths-marriages-etc-fees,3,"Registration (e.g. Births, Deaths, Marriages, etc.) Fees"
public-health-licences,3,Public Health Licences
property-related-dutiesfees,3,Property related Duties/Fees
park-fees,3,Park Fees
other-licences,3,Other licences
other-fees-and-charges,3,Other Fees and Charges
sale-of-produced-government-propertiesassets,3,Sale of (Produced) Government Properties/assets
marketgate-charges,3,Market/Gate Charges
land-fees,3,Land Fees
local-government-hotel-tax,3,Local Government Hotel Tax
inspection-fees,3,Inspection Fees
agency-fees,3,Agency Fees
group-registration,3,Group registration
business-licences,3,Business licences
application-fees,3,Application Fees
animal-crop-husbandry-related-levies,3,Animal & Crop Husbandry related levies
miscellaneous,3,Miscellaneous
unspent-balances---locally-raised-revenues,3,Unspent balances - Locally Raised Revenues
district-equalisation-grant,3,District Equalisation Grant
hard-to-reach-allowances,3,Hard to reach allowances
district-unconditional-grant---non-wage,3,District Unconditional Grant - Non Wage
transfer-of-urban-unconditional-grant---wage,3,Transfer of Urban Unconditional Grant - Wage
transfer-of-district-unconditional-grant---wage,3,Transfer of District Unconditional Grant - Wage
urban-equalisation-grant,3,Urban Equalisation Grant 
urban-unconditional-grant---non-wage,3,Urban Unconditional Grant - Non Wage
conditional-transfers-for-non-wage-technical-institutes,3,Conditional Transfers for Non Wage Technical Institutes
conditional-transfer-for-rural-water,3,Conditional transfer for Rural Water 
conditional-grant-to-phc---development,3,Conditional Grant to PHC - development
conditional-grant-to-primary-salaries,3,Conditional Grant to Primary Salaries
conditional-grant-to-tertiary-salaries,3,Conditional Grant to Tertiary Salaries
conditional-grant-to-sfg,3,Conditional Grant to SFG
conditional-grant-to-secondary-salaries,3,Conditional Grant to Secondary Salaries
conditional-grant-to-secondary-education,3,Conditional Grant to Secondary Education
conditional-grant-to-women-youth-and-disability-grant,3,Conditional Grant to Women Youth and Disability Grant
conditional-grant-to-primary-education,3,Conditional Grant to Primary Education
conditional-grant-to-phc--non-wage,3,Conditional Grant to PHC- Non wage
conditional-grant-to-paf-monitoring,3,Conditional Grant to PAF monitoring
conditional-grant-to-ngo-hospitals,3,Conditional Grant to NGO Hospitals
conditional-grant-to-functional-adult-lit,3,Conditional Grant to Functional Adult Lit
conditional-grant-to-dsc-chairs’-salaries,3,Conditional Grant to DSC Chairs’ Salaries
conditional-grant-to-district-natural-res---wetlands-non-wage,3,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
conditional-grant-to-district-hospitals,3,Conditional Grant to District Hospitals
conditional-grant-to-community-devt-assistants-non-wage,3,Conditional Grant to Community Devt Assistants Non Wage
conditional-grant-to-agric-ext-salaries,3,Conditional Grant to Agric. Ext Salaries
conditional-grant-for-naads,3,Conditional Grant for NAADS
conditional-grant-to-phc-salaries,3,Conditional Grant to PHC Salaries
conditional-transfers-to-production-and-marketing,3,Conditional transfers to Production and Marketing
sanitation-and-hygiene,3,Sanitation and Hygiene
conditional-transfers-to-school-inspection-grant,3,Conditional transfers to School Inspection Grant
conditional-transfers-to-special-grant-for-pwds,3,Conditional transfers to Special Grant for PWDs
naads-districts---wage,3,NAADS (Districts) - Wage
roads-rehabilitation-grant,3,Roads Rehabilitation Grant
conditional-transfers-to-councillors-allowances-and-ex--gratia-for-llgs,3,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
conditional-transfers-to-dsc-operational-costs,3,Conditional transfers to DSC Operational Costs
unspent-balances---other-government-transfers,3,Unspent balances - Other Government Transfers
uganda-roads-funds---urban,3,Uganda Roads Funds - Urban
uganda-roads-funds---district,3,Uganda Roads Funds - District
nusaf-ii,3,NUSAF II
unspent-balances---conditional-grants,3,Unspent balances - Conditional Grants
lgmsd-former-lgdp,3,LGMSD (Former LGDP)
ubos-census,3,UBOS-CENSUS
sustain,3,SUSTAIN
research-triangle,3,Research Triangle
who,3,WHO
sight-savers,3,SIGHT SAVERS
monitoring-educ-enrolment,3,MONITORING EDUC. ENROLMENT
moh,3,MOH
unicef,3,UNICEF
led,3,LED
youth-livelihood-fund,3,YOUTH LIVELIHOOD FUND
unspent-balances---donor,3,Unspent balances - donor
global-fund,3,GLOBAL FUND
unfpapopsec,3,UNFPA/POPSEC
liquor-licences,3,Liquor licences
advance-recoveries,3,Advance Recoveries
other-court-fees,3,Other Court Fees
rent-rates-from-other-govt-units,3,Rent & Rates from other Gov't Units
royalties,3,Royalties
sale-of-non-produced-government-propertiesassets,3,Sale of non-produced government Properties/assets
conditional-grant-to-ifms-running-costs,3,Conditional Grant to IFMS Running Costs
uganda-road-fund,3,Uganda Road Fund
nusafii,3,NUSAFII
moes---uneb,3,MoES - UNEB
maif,3,MAIF
youth-livelihood-programm,3,Youth Livelihood Programm
restocking-programme,3,Restocking programme
ubos_-census,3,UBOS_ Census
belgium-uganda,3,Belgium Uganda
baylor,3,Baylor
ntd,3,NTD
tpotso,3,TPO/TSO
uac,3,UAC
unhcr,3,UNHCR
gavi-fund,3,GAVI FUND
registration-of-businesses,3,Registration of Businesses
rent-rates-from-private-entities,3,Rent & Rates from private entities
conditional-transfer-for-rural-water,3,Conditional transfer for Rural Water
