"district_id","2012","2013","2014","2015","2016","2017","2018","2019"
"d314",8979.32,,,46.19,7416.67,,104491.79,82093.93
"d301",3342.52,56635.35,96532.89,9464.11,591.14,6260.67,,35615.57
"d322",,1370.83,140721.82,2326.53,6465.22,,,165949.66
"d323",8350.25,,,3263.38,15013.28,13095.37,,0
"d315",,13303.09,4802.24,953.34,1191.86,860.05,12761.62,0
"d324",,9337.67,5780.84,18489.16,7204.09,8819.38,,206292.54
"d216",598.64,9949.54,,32230.68,16451.83,137.57,,0
"d316",,204.56,4038.37,1895.93,1860.51,42168.19,6039.9,
"d302",201771.14,158573.45,304632.75,907.15,44740.32,,161076.36,10919.35
"d303",28157.73,7510.76,37610.76,75.6,1680.27,4017.45,0,15360.46
"d217",,3823.11,8180.07,15136.95,118.23,49779.15,5335.57,1752758.73
"d218",,7379.24,25025.18,2945.96,89.38,1386.11,97621.48,37073.24
"d201",2328.66,224.89,8821.21,168515.44,206.9,,68517.25,0
"d420",,,79011.63,37788.85,28059.77,,3852.49,57366.55
"d117",,,,,3395.18,,1953.3,3948.32
"d219",2315.68,37868.99,1058.76,3605.91,,1090.07,215925.59,0
"d118",13029.68,2830.55,2382.9,1619.33,827.6,,0,1391.52
"d220",4957,6987.39,40850.06,13762.32,296355.9,,0,2765.75
"d225",1356.43,53387.87,,223.23,,5511.13,,
"d416",32242.18,7367.37,877.91,226.79,32937.77,3391.22,2561.07,75322.02
"d401",,46248.09,,577244.38,2165.36,11437.7,0,27744.96
"d402",,,607.07,,316.44,,,37563.05
"d202",22127.32,40461.87,,36643.35,,1610.62,636416.71,2561.07
"d221",7622.99,512057.83,147442.9,72948.86,709.37,326.64,50504.01,150136.95
"d119",8819.57,18741,,,8262.89,13274.26,213.42,73354.05
"d120",,7230.82,,3728.07,,,6947.55,0
"d226",2150.59,5082.13,,3779.78,5350.15,5781.21,,
"d317",,2422.06,,25054.7,5018.69,,0,0
"d121",1147.73,29831.18,4310.87,,2727.01,21128.25,,10927.89
"d304",70449.17,232594.35,588729.86,26209.88,1507.42,1897.64,38262.65,27380.86
"d403",104516.01,3717.51,15462.84,4951.51,177.34,163.32,0,1321008.92
"d417",1496.55,,175.58,161951.41,17349.96,4200.09,40187.93,
"d203",62679.52,19931.11,824.88,9039.49,11559.17,301.11,,
"d418",3213.99,10289.31,2685.52,,,19933.76,,
"d204",1858.26,5486.94,2594.65,31653.29,99745.97,16015.02,,
"d318",9901.41,67973.09,72233.83,3561,36128.3,18709.28,,
"d404",,166421.99,3267.83,,,,8521.7,
"d405",13307.15,52522.31,,214268.05,257.74,4230.64,42935.36,38828.01
"d213",358176.08,140194.7,438.95,,1083.27,3157.56,,
"d101",2387.33,33915.53,,74369.15,,326.64,55302.11,906870.54
"d222",1157.45,47547.04,,1889.89,38514.63,1927.91,3778.23,
"d122",8158.8,1404.03,878.17,85086.47,8654.47,2313.73,1113.68,2561.07
"d205",53413.72,42139.81,2475.7,2267.87,1868.19,356.37,4254.8,150201.83
"d413",142967.57,6333.69,,,3401.32,581181.8,57559.11,
"d414",71328.55,77.09,,17388.33,15079.79,,1361.9,
"d206",3273.35,17650.47,175.58,1527.41,,,1097.98,19795.18
"d406",,4441.38,913.11,7382.96,66068.85,48076.03,319.66,
"d207",3790.63,6113.57,5054.64,30252.35,22325.32,14170.9,,
"d112",,60573.61,1213.36,1663.1,3491.3,5008.54,2006.63,1280.54
"d407",218.01,28654.47,,33071,18847.74,5789.98,8536.91,0
"d103",,28481.22,,10241.15,50230.45,9122.72,,16068.39
"d227",368132.58,1704.39,,29454.59,,,554.9,59911.4
"d419",130561.31,449.78,,50915.86,9557.73,,12598.56,10174.93
"d421",4936.19,362483.19,13622.57,2129.75,37436.85,3632.88,63.16,
"d408",,3990.97,23847.03,13208.58,,,1997.05,18802.55
"d305",,128293.21,11925.49,,,32540.8,,
"d319",85281.81,1080.19,,551.77,,4275.82,3340.07,0
"d325",15207.22,5234.88,438.95,625.1,1606.2,35005.21,22627.94,
"d306",112960.31,3284.91,,4567.18,,,27133.29,98178.54
"d208",38385.26,1195.33,,36670.86,12318.02,6496.62,2227.11,
"d228",1076.98,4234.75,659.05,52.92,2621.84,1889.53,0,10047.94
"d123",,3829.68,5211.78,4738.4,,2177.63,179348.56,91776.28
"d422",,1392.69,32090.31,3291.66,,252695.27,1213.01,
"d415",6964.49,,1671.71,21281.28,9679.45,2468.01,43573.89,0
"d326",,1387.39,49399.83,4442.22,,,,
"d307",733003.61,256626.45,2235.94,4004.22,2786.83,30089.06,106496.9,0
"d229",16987.99,7958.55,9577.88,13787.19,6259.45,547.62,1705.88,
"d104",50728.5,111320.2,425.17,,6050.54,,910629.56,156203.07
"d124",18927.1,2104.96,4344.32,13651.34,1000.16,22803.65,15066.76,
"d114",693.68,2987.88,,3023.82,9000.28,,18757.3,
"d223",3660.92,16758.74,31118.91,,,,0,0
"d320",80596.34,38330.82,22333.95,2645.84,3000.59,,2544.15,58874.17
"d105",1080.55,5104.98,,37927.26,23507.61,489.97,401.32,42684.56
"d409",,,969.74,,2061.67,28273.74,,
"d214",,7934.09,51240.8,67814.48,1019.37,2140.44,2605.61,42426.32
"d209",3046.62,7265.81,11.06,47683.92,278.9,1378.71,,
"d410",3128.77,4240.78,31961.52,124.73,15131.51,8424.52,1161.34,4630.85
"d423",661.07,11539.51,30625.79,1399.95,,,1586.58,28973.21
"d115",1396.56,1889.07,,1663.1,,206.87,31101.25,55861.71
"d308",3562.31,,5267.44,755.96,,,,
"d309",,76500.71,78900.75,10666.15,858.4,1758.43,18316.6,
"d106",4276.5,5731.16,11586.44,34217.94,6820.2,,7174.8,0
"d107",1897.6,23689.01,103433.33,,9137.67,5753.07,10322.62,52075.16
"d108",,8517,942.17,3357.95,5617.52,878575.16,1767.89,0
"d311",,,,1663.1,1300.52,163.32,17236.68,
"d116",159933.86,3455.92,231694.05,2851.09,2189.78,,,
"d109",,,,36132.47,3779.18,,10492.08,5981.6
"d230",11739.84,2251.86,351.16,559.41,,110207.37,,
"d224",11361,,40528.31,2433.65,3161.67,3678.06,15824.47,55489.92
"d327",8719.59,841.53,51740.06,3208.65,1317.6,15475.35,,
"d310",187678.26,3815.02,12680.75,4535.73,239.59,52199.04,2142.78,
"d231",5640.37,23890.15,2054.3,1693.11,5652.75,303130.59,22519.38,0
"d424",53492.2,141.5,,46.34,3853.85,,426.85,28161.14
"d411",7348.19,14270.56,158406.99,,7087.76,4387.32,4146.9,
"d328",,,10990.87,,1497.07,,283627.78,0
"d329",,,,,814.01,1088.81,0,212040.23
"d321",11335.83,7125.03,59231.68,118570.31,41305.36,1123.17,27524.86,
"d312",12849.82,15732.34,9523.54,1508.43,1383.28,,,
"d210",,33847.52,44605.84,2592.32,52926.83,,3963.09,
"d110",,2398.22,1914.19,7559.55,23956.4,483.43,640.27,0
"d425",,466.33,44416.21,4535.73,,919.01,930278.11,119298.85
"d412",2221.94,1135.6,,13354.25,742.89,12134.87,19301.74,0
"d111",3774.38,44.98,227.99,1073.46,839.42,10506.93,,24991.81
"d232",,1879.35,26723.05,122045.05,232.2,6357.36,,0
"d426",1778.68,461.11,32972.52,32776.86,390.16,498.19,6669.68,
"d215",10828.46,1889.07,10985.6,1853.83,38102.07,647684.62,,
"d211",7998.86,33698.19,,,6821.56,31686.46,,
"d212",,14612.39,11148.54,1511.91,,,10670.93,1743.24
"d113",29721.87,20109.76,29524.71,,65421.96,1582.75,5199.07,
"d313",2774.7,4227.92,,22244.67,13678.19,4926.88,3112.03,
"d330",,7318.79,38690.15,52987.4,2373.38,31188.98,22174.94,
