"id","currency.2000","budget-type.2000","l1.2000","l2.2000","l3.2000","l4.2000","l5.2000","l6.2000","value.2000","value-ncu.2000","currency.2001","budget-type.2001","l1.2001","l2.2001","l3.2001","l4.2001","l5.2001","l6.2001","value.2001","value-ncu.2001","currency.2002","budget-type.2002","l1.2002","l2.2002","l3.2002","l4.2002","l5.2002","l6.2002","value.2002","value-ncu.2002","currency.2003","budget-type.2003","l1.2003","l2.2003","l3.2003","l4.2003","l5.2003","l6.2003","value.2003","value-ncu.2003","currency.2004","budget-type.2004","l1.2004","l2.2004","l3.2004","l4.2004","l5.2004","l6.2004","value.2004","value-ncu.2004","currency.2005","budget-type.2005","l1.2005","l2.2005","l3.2005","l4.2005","l5.2005","l6.2005","value.2005","value-ncu.2005","currency.2006","budget-type.2006","l1.2006","l2.2006","l3.2006","l4.2006","l5.2006","l6.2006","value.2006","value-ncu.2006","currency.2007","budget-type.2007","l1.2007","l2.2007","l3.2007","l4.2007","l5.2007","l6.2007","value.2007","value-ncu.2007","currency.2008","budget-type.2008","l1.2008","l2.2008","l3.2008","l4.2008","l5.2008","l6.2008","value.2008","value-ncu.2008","currency.2009","budget-type.2009","l1.2009","l2.2009","l3.2009","l4.2009","l5.2009","l6.2009","value.2009","value-ncu.2009","currency.2010","budget-type.2010","l1.2010","l2.2010","l3.2010","l4.2010","l5.2010","l6.2010","value.2010","value-ncu.2010","currency.2011","budget-type.2011","l1.2011","l2.2011","l3.2011","l4.2011","l5.2011","l6.2011","value.2011","value-ncu.2011","currency.2012","budget-type.2012","l1.2012","l2.2012","l3.2012","l4.2012","l5.2012","l6.2012","value.2012","value-ncu.2012","currency.2013","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","value-ncu.2013","currency.2014","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","value-ncu.2014","currency.2015","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","value-ncu.2015","currency.2016","budget-type.2016","l1.2016","l2.2016","l3.2016","l4.2016","l5.2016","l6.2016","value.2016","value-ncu.2016","currency.2017","budget-type.2017","l1.2017","l2.2017","l3.2017","l4.2017","l5.2017","l6.2017","value.2017","value-ncu.2017","currency.2018","budget-type.2018","l1.2018","l2.2018","l3.2018","l4.2018","l5.2018","l6.2018","value.2018","value-ncu.2018","currency.2019","budget-type.2019","l1.2019","l2.2019","l3.2019","l4.2019","l5.2019","l6.2019","value.2019","value-ncu.2019","currency.2020","budget-type.2020","l1.2020","l2.2020","l3.2020","l4.2020","l5.2020","l6.2020","value.2020","value-ncu.2020"
"MW","kwacha","actual","total-revenue-and-grants",,,,,,2297465711.525,2.2375e+10,"kwacha","actual","total-revenue-and-grants",,,,,,2125700645.7473,3.1243e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1271411380.5952,3.2432e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1198832427.9,4.2684e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1456971861.8151,6.5817e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1553853663.0526,8.4926e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1463823372.9735,1.16985e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1631696627.088,1.47632e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1667584525.9762,1.64554e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1985852939.9709,2.13213e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2121545860.2,2.61e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2055019399.2,2.74e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1027350012,2.6e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1012344207.3,4.77e+11,"kwacha","proj","total-revenue-and-grants",,,,,,949175316.6,5.86e+11,"kwacha","proj","total-revenue-and-grants",,,,,,935797482,6.54e+11,"kwacha","proj","total-revenue-and-grants",,,,,,1025808641,7.85e+11,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,
"NG","Nigerian naira","actual","total-revenue-and-grants",,,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,54922816393.4,2.053e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,62766538549,2.795e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,74639366533.7,4.127e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,85922371604.3,5.621e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,82668043180.8,6.336e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,77067099623,5.926e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,99622993162,8.063e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,46110412879.4,4.471e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,55509738950.2,6.883e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,81062308178,1.1285e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,66870420268.4,1.0393e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,54378859928.8,8.938e+12,"Nigerian naira","proj","total-revenue-and-grants",,,,,,59849570740.6,1.0469e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,63111944574.3,1.2189e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,56603226088.2,1.2401e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,
"SD","Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,19671300009.1345,2.9245e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,15683812448.4535,3.2357e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,6178961751.2469,2.2077e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,4833368018.1569,3.1309e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,4390863182.2315,4.9421e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,3531176223.705,6.5949e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,3350651472.0188,7.8103e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,3325333570.8276,8.8916e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,3390146271.171,1.00585e+11,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,3467891871.6288,1.13394e+11,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,,
"ML","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,769902574.61,3.523e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,799664088.63,3.949e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1012315602.59,4.567e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1388374765.1,5.365e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1513405368,5.58e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1630636753.2,6.216e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4578247324.23,1.8201e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2046648818.76,7.644e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2018027078.8,7.64e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2234863255.41,9.259e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2091872240.8,9.47e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2321843729.4,1.053e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1814441998.62,9.258e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2308007184.39,1.1511e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2814631923.82,1.3814e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2821433991.68,1.3952e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2973033360.18,1.4946e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3239241445.7,1.6465e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,
"PK","Pakistani rupees","actual","total-revenue-and-grants",,,,,,,,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,27636349696.9,5.935e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,30191056774.2,7.07e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,35918338234.4,8.38e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,33424082505,8.25e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,34279160143.3,9.19e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,37229657673,1.121e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,40847499291.4,1.327e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,41887169397,1.53e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,33229845445.2,1.878e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,31890411333,2.13e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,28472080536,2.306e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,29661463195,2.642e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,28585166634,2.988e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,,3.831e+12,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,4.288e+12,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,
"TZ","Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3316423105.82,1.0798e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3238821768.42,1.2159e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3220543726.88,1.4281e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3560874946.3,1.8398e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3716931279.6,2.156e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,4368757172,2.795e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,4064489629.2,3.036e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,4560493871.7,3.697e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,6117775462.4,5.216e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5549874945.6,5.633e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5352938087,6.205e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5223824299.6,7.366e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5774683961.2,9.076e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5726713404.3,1.0171e+13,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,6247904701.5,1.2029e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,6411385186.4,1.3304e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,6923817133.3,1.5437e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,7288406298.7,1.7587e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,7625071440,1.9936e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,,,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,,
"NE","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,358504269.2,1.694e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,393862379.91,1.993e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,477800886.75,2.355e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,567404207.89,2.327e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,701074444.9,2.63e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,726272106.56,2.912e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2839705919.22,1.1458e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1180911080,4.555e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1512139668.43,5.839e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1096232747.35,4.745e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1106647179.39,5.157e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1168748257.16,5.423e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1488386377.8,7.595e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1671076603.35,8.505e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1926417162.96,9.608e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2096024532.56,1.0444e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,2618737358,1.3075e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3182059880.51,1.5953e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3546519798.51,1.7793e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,
"IN","rupees","actual","total-revenue-and-grants",,,,,,167123121619.048,3788698098000,"rupees","actual","total-revenue-and-grants",,,,,,170686443527.809,4169846004000,"rupees","actual","total-revenue-and-grants",,,,,,155179275887.2,3.992e+12,"rupees","actual","total-revenue-and-grants",,,,,,177397784283.2,4.498e+12,"rupees","actual","total-revenue-and-grants",,,,,,197276158969.2,5.171e+12,"rupees","actual","total-revenue-and-grants",,,,,,227580063212.7,6.127e+12,"rupees","actual","total-revenue-and-grants",,,,,,240410788992,7.04e+12,"rupees","actual","total-revenue-and-grants",,,,,,316934548542.9,8.7345e+12,"rupees","actual","total-revenue-and-grants",,,,,,319964893651,1.09525e+13,"rupees","actual","total-revenue-and-grants",,,,,,296480354831.28,1.10956e+13,"rupees","actual","total-revenue-and-grants",,,,,,308969822996.8,1.21012e+13,"rupees","actual","total-revenue-and-grants",,,,,,378789207314.109,1.6937296e+13,"rupees","actual","total-revenue-and-grants",,,,,,349444623589.709,19012966400000,"rupees","actual","total-revenue-and-grants",,,,,,342308355279.329,22142386500000,"rupees","proj","total-revenue-and-grants",,,,,,349792588128.946,25230470636000,"rupees","proj","total-revenue-and-grants",,,,,,365130335811.726,28792642626000,"rupees","proj","total-revenue-and-grants",,,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,
"AF","Afghanis","actual","total-revenue-and-grants",,,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,665316107.0856,1.5294e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,989112666.2608,2.4811e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,1255160448.797,3.6034e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,1816733737.98,5.67e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,1896721640.06,6.46e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,2173799834.92,8.68e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,2405776810.32,9.36e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,3256734223.36,1.264e+11,"Afghanis","actual","total-revenue-and-grants",,,,,,4123059531.93,1.777e+11,"Afghanis","actual","total-revenue-and-grants",,,,,,5117244250.34,2.606e+11,"Afghanis","proj","total-revenue-and-grants",,,,,,4579709203.34,2.719e+11,"Afghanis","budget","total-revenue-and-grants",,,,,,5477139848.48,3.559e+11,"Afghanis","proj","total-revenue-and-grants",,,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,
"AO","kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,42566947471.23,1.6849e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,49994686841.1,2.127e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,64628543174.7,3.219e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,42500624476.8,2.072e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,47692785480.9,3.297e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,54461454384.2,4.778e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,52960356224,5.056e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,50049123205,4.922e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,46610603188.2,4.842e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,47963744847,5.245e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,
"BJ","kwanzas","actual","total-revenue-and-grants",,,,,,592612937.32,2.932e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,623810902.2,3.27e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,663232172.04,3.372e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,897719235,3.875e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1032810420.24,4.071e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1050058593.06,4.313e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1124047530.32,4.726e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1587647445.3,6.269e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1606808316.69,6.333e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1591828176.42,6.759e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1370391020.16,6.222e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1536095706.8,6.824e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,1500953607.27,7.659e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,1653049783.72,8.236e+11,"kwanzas","budget","total-revenue-and-grants",,,,,,1830026578.6,8.954e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,1970042538.24,9.726e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,2116217353.68,1.0526e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,2273871905,1.1393e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,2437071952.9,1.2337e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,2588157202.68,1.3293e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,,
"BT","ngultrum","actual","total-revenue-and-grants",,,,,,,,"ngultrum","actual","total-revenue-and-grants",,,,,,,,"ngultrum","actual","total-revenue-and-grants",,,,,,319160634.0911,8.849e+09,"ngultrum","actual","total-revenue-and-grants",,,,,,237823033.8792,7.054e+09,"ngultrum","actual","total-revenue-and-grants",,,,,,354251682.42,1.0421e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,347760916.7604,1.0439e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,432084663.64,1.3328e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,486590354.4168,1.6083e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,580432384.29,1.8282e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,590990580.3344,2.0624e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,756711033.999,3.099e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,676998689.4664,2.8172e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,704026756.6896,3.2856e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,526099408.5136,3.0664e+10,"ngultrum","budget","total-revenue-and-grants",,,,,,459011020.32,3.16e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,382525675.7865,3.0733e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,
"BF","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,728734263.77,3.763e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,748976437.31,3.781e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1017241453.5,4.35e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1186274379.9,4.618e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1231781479.35,4.967e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1435146650.95,5.701e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1748169897.45,6.505e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1666547106.4,6.308e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1884927642.75,7.715e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1993651591.68,8.802e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2323195323.03,1.0473e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2501782862.85,1.2765e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2944179765.28,1.4417e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3293779528.2,1.582e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3570044718.96,1.7172e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,3854060221.5,1.8675e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,
"BI","Burundian Franc","actual","total-revenue-and-grants",,,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,590612372.3,2.554e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,559073664.97,2.729e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,728477499.22,3.478e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,770913662.64,4.191e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,1046515200.48432,773992800000,"Burundian Franc","actual","total-revenue-and-grants",,,,,,832156376.66275,703304994000,"Burundian Franc","actual","total-revenue-and-grants",,,,,,1009922482.8,9.306e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,989625697.6,1.072e+12,"Burundian Franc","actual","total-revenue-and-grants",,,,,,788160813.67,1.1369e+12,"Burundian Franc","actual","total-revenue-and-grants",,,,,,730055411.76,1.2664e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,710340308.15,1.3519e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,729769747.2,1.5149e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,759435597.76,1.7164e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,786077904.31,1.9199e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,,,"Burundian Franc","proj","total-revenue-and-grants",,,,,,,,"Burundian Franc","proj","total-revenue-and-grants",,,,,,,
"KH","riels",,"total-revenue-and-grants",,,,,,,,"riels",,"total-revenue-and-grants",,,,,,,,"riels",,"total-revenue-and-grants",,,,,,,,"riels",,"total-revenue-and-grants",,,,,,,,"riels",,"total-revenue-and-grants",,,,,,,,"riels",,"total-revenue-and-grants",,,,,,,,"riels","actual","total-revenue-and-grants",,,,,,1354362259.2,4.192e+12,"riels","actual","total-revenue-and-grants",,,,,,1512261561,4.929e+12,"riels","actual","total-revenue-and-grants",,,,,,1878134955.6,6.868e+12,"riels","actual","total-revenue-and-grants",,,,,,2253785281.6,8.636e+12,"riels","actual","total-revenue-and-grants",,,,,,2593741722,1.0348e+13,"riels","actual","total-revenue-and-grants",,,,,,2454995404.8,9.792e+12,"riels","actual","total-revenue-and-grants",,,,,,2783682862.4,1.1182e+13,"riels","proj","total-revenue-and-grants",,,,,,3124384443.4,1.2682e+13,"riels","proj","total-revenue-and-grants",,,,,,3326031217.9,1.4071e+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
