"id","in-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"ZM",65560000,259650000,45970000,72460000,82150000,26760000,13740000,105390000,22710000,188450000,334010000,13080000,108680000,60680000,14100000,52570000,180490000,7790000,15520000,626140000,33650000,184440000,61220000,18190000,153560000,72890000,18760000,8750000,150660000,18520000,9180000,193230000,6270000,46680000,61630000,5150000,35620000,30470000,9360000,3220000,26610000,13800000
"ZW",84530000,135440000,80120000,5120000,50030000,13170000,860000,34100000,10980000,5850000,27790000,7760000,1520000,24550000,8110000,4130000,16390000,3540000,4830000,15200000,1920000,1220000,45150000,19200000,1040000,7460000,580000,2220000,6150000,260000,2160000,4890000,2780000,1080000,0,0,22170000,4820000,3160000,8910000,8950000,8490000
"south-of-sahara",0,10440000,7930000,0,990000,1410000,6170000,2130000,2310000,6610000,21030000,5910000,145790000,19820000,3610000,29150000,7910000,16730000,52970000,34940000,16120000,83090000,26450000,18500000,129040000,27400000,24110000,67600000,21360000,9540000,27420000,60000,420000,141130000,38990000,5030000,72770000,25440000,5640000,70880000,16350000,1910000
"africa",14750000,1750000,530000,197350000,139620000,5190000,167440000,126090000,6020000,206350000,89390000,21250000,222430000,194240000,21620000,242060000,142140000,28540000,7620000,5230000,0,33210000,8940000,1070000,230970000,8120000,5350000,388950000,24190000,18530000,451250000,120500000,22980000,385160000,302090000,22750000,540380000,130350000,26690000,534630000,238010000,46030000
"AI",6460000,170000,230000,1670000,210000,820000,7850000,990000,930000,1060000,670000,560000,950000,780000,520000,0,390000,250000,7040000,8e+05,730000,2e+06,830000,880000,1050000,1300000,830000,290000,1300000,770000,57250000,2360000,860000,0,1180000,2640000,710000,1530000,2420000,1e+05,1570000,2440000
"AG",140000,0,110000,2920000,5770000,1900000,1780000,4870000,410000,3790000,660000,910000,4830000,1640000,970000,190000,1030000,390000,3e+05,1900000,760000,10190000,9820000,1080000,5380000,3520000,640000,12640000,2330000,1750000,11900000,12850000,1860000,35950000,2600000,1900000,4180000,21970000,2300000,15860000,3400000,1560000
"AW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB",35630000,17220000,21430000,46540000,19820000,24020000,31490000,21060000,20740000,55160000,21130000,19150000,36520000,22730000,16540000,15280000,15140000,10090000,106240000,34140000,17390000,45370000,35080000,16320000,63440000,44210000,16400000,59600000,65800000,16400000,88170000,51240000,13580000,0,0,0,0,0,0,0,0,0
"BZ",35970000,10400000,11650000,51900000,36870000,15140000,40930000,28600000,14190000,34010000,10460000,11310000,24180000,11500000,10170000,9020000,10580000,7120000,29290000,14550000,12210000,38740000,22290000,11540000,16540000,19770000,11250000,28280000,16420000,8750000,18800000,22970000,7550000,16930000,16450000,5240000,19640000,15360000,3570000,20940000,15550000,4430000
"BM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR",132330000,206140000,111900000,99080000,176890000,108210000,123400000,158750000,90760000,167430000,158990000,73230000,153160000,161730000,62360000,122750000,274600000,59600000,46180000,124840000,47540000,43500000,156540000,42350000,228690000,326130000,39720000,117290000,90190000,33610000,610500000,76180000,29810000,310010000,135620000,40030000,211640000,112250000,36060000,260160000,121270000,49480000
"CU",22170000,17400000,0,58680000,123670000,6550000,18120000,66480000,3010000,8230000,3110000,2720000,5280000,840000,2660000,29060000,0,1590000,990000,3050000,590000,16920000,4410000,2540000,0,8230000,1440000,0,1090000,1790000,0,0,1690000,2500000,1720000,1880000,0,3150000,2270000,0,2770000,1320000
"DM",5680000,7e+05,1120000,4960000,630000,1730000,37700000,4030000,3210000,5820000,1190000,1480000,6430000,7140000,1570000,6010000,2380000,1930000,1390000,2080000,1510000,920000,2240000,1360000,1070000,3220000,1170000,120000,2570000,960000,3450000,5340000,8e+05,5410000,2190000,690000,5540000,1980000,8e+05,5280000,1810000,870000
"DO",168990000,136010000,132850000,328130000,225110000,108350000,490490000,211360000,118750000,409900000,293580000,116380000,526440000,174370000,128780000,400440000,163950000,122770000,374350000,206900000,147710000,274040000,366470000,146780000,280400000,372470000,125200000,908040000,246800000,105890000,1302750000,202780000,133180000,664550000,214790000,155990000,261370000,320310000,142540000,798200000,413910000,174320000
"SV",256240000,102430000,130720000,453430000,134010000,147450000,316720000,134300000,123940000,261850000,145180000,113050000,166590000,177260000,84450000,302900000,162420000,94080000,174210000,189820000,102970000,185370000,182700000,101720000,405740000,191570000,94260000,783920000,358160000,91250000,574960000,218900000,72500000,367380000,197120000,74080000,334360000,200330000,82910000,266420000,175320000,83850000
"GD",6290000,1090000,1330000,7260000,1120000,2220000,9560000,4280000,3400000,11740000,1470000,1960000,9200000,1670000,2280000,13560000,2810000,1580000,11810000,3010000,2810000,7370000,4150000,3170000,3890000,4880000,3060000,7250000,4850000,2480000,8780000,13090000,2100000,2130000,7140000,1500000,1890000,3700000,1410000,2470000,4390000,1320000
"GT",235420000,137940000,108310000,234820000,122530000,120060000,412570000,147370000,121860000,163990000,105180000,85350000,279810000,137620000,88640000,98140000,104010000,78460000,401450000,1.64e+08,102880000,402880000,113630000,101810000,300310000,145030000,112850000,817150000,153840000,118280000,791460000,160540000,144860000,278220000,222860000,138060000,228140000,182600000,131310000,571460000,216220000,140690000
"HT",0,1970000,170000,0,1970000,140000,0,1590000,160000,0,1350000,240000,0,90000,650000,0,70000,130000,63630000,90000,1860000,6080000,44730000,10430000,20000,690000,1260000,7360000,16370000,730000,16080000,40520000,18350000,31130000,340000,1880000,9720000,21580000,1740000,6740000,1470000,2660000
"HN",83190000,170910000,61510000,9060000,141250000,54980000,13600000,90290000,44870000,3280000,71180000,29820000,50910000,73900000,46520000,14950000,234240000,30890000,36680000,95110000,11760000,7470000,25510000,6380000,142470000,52090000,8420000,67500000,31480000,13080000,31940000,55570000,12480000,151820000,128850000,17890000,95730000,23730000,2160000,160060000,26670000,19720000
"JM",380820000,196340000,99510000,241900000,184830000,115800000,386470000,182970000,111320000,198150000,179180000,101920000,160690000,169090000,87790000,70460000,182150000,103110000,205200000,223390000,93800000,118620000,182040000,87260000,216170000,167980000,82340000,322120000,220060000,79320000,1021200000,175270000,67810000,476070000,122970000,68750000,171770000,175910000,72720000,278700000,181790000,71220000
"MX",5363370000,4770320000,2116380000,4028520000,4071120000,2246730000,4894700000,4216660000,1916940000,4170610000,4026140000,1503350000,3447250000,5156360000,1252170000,3493090000,3938630000,1107060000,4353320000,14068360000,1174050000,2929850000,3347870000,665910000,4042100000,2380060000,588090000,9499870000,2.416e+09,644890000,7516530000,2175250000,698540000,5901560000,2507650000,815010000,5317240000,2939490000,783610000,5567140000,2897220000,980250000
"MS",0,90000,0,0,0,0,0,2980000,240000,0,0,0,0,0,0,0,230000,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NI",40140000,52210000,21600000,291980000,31520000,19500000,4800000,21170000,7380000,189550000,187840000,19770000,56550000,357860000,9890000,1080000,147600000,35490000,40540000,15050000,8080000,28180000,15780000,9250000,79120000,28790000,11270000,5.5e+07,33530000,11270000,66490000,53900000,12180000,72250000,37730000,13140000,103910000,33230000,13410000,51690000,49590000,16970000
"PA",274700000,142250000,126450000,240450000,124380000,138630000,262420000,177380000,116550000,221830000,138910000,98080000,146930000,207800000,89280000,152810000,227180000,93920000,208440000,284980000,84720000,230590000,233750000,76080000,397370000,158850000,69510000,697590000,188980000,86140000,822390000,173310000,98830000,631130000,183030000,83510000,610160000,234390000,94620000,1248150000,241580000,120580000
"KN",5930000,3090000,1740000,11860000,3240000,2410000,36300000,3780000,3980000,11030000,3830000,4080000,8170000,5190000,4140000,4150000,5070000,2250000,6460000,5560000,4080000,13050000,7340000,4270000,16720000,30110000,13250000,7290000,6300000,3120000,9680000,10700000,2480000,19810000,6370000,2230000,910000,6220000,2160000,1600000,13220000,1620000
"LC",7030000,3220000,3900000,4990000,3990000,4690000,27560000,13710000,5640000,37630000,4290000,4720000,35770000,4890000,5740000,5180000,3940000,1890000,16330000,6530000,7380000,19640000,9380000,7660000,26390000,15120000,8150000,16200000,11360000,7190000,16960000,34750000,7e+06,1930000,10960000,4710000,4040000,16360000,9660000,5790000,15880000,9460000
"VC",6480000,570000,1320000,3520000,780000,2190000,8530000,3530000,2790000,1740000,1360000,1570000,4180000,1460000,1520000,5400000,2280000,860000,17160000,1820000,2760000,19920000,31780000,16140000,9030000,2650000,3750000,16630000,3860000,3600000,51920000,10500000,3590000,3880000,6270000,4390000,1280000,6820000,4390000,6160000,6670000,4290000
"TT",122430000,147390000,91350000,150270000,133700000,92310000,139680000,182060000,79320000,158280000,147010000,66820000,111620000,271350000,55190000,80010000,119650000,39280000,174820000,133490000,48760000,87830000,112440000,43650000,64560000,107240000,42660000,37540000,9.2e+07,36480000,156100000,199970000,91510000,0,0,0,0,0,0,0,0,0
"TC",990000,50000,230000,2050000,60000,330000,2350000,530000,5e+05,6e+05,150000,330000,1900000,210000,330000,910000,170000,150000,1e+05,3e+05,410000,38900000,19570000,570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"west-indies",1230000,2660000,1340000,490000,8890000,1520000,3300000,1770000,640000,1920000,1330000,5e+05,780000,940000,440000,0,680000,210000,3860000,1440000,5e+05,0,1190000,470000,1220000,890000,410000,10490000,810000,640000,13310000,1960000,1090000,12510000,940000,1090000,7600000,70000,30000,660000,2880000,1590000
"north-central-america",62740000,35260000,66540000,51610000,35840000,26610000,87490000,44550000,26470000,-10430000,28950000,12240000,24620000,36930000,15200000,26750000,47850000,14780000,33920000,97640000,15600000,29680000,31340000,11150000,143680000,43560000,13420000,15910000,33340000,15090000,23600000,33410000,11810000,5248230000,6200090000,627620000,188460000,47530000,25870000,514060000,38410000,35600000
"AR",3300170000,2314230000,2312720000,4870990000,2609590000,2255820000,1400410000,4095030000,1652930000,6267480000,7319970000,1355700000,1832920000,2122490000,879340000,1567840000,2215910000,974460000,2017710000,3130860000,1043010000,2326590000,3139480000,981560000,1994950000,2418350000,765720000,3396630000,2035160000,646250000,2511260000,1927980000,618570000,2184910000,1700090000,539010000,1874660000,1846290000,513580000,2372110000,1797520000,566360000
"BO",110620000,159240000,72540000,65360000,218530000,73390000,37610000,138680000,54470000,145680000,133930000,49920000,36040000,107990000,42780000,96690000,120980000,49330000,13760000,107460000,44610000,63360000,86250000,30850000,165570000,82820000,25950000,14820000,104470000,21290000,192450000,155410000,15930000,4550000,157530000,9990000,5710000,104540000,8750000,7290000,84200000,4810000
"BR",8652280000,3.013e+09,2461760000,7597390000,3866280000,2835030000,7278860000,5070760000,2392620000,6655460000,7363360000,1920980000,3458050000,6696160000,1414350000,4466260000,4544840000,1271030000,7057800000,4693690000,1441460000,4.292e+09,3624470000,1602740000,4782790000,3477670000,1541030000,7216030000,5001200000,1317630000,8746220000,4487680000,1029350000,6042930000,9815700000,930370000,6610520000,3132460000,915590000,6746310000,5515120000,974210000
"CL",271550000,664560000,192710000,703780000,607560000,220440000,406660000,935180000,152520000,504300000,595830000,107680000,806800000,1362950000,78020000,467400000,621150000,88900000,366430000,313470000,89490000,288930000,395630000,63370000,1057750000,591500000,88920000,1880990000,1002680000,90050000,1673020000,861950000,57980000,1000660000,636070000,60090000,6655090000,486820000,107530000,2227760000,1191840000,159950000
"CO",907920000,1268230000,612290000,1956280000,952790000,668840000,1308240000,1404500000,583470000,4041820000,1482350000,548630000,978450000,1038700000,513440000,1268080000,2304780000,507680000,2191430000,755040000,490390000,1879860000,896010000,568280000,2105930000,624680000,563720000,2624550000,706440000,568680000,2226750000,836090000,559060000,1192430000,823330000,510430000,3595070000,1011770000,309140000,2607720000,1217120000,551620000
"EC",460130000,331460000,277910000,448600000,315200000,257380000,697080000,589880000,233440000,435470000,332180000,170270000,145350000,352610000,139870000,109930000,324660000,124840000,265020000,280010000,126110000,309740000,186930000,113630000,227810000,248770000,150940000,295250000,234620000,127410000,193130000,241350000,122770000,482880000,237270000,105810000,430510000,266190000,103220000,431540000,264370000,109960000
"FK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GY",290000,18310000,6720000,410000,20810000,5910000,9120000,14990000,6020000,1810000,12280000,3470000,9260000,19420000,3060000,9280000,6310000,2290000,6530000,3650000,2220000,4940000,3180000,1990000,8330000,3960000,3900000,5220000,1600000,1630000,1480000,5430000,970000,1550000,1750000,1180000,2570000,1980000,1180000,1120000,2050000,1120000
"PY",244860000,65150000,62520000,151220000,74310000,73980000,118110000,75550000,67810000,177250000,111730000,60090000,95150000,115360000,60970000,87820000,94260000,48720000,132410000,96660000,49120000,93120000,130300000,48440000,192360000,112980000,48650000,210260000,117060000,45010000,327130000,136130000,45300000,223670000,138730000,40970000,276190000,184330000,39930000,225760000,202230000,45850000
"PE",1791040000,884250000,634260000,1212460000,589520000,742260000,848680000,830180000,597160000,757040000,807670000,493300000,971050000,887720000,397880000,1146390000,1445750000,389480000,822520000,1478900000,429950000,1053890000,1824890000,459370000,1224930000,700230000,381150000,1639760000,801960000,330170000,1576640000,1647900000,279800000,847550000,919730000,253080000,466390000,911410000,258890000,534180000,2583770000,250250000
"SR",4270000,1080000,2350000,270000,1220000,6240000,1230000,1590000,2900000,20940000,2870000,2700000,4040000,3820000,2990000,5790000,7350000,3040000,16540000,17810000,8420000,17920000,5100000,3790000,9670000,5520000,3900000,26970000,7290000,3950000,50710000,8850000,4200000,108250000,5880000,3460000,71100000,9600000,3980000,112790000,6130000,4630000
"UY",484150000,201850000,204930000,473490000,246850000,214960000,1212630000,250800000,187600000,692220000,259860000,190100000,275300000,249630000,158900000,453420000,396030000,1.79e+08,1.9e+08,848820000,175010000,315350000,247310000,158450000,515260000,244660000,132440000,1003930000,278180000,131980000,210650000,704680000,152080000,409580000,226270000,122900000,313500000,234990000,125630000,474380000,717900000,121050000
"VE",857190000,877390000,396560000,858450000,938990000,448900000,677650000,929530000,372260000,250560000,772110000,275780000,331990000,1000150000,203120000,155030000,7.86e+08,171890000,142100000,677100000,138510000,2975640000,929120000,9.2e+07,500790000,441710000,86210000,415410000,285280000,85870000,581870000,317950000,84260000,1042080000,260240000,74130000,46690000,214130000,126610000,66560000,370410000,124880000
"south-america",98660000,63560000,31670000,153500000,67030000,75850000,98100000,82260000,54870000,101160000,106220000,58550000,28430000,107390000,41210000,34180000,80040000,34540000,183740000,126420000,41230000,41070000,79410000,38570000,100440000,89720000,31120000,44330000,95690000,27060000,83020000,74520000,13710000,18070000,57650000,8370000,32310000,66820000,9610000,36650000,74520000,8580000
"america",770000,2870000,230000,21690000,3710000,90000,15610000,5900000,1890000,77560000,17880000,0,19500000,16740000,1060000,6230000,20090000,7070000,0,4110000,1500000,21800000,12110000,2130000,193210000,28590000,6100000,163420000,30450000,3910000,185190000,29980000,6630000,265930000,72230000,10960000,204180000,52140000,7830000,243360000,29890000,11860000
"BN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KH",730000,1140000,40000,730000,0,0,5500000,0,30000,1600000,30000,2e+05,7750000,490000,550000,24970000,6050000,1760000,9020000,6600000,3390000,5420000,14720000,3470000,39210000,11980000,2410000,38610000,46860000,3430000,9200000,10150000,1490000,35920000,19310000,1580000,67480000,28600000,8570000,123540000,39870000,12560000
"CN",5808090000,5767390000,1938460000,6261190000,3983100000,2289890000,5147290000,7402920000,1958510000,4226530000,8572890000,1406930000,4185360000,3851030000,949570000,3446270000,3218840000,1029080000,3898130000,2692330000,1375490000,3992060000,3186450000,1486780000,4562650000,2972110000,1323850000,4499590000,4239200000,995940000,5555020000,3006170000,534680000,5136080000,3622550000,491560000,4762320000,3970280000,537910000,5324320000,4324650000,526470000
"KP",2290000,0,0,51240000,0,0,8930000,53810000,10730000,0,0,0,3190000,15600000,0,1070000,0,0,2930000,7700000,490000,1510000,1600000,80000,2360000,0,30000,5290000,10000,0,1400000,0,0,43160000,1760000,290000,2260000,0,0,3600000,0,0
"ID",4290520000,3.141e+09,2548090000,3656970000,4178050000,2595390000,3370030000,5200550000,2338110000,3224270000,4439230000,1846010000,2896220000,4809740000,1497160000,3079640000,5207610000,1259620000,5261360000,5063200000,1281910000,3333130000,4969440000,1287600000,3624180000,4438100000,1094620000,4038690000,4123820000,786610000,5654470000,4022400000,652830000,3637810000,3626670000,591840000,4121510000,3201590000,679410000,3845120000,3696430000,786130000
"KR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",410000,9e+05,1350000,2060000,1240000,550000,2230000,1290000,710000,0,1320000,5e+05,1030000,1360000,570000,71270000,950000,1420000,56940000,1290000,4350000,62530000,2450000,7910000,9440000,2130000,8200000,12330000,4240000,6370000,33520000,60310000,4490000,13050000,15990000,5730000,51420000,3520000,5800000,14290000,8820000,7200000
"MY",476310000,673320000,153680000,1286180000,708250000,164470000,1143120000,772250000,151870000,941370000,770610000,116960000,611900000,730410000,94060000,429580000,1129600000,77260000,456530000,1054850000,62750000,197610000,1271020000,65440000,209560000,439400000,38020000,574610000,331490000,14030000,510240000,351970000,8610000,784930000,371960000,6480000,220170000,565230000,46840000,84910000,579050000,42880000
"MN",0,0,0,160000,0,0,4140000,0,0,-330000,0,30000,9760000,0,70000,310000,50000,1010000,6820000,11900000,6850000,3490000,690000,2070000,107060000,2520000,5290000,63550000,25320000,8340000,198820000,28950000,11760000,89010000,40840000,20320000,368910000,83560000,12140000,279020000,95520000,14970000
"PH",1422380000,1708810000,751220000,1640910000,1709960000,693070000,1440640000,1930210000,639350000,1120090000,1811660000,503210000,623910000,1797700000,416150000,879180000,1815190000,376500000,1243090000,2175050000,394050000,3665520000,1411440000,440890000,1747720000,1849170000,420340000,2024970000,1151750000,353720000,808890000,1392780000,269310000,1878340000,1064700000,242370000,1573990000,1103640000,268510000,1156560000,1891280000,252090000
"SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TH",1093350000,3558600000,726890000,1301890000,2418290000,634410000,683520000,5380640000,578640000,559420000,6969810000,303960000,512090000,3.589e+09,358620000,4250440000,2301490000,86390000,882310000,1324810000,58490000,636720000,1195730000,42300000,241240000,605110000,26370000,686210000,510550000,21030000,809690000,577960000,12940000,793180000,561520000,14500000,1335150000,392310000,41980000,1986310000,475390000,54060000
"TL",1123470000,0,0,7e+05,0,0,34820000,0,1270000,178780000,0,0,2630000,50000,0,1830000,0,0,1260000,0,0,1350000,0,0,1300000,0,0,2590000,0,0,6790000,0,0,1850000,13660000,0,1950000,0,10000,5780000,0,60000
"VN",1.91e+08,328260000,27160000,43040000,107860000,29500000,154340000,132660000,16270000,510480000,92090000,16730000,246930000,225340000,18430000,260550000,97090000,19490000,309630000,262030000,32610000,327320000,301270000,30240000,814660000,365300000,29670000,1527240000,286220000,44240000,2048460000,334820000,66560000,1392330000,405220000,81260000,1277850000,464100000,127790000,2164840000,1199960000,139210000
"east-asia",0,0,0,0,0,0,24850000,470000,2170000,0,22800000,4700000,0,10730000,460000,115180000,2990000,430000,0,30220000,0,0,0,0,0,0,0,0,0,0,12190000,4850000,770000,230790000,236380000,5390000,100020000,1.8e+07,5810000,63140000,13720000,4690000
"AF",0,0,0,0,0,0,0,0,0,790000,0,20000,1770000,60000,220000,65060000,5e+05,2240000,30220000,650000,7e+06,25430000,29820000,17360000,48590000,25420000,8140000,75470000,29790000,8950000,93640000,16820000,4310000,121380000,19020000,10890000,53960000,25310000,4630000,89950000,28600000,15870000
"AM",37950000,11450000,7040000,12680000,15960000,9910000,13740000,12890000,6580000,5920000,13320000,5270000,19760000,24760000,3990000,22570000,35070000,4530000,36860000,18090000,6080000,86220000,27150000,9140000,75770000,27410000,11110000,151080000,35370000,13980000,250630000,63270000,17050000,205230000,90880000,26360000,229550000,84490000,12790000,231470000,113120000,14720000
"AZ",137540000,53340000,41380000,81110000,94760000,43200000,162600000,127350000,24920000,1553730000,125640000,15630000,584780000,201130000,10370000,351150000,206160000,19450000,64380000,243940000,20080000,276370000,763880000,17400000,347580000,811380000,31050000,428650000,253690000,34680000,460630000,173530000,29940000,671770000,190220000,37590000,783760000,169210000,14350000,595620000,264090000,20300000
"BD",28910000,30020000,9380000,236700000,238090000,12580000,55150000,57120000,11180000,70080000,63310000,10620000,195360000,106870000,10660000,231560000,65290000,17700000,107660000,29370000,29970000,166260000,50770000,37630000,165410000,66150000,36720000,816180000,105450000,30220000,215750000,95500000,29630000,285630000,140850000,35390000,342200000,167630000,38550000,501820000,412500000,40400000
"BT",0,240000,0,0,260000,0,22350000,240000,80000,18010000,0,360000,18550000,5090000,840000,1740000,4140000,1160000,0,0,1670000,0,1250000,1650000,0,1020000,1460000,8450000,170000,420000,21830000,4340000,1140000,14730000,2730000,780000,5950000,1640000,610000,870000,4030000,740000
"GE",104360000,10510000,10090000,83110000,15140000,18250000,65100000,54610000,15560000,48610000,106790000,9140000,50760000,35740000,7680000,150510000,43470000,9990000,80480000,34210000,16280000,176790000,137950000,26460000,235130000,58720000,31170000,484040000,128800000,51330000,379750000,122560000,47260000,474440000,143040000,50500000,367930000,160780000,15260000,243670000,240460000,25010000
"IN",2306420000,2696110000,1250040000,1762600000,2175260000,1128570000,2499390000,3463320000,950450000,2486260000,7835330000,601820000,2090470000,2622790000,273360000,2478290000,1187870000,386030000,3377280000,1123890000,617530000,4108860000,917630000,752600000,3950250000,1058030000,733560000,4864190000,1371590000,559840000,7026660000,1641490000,299440000,4371320000,2077320000,325330000,4714010000,1920560000,366270000,3947470000,2383910000,472990000
"KZ",289640000,146340000,153690000,473590000,278610000,160120000,568130000,319900000,142300000,712240000,436780000,123700000,744670000,549920000,108330000,802960000,1479310000,122970000,835160000,463240000,118380000,1556170000,315060000,116280000,958300000,315360000,110270000,1299770000,508160000,96090000,2800360000,642820000,86270000,1708570000,549820000,103850000,1159270000,6.2e+08,88380000,1855540000,974220000,136690000
"KG",21450000,26250000,16900000,5310000,51880000,20590000,11170000,94500000,7470000,6240000,14040000,4280000,8970000,11100000,5490000,101250000,24860000,3960000,15400000,73940000,11110000,14950000,20170000,6150000,26990000,22190000,5330000,26700000,22960000,4870000,45810000,19880000,4890000,66620000,17890000,7720000,11640000,8750000,2890000,12730000,11090000,2900000
"MV",0,4600000,620000,2290000,7750000,1620000,0,4160000,860000,33320000,2350000,1100000,7050000,5910000,2140000,56920000,6220000,4450000,34800000,7250000,7090000,27160000,11620000,7780000,21660000,17120000,6430000,72960000,32820000,7310000,9170000,35400000,4010000,27040000,39640000,3130000,9130000,49760000,4090000,0,29470000,3880000
"MM",44160000,17090000,930000,720000,34400000,0,910000,44400000,0,0,42950000,6e+05,2540000,45370000,1200000,45710000,80590000,0,1730000,80860000,0,1280000,32300000,0,970000,98520000,0,2500000,15100000,0,2050000,3660000,0,990000,1830000,0,1320000,0,0,195450000,39160000,33110000
"NP",38560000,4270000,11650000,5180000,9750000,13440000,860000,10960000,15900000,0,9710000,11470000,970000,11420000,10360000,740000,10400000,8600000,670000,9590000,7360000,620000,9630000,5910000,11380000,14520000,8240000,740000,11120000,4500000,850000,7760000,2010000,360000,8370000,1010000,4480000,1210000,660000,9590000,1210000,970000
"PK",946070000,839070000,596260000,800990000,865570000,597970000,985270000,923080000,491330000,403040000,805490000,388090000,617350000,2335650000,250220000,718820000,632200000,209730000,943730000,565310000,2.3e+08,967650000,558190000,265950000,1421230000,572290000,243400000,958840000,619270000,201200000,761210000,619010000,123620000,893340000,658710000,113630000,915940000,738340000,81840000,628200000,741100000,124490000
"LK",49580000,83510000,6780000,39060000,30980000,21620000,107410000,32880000,8450000,103780000,38240000,8080000,119120000,41370000,8830000,122950000,45710000,14080000,130660000,55460000,21230000,1.27e+08,61350000,22930000,286480000,52030000,25650000,177890000,128880000,22230000,246420000,50260000,9280000,236060000,49360000,11870000,334620000,65890000,20930000,309180000,79380000,21890000
"TJ",3570000,2480000,1270000,850000,1970000,1160000,410000,1220000,490000,7960000,1140000,280000,15180000,1500000,390000,32850000,4050000,1210000,19170000,5040000,2770000,10700000,9800000,3710000,28980000,10750000,4290000,28720000,13460000,4100000,35100000,24250000,3210000,28480000,19770000,3120000,46190000,14770000,1980000,20030000,26160000,2230000
"TM",208920000,14200000,5230000,129130000,48580000,7420000,112620000,64580000,6190000,110620000,117540000,5690000,88100000,119610000,3930000,129830000,133670000,5210000,580000,172080000,8660000,0,111480000,3160000,0,95810000,1230000,0,94900000,580000,9030000,80380000,580000,331540000,71300000,1090000,206550000,16540000,15900000,55460000,11470000,18090000
"UZ",2.95e+08,104460000,61750000,453570000,122980000,56520000,150970000,121890000,46350000,189550000,115630000,40630000,215710000,143390000,31420000,204830000,186340000,38810000,113850000,206950000,51320000,136170000,156610000,52030000,247300000,236900000,45960000,495230000,538560000,40040000,423030000,372990000,24160000,301250000,407960000,25190000,607590000,446100000,21680000,449650000,261650000,18960000
"central-asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880000,0,0,0,0,0,0,0,0,0,0,0,29280000,0,560000,4.5e+07,0,1860000,0,0,0
"south-asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56750000,30110000,3470000,6420000,18180000,3210000,76280000,0,3050000,65020000,157300000,5240000,0,0,0,0,0,0,30000,0,0,47400000,0,1700000
"south-central-asia",0,0,1150000,0,180000,180000,0,0,0,0,0,0,0,0,0,0,0,0,280000,30000,10000,0,0,0,0,0,0,10000,0,0,1980000,40000,0,740000,0,0,0,0,0,0,9370000,2510000
"BH",0,360000,0,-2550000,530000,0,0,0,0,30380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IR",604180000,1642290000,99710000,1390960000,680010000,77390000,1395280000,134600000,68210000,1687240000,108090000,67760000,2062670000,105570000,45660000,1286630000,260520000,48740000,997630000,619650000,73430000,571100000,777690000,89380000,780700000,777570000,100250000,316900000,668260000,78550000,236360000,1008220000,36160000,227790000,1585020000,31100000,161480000,1833800000,59130000,7100000,711750000,35880000
