"id","in-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"SI",155550000,86890000,53200000,148780000,124260000,51990000,531890000,139440000,55120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ex-yugoslavia",2200000,14100000,11050000,1900000,102700000,10790000,85430000,188010000,12250000,5270000,14750000,530000,9880000,1570000,41390000,13240000,48480000,31850000,21140000,94820000,19860000,5800000,3050000,13030000,9270000,430000,620000,8130000,5830000,450000,5860000,2600000,290000,3060000,930000,130000,2310000,130000,-120000,2800000,130000,110000
"TR",2318030000,1164350000,512830000,3083080000,1342140000,601930000,2587150000,1248070000,541890000,1636750000,1183290000,394530000,3446260000,1232130000,391490000,1328920000,1817090000,532600000,3849140000,1790800000,594840000,5082210000,1772580000,709620000,4852880000,1565160000,779310000,5414520000,1886250000,737490000,7593120000,2228200000,599160000,3952140000,1901600000,582200000,3520110000,2163290000,596030000,3937110000,2508590000,492450000
"UA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462450000,1011310000,162360000,1037080000,714060000,260570000,929070000,719760000,297560000,2447390000,837790000,269690000,1863290000,748400000,245850000,1179040000,895020000,244410000,1286840000,9.91e+08,255450000,1285770000,826660000,84270000,1253340000,1104510000,83650000
"europe",4550000,0,650000,7880000,0,1310000,86080000,1900000,2360000,116400000,42520000,6970000,443970000,220130000,0,114490000,149920000,19910000,74600000,78280000,37510000,488250000,101060000,46880000,483150000,76100000,46880000,625560000,261280000,36500000,159110000,10260000,6280000,2046150000,1350390000,155360000,147420000,182870000,19280000,234930000,1.37e+08,15370000
"DZ",411350000,747950000,620010000,868460000,960670000,590890000,858790000,1202800000,708780000,784930000,1135330000,458810000,244960000,2165940000,430100000,382990000,2185790000,301090000,60900000,5030790000,165470000,91090000,249210000,34130000,9970000,319160000,28230000,-350000,210610000,14130000,658850000,100200000,7800000,1400000,186610000,10400000,760000,42270000,6900000,90000,50060000,15410000
"EG",402140000,379620000,289680000,584760000,300910000,222190000,658650000,516300000,251890000,832050000,593130000,148470000,952510000,324800000,152430000,1623480000,413540000,154110000,675380000,339680000,279340000,2253470000,672840000,365720000,1067700000,746900000,351290000,1664940000,655890000,315490000,1667180000,712950000,271120000,1052960000,536190000,209270000,1040030000,580560000,172290000,971660000,674720000,146550000
"LY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690000,0,0,0,0,0,0,0,0,0,0,2100000,7e+05,0,2330000,580000,80000,4660000,460000,110000,0,140000
"MA",518240000,741890000,495700000,247560000,742890000,425140000,1062630000,1325010000,504940000,505730000,1394900000,304220000,548330000,830410000,243810000,1053820000,657690000,220810000,990900000,752940000,255780000,856280000,555900000,284910000,1079050000,520900000,302390000,1.375e+09,594340000,294980000,1009780000,554390000,230520000,1493450000,553330000,206820000,1144400000,614060000,229790000,2538970000,537750000,213330000
"TN",518120000,575070000,277640000,1002920000,517840000,235630000,964530000,689870000,337740000,772790000,612880000,234460000,874780000,678320000,263480000,517540000,611500000,242740000,584840000,981980000,259950000,1048250000,861350000,257130000,525360000,563310000,363150000,1131310000,531010000,234310000,1282690000,570320000,210210000,1289150000,536400000,192180000,1308470000,573530000,197350000,266130000,515770000,176500000
