"id","population-rural.2000","population-urban.2000","population-rural.2001","population-urban.2001","population-rural.2002","population-urban.2002","population-rural.2003","population-urban.2003","population-rural.2004","population-urban.2004","population-rural.2005","population-urban.2005","population-rural.2006","population-urban.2006","population-rural.2007","population-urban.2007","population-rural.2008","population-urban.2008","population-rural.2009","population-urban.2009","population-rural.2010","population-urban.2010","population-rural.2011","population-urban.2011","population-rural.2012","population-urban.2012","population-rural.2013","population-urban.2013"
"AW",48412,42446,49848,43046,51324,43671,52770,44245,54071,44671,55142,44889,55950,44880,56534,44685,56973,44371,57381,44037,57850,43747,58409,43523,59010,43374,59629,43282
"AD",4974,60425,5402,62598,5988,65651,6651,68992,7312,71748,7883,73340,8320,73557,8647,72645,8903,71066,9162,69497,9491,68416,9920,67945,10416,67944,10960,68258
"AF",16212255,4383105,16737515,4610267,17337061,4865745,17975806,5140336,18599587,5419095,19168962,5691893,19675341,5955941,20134247,6214996,20559067,6473130,20971495,6736692,21386676,7011136,21807572,7297908,22228823,7595713,22647650,7904024
"AO",9410607,4514323,9616274,4769009,9840770,5045804,10078444,5342631,10320159,5656556,10560441,5983935,10797049,6325360,11031193,6681631,11261733,7052708,11488666,7437984,11710512,7838612,11926670,8253820,12138574,8681951,12348328,9123290
"AL",1799636,1289391,1763855,1300256,1724026,1327401,1681466,1352193,1638394,1376185,1594194,1398530,1548865,1419163,1502731,1438149,1456542,1456017,1411116,1473187,1366547,1490126,1322800,1506537,1279528,1522153,1237506,1536114
"AE",598128,2428224,605906,2526198,610394,2613575,624255,2744999,663278,2995380,735929,3412954,846021,4029618,984447,4812900,1130137,5668498,1256311,6462008,1346003,7095534,1394546,7530550,1409938,7795713,1403695,7942434
"AR",4006935,32896132,3977440,33295921,3943743,33683802,3907155,34063256,3869570,34439209,3832321,34815533,3795182,35193741,3758111,35573246,3720823,35955260,3684176,36339465,3647407,36726817,3611417,37117321,3576617,37510310,3542825,37903421
"AM",1086908,1989190,1089805,1970155,1088298,1958704,1085381,1950651,1082669,1942983,1079823,1935094,1076544,1926367,1072859,1917023,1071985,1905503,1074798,1893356,1079305,1884191,1085728,1878392,1093780,1875301,1102074,1874492
"AS",6565,50957,6695,51481,6816,51913,6918,52199,6994,52268,7035,52082,7038,51614,7008,50911,6961,50092,6920,49325,6902,48734,6909,48365,6939,48189,6987,48178
"AG",52702,24946,53906,25066,55141,24889,56257,24647,57336,24382,58440,24125,59590,23877,60763,23634,61958,23391,63155,23145,64344,22889,65526,22626,66682,22387,67810,22175
"AU",2458288,16694712,2450309,16962691,2448368,17203032,2448129,17447271,2445680,17681720,2447376,17947424,2452701,18245199,2437246,18390354,2455345,18793855,2475023,19216677,2482323,19549477,2485325,19854675,2496220,20227680,2509009,20621891
"AT",2739956,5271610,2750384,5291909,2763544,5318413,2776552,5344871,2793341,5378625,2811943,5415886,2825477,5443164,2835964,5464824,2847811,5489115,2856992,5508283,2864939,5524832,2870040,5536147,2877662,5552329,2890917,5582869
"AZ",3912746,4135854,3926875,4184325,3939942,4232008,3953356,4280744,3971421,4335079,3995444,4396406,4022610,4461940,4051232,4530068,4119674,4643726,4188204,4759039,4219228,4835104,4254200,4918882,4289447,5006337,4322218,5094380
"BI",6123924,550362,6260696,578680,6426712,611015,6617233,647107,6824362,686409,7041918,728474,7269124,773455,7506807,821505,7751675,872605,8000454,926233,8250296,982457,8499318,1041044,8747501,1102068,8996686,1165846
"BE",294416,9956834,289670,9996900,285288,10047497,280986,10095147,276681,10144456,272758,10205859,269184,10278774,265961,10359739,262823,10447150,259764,10536729,257609,10662663,255534,10792210,252389,10875857,248980,10946158
"BJ",4285466,2663900,4401808,2773103,4525292,2889452,4653298,3012383,4782596,3140200,4910890,3271472,5037663,3406008,5163280,3544210,5287244,3686049,5409462,3831321,5529567,3980231,5647245,4132550,5762369,4288333,5875502,4447972
"BF",9536622,2071322,9731277,2214803,9928358,2368041,10127775,2531311,10328737,2705521,10531248,2890681,10734503,3087754,10937805,3297270,11142357,3517289,11347189,3747778,11551870,3988414,11755755,4239558,11958951,4501190,12161585,4773254
"BD",101154053,31229212,102265082,32464421,103089005,33917274,103792382,35393604,104352918,36882117,104762070,38373110,105005181,39863521,105101985,41355082,105106027,42863940,105087224,44415876,105089633,46035842,105131137,47731294,105208320,49487048,105305414,51289548
"BG",2541005,5629167,2472974,5547308,2397994,5470474,2356534,5467023,2316218,5464943,2276769,5463131,2237951,5461069,2167172,5378166,2126239,5366322,2087198,5357245,2048433,5347166,2010650,5337678,1974708,5331180,1939786,5325329
"BH",77703,590536,81271,617478,85195,647346,89744,682314,95293,725212,102026,777508,110130,840821,119330,913023,128702,987336,137027,1054512,143486,1108027,147698,1145066,149982,1167845,150975,1181196
"BS",53570,244189,54347,248658,55262,253777,56269,259355,57303,265097,58314,270774,59291,276331,60242,281807,61162,287178,62054,292438,62911,297587,63720,302611,64472,307488,65165,312209
"BA",2327229,1507135,2355349,1524004,2367234,1530345,2366919,1528860,2362234,1524489,2358858,1520970,2356832,1518325,2353696,1514969,2349116,1512085,2343550,1509896,2337325,1508604,2330814,1508508,2324197,1509719,2317267,1512040
"BY",3004201,7000799,2932930,6995070,2866868,6998132,2800472,6996528,2735395,6994605,2671433,6991567,2610751,6993249,2555101,7004899,2503387,7024613,2455468,7051532,2409036,7080964,2363892,7109108,2321803,7142197,2283483,7182517
"BZ",124869,113717,128994,116204,133129,118637,137308,121038,141584,123456,145991,125929,150538,128447,155201,130995,159979,133565,164860,136156,169841,138754,174846,141434,179866,144194,184875,147025
"BM",0,61833,0,62504,0,62912,0,63325,0,63740,0,64154,0,64523,0,64888,0,65273,0,65636,0,65124,0,64564,0,64798,0,65024
"BO",3242305,5252966,3267111,5401955,3290522,5552828,3312407,5704380,3332162,5855448,3349547,6005162,3364209,6153186,3376696,6299760,3387847,6446251,3398657,6594749,3409977,6746624,3422037,6902408,3434489,7061796,3447224,7223976
"BR",32820881,141684017,32645325,144322880,32506151,146887617,32346573,149406378,32163157,151847126,31953205,154189198,31713801,156420514,31448299,158548677,31163822,160601745,30873412,162617510,30579671,164630483,30282716,166652418,29995072,168660947,29711670,170650255
"BB",176800,90390,178012,90284,179309,90215,180669,90175,182062,90143,183457,90111,184853,90070,186249,90028,187653,89981,189068,89938,190501,89895,191894,89910,193245,89976,194548,90096
"BN",95678,236123,96132,242982,96523,249884,96879,256770,97195,263602,97460,270355,97680,277017,97858,283582,97990,290027,98072,296328,98099,302470,98083,308429,98018,314220,97924,319860
"BT",420904,143446,427069,153819,433461,164994,439555,176828,444771,189122,449015,201402,454503,211065,458782,220583,462113,230046,464927,239615,467494,249445,469862,259567,472036,269786,473939,280008
"BW",821182,934193,819235,964114,825363,983613,831873,1000729,837582,1017157,842743,1033062,847373,1048571,851511,1063676,855245,1078474,858677,1093038,861882,1107459,864871,1121830,867713,1136197,870345,1150799
"CF",2268890,1369426,2306879,1397166,2343153,1424095,2378817,1450819,2415353,1478242,2453142,1507755,2492524,1539578,2533216,1573681,2575096,1610010,2617769,1648478,2660934,1688987,2704584,1731633,2748702,1776507,2792932,1823485
"CA",6314558,24455142,6275436,24806464,6307525,25054475,6345653,25330347,6384602,25610398,6422979,25889021,6444726,26125779,6447349,26440579,6456994,26788779,6470810,27157761,6482425,27522849,6485634,27857146,6501489,28252823,6514131,28644173
"CH",1916614,5267636,1928780,5301074,1940658,5344095,1952321,5386680,1962980,5426645,1972769,5464346,1982344,5501590,1997270,5553847,2019904,5627771,2042435,5701396,2060846,5764063,2080882,5831516,2100056,5896805,2118399,5963083
"CL",2152335,13302067,2132730,13506559,2112223,13707299,2091912,13903746,2071637,14096604,2051531,14286218,2031873,14472657,2012602,14656290,1993654,14837530,1975288,15016441,1957588,15193172,1940277,15368172,1923575,15541239,1907333,15712375
"CN",809645853,452999147,800082679,471767321,788406300,491993700,775926016,512473984,762817902,533257098,749352182,554367818,735901746,575118254,722214159,595670841,708173810,616481190,693852712,637407288,679206337,658498663,664363135,679766865,649832871,700862129,635688202,721691798
"CI",9107589,7023743,9163278,7256895,9195755,7479232,9213643,7696158,9227933,7916392,9247343,8146651,9272769,8389648,9285767,8663294,9306414,8953630,9337874,9263468,9382594,9593994,9441938,9948016,9514946,10324804,9596100,10719986
"CM",8673914,7253799,8806510,7543930,8938452,7843592,9070122,8153155,9201584,8473376,9333497,8804237,9465473,9146464,9598301,9499375,9731478,9863548,9865408,10238537,9999506,10624837,10134066,11022206,10268916,11430715,10403726,11850233
"CG",1291279,1834925,1309310,1896326,1326064,1957655,1342811,2020607,1361165,2087703,1382143,2160724,1406113,2240540,1432388,2326470,1459842,2416633,1486754,2508392,1511960,2599755,1535242,2690117,1557001,2780050,1577531,2870101
"CO",11141512,28756472,11202299,29356349,11259058,29957246,11312153,30559898,11361680,31165943,11408788,31775238,11453119,32388251,11494379,33004011,11532086,33620951,11565605,34236956,11594479,34850319,11618575,35460217,11638449,36065978,11653673,36667732
"KM",379962,148350,390028,151948,400385,155643,411056,159435,422048,163341,433291,167442,444793,171733,456513,176223,468399,180892,480376,185721,492378,190703,504394,195822,516394,201109,528376,206541
"CV",206016,236410,206062,244750,205943,253197,205467,261472,204367,269210,202522,276129,199865,282075,196566,287147,192920,291731,189351,296363,186103,301498,183350,307206,181005,313396,178969,319928
