id,year,budget-type,value
d101,2012,budget,16.4535010229
d101,2013,budget,24.6961602632
d101,2014,budget,22.2784870265
d101,2015,budget,23.7770751788
d101,2016,budget,22.5963154015
d103,2012,budget,44.5898591292
d103,2013,budget,48.3968217306
d103,2014,budget,46.1678278434
d103,2015,budget,45.7984509403
d103,2016,budget,49.3364045392
d104,2012,budget,56.7738035064
d104,2013,budget,58.4004661849
d104,2014,budget,61.0851440271
d104,2015,budget,67.0524221442
d104,2016,budget,67.6014001738
d105,2012,budget,47.0132073453
d105,2013,budget,51.8238758354
d105,2015,budget,39.8792886346
d105,2016,budget,45.1300589945
d106,2012,budget,46.452251998
d106,2013,budget,55.9770749533
d106,2014,budget,50.3259267969
d106,2015,budget,57.0475191712
d106,2016,budget,59.913136309
d107,2012,budget,47.2818437153
d107,2013,budget,52.8800954715
d107,2014,budget,50.8793294418
d107,2015,budget,53.982733801
d107,2016,budget,55.7921884937
d108,2012,budget,59.8619505062
d108,2015,budget,59.1366799004
d108,2016,budget,74.577191861
d109,2012,budget,42.4583566187
d109,2013,budget,47.5203476473
d109,2015,budget,48.4640116973
d109,2016,budget,50.6957520071
d110,2012,budget,48.388681349
d110,2013,budget,54.928973389
d110,2014,budget,50.7078844151
d110,2015,budget,54.5039233576
d110,2016,budget,55.7762923754
d111,2012,budget,56.309953254
d111,2013,budget,61.6169431812
d111,2014,budget,61.7106618954
d111,2015,budget,60.7918895915
d111,2016,budget,62.6188787534
d112,2012,budget,73.3613141322
d112,2013,budget,59.8710054018
d112,2014,budget,58.453679268
d112,2015,budget,60.7502905635
d112,2016,budget,61.9467393342
d113,2012,budget,42.5260524709
d113,2013,budget,49.0786385849
d113,2014,budget,43.4439426478
d113,2015,budget,44.6049659548
d113,2016,budget,45.5810689559
d114,2012,budget,33.8202722181
d114,2013,budget,40.13267265
d114,2014,budget,39.046460036
d114,2015,budget,37.4889320099
d114,2016,budget,37.2767427501
d115,2012,budget,49.1227982704
d115,2013,budget,55.6618800371
d115,2014,budget,53.5243752737
d115,2015,budget,51.5034672869
d115,2016,budget,57.3147859373
d116,2012,budget,35.3645924111
d116,2013,budget,41.3232604965
d116,2014,budget,36.3388059969
d116,2015,budget,45.1127381414
d116,2016,budget,44.7467700961
d117,2012,budget,42.2791824411
d117,2013,budget,55.0434089484
d117,2014,budget,45.1509771968
d117,2015,budget,47.3398395991
d117,2016,budget,48.5138831526
d118,2012,budget,52.589233523
d118,2013,budget,58.5763982904
d118,2014,budget,59.9493156791
d118,2015,budget,57.3645812281
d119,2012,budget,59.6167323695
d119,2013,budget,64.9908167782
d119,2014,budget,60.4389566303
d119,2015,budget,65.8943964996
d119,2016,budget,68.2900063315
d120,2013,budget,16.327213495
d120,2014,budget,13.7449139549
d120,2015,budget,12.9713993112
d120,2016,budget,14.1670463711
d121,2012,budget,55.7516656972
d121,2013,budget,61.4157448682
d121,2014,budget,65.6876843543
d121,2015,budget,65.4602920407
d121,2016,budget,63.9447937411
d122,2012,budget,56.2452584331
d122,2013,budget,63.614398426
d122,2014,budget,62.7547218038
d122,2015,budget,57.7234100353
d122,2016,budget,60.6126172442
d123,2012,budget,48.2902966948
d123,2013,budget,52.8023447602
d123,2014,budget,54.2257036188
d123,2015,budget,51.3043605335
d123,2016,budget,53.2685702067
d124,2012,budget,56.5099987356
d124,2013,budget,59.329760437
d124,2014,budget,65.4470223961
d124,2015,budget,62.071670189
d124,2016,budget,63.3382135456
d201,2012,budget,47.529005314
d201,2013,budget,47.5121648156
d201,2014,budget,40.3552407211
d201,2015,budget,44.9088189377
d201,2016,budget,55.1554294293
d202,2012,budget,41.9963486275
d202,2013,budget,47.1187252033
d202,2014,budget,37.6923707325
d202,2015,budget,46.7914656398
d202,2016,budget,55.0368363252
d203,2012,budget,62.241873283
d203,2013,budget,64.6068957931
d203,2015,budget,63.3541147953
d203,2016,budget,63.8715537557
d204,2012,budget,44.9407361187
d204,2013,budget,51.4664447509
d204,2015,budget,42.219411998
d204,2016,budget,50.5514073147
d205,2012,budget,56.874193089
d205,2013,budget,59.4833423968
d205,2014,budget,61.3088618824
d205,2015,budget,58.5147174394
d205,2016,budget,62.7796118893
d206,2012,budget,33.4113381822
d206,2013,budget,39.8072874171
d206,2014,budget,40.6852210485
d206,2015,budget,40.1734362921
d206,2016,budget,42.0437643435
d207,2012,budget,27.9869406766
d207,2013,budget,37.8205010997
d207,2014,budget,30.2590282832
d207,2015,budget,35.9857083217
d207,2016,budget,39.2068028761
d208,2012,budget,30.4744186677
d208,2013,budget,34.6025177582
d208,2014,budget,37.7489363332
d208,2015,budget,46.3123234889
d208,2016,budget,50.0272613137
d209,2012,budget,46.0004695081
d209,2013,budget,47.2322481126
d209,2015,budget,46.9974652433
d209,2016,budget,49.2202025176
d210,2012,budget,46.124551082
d210,2013,budget,47.5970065264
d210,2014,budget,48.293777262
d210,2015,budget,52.8815874994
d210,2016,budget,55.5801931366
d211,2012,budget,34.236604594
d211,2013,budget,30.609685118
d211,2014,budget,40.1776106148
d211,2015,budget,37.9049621105
d211,2016,budget,40.7921748665
d212,2012,budget,47.1712183668
d212,2013,budget,51.3153743245
d212,2014,budget,48.9800723774
d212,2015,budget,48.9001728019
d212,2016,budget,48.5661870049
d213,2012,budget,34.6660272393
d213,2013,budget,40.4120450227
d213,2014,budget,39.2992435004
d213,2015,budget,50.7201300305
d213,2016,budget,52.1957774828
d214,2012,budget,50.8609833646
d214,2013,budget,51.411157026
d214,2014,budget,44.9949454285
d214,2015,budget,50.4231387158
d214,2016,budget,57.3261644539
d215,2012,budget,46.1072768834
d215,2013,budget,48.9513290238
d215,2014,budget,50.7936048529
d215,2015,budget,53.0855598505
d215,2016,budget,56.1003041327
d216,2012,budget,44.8973450585
d216,2013,budget,47.1164007374
d216,2014,budget,42.7537390254
d216,2015,budget,48.4363515743
d216,2016,budget,50.7649958407
d217,2012,budget,37.2349162277
d217,2013,budget,51.5475350497
d217,2014,budget,49.0037471878
d217,2015,budget,54.3278399919
d217,2016,budget,56.6989983437
d218,2012,budget,40.3266938584
d218,2013,budget,46.4034198923
d218,2014,budget,41.3511394739
d218,2015,budget,51.4711049695
d218,2016,budget,50.6642862644
d219,2012,budget,46.4310343918
d219,2013,budget,47.4414267612
d219,2014,budget,46.4636438851
d219,2015,budget,54.4112149409
d219,2016,budget,59.9726654341
d220,2012,budget,29.1629430842
d220,2013,budget,33.5466074424
d220,2014,budget,40.6195804924
d220,2015,budget,52.5614961625
d220,2016,budget,52.5929863554
d221,2012,budget,46.8095797284
d221,2013,budget,52.8710044673
d221,2014,budget,50.1621829483
d221,2015,budget,55.7266628869
d221,2016,budget,55.969806966
d222,2012,budget,55.5188099628
d222,2013,budget,61.3391742862
d222,2014,budget,59.2640162488
d222,2015,budget,63.3595238624
d222,2016,budget,62.7020788592
d223,2012,budget,50.391486062
d223,2013,budget,53.256920208
d223,2014,budget,54.0555237165
d223,2015,budget,59.4863964471
d223,2016,budget,60.9581916831
d224,2012,budget,52.7756828698
d224,2013,budget,58.4803700417
d224,2014,budget,62.5324496584
d224,2015,budget,64.9571513418
d224,2016,budget,67.1788008256
d225,2012,budget,46.3953563785
d225,2013,budget,45.7041726709
d225,2014,budget,40.834561815
d225,2015,budget,43.7249918927
d225,2016,budget,47.9848541906
d226,2012,budget,57.3739025388
d226,2013,budget,61.5475813887
d226,2014,budget,58.7457836109
d226,2015,budget,63.3343227672
d226,2016,budget,63.3430738826
d227,2012,budget,49.9719342104
d227,2013,budget,53.5434719141
d227,2014,budget,53.4638221694
d227,2015,budget,62.0185546666
d227,2016,budget,62.7904584462
d228,2012,budget,42.92318362
d228,2013,budget,36.0786204765
d228,2014,budget,31.5969394406
d228,2015,budget,42.6413151476
d228,2016,budget,44.7488053009
d229,2012,budget,59.2994488314
d229,2013,budget,65.851862055
d229,2014,budget,62.1926972611
d229,2015,budget,69.1126529368
d230,2012,budget,50.4206716256
d230,2013,budget,43.6605063285
d230,2014,budget,41.85258506
d230,2015,budget,45.7764370513
d230,2016,budget,47.7623156252
d231,2012,budget,42.9948327014
d231,2013,budget,40.9713146616
d231,2014,budget,46.6819634724
d231,2015,budget,45.9359429971
d231,2016,budget,47.2681549326
d232,2012,budget,46.9554237997
d232,2013,budget,48.920914646
d232,2014,budget,51.5730275135
d232,2015,budget,56.4194359225
d232,2016,budget,57.6124854056
d301,2012,budget,25.6766436266
d301,2013,budget,30.6050357478
d301,2014,budget,24.4208104625
d301,2015,budget,31.9417476357
d301,2016,budget,33.5337891401
d302,2012,budget,44.2885143979
d302,2013,budget,36.8781798178
d302,2014,budget,34.8419608036
d302,2015,budget,39.3550561338
d302,2016,budget,40.7926387109
d303,2012,budget,49.6427205759
d303,2013,budget,54.3768719282
d303,2014,budget,44.5848963084
d303,2015,budget,54.5120076367
d303,2016,budget,57.0825850569
d304,2012,budget,36.0392002036
d304,2013,budget,51.5993693846
d304,2014,budget,42.7831059905
d304,2015,budget,38.3983361885
d304,2016,budget,44.9080690866
d305,2012,budget,34.9814353193
d305,2013,budget,38.7172981005
d305,2014,budget,40.8244165476
d305,2015,budget,41.1920370665
d305,2016,budget,42.9967853491
d306,2012,budget,19.5911810868
d306,2013,budget,24.8552156429
d306,2014,budget,26.177818646
d306,2015,budget,34.3592580092
d306,2016,budget,39.0206388701
d307,2012,budget,41.3470604245
d307,2013,budget,46.2632535505
d307,2015,budget,39.0646433036
d307,2016,budget,46.7673245216
d308,2012,budget,25.373234666
d308,2013,budget,26.6990619917
d308,2014,budget,25.3439888065
d309,2012,budget,32.3600185259
d309,2013,budget,38.1432538174
d309,2014,budget,38.6508813072
d309,2015,budget,39.9266790509
d309,2016,budget,41.2609883048
d310,2012,budget,38.1654395749
d310,2013,budget,39.0735852797
d310,2014,budget,49.9733459788
d310,2015,budget,49.9733459788
d310,2016,budget,52.3269330788
d311,2012,budget,23.5820371315
d311,2013,budget,31.4572999972
d311,2014,budget,31.947003172
d311,2015,budget,31.2438836443
d311,2016,budget,31.0281984723
d312,2012,budget,26.2042893203
d312,2013,budget,34.4581586531
d312,2014,budget,35.9196031368
d312,2015,budget,40.0918771091
d312,2016,budget,44.0470529913
d313,2012,budget,41.4387813107
d313,2013,budget,42.250529805
d313,2014,budget,38.8573879915
d313,2015,budget,43.3725701409
d313,2016,budget,45.7294362854
d314,2012,budget,31.3793739976
d314,2013,budget,30.6590622491
d314,2014,budget,23.9804244274
d314,2015,budget,30.1923512198
d314,2016,budget,34.403810356
d315,2012,budget,35.9697909861
d315,2013,budget,39.9175918285
d315,2014,budget,34.3390286907
d315,2015,budget,46.8608603578
d315,2016,budget,47.8416745743
d316,2013,budget,35.7575277792
d316,2014,budget,39.1922607965
d316,2015,budget,41.7200894218
d316,2016,budget,40.5092768401
d317,2013,budget,40.901556586
d317,2014,budget,38.6026386115
d317,2015,budget,46.5704617668
d317,2016,budget,48.1084553333
d318,2012,budget,24.9976259874
d318,2013,budget,23.4329204138
d318,2014,budget,35.1523720374
d318,2015,budget,36.018986647
d318,2016,budget,37.0703551056
d319,2012,budget,46.9674975767
d319,2013,budget,46.158805787
d319,2014,budget,42.205706727
d319,2015,budget,40.9806411456
d319,2016,budget,50.4036309318
d320,2012,budget,45.42664328
d320,2013,budget,45.7458865804
d320,2014,budget,43.1503007186
d320,2015,budget,60.6338411781
d320,2016,budget,62.3771544014
d321,2012,budget,45.4366938375
d321,2013,budget,45.3440966359
d321,2014,budget,52.3073689391
d321,2015,budget,59.8573979084
d321,2016,budget,60.2983908698
d322,2013,budget,41.2109440039
d322,2014,budget,32.5624679924
d322,2015,budget,44.5196315188
d322,2016,budget,45.5117260753
d323,2012,budget,48.2794797262
d323,2013,budget,50.3714076414
d323,2014,budget,48.3772610677
d323,2015,budget,42.4345620959
d323,2016,budget,51.5810705199
d324,2013,budget,24.4402701396
d324,2014,budget,17.3447955729
d324,2015,budget,25.4096811745
d324,2016,budget,25.9044447721
d325,2012,budget,56.5719544143
d325,2013,budget,54.9111161001
d325,2014,budget,55.1704546613
d325,2015,budget,57.1564092885
d325,2016,budget,58.9343222995
d326,2012,budget,33.637581338
d326,2013,budget,22.0725231666
d326,2014,budget,28.0747333992
d326,2015,budget,37.8184759417
d326,2016,budget,45.2867112533
d327,2012,budget,17.8833337655
d327,2013,budget,20.9767861707
d327,2014,budget,25.5103943705
d327,2015,budget,26.8262519827
d327,2016,budget,29.709158366
d328,2012,budget,34.6255613358
d328,2014,budget,39.1806651601
d328,2015,budget,35.5829567068
d328,2016,budget,44.1985523849
d329,2012,budget,42.213007959
d329,2013,budget,36.766257638
d329,2014,budget,39.9137969744
d329,2015,budget,38.1537041382
d329,2016,budget,40.9243473047
d330,2013,budget,50.4822756912
d330,2014,budget,49.3470241896
d330,2015,budget,48.2370543799
d330,2016,budget,52.7402628134
d401,2012,budget,31.3458684211
d401,2013,budget,40.7071480012
d401,2014,budget,40.9001713325
d401,2015,budget,49.5992383173
d401,2016,budget,54.3666198656
d402,2012,budget,51.7881607957
d402,2013,budget,58.7937623095
d402,2014,budget,52.4221714137
d402,2015,budget,58.3011512103
d402,2016,budget,60.5110695448
d403,2012,budget,48.6563018301
d403,2013,budget,52.6080813459
d403,2014,budget,41.3136862893
d403,2015,budget,40.9591597145
d403,2016,budget,46.5751484293
d404,2013,budget,64.3679353864
d404,2014,budget,59.4648386205
d404,2015,budget,53.9068825876
d404,2016,budget,56.0377072911
d405,2012,budget,46.2993343675
d405,2013,budget,47.9607567881
d405,2014,budget,42.9139924501
d405,2015,budget,43.3452945199
d405,2016,budget,46.9597515395
d406,2012,budget,48.5481892051
d406,2013,budget,50.802175267
d406,2014,budget,47.3025149708
d406,2015,budget,51.5360627897
d406,2016,budget,50.3736590538
d407,2012,budget,49.3767014073
d407,2013,budget,52.7283939981
d407,2014,budget,46.6358767172
d407,2015,budget,52.1176067618
d407,2016,budget,54.6013720192
d408,2012,budget,48.0042384436
d408,2013,budget,44.5196462299
d408,2014,budget,42.725159191
d408,2015,budget,53.0999496532
d408,2016,budget,54.6626118829
d409,2012,budget,37.4785817579
