"id-to","entity-to-name","year","value"
"bilateral-unspecified","Bilateral, unspecified",2013,3117710.33
"bilateral-unspecified","Bilateral, unspecified",2014,3800124.97
"bilateral-unspecified","Bilateral, unspecified",2015,2744266.8
"BR","Brazil",2013,131740.71
"BR","Brazil",2014,183424.19
"KH","Cambodia",2013,497438
"KH","Cambodia",2014,205573.97
"KH","Cambodia",2015,472980
"CN","China",2013,193077.44
"CN","China",2014,319549.78
"CN","China",2015,462889
"CO","Colombia",2014,315257.08
"CO","Colombia",2015,363047
"ET","Ethiopia",2013,2143616.07
"ET","Ethiopia",2014,1597995.6
"FJ","Fiji",2015,135569
"IN","India",2013,1164362.39
"IN","India",2014,917210.68
"IN","India",2015,1321330
"ID","Indonesia",2013,1615149.53
"ID","Indonesia",2014,3342992.51
"JO","Jordan",2013,41500.44
"JO","Jordan",2014,35372.36
"KZ","Kazakhstan",2013,344186.22
"KZ","Kazakhstan",2014,96369.02
"MX","Mexico",2013,383534.65
"MX","Mexico",2014,385582.85
"MX","Mexico",2015,410154
"MN","Mongolia",2013,438055.18
"MN","Mongolia",2014,286537.73
"MN","Mongolia",2015,425104
"MA","Morocco",2013,46029.56
"MA","Morocco",2014,237896.14
"NP","Nepal",2015,41516.4
"north-of-sahara","North of Sahara, regional",2013,175942.41
"oceania","Oceania, regional",2013,86665.59
"oceania","Oceania, regional",2014,73953.97
"PE","Peru",2013,737904.63
"PE","Peru",2014,538441.43
"PE","Peru",2015,107803
"PH","Philippines",2013,700618.17
"PH","Philippines",2014,431036.99
"PH","Philippines",2015,766996
"RW","Rwanda",2013,473252.67
"RW","Rwanda",2014,376721.14
"RW","Rwanda",2015,734125
"SN","Senegal",2015,61096.7
"ZA","South Africa",2013,304171.47
"ZA","South Africa",2014,208631.34
"ZA","South Africa",2015,166843
"south-america","South America, regional",2013,117036.82
"south-of-sahara","South of Sahara, regional",2013,96056.99
"TH","Thailand",2013,83397.06
"TH","Thailand",2014,82670.43
"UG","Uganda",2015,59854.8
"UZ","Uzbekistan",2013,141168.12
"VU","Vanuatu",2015,141753
"VN","Viet Nam",2013,1126544.67
"VN","Viet Nam",2014,492161.94
"VN","Viet Nam",2015,651806
