"series","country-year"
"id","intl-flows-donors"
"type","multi"
"parent",
"name","International resources flows from donors to developing countries"
"columns","id, year, direction, flow-type, flow-name, value"
"description","Estimates of resources flowing to and from developing countries"
"default-scale","lin"
"theme","intlmix"
"uom","constant 2012 US$ millions"
"uom_display","USD"
"source","Development Initiatives calculations based on numerous sources"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription",
"laymans-heading",
"theme-order",
