Year,Country,district,District_name,By_Source,Unit_measure,Value
2014,UG,,Abim,Government funded,NCU,4163275000
2014,UG,,Adjumani,Government funded,NCU,5277963000
2014,UG,,Agago,Government funded,NCU,6254668000
2014,UG,,Alebtong,Government funded,NCU,7371460000
2014,UG,,Amolatar,Government funded,NCU,3648907000
2014,UG,,Amudat,Government funded,NCU,1052852000
2014,UG,,Amuria,Government funded,NCU,8216086000
2014,UG,,Amuru,Government funded,NCU,5279588000
2014,UG,,Apac,Government funded,NCU,11948757000
2014,UG,,Arua,Government funded,NCU,26588906000
2014,UG,,Budaka,Government funded,NCU,7305865000
2014,UG,,Bududa,Government funded,NCU,6510822000
2014,UG,,Bugiri,Government funded,NCU,11421369000
2014,UG,,Buhweju,Government funded,NCU,3597732000
2014,UG,,Buikwe,Government funded,NCU,11997235000
2014,UG,,Bukedea,Government funded,NCU,8348744000
2014,UG,,Bukomansimbi,Government funded,NCU,6456015000
2014,UG,,Bukwa,Government funded,NCU,3947023000
2014,UG,,Bulambuli,Government funded,NCU,4865484000
2014,UG,,Buliisa,Government funded,NCU,3163350000
2014,UG,,Bundibugyo,Government funded,NCU,7772274000
2014,UG,,Bushenyi,Government funded,NCU,9693274000
2014,UG,,Busia,Government funded,NCU,10291466000
2014,UG,,Butaleja,Government funded,NCU,8935163000
2014,UG,,Butambala,Government funded,NCU,7360913000
2014,UG,,Buvuma,Government funded,NCU,880857000
2014,UG,,Buyende,Government funded,NCU,7333688000
2014,UG,,Dokolo,Government funded,NCU,6147984000
2014,UG,,Gomba,Government funded,NCU,6943600000
2014,UG,,Gulu,Government funded,NCU,13717665000
2014,UG,,Hoima,Government funded,NCU,9743033000
2014,UG,,Ibanda,Government funded,NCU,9405375000
2014,UG,,Iganga,Government funded,NCU,21255596000
2014,UG,,Isingiro,Government funded,NCU,11386400000
2014,UG,,Jinja,Government funded,NCU,15217396000
2014,UG,,Kaabong,Government funded,NCU,7272606000
2014,UG,,Kabale,Government funded,NCU,24980211000
2014,UG,,Kabarole,Government funded,NCU,12530346000
2014,UG,,Kaberamaido,Government funded,NCU,6747696000
2014,UG,,Kalangala ,Government funded,NCU,1963697000
2014,UG,,Kaliro,Government funded,NCU,9018427000
2014,UG,,Kalungu,Government funded,NCU,8986883000
2014,UG,,Kampala,Government funded,NCU,0
2014,UG,,Kamuli,Government funded,NCU,18075029000
2014,UG,,Kamwenge,Government funded,NCU,10432589000
2014,UG,,Kanungu,Government funded,NCU,10764037000
2014,UG,,Kapchorwa,Government funded,NCU,6021204000
2014,UG,,Kasese,Government funded,NCU,21860456000
2014,UG,,Katakwi,Government funded,NCU,5985088000
2014,UG,,Kayunga,Government funded,NCU,12894770000
2014,UG,,Kibaale,Government funded,NCU,15866082000
2014,UG,,Kiboga,Government funded,NCU,6074193000
2014,UG,,Kibuku,Government funded,NCU,6460348000
2014,UG,,Kiruhura,Government funded,NCU,6860894000
2014,UG,,Kiryandongo,Government funded,NCU,5805694000
2014,UG,,Kisoro,Government funded,NCU,10532567000
2014,UG,,Kitgum,Government funded,NCU,10352255000
2014,UG,,Koboko,Government funded,NCU,6341157000
2014,UG,,Kole,Government funded,NCU,7736325000
2014,UG,,Kotido,Government funded,NCU,2821723000
2014,UG,,Kumi,Government funded,NCU,7498401000
2014,UG,,Kween,Government funded,NCU,3285314000
2014,UG,,Kyankwanzi,Government funded,NCU,6128300000
2014,UG,,Kyegegwa,Government funded,NCU,4498761000
2014,UG,,Kyenjojo,Government funded,NCU,9448409000
2014,UG,,Lamwo,Government funded,NCU,4880641000
2014,UG,,Lira,Government funded,NCU,13072020000
2014,UG,,Luuka,Government funded,NCU,8992740000
2014,UG,,Luweero,Government funded,NCU,21702782000
2014,UG,,Lwengo,Government funded,NCU,10361765000
2014,UG,,Lyantonde,Government funded,NCU,3062531000
2014,UG,,Manafwa,Government funded,NCU,14546555000
2014,UG,,Maracha,Government funded,NCU,7276194000
2014,UG,,Masaka ,Government funded,NCU,7609957000
2014,UG,,Masindi,Government funded,NCU,5483124000
2014,UG,,Mayuge,Government funded,NCU,12902248000
2014,UG,,Mbale,Government funded,NCU,16010024000
2014,UG,,Mbarara,Government funded,NCU,16900889000
2014,UG,,Mitooma,Government funded,NCU,8829995000
2014,UG,,Mityana,Government funded,NCU,11460558000
2014,UG,,Moroto,Government funded,NCU,3181222000
2014,UG,,Moyo,Government funded,NCU,5979238000
2014,UG,,Mpigi,Government funded,NCU,9257038000
2014,UG,,Mubende,Government funded,NCU,14846661000
2014,UG,,Mukono,Government funded,NCU,15875468000
2014,UG,,Nakapiripirit,Government funded,NCU,5026305000
2014,UG,,Nakaseke,Government funded,NCU,8141923000
2014,UG,,Nakasongola,Government funded,NCU,6988751000
2014,UG,,Namayingo,Government funded,NCU,5302185000
2014,UG,,Namutumba,Government funded,NCU,8391866000
2014,UG,,Napak,Government funded,NCU,2669531000
2014,UG,,Nebbi,Government funded,NCU,11508417000
2014,UG,,Ngora,Government funded,NCU,6713429000
2014,UG,,Ntoroko,Government funded,NCU,2458530000
2014,UG,,Ntungamo,Government funded,NCU,17836788000
2014,UG,,Nwoya,Government funded,NCU,4333286000
2014,UG,,Otuke,Government funded,NCU,4096717000
2014,UG,,Oyam,Government funded,NCU,12756677000
2014,UG,,Pader ,Government funded,NCU,7561007000
2014,UG,,Pallisa,Government funded,NCU,12327104000
2014,UG,,Rakai,Government funded,NCU,20048465000
2014,UG,,Rubirizi,Government funded,NCU,3795477000
2014,UG,,Rukungiri,Government funded,NCU,13234071000
2014,UG,,Sembabule,Government funded,NCU,10613655000
2014,UG,,Serere,Government funded,NCU,7727064000
2014,UG,,Sheema,Government funded,NCU,11924829000
2014,UG,,Sironko,Government funded,NCU,9833086000
2014,UG,,Soroti,Government funded,NCU,9351014000
2014,UG,,Tororo,Government funded,NCU,17569584000
2014,UG,,Wakiso,Government funded,NCU,27393555000
2014,UG,,Yumbe,Government funded,NCU,10253248000
2014,UG,,Zombo,Government funded,NCU,6344885000
2014,UG,,Arua Municipal Council,Government funded,NCU,3548701000
2014,UG,,Entebbe Municipal Council,Government funded,NCU,3286348000
2014,UG,,Fort-Portal Municipal Council,Government funded,NCU,3710387000
2014,UG,,Gulu Municipal Council,Government funded,NCU,6238964000
2014,UG,,Jinja Municipal Council,Government funded,NCU,5198437000
2014,UG,,Kabale Municipal Council,Government funded,NCU,4919988000
2014,UG,,Lira Municipal Council,Government funded,NCU,4180295000
2014,UG,,Masaka Municipal Council,Government funded,NCU,3644097000
2014,UG,,Mbale Municipal Council,Government funded,NCU,6363113000
2014,UG,,Mbarara Municipal Council,Government funded,NCU,5872270000
2014,UG,,Moroto Municipal Council,Government funded,NCU,1154104000
2014,UG,,Soroti Municipal Council,Government funded,NCU,4321531000
2014,UG,,Tororo Municipal Council,Government funded,NCU,3078333000
2014,UG,,Kasese Municipal Council,Government funded,NCU,3702731000
2014,UG,,Hoima Municipal Council,Government funded,NCU,4360471000
2014,UG,,Mukono Municipal Council,Government funded,NCU,4683100000
2014,UG,,Iganga Municipal Council,Government funded,NCU,3498722000
2014,UG,,Masindi Municipal Council,Government funded,NCU,4285724000
2014,UG,,Ntungamo Municipal Council,Government funded,NCU,933420000
2014,UG,,Busia Municipal Council,Government funded,NCU,2037317000
2014,UG,,Bushenyi - Ishaka Municipal Council,Government funded,NCU,3276895000
2014,UG,,Rukungiri Municipal Council,Government funded,NCU,2833807000
2014,UG,,Abim,External funding,NCU,523251000
2014,UG,,Adjumani,External funding,NCU,109293000
2014,UG,,Agago,External funding,NCU,70000000
