year,country,district,finance_source,ug_dist_ed_budget_ncu,,District_name
2014,UG,47,G,4163275000,,Abim
2014,UG,37,G,5277963000,,Adjumani
2014,UG,45,G,6254668000,,Agago
2014,UG,86,G,7371460000,,Alebtong
2014,UG,106,G,3648907000,,Amolatar
2014,UG,70,G,1052852000,,Amudat
2014,UG,28,G,8216086000,,Amuria
2014,UG,48,G,5279588000,,Amuru
2014,UG,107,G,11948757000,,Apac
2014,UG,38,G,26588906000,,Arua
2014,UG,29,G,7305865000,,Budaka
2014,UG,30,G,6510822000,,Bududa
2014,UG,16,G,11421369000,,Bugiri
2014,UG,76,G,3597732000,,Buhweju
2014,UG,83,G,11997235000,,Buikwe
2014,UG,31,G,8348744000,,Bukedea
2014,UG,82,G,6456015000,,Bukomansimbi
2014,UG,32,G,3947023000,,Bukwa
2014,UG,97,G,4865484000,,Bulambuli
2014,UG,108,G,3163350000,,Buliisa
2014,UG,54,G,7772274000,,Bundibugyo
2014,UG,75,G,9693274000,,Bushenyi
2014,UG,17,G,10291466000,,Busia
2014,UG,33,G,8935163000,,Butaleja
2014,UG,92,G,7360913000,,Butambala
2014,UG,101,G,880857000,,Buvuma
2014,UG,96,G,7333688000,,Buyende
2014,UG,49,G,6147984000,,Dokolo
2014,UG,104,G,6943600000,,Gomba
2014,UG,39,G,13717665000,,Gulu
2014,UG,55,G,9743033000,,Hoima
2014,UG,67,G,9405375000,,Ibanda
2014,UG,18,G,21255596000,,Iganga
2014,UG,68,G,11386400000,,Isingiro
2014,UG,19,G,15217396000,,Jinja
2014,UG,50,G,7272606000,,Kaabong
2014,UG,56,G,24980211000,,Kabale
2014,UG,57,G,12530346000,,Kabarole
2014,UG,26,G,6747696000,,Kaberamaido
2014,UG,1,G,1963697000,,Kalangala 
2014,UG,34,G,9018427000,,Kaliro
2014,UG,80,G,8986883000,,Kalungu
2014,UG,2,G,0,,Kampala
2014,UG,95,G,18075029000,,Kamuli
2014,UG,64,G,10432589000,,Kamwenge
2014,UG,65,G,10764037000,,Kanungu
2014,UG,112,G,6021204000,,Kapchorwa
2014,UG,58,G,21860456000,,Kasese
2014,UG,20,G,5985088000,,Katakwi
2014,UG,11,G,12894770000,,Kayunga
2014,UG,59,G,15866082000,,Kibaale
2014,UG,3,G,6074193000,,Kiboga
2014,UG,90,G,6460348000,,Kibuku
2014,UG,69,G,6860894000,,Kiruhura
2014,UG,110,G,5805694000,,Kiryandongo
2014,UG,60,G,10532567000,,Kisoro
2014,UG,40,G,10352255000,,Kitgum
2014,UG,51,G,6341157000,,Koboko
2014,UG,88,G,7736325000,,Kole
2014,UG,41,G,2821723000,,Kotido
2014,UG,21,G,7498401000,,Kumi
2014,UG,98,G,3285314000,,Kween
2014,UG,91,G,6128300000,,Kyankwanzi
2014,UG,66,G,4498761000,,Kyegegwa
2014,UG,84,G,9448409000,,Kyenjojo
2014,UG,71,G,4880641000,,Lamwo
2014,UG,87,G,13072020000,,Lira
2014,UG,81,G,8992740000,,Luuka
2014,UG,4,G,21702782000,,Luweero
2014,UG,102,G,10361765000,,Lwengo
2014,UG,13,G,3062531000,,Lyantonde
2014,UG,35,G,14546555000,,Manafwa
2014,UG,52,G,7276194000,,Maracha
2014,UG,5,G,7609957000,,Masaka 
2014,UG,109,G,5483124000,,Masindi
2014,UG,27,G,12902248000,,Mayuge
2014,UG,22,G,16010024000,,Mbale
2014,UG,61,G,16900889000,,Mbarara
2014,UG,78,G,8829995000,,Mitooma
2014,UG,14,G,11460558000,,Mityana
2014,UG,73,G,3181222000,,Moroto
2014,UG,42,G,5979238000,,Moyo
2014,UG,103,G,9257038000,,Mpigi
2014,UG,6,G,14846661000,,Mubende
2014,UG,7,G,15875468000,,Mukono
2014,UG,44,G,5026305000,,Nakapiripirit
2014,UG,15,G,8141923000,,Nakaseke
2014,UG,8,G,6988751000,,Nakasongola
2014,UG,100,G,5302185000,,Namayingo
2014,UG,36,G,8391866000,,Namutumba
2014,UG,85,G,2669531000,,Napak
2014,UG,43,G,11508417000,,Nebbi
2014,UG,94,G,6713429000,,Ngora
2014,UG,99,G,2458530000,,Ntoroko
2014,UG,62,G,17836788000,,Ntungamo
2014,UG,72,G,4333286000,,Nwoya
2014,UG,105,G,4096717000,,Otuke
2014,UG,53,G,12756677000,,Oyam
2014,UG,74,G,7561007000,,Pader 
2014,UG,23,G,12327104000,,Pallisa
2014,UG,9,G,20048465000,,Rakai
2014,UG,77,G,3795477000,,Rubirizi
2014,UG,63,G,13234071000,,Rukungiri
2014,UG,10,G,10613655000,,Sembabule
2014,UG,93,G,7727064000,,Serere
2014,UG,79,G,11924829000,,Sheema
2014,UG,111,G,9833086000,,Sironko
2014,UG,24,G,9351014000,,Soroti
2014,UG,25,G,17569584000,,Tororo
2014,UG,12,G,27393555000,,Wakiso
2014,UG,46,G,10253248000,,Yumbe
2014,UG,89,G,6344885000,,Zombo
2014,UG,#N/A,G,3548701000,,Arua Municipal Council
2014,UG,#N/A,G,3286348000,,Entebbe Municipal Council
2014,UG,#N/A,G,3710387000,,Fort-Portal Municipal Council
2014,UG,#N/A,G,6238964000,,Gulu Municipal Council
2014,UG,#N/A,G,5198437000,,Jinja Municipal Council
2014,UG,#N/A,G,4919988000,,Kabale Municipal Council
2014,UG,#N/A,G,4180295000,,Lira Municipal Council
2014,UG,#N/A,G,3644097000,,Masaka Municipal Council
2014,UG,#N/A,G,6363113000,,Mbale Municipal Council
2014,UG,#N/A,G,5872270000,,Mbarara Municipal Council
2014,UG,#N/A,G,1154104000,,Moroto Municipal Council
2014,UG,#N/A,G,4321531000,,Soroti Municipal Council
2014,UG,#N/A,G,3078333000,,Tororo Municipal Council
2014,UG,#N/A,G,3702731000,,Kasese Municipal Council
2014,UG,#N/A,G,4360471000,,Hoima Municipal Council
2014,UG,#N/A,G,4683100000,,Mukono Municipal Council
2014,UG,#N/A,G,3498722000,,Iganga Municipal Council
2014,UG,#N/A,G,4285724000,,Masindi Municipal Council
2014,UG,#N/A,G,933420000,,Ntungamo Municipal Council
2014,UG,#N/A,G,2037317000,,Busia Municipal Council
2014,UG,#N/A,G,3276895000,,Bushenyi - Ishaka Municipal Council
2014,UG,#N/A,G,2833807000,,Rukungiri Municipal Council
2014,UG,47,E,523251000,,Abim
2014,UG,37,E,109293000,,Adjumani
2014,UG,45,E,70000000,,Agago
2014,UG,86,E,0,,Alebtong
2014,UG,106,E,0,,Amolatar
2014,UG,70,E,137799000,,Amudat
2014,UG,28,E,0,,Amuria
2014,UG,48,E,3344083000,,Amuru
2014,UG,107,E,100000000,,Apac
2014,UG,38,E,0,,Arua
2014,UG,29,E,0,,Budaka
2014,UG,30,E,0,,Bududa
2014,UG,16,E,37575000,,Bugiri
2014,UG,76,E,0,,Buhweju
2014,UG,83,E,0,,Buikwe
2014,UG,31,E,30005000,,Bukedea
2014,UG,82,E,0,,Bukomansimbi
