"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AD",17334.2756769981,18599.4153823529,20326.9000963162,25355.2671760771,29372.166734126,31268.9667458725,34484.7008683757,39922.8901244895,46418.415473496,,,,,
"AE",,34601.6607366805,34348.0349842074,36890.0652785453,40597.3993743061,44229.4950231183,46526.0040786449,45973.2701872081,46976.3415744484,33277.5828519137,33874.0445016115,38941.20578647,40476.6593910632,
"AF",,115.312509515,185.5568949708,197.9811575392,220.3928191813,252.8561821788,277.0404327805,374.7216223252,378.5683769247,452.6048347371,563.3808963874,616.8214657858,690.9629336396,669.3794494207
"AG",9521.416519421,9484.0827989667,9509.966002749,9904.3317994166,10441.6505506743,11570.6877611579,13039.8873446991,14652.0244084505,15070.6602069151,13390.3832444959,12656.3299439432,12370.0808830202,12952.0172226027,12998.5433794521
"AL",1227.080499782,1382.6419323582,1499.9437256733,1918.4054232859,2536.4559860598,2853.8726030199,3149.083158919,3739.7268773292,4444.8005434396,4109.5346043741,4133.2911050722,4543.935870135,4373.2844531551,4669.392298873
"AM",638.6219375976,713.3829216722,808.8407959693,955.7061895263,1217.5999820865,1693.7254700544,2226.6677064355,3245.5202175203,4148.9070783829,3034.4511288835,3279.4270594595,3543.1828050147,3496.4754013111,3686.4515868286
"AO",534.9222447797,512.6822496992,729.6971021674,808.1452342979,1073.8902724371,1464.5196643258,2068.7314462001,2971.177798018,3835.7970112765,3608.6137298994,3782.5911724229,4611.2010688046,4955.446608575,5229.6478076315
"AR",9124.5803499205,8525.1770024174,3089.279409539,3924.9245945745,4542.4313836784,5578.6021133282,6626.1897000848,8234.0408443065,10043.4813587823,9233.9924795948,11180.8464727396,13388.850889512,14377.0547746245,14460.006824261
"AS",,,,,,,,,,,,,,
"AT",24267.9146623769,24165.8691122047,26223.5990614649,32041.429192889,36640.1426535549,38120.8700375275,40538.7052116545,46462.8177469416,51667.1252689541,47514.277773295,46855.7485061273,51271.1649169832,48796.3747529505,50498.7971138285
"AU",21040.9335352164,18949.5183639829,19516.3194479783,22784.2114257567,29580.7208084502,32731.9708945417,34696.5151053972,39148.6777161075,47622.4987293639,41210.6934910588,49787.1258816801,59634.2882721576,65467.6353970929,65757.9255454825
"AW",,,,,,,,,,,,,,
"AZ",619.6634941481,662.2367743367,716.0244817944,829.9385968108,960.6919762836,1382.1672653825,2157.0609778951,3259.5062332048,4973.6755623388,4556.9798924652,5459.9103816825,6659.9060162114,6796.7282966128,7374.2563825067
"BA",1589.8018161552,1620.7566818488,1837.0316142405,2285.2776258612,2709.0462042188,2930.9970650761,3339.7531661298,4112.4351707889,5029.0489057679,4656.4485681128,4453.2453872653,4809.9603805047,4449.9342249543,4720.8887845764
"BB",11319.0987686665,11191.9298088678,11314.9478339591,11583.2361063933,12464.3191712129,13585.2877529536,14759.4053607737,15656.3883348958,15472.1683943609,15779.5889694128,15413.3796487824,15052.6607145392,14454.6131819321,
