"district_id","2011","2012","2013","2014","2015","2016"
"d314",92,71.6,55,50,68.7,46.2
"d301",107,65.5,79,78.4,78.4,80.8
"d322",84,,85,49.1,58.5,60.6
"d323",,,78,84,80.5,90.6
"d315",87,80,84,84.8,78.5,74.7
"d324",81,57.7,66,62.5,47.8,49.2
"d216",91,96.8,93,96.8,97.1,88.4
"d316",85,89.9,92,90.2,91.3,91.5
"d302",96,95.3,94,93.2,93.5,91.3
"d303",79,63.3,80,46.8,48.9,78
"d217",95,94.8,97,95,94.2,96.7
"d218",52,56,77,70,71.7,83.3
"d201",71,79.9,84,71.9,86.2,87.6
"d420",78,,93,80,94.6,91.7
"d117",67,,66,80.6,76.9,66.9
"d219",90,95.6,93,100,80.1,82.4
"d118",60,,78,87.5,88.6,90.5
"d220",100,100,74,100,100,93.6
"d225",85,76.1,62,82.6,85.6,53.9
"d416",81,92.9,77,87.5,91.9,78.3
"d401",99,89.7,95,82.1,75.5,73.9
"d402",78,31.8,73,69.2,68.6,86.9
"d202",67,77.6,78,83.9,84.1,91.3
"d221",75,82,78,93.8,90.8,91.1
"d119",69,58.1,75,91.7,75.9,78.9
"d120",67,,48,100,87.2,86.1
"d226",66,85.2,80,70.6,73,91
"d317",94,92.3,95,97.8,96.1,91.1
"d121",69,61.9,76,81.8,81.9,77.6
"d304",77,86.1,82,93.8,90.3,81.3
"d403",87,80.3,82,75.9,60.9,68.9
"d417",62,70.8,63,75,70.8,71.7
"d203",65,87.9,89,86.7,90.3,90.3
"d418",78,58.3,88,90,92.2,85
"d204",75,66.7,59,65.8,54,74.3
"d318",82,83.6,75,75,40.4,49.1
"d404",70,73,79,85.5,85.3,85.1
"d405",75,74.3,78,87.2,83.8,75.6
"d213",120,83.9,66,88.9,85.7,70.2
"d101",92,89.8,99,100,98.9,98.1
"d222",80,83.1,76,90.5,83.1,85.7
"d122",60,,73,91.3,92.5,86.1
"d102",67,71.1,,81.6,82,85.1
"d205",66,84.4,83,84.1,83.7,88.1
"d413",87,,93,96.4,92.1,90.9
"d414",70,82.5,79,89.4,87.9,86
"d206",78,88.9,93,94.4,93,90.3
"d406",89,93.6,93,95.9,96.3,94.9
"d207",96,96.8,87,59.1,91.4,91.9
"d112",74,65.7,63,78.3,63.6,74.6
"d407",86,86.2,86,85.7,86.5,85.4
"d103",86,82.6,88,68.8,68.4,86.7
"d227",93,,73,84.6,95,87.8
"d419",64,65.2,74,83.1,88,88.4
"d421",71,,79,56.7,54.6,84.9
"d408",75,71.6,78,76.5,79.1,79.7
"d305",108,75.7,80,74.5,83.7,76
"d319",73,64.4,77,44.8,65.7,55.2
"d325",96,,88,94.1,94.3,93.5
"d306",45,54.8,54,61.9,68,66.1
"d208",64,83.5,89,73.3,74.7,66.7
"d228",78,157.1,95,100,100,96.2
"d123",86,76.2,69,85.7,79.1,66.7
"d422",73,,87,93.5,83.4,76.1
"d415",73,73,79,72.6,69,79.1
"d326",108,70.8,74,86.7,83,77.2
"d307",86,84.6,88,85,88.9,86.6
"d229",65,,77,80,88.5,86.3
"d104",61,61.4,61,65,71,75
"d124",60,,64,93.9,87.3,89.9
"d114",96,97.8,99,100,54.5,86.2
"d223",94,94.9,99,96,96.4,97.5
"d320",79,,69,69.2,91.8,81.8
"d105",60,59.3,53,70,57.3,73.2
"d409",71,71.9,65,67.9,72.6,61.4
"d214",81,84.4,85,88.6,87.2,77.3
"d209",81,75.8,72,72.1,78.2,60
"d410",59,74.9,72,82.4,82.3,92.7
"d423",78,,70,94.7,88.4,92.6
"d115",73,62.8,72,80,78.9,80.4
"d308",61,64.4,80,65.2,71.3,82.3
"d309",72,74.1,78,69.6,70,78.6
"d106",69,76.8,71,83.1,79,73
"d107",75,71.5,66,66.7,65.7,54.6
"d108",67,69.9,64,70.4,66.3,72.6
"d311",81,81.7,88,76.9,95.5,78.3
"d116",62,70.9,79,78.1,78.5,78.1
"d109",84,57.8,85,88,90.8,89.5
"d230",71,,86,84.8,86.5,85.3
"d224",74,84.2,88,90,96.5,95.9
"d327",61,,65,63.6,56.8,57.2
"d310",77,72.4,79,61.8,78.3,84.5
"d231",64,41.7,65,80,78.7,90.9
"d424",99,,80,75,86.7,76.1
"d411",89,87.9,88,89,73.9,77.1
"d328",85,,92,90,94.9,88.5
"d329",86,,75,79.3,76.9,90.4
"d321",96,94.5,94,91,91.3,90
"d312",84,84,92,47.7,67.2,69.2
"d210",93,97.8,91,96.3,98.3,100
"d110",93,64.5,80,76.4,77.6,82
"d425",78,,84,88.9,77.6,41.2
"d412",88,88.1,85,90.2,76.3,80.7
"d111",97,96.1,98,100,99.4,98.7
"d232",82,93.2,86,92.9,94.1,95.3
"d426",78,,83,90.6,79.2,70.6
"d215",85,84.9,82,89.6,95.3,95.6
"d211",82,80.6,67,46.9,59.8,70
"d212",60,26.7,67,39.8,53.2,62.9
"d113",70,69.9,73,68.3,74,75.2
"d313",122,75.7,79,66.7,73.4,79.8
"d330",77,,73,77.1,73.2,85.4
