"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AE",23789,26042.2,22761.02,22469.17,20164.91,15665.9,14158.23,13012.54,12911.44,17017.04,14373.11,13132.97,12416.32
"AF",,,72.17,122.27,151.75,173.5,208.54,257.71,269.59,323.38,336.88,369.58,471.38
"AG",6231.67,5790.71,7158.37,7559.3,6626.12,7403.94,7385.3,6897.71,6909.46,8166.15,4383.27,4664.54,4175.85
"AL",1656.08,1742.24,1743.93,1718.71,1881.01,1919.64,2097.61,2239.94,2631.73,2872.53,2694.11,2676.05,2607.82
"AM",,,,,,1037.92,1190.87,1532.13,1636.14,1812.43,1661.66,1617.28,1708.15
"AO",1680.69,1433.07,1435.35,1649.07,1460.55,1621.25,2088.65,2655.54,3934.56,2950.44,2820.87,2848.91,2995.28
"AR",,,,,,,,,,,,,
"AT",19590.72,19428.52,19421.31,19748.36,21093.29,19943.33,20235.5,20674.86,21196.24,21666.56,22067.4,21714.85,22197.06
"AU",12153.1,12592.49,12692.58,12906.15,13234.54,13387.67,13594.18,13783.41,14328.65,15489.4,15251.88,15227.26,15586.87
"AZ",928.85,907.41,1473.07,1667.7,1664.53,1819.54,2878.09,3435.02,4471.1,5200.83,5052.08,5348.69,5822.75
"BA",3652.54,3240.21,3152.08,3267.82,3344.03,3514.81,3745.79,4086.16,4557.67,4580.38,4610.41,4522.13,4521.35
"BB",5067.11,5153.15,5548.13,5477.25,5156.01,5546.47,5289.16,6117.48,6258.51,5866.62,6372.19,6352.16,6719.81
"BD",183.15,211.41,209.73,212.64,213.55,233.65,243.71,246.5,309.47,295.55,311.36,361.08,383.72
"BE",18031.6,18128.47,18538.58,19083.42,18904.23,20180.56,19234.57,19549.53,20218.55,21038.06,20868.6,21299.85,21708.75
"BF",237.19,243.66,219.09,212.25,251.11,264.82,296.26,325.46,255.54,299.39,313.82,311.25,361.64
"BG",3503.67,3640.11,3749.35,4042.91,4244.6,4460.82,4567.76,5072,5448.1,5322.59,5458.03,5343.57,5417.28
"BH",9439.58,11835.64,13692.57,12793.04,11310.12,10881.18,10388.9,10039.37,9996.77,10466.39,11576.72,11022.16,12173.01
"BI",142.38,148.2,133.36,180.55,181.82,151.15,173.65,255.09,268.1,248.13,270.19,275.86,253.83
"BJ",354.62,354.9,350.22,320.33,309.43,321.92,297.82,358.53,331.59,382.8,313.69,346.67,342.3
"BN",30686.95,29190.16,34660.44,26048.31,27544.5,23768.63,23304.13,24187.87,21621.84,26823.38,28084.53,23263.26,24751.56
"BO",1269.29,1378.74,1443.16,1388.34,1431.39,1519.18,1404.48,1583.73,1788.83,1845.61,1662.85,1931.27,2039.95
"BR",3861.26,3977.31,4364.62,4337.12,4193.99,4468.74,4634.94,4915.46,5108.94,5020.41,5603.87,5611.04,5784.3
"BS",,,,,,,,,,,,,
"BT",1632.83,2006.5,1685.12,1537.24,1422,1736.47,1713.97,1934.89,1940.93,1962.06,2888.93,2613.15,2722.46
"BW",3913.8,4227.72,4725.22,4622.81,4350.81,3817.68,3946.53,4707.32,6342.98,6288.25,5310.57,5107.15,5150.22
"BY",768.52,3509.15,3687.01,3816.88,4379.92,4934.45,5750.06,6284.96,7075.04,6720.92,6606.52,5731.82,6553.91
"BZ",2233.3,2490.25,2367.35,2464.72,2492,2245.53,2454.77,2342.39,2338.05,2304,2387.18,2358.76,2269.75
"CA",15950.55,16343.53,16286.21,16517.05,16310.27,16782.92,16970.86,17124.14,17290.6,18357.87,18755.12,18432.72,18133.44
"CD",8.47,16.82,,31.53,34.13,48.26,53.25,49.21,58.53,60.63,69.44,79.92,88.24
"CF",116.57,100.76,122.66,88.27,86.62,115.12,99.64,78.96,116.6,108.97,149.04,144.51,144.34
"CG",1176.63,1146.05,1322.2,1400.95,1260.86,1194.89,1399.83,1464.9,1186.42,1289.31,1185.48,1449.75,2038.08
"CH",16099.35,16603.08,16982.82,17275.04,17349.84,17510.63,17130.58,17086.84,16153.16,16602.98,16734.77,17027.62,17014.67
"CI",532.75,479.53,489.94,525.54,539.74,529.4,545.26,540.77,564.98,532.8,589.71,580.95,635.32
"CL",3368.51,3486.32,3524.91,3477.07,3398.2,3439.2,3288.13,3543.42,4063.61,4533.88,4595.71,4688.16,5006.42
"CM",380.07,394.19,361.59,364.57,385.64,351.48,337.14,379.89,442.1,434.81,455.31,535.9,521.08
"CN",615.61,695.19,794.19,855.49,912.86,1036.35,1180.25,1339.9,1576.77,1953.23,2107.68,2398.51,2675.13
"CO",2228.38,2322.65,2373.36,2422.51,2384.57,2393.15,2765.63,2887.17,2800.22,3109.91,3175,3254.48,3302.7
"CR",1512.66,1586.15,1736.02,1719.92,1730.82,1762.03,1773.84,1823.75,1964.82,2091.53,2329.07,2278.85,2396.72
"CV",,,1313.55,1037.37,1270.85,1393.96,1537.36,1504.32,1633.67,1842.3,2190.68,2034.63,2047.77
"CY",8009.33,8343.12,8817.15,9673.01,9475.74,9933.38,10064.92,10010.19,10392.13,11079.86,11070.93,10949.43,10554.49
"CZ",8103.82,8837.63,9405.82,10699.23,9692.43,10261.97,10682.07,10975.71,11247.48,11592.85,11618.32,11693.24,11881.92
"DE",16173.54,17305.34,17399.22,17510.38,17210.1,17277,17339.21,17205.64,17651.36,18360.57,18935.35,18442.4,18417.43
"DJ",,,,,,,,,,,,,
"DK",21994.95,22271.7,22435.78,22643.75,22900.51,22625.48,22763.42,22661.61,22639.67,23882.42,23909.75,24057.81,24588.47
"DM",2964.1,2268.32,2074.32,2290.05,2431.92,2407.88,2384.83,2984.07,3157.15,3516.73,3796.47,3363.91,3389.47
"DO",1058.25,1165.57,1224.56,1426.03,1294.15,1274.66,1480.96,1602.79,1849.19,1640.64,1708.93,1785.58,2273.53
"DZ",2827.11,3191.59,3649.53,3626.68,3564.37,3280.44,3493.2,4095.83,4677.31,5212.29,4634.95,5081.89,5692.97
"EC",1650.36,1475.68,1617.39,1545.24,1650.37,1761.66,1806.63,2062.69,3109.47,2935.91,3124.29,3712.93,3999.53
"EE",5275.96,5424.06,5964.02,6279.6,6538.94,7054.13,7781.84,8470.29,9484.99,9204.64,8545.84,8687.87,9476.21
"EG",,,2945.75,2857.34,2818.87,2845.89,3396.75,3326.89,3593.95,3543.92,3550.12,3381.22,3489.63
"ER",1072.46,1043.01,932.48,930.78,740.86,752.42,523.32,497.82,458.6,335.43,375.06,382.84,342.83
"ES",11780.84,11911.06,12134.9,12146.56,12491.98,12590.45,12861.47,13357.1,14038.58,14949.61,14900.09,14691.03,15075.52
"ET",159.37,146.97,154.63,161.81,149.17,166.08,175.38,176.94,174.45,163.42,194.41,209.91,205.78
"FI",15951.35,16137.66,16750.1,17496.99,18131.25,18636.19,18939.72,19136.22,19838.14,20593.2,21064.76,21290.45,21579.54
"FJ",1977.8,2133.64,2267.73,2207.56,2150.18,2150.31,2311.24,2138.11,1931.21,2175.97,2040.38,2158.76,2196.75
"FM",2128.94,2073.96,706.97,1208.59,2277.9,1955.15,1991.72,1935.4,1898.05,2075.7,2255.15,2233.32,1960.28
"FR",17639.93,17824.58,18278.53,18495.32,18777.57,19087.15,19206.84,19389.39,19511.94,20032.82,20203.31,20257.55,20433.19
"GA",3408.32,4660.04,4200.47,3461.35,3389.75,3407.43,3381.44,3306.97,3164.63,3658.11,3798.71,4477.57,4934.52
"GB",10683.97,11822.55,12414.63,13153.18,13701.07,14213.46,14567.47,14870.12,15614.67,16221.04,16136.62,15691.52,15626.39
"GD",2612.5,2932.61,3679.32,3268.46,2752.38,3273.6,3850.52,3521.02,3370.17,2964.67,3010.75,3293.94,3080.27
"GE",572.68,600.55,579.87,678.78,831.01,1026.31,1157.45,1619.87,1815.22,2014.91,1949.24,1839.07,1969.04
"GH",450.18,524.48,372.99,454.35,479.78,474.84,535.19,602.63,675.04,642.18,763.45,845.65,1095.74
"GM",246.22,256.53,233.49,245.79,348.06,334.45,340.82,258.86,279.76,330.17,395.7,392.08,436.81
