"district_id","2013","2014","2015","2016"
"d314",,76,82,83
"d301",,61,66,94
"d322",75.81120944,99,99,94
"d323",,52,71,84
"d315",,88,81,81
"d324",88.73239437,96,97,93
"d216",,72,73,75
"d316",,43,55,87
"d302",77.08779443,90,90,90
"d303",,2,2,79
"d217",77.62803235,79,88,89
"d218",,10,46,71
"d201",90.32921811,81,86,92
"d420",40,49,73,81
"d117",62.51572327,60,75,85
"d219",,75,94,94
"d118",59.64912281,70,78,78
"d220",63.41463415,95,96,89
"d225",59.46969697,53,77,84
"d416",,85,89,91
"d401",,49,73,75
"d402",88.73720137,93,97,98
"d202",71.26436782,73,85,86
"d221",,78,96,96
"d119",36,36,59,64
"d120",75.75757576,80,86,90
"d226",91.2568306,90,93,97
"d317",64.03269755,66,85,86
"d121",,62,84,92
"d304",,45,66,67
"d403",54.55519829,93,98,93
"d417",52.63157895,60,77,77
"d203",,94,95,96
"d418",75.90361446,44,46,85
"d204",63.08900524,8,12,82
"d318",,78,90,97
"d404",52.65700483,53,66,85
"d405",,56,64,67
"d213",79.79274611,77,81,96
"d101",,78,82,68
"d222",,96,95,97
"d122",67.17557252,62,92,91
"d102",,,,
"d205",,19,25,88
"d413",,50,59,99
"d414",68.43220339,69,73,90
"d206",34.90566038,15,95,91
"d406",,4,21,95
"d207",,68,69,93
"d112",83.53174603,84,87,91
"d407",,54,62,65
"d103",62.77777778,58,68,81
"d227",84.27672956,88,92,94
"d419",59.375,58,65,65
"d421",82.01438849,72,84,87
"d408",,50,72,84
"d305",89.03803132,85,85,93
"d319",,51,60,64
"d325",99.54545455,97,97,97
"d306",,67,73,83
"d208",,81,96,97
"d228",61.66666667,65,88,84
"d123",78.99159664,78,83,84
"d422",78.14569536,77,95,81
"d415",,73,88,81
"d326",40.35087719,95,95,98
"d307",,83,93,83
"d229",75.59912854,77,79,80
"d104",,89,90,87
"d124",77.47747748,89,97,90
"d114",68.42105263,94,95,91
"d223",,58,71,88
"d320",,86,90,94
"d105",,78,84,78
"d409",,57,73,77
"d214",66.60550459,96,93,87
"d209",71.24463519,67,84,87
"d410",71.28953771,75,88,92
"d423",91.44851658,94,96,93
"d115",,50,53,75
"d308",,51,32,60
"d309",82.59493671,91,92,95
"d106",81.47321429,92,97,91
"d107",,94,97,97
"d108",85.98726115,90,96,95
"d311",,78,85,94
"d116",,96,99,100
"d109",63.76811594,75,83,81
"d230",73.51351351,81,90,89
"d224",80.88235294,92,94,99
"d327",51.63398693,67,98,77
"d310",75.04655493,77,78,87
"d231",91.70506912,91,93,94
"d424",21.73913043,18,35,58
"d411",,52,70,76
"d328",,66,91,95
"d329",,55,60,93
"d321",,43,96,95
"d312",69.66019417,89,90,88
"d210",,62,66,85
"d110",46.82080925,18,28,89
"d425",72.13114754,75,91,89
"d412",47.07379135,59,79,89
"d111",,62,57,53
"d232",96.48829431,98,96,99
"d426",66.56534954,60,82,93
"d215",42.1641791,48,79,80
"d211",81.66351607,81,83,84
"d212",52.16138329,50,79,77
"d113",59.169279,64,91,90
"d313",99.58932238,19,88,96
"d330",,8,13,51
