"district_id","district_name","year","value"
"d227","Kibuku",2015,92
"d227","Kibuku",2016,94
"d419","Kiruhura",2013,59.375
"d419","Kiruhura",2014,58
"d419","Kiruhura",2015,65
"d419","Kiruhura",2016,65
"d421","Kiryandongo",2013,82.01438849
"d421","Kiryandongo",2014,72
"d421","Kiryandongo",2015,84
"d421","Kiryandongo",2016,87
"d408","Kisoro",2013,
"d408","Kisoro",2014,50
"d408","Kisoro",2015,72
"d408","Kisoro",2016,84
"d305","Kitgum",2013,89.03803132
"d305","Kitgum",2014,85
"d305","Kitgum",2015,85
"d305","Kitgum",2016,93
"d319","Koboko",2013,
"d319","Koboko",2014,51
"d319","Koboko",2015,60
"d319","Koboko",2016,64
"d325","Kole",2013,99.54545455
"d325","Kole",2014,97
"d325","Kole",2015,97
"d325","Kole",2016,97
"d306","Kotido",2013,
"d306","Kotido",2014,67
"d306","Kotido",2015,73
"d306","Kotido",2016,83
"d208","Kumi",2013,
"d208","Kumi",2014,81
"d208","Kumi",2015,96
"d208","Kumi",2016,97
"d228","Kween",2013,61.66666667
"d228","Kween",2014,65
"d228","Kween",2015,88
"d228","Kween",2016,84
"d123","Kyankwanzi",2013,78.99159664
"d123","Kyankwanzi",2014,78
"d123","Kyankwanzi",2015,83
"d123","Kyankwanzi",2016,84
"d422","Kyegegwa",2013,78.14569536
"d422","Kyegegwa",2014,77
"d422","Kyegegwa",2015,95
"d422","Kyegegwa",2016,81
"d415","Kyenjojo",2013,
"d415","Kyenjojo",2014,73
"d415","Kyenjojo",2015,88
"d415","Kyenjojo",2016,81
"d326","Lamwo",2013,40.35087719
"d326","Lamwo",2014,95
"d326","Lamwo",2015,95
"d326","Lamwo",2016,98
"d307","Lira",2013,
"d307","Lira",2014,83
"d307","Lira",2015,93
"d307","Lira",2016,83
"d229","Luuka",2013,75.59912854
"d229","Luuka",2014,77
"d229","Luuka",2015,79
"d229","Luuka",2016,80
"d104","Luwero",2013,
"d104","Luwero",2014,89
"d104","Luwero",2015,90
"d104","Luwero",2016,87
"d124","Lwengo",2013,77.47747748
"d124","Lwengo",2014,89
"d124","Lwengo",2015,97
"d124","Lwengo",2016,90
"d114","Lyantonde",2013,68.42105263
"d114","Lyantonde",2014,94
"d114","Lyantonde",2015,95
"d114","Lyantonde",2016,91
"d223","Manafwa",2013,
"d223","Manafwa",2014,58
"d223","Manafwa",2015,71
"d223","Manafwa",2016,88
"d320","Maracha",2013,
"d320","Maracha",2014,86
"d320","Maracha",2015,90
"d320","Maracha",2016,94
"d105","Masaka",2013,
"d105","Masaka",2014,78
"d105","Masaka",2015,84
"d105","Masaka",2016,78
"d409","Masindi",2013,
"d409","Masindi",2014,57
"d409","Masindi",2015,73
"d409","Masindi",2016,77
"d214","Mayuge",2013,66.60550459
"d214","Mayuge",2014,96
"d214","Mayuge",2015,93
"d214","Mayuge",2016,87
"d209","Mbale",2013,71.24463519
"d209","Mbale",2014,67
"d209","Mbale",2015,84
"d209","Mbale",2016,87
"d410","Mbarara",2013,71.28953771
"d410","Mbarara",2014,75
"d410","Mbarara",2015,88
"d410","Mbarara",2016,92
"d423","Mitooma",2013,91.44851658
"d423","Mitooma",2014,94
"d423","Mitooma",2015,96
"d423","Mitooma",2016,93
"d115","Mityana",2013,
"d115","Mityana",2014,50
"d115","Mityana",2015,53
"d115","Mityana",2016,75
"d308","Moroto",2013,
"d308","Moroto",2014,51
"d308","Moroto",2015,32
"d308","Moroto",2016,60
"d309","Moyo",2013,82.59493671
"d309","Moyo",2014,91
"d309","Moyo",2015,92
"d309","Moyo",2016,95
"d106","Mpigi",2013,81.47321429
"d106","Mpigi",2014,92
"d106","Mpigi",2015,97
"d106","Mpigi",2016,91
"d107","Mubende",2013,
"d107","Mubende",2014,94
"d107","Mubende",2015,97
"d107","Mubende",2016,97
"d108","Mukono",2013,85.98726115
"d108","Mukono",2014,90
"d108","Mukono",2015,96
"d108","Mukono",2016,95
"d311","Nakapiripirit",2013,
"d311","Nakapiripirit",2014,78
"d311","Nakapiripirit",2015,85
