"series","country-year"
"id","intlresources-total"
"type","simple"
"parent",
"name","Total international resource flows"
"columns","id, year, value"
"description","Total international resource flows received"
"default-scale","log"
"theme","intlmix"
"theme-order","2"
"global-picture-color-ramp","purple"
"uom","constant 2012 US$ millions"
"uom_display","USD"
"source","Development Initiatives calculations based on numerous sources"
"calculation","The sum of net inflows of FDI, remittances, gross ODA, gross OOFs, net inflows of portfolio equity, net short-term debt, long-term debt, humanitarian assistance and peacekeeping. This series aims to estimate gross inflows so negative net inflows are excluded (set to zero). Data on peacekeeping is only available for 2012 and humanitarian assistance (excluding that reported as ODA to the OECD DAC) is only available from 2000-2012."
"format",
"highorlow","highisbetter"
"range","250000000, 500000000, 1000000000, 5000000000, 10000000000"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","Total international resource flows received by a country for a specific year"
"laymans-heading","Total International Resource Flows "
