id,year,accounting-type,start-month,end-month
CV,2012,calendar,1,12
CV,2013,calendar,1,12
CV,2014,calendar,1,12
CV,2015,calendar,1,12
CV,2016,calendar,1,12
CV,2017,calendar,1,12
CV,2018,calendar,1,12
CV,2019,calendar,1,12
DJ,2000,calendar,1,12
DJ,2001,calendar,1,12
DJ,2002,calendar,1,12
DJ,2003,calendar,1,12
DJ,2004,calendar,1,12
DJ,2005,calendar,1,12
DJ,2006,calendar,1,12
DJ,2007,calendar,1,12
DJ,2008,calendar,1,12
DJ,2009,calendar,1,12
DJ,2010,calendar,1,12
DJ,2011,calendar,1,12
DJ,2012,calendar,1,12
DJ,2013,calendar,1,12
DJ,2014,calendar,1,12
DJ,2015,calendar,1,12
DJ,2016,calendar,1,12
DJ,2017,calendar,1,12
DJ,2018,calendar,1,12
DJ,2019,calendar,1,12
DZ,2000,calendar,1,12
DZ,2001,calendar,1,12
DZ,2002,calendar,1,12
DZ,2003,calendar,1,12
DZ,2004,calendar,1,12
DZ,2005,calendar,1,12
DZ,2006,calendar,1,12
DZ,2007,calendar,1,12
DZ,2008,calendar,1,12
DZ,2009,calendar,1,12
DZ,2010,calendar,1,12
DZ,2011,calendar,1,12
DZ,2012,calendar,1,12
DZ,2013,calendar,1,12
DZ,2014,calendar,1,12
DZ,2015,calendar,1,12
DZ,2016,calendar,1,12
DZ,2017,calendar,1,12
DZ,2018,calendar,1,12
DZ,2019,calendar,1,12
EG,2000,fiscal,7,6
EG,2001,fiscal,7,6
EG,2002,fiscal,7,6
EG,2003,fiscal,7,6
EG,2004,fiscal,7,6
EG,2005,fiscal,7,6
EG,2006,fiscal,7,6
EG,2007,fiscal,7,6
EG,2008,fiscal,7,6
EG,2009,fiscal,7,6
EG,2010,fiscal,7,6
EG,2011,fiscal,7,6
EG,2012,fiscal,7,6
EG,2013,fiscal,7,6
EG,2014,fiscal,7,6
EG,2015,fiscal,7,6
EG,2016,fiscal,7,6
EG,2017,fiscal,7,6
EG,2018,fiscal,7,6
EG,2019,fiscal,7,6
ET,2000,fiscal,7,6
ET,2001,fiscal,7,6
ET,2002,fiscal,7,6
ET,2003,fiscal,7,6
ET,2004,fiscal,7,6
ET,2005,fiscal,7,6
ET,2006,fiscal,7,6
ET,2007,fiscal,7,6
ET,2008,fiscal,7,6
ET,2009,fiscal,7,6
ET,2010,fiscal,7,6
ET,2011,fiscal,7,6
ET,2012,fiscal,7,6
ET,2013,fiscal,7,6
ET,2014,fiscal,7,6
ET,2015,fiscal,7,6
ET,2016,fiscal,7,6
ET,2017,fiscal,7,6
ET,2018,fiscal,7,6
ET,2019,fiscal,7,6
FJ,2000,calendar,1,12
FJ,2001,calendar,1,12
FJ,2002,calendar,1,12
FJ,2003,calendar,1,12
FJ,2004,calendar,1,12
FJ,2005,calendar,1,12
FJ,2006,calendar,1,12
FJ,2007,calendar,1,12
FJ,2008,calendar,1,12
FJ,2009,calendar,1,12
FJ,2010,calendar,1,12
FJ,2011,calendar,1,12
FJ,2012,calendar,1,12
FJ,2013,calendar,1,12
FJ,2014,calendar,1,12
FJ,2015,calendar,1,12
FJ,2016,calendar,1,12
FJ,2017,calendar,1,12
FJ,2018,calendar,1,12
FJ,2019,calendar,1,12
FM,2000,fiscal,10,9
FM,2001,fiscal,10,9
FM,2002,fiscal,10,9
FM,2003,fiscal,10,9
FM,2004,fiscal,10,9
FM,2005,fiscal,10,9
FM,2006,fiscal,10,9
FM,2007,fiscal,10,9
FM,2008,fiscal,10,9
FM,2009,fiscal,10,9
FM,2010,fiscal,10,9
FM,2011,fiscal,10,9
FM,2012,fiscal,10,9
FM,2013,fiscal,10,9
FM,2014,fiscal,10,9
FM,2015,fiscal,10,9
FM,2016,fiscal,10,9
FM,2017,fiscal,10,9
FM,2018,fiscal,10,9
FM,2019,fiscal,10,9
GA,2000,calendar,1,12
GA,2001,calendar,1,12
GA,2002,calendar,1,12
GA,2003,calendar,1,12
GA,2004,calendar,1,12
GA,2005,calendar,1,12
GA,2006,calendar,1,12
GA,2007,calendar,1,12
GA,2008,calendar,1,12
GA,2009,calendar,1,12
GA,2010,calendar,1,12
GA,2011,calendar,1,12
GA,2012,calendar,1,12
GA,2013,calendar,1,12
GA,2014,calendar,1,12
GA,2015,calendar,1,12
GA,2016,calendar,1,12
GA,2017,calendar,1,12
GA,2018,calendar,1,12
GA,2019,calendar,1,12
GE,2000,calendar,1,12
GE,2001,calendar,1,12
GE,2002,calendar,1,12
GE,2003,calendar,1,12
GE,2004,calendar,1,12
GE,2005,calendar,1,12
GE,2006,calendar,1,12
GE,2007,calendar,1,12
GE,2008,calendar,1,12
GE,2009,calendar,1,12
GE,2010,calendar,1,12
GE,2011,calendar,1,12
GE,2012,calendar,1,12
GE,2013,calendar,1,12
GE,2014,calendar,1,12
GE,2015,calendar,1,12
GE,2016,calendar,1,12
GE,2017,calendar,1,12
GE,2018,calendar,1,12
GE,2019,calendar,1,12
GH,2000,calendar,1,12
GH,2001,calendar,1,12
GH,2002,calendar,1,12
GH,2003,calendar,1,12
GH,2004,calendar,1,12
GH,2005,calendar,1,12
GH,2006,calendar,1,12
GH,2007,calendar,1,12
GH,2008,calendar,1,12
GH,2009,calendar,1,12
GH,2010,calendar,1,12
GH,2011,calendar,1,12
GH,2012,calendar,1,12
GH,2013,calendar,1,12
GH,2014,calendar,1,12
GH,2015,calendar,1,12
GH,2016,calendar,1,12
GH,2017,calendar,1,12
GH,2018,calendar,1,12
GH,2019,calendar,1,12
GM,2000,calendar,1,12
GM,2001,calendar,1,12
GM,2002,calendar,1,12
GM,2003,calendar,1,12
GM,2004,calendar,1,12
GM,2005,calendar,1,12
GM,2006,calendar,1,12
GM,2007,calendar,1,12
GM,2008,calendar,1,12
GM,2009,calendar,1,12
GM,2010,calendar,1,12
GM,2011,calendar,1,12
GM,2012,calendar,1,12
GM,2013,calendar,1,12
GM,2014,calendar,1,12
GM,2015,calendar,1,12
GM,2016,calendar,1,12
GM,2017,calendar,1,12
GM,2018,calendar,1,12
GM,2019,calendar,1,12
GN,2000,calendar,1,12
GN,2001,calendar,1,12
GN,2002,calendar,1,12
GN,2003,calendar,1,12
GN,2004,calendar,1,12
GN,2005,calendar,1,12
GN,2006,calendar,1,12
GN,2007,calendar,1,12
GN,2008,calendar,1,12
GN,2009,calendar,1,12
GN,2010,calendar,1,12
GN,2011,calendar,1,12
GN,2012,calendar,1,12
GN,2013,calendar,1,12
GN,2014,calendar,1,12
GN,2015,calendar,1,12
GN,2016,calendar,1,12
GN,2017,calendar,1,12
GN,2018,calendar,1,12
GN,2019,calendar,1,12
GQ,2000,calendar,1,12
GQ,2001,calendar,1,12
GQ,2002,calendar,1,12
GQ,2003,calendar,1,12
GQ,2004,calendar,1,12
GQ,2005,calendar,1,12
GQ,2006,calendar,1,12
GQ,2007,calendar,1,12
GQ,2008,calendar,1,12
GQ,2009,calendar,1,12
GQ,2010,calendar,1,12
GQ,2011,calendar,1,12
GQ,2012,calendar,1,12
GQ,2013,calendar,1,12
GQ,2014,calendar,1,12
GQ,2015,calendar,1,12
GQ,2016,calendar,1,12
GQ,2017,calendar,1,12
GQ,2018,calendar,1,12
GQ,2019,calendar,1,12
GT,2000,calendar,1,12
GT,2001,calendar,1,12
GT,2002,calendar,1,12
GT,2003,calendar,1,12
GT,2004,calendar,1,12
GT,2005,calendar,1,12
GT,2006,calendar,1,12
GT,2007,calendar,1,12
GT,2008,calendar,1,12
GT,2009,calendar,1,12
GT,2010,calendar,1,12
GT,2011,calendar,1,12
GT,2012,calendar,1,12
GT,2013,calendar,1,12
GT,2014,calendar,1,12
GT,2015,calendar,1,12
GT,2016,calendar,1,12
GT,2017,calendar,1,12
GT,2018,calendar,1,12
GT,2019,calendar,1,12
GW,2000,calendar,1,12
GW,2001,calendar,1,12
GW,2002,calendar,1,12
GW,2003,calendar,1,12
GW,2004,calendar,1,12
GW,2005,calendar,1,12
GW,2006,calendar,1,12
GW,2007,calendar,1,12
GW,2008,calendar,1,12
GW,2009,calendar,1,12
GW,2010,calendar,1,12
GW,2011,calendar,1,12
GW,2012,calendar,1,12
GW,2013,calendar,1,12
GW,2014,calendar,1,12
GW,2015,calendar,1,12
GW,2016,calendar,1,12
GW,2017,calendar,1,12
GW,2018,calendar,1,12
GW,2019,calendar,1,12
GY,2000,calendar,1,12
GY,2001,calendar,1,12
GY,2002,calendar,1,12
GY,2003,calendar,1,12
GY,2004,calendar,1,12
GY,2005,calendar,1,12
GY,2006,calendar,1,12
GY,2007,calendar,1,12
GY,2008,calendar,1,12
GY,2009,calendar,1,12
GY,2010,calendar,1,12
GY,2011,calendar,1,12
GY,2012,calendar,1,12
GY,2013,calendar,1,12
GY,2014,calendar,1,12
GY,2015,calendar,1,12
GY,2016,calendar,1,12
GY,2017,calendar,1,12
GY,2018,calendar,1,12
GY,2019,calendar,1,12
HN,2000,calendar,1,12
HN,2001,calendar,1,12
HN,2002,calendar,1,12
HN,2003,calendar,1,12
HN,2004,calendar,1,12
HN,2005,calendar,1,12
HN,2006,calendar,1,12
HN,2007,calendar,1,12
HN,2008,calendar,1,12
HN,2009,calendar,1,12
HN,2010,calendar,1,12
HN,2011,calendar,1,12
HN,2012,calendar,1,12
HN,2013,calendar,1,12
HN,2014,calendar,1,12
HN,2015,calendar,1,12
HN,2016,calendar,1,12
HN,2017,calendar,1,12
HN,2018,calendar,1,12
HN,2019,calendar,1,12
HT,2000,fiscal,10,9
HT,2001,fiscal,10,9
HT,2002,fiscal,10,9
HT,2003,fiscal,10,9
HT,2004,fiscal,10,9
HT,2005,fiscal,10,9
HT,2006,fiscal,10,9
HT,2007,fiscal,10,9
HT,2008,fiscal,10,9
HT,2009,fiscal,10,9
HT,2010,fiscal,10,9
HT,2011,fiscal,10,9
HT,2012,fiscal,10,9
HT,2013,fiscal,10,9
HT,2014,fiscal,10,9
HT,2015,fiscal,10,9
HT,2016,fiscal,10,9
HT,2017,fiscal,10,9
HT,2018,fiscal,10,9
HT,2019,fiscal,10,9
ID,2000,calendar,1,12
ID,2001,calendar,1,12
ID,2002,calendar,1,12
ID,2003,calendar,1,12
ID,2004,calendar,1,12
ID,2005,calendar,1,12
ID,2006,calendar,1,12
ID,2007,calendar,1,12
ID,2008,calendar,1,12
ID,2009,calendar,1,12
ID,2010,calendar,1,12
ID,2011,calendar,1,12
ID,2012,calendar,1,12
ID,2013,calendar,1,12
ID,2014,calendar,1,12
ID,2015,calendar,1,12
ID,2016,calendar,1,12
ID,2017,calendar,1,12
ID,2018,calendar,1,12
ID,2019,calendar,1,12
IN,2000,fiscal,4,3
IN,2001,fiscal,4,3
IN,2002,fiscal,4,3
IN,2003,fiscal,4,3
IN,2004,fiscal,4,3
IN,2005,fiscal,4,3
IN,2006,fiscal,4,3
IN,2007,fiscal,4,3
IN,2008,fiscal,4,3
IN,2009,fiscal,4,3
IN,2010,fiscal,4,3
IN,2011,fiscal,4,3
IN,2012,fiscal,4,3
IN,2013,fiscal,4,3
IN,2014,fiscal,4,3
IN,2015,fiscal,4,3
IN,2016,fiscal,4,3
IN,2017,fiscal,4,3
IN,2018,fiscal,4,3
IN,2019,fiscal,4,3
IQ,2000,calendar,1,12
IQ,2001,calendar,1,12
IQ,2002,calendar,1,12
IQ,2003,calendar,1,12
IQ,2004,calendar,1,12
IQ,2005,calendar,1,12
IQ,2006,calendar,1,12
IQ,2007,calendar,1,12
IQ,2008,calendar,1,12
IQ,2009,calendar,1,12
IQ,2010,calendar,1,12
IQ,2011,calendar,1,12
IQ,2012,calendar,1,12
IQ,2013,calendar,1,12
IQ,2014,calendar,1,12
IQ,2015,calendar,1,12
IQ,2016,calendar,1,12
IQ,2017,calendar,1,12
IQ,2018,calendar,1,12
IQ,2019,calendar,1,12
IR,2000,fiscal,4,3
IR,2001,fiscal,4,3
IR,2002,fiscal,4,3
IR,2003,fiscal,4,3
IR,2004,fiscal,4,3
IR,2005,fiscal,4,3
IR,2006,fiscal,4,3
IR,2007,fiscal,4,3
IR,2008,fiscal,4,3
IR,2009,fiscal,4,3
IR,2010,fiscal,4,3
IR,2011,fiscal,4,3
IR,2012,fiscal,4,3
