"id","value.2011","value.2010","value.2009","value.2008","value.2007","value.2006","value.2005","value.2004","value.2003","value.2002","value.2001","value.2000"
"AF",37.48443947,37.88691472,37.57338851,37.92686529,37.66417247,35.90920047,35.16688699,35.77594936,35.93547069,35.66214342,36.1737413,35.96934055
"DZ",23.1373493,23.78361773,25.44366282,23.72252543,23.82954943,23.8061916,23.84986415,24.17150652,23.86225228,23.86887563,24.58642268,23.99752092
"AO",49.70276642,49.29945834,48.87454855,49.29675823,49.676961,50.36947811,53.0755484,51.02239221,50.64630316,50.77802865,51.18527604,51.17246873
"AG",39.74573792,39.99370103,40.81678304,43.61047101,42.92719315,43.09873661,43.02189316,42.17537225,42.31465273,45.08016279,45.86643858,44.89230978
"AR",24.40861423,24.20881513,24.51736595,26.38936828,29.35621127,30.30659737,31.83880952,32.73138621,33.14064967,33.10596713,31.43572616,31.8311255
"BS",47.58932224,47.26281765,46.93363628,47.95069509,47.81869697,46.96246555,46.45377215,46.06394042,40.55754054,40.44030299,40.06262423,40.31968669
"BH",38.59766648,36.20861869,37.1267469,36.7934474,37.37793785,38.55167368,38.59821902,38.42672183,38.51985418,39.22191638,39.69825761,40.47898906
"BD",31.45538428,31.99054234,32.44994312,32.74435096,33.49017765,34.12937301,34.9174871,34.9639833,34.96881432,34.70766096,34.30921121,34.45647516
"BB",27.68482358,27.02517431,23.39009844,23.63760648,22.99103949,23.80648595,24.33528934,24.08578884,23.82886797,23.4463386,23.173343,23.7002922
"BZ",47.30395746,46.91843118,46.55268219,46.91758749,46.56397717,45.72044756,46.4584983,46.34446102,46.2121551,48.8108213,51.95967311,53.07056839
"BJ",34.77576627,34.0202375,32.78951607,36.8243441,36.90238645,38.59006501,37.83331965,38.39953963,39.0760459,44.29126154,45.08506145,44.90196184
"BT",42.43329459,42.59257993,42.85745014,42.87467228,41.72285663,44.57206473,39.34965904,38.71120791,40.33141973,42.26907835,43.45900785,42.82381513
"BO",32.68116437,33.32373229,33.32909209,33.52822562,34.04149196,33.18632613,31.87976698,31.3024764,31.4212246,34.00646083,36.27706185,36.85284289
"BW",40.83009773,40.4238454,40.16861377,37.63200413,37.55272624,38.93179337,39.29477308,42.53303403,42.35468865,42.38727878,46.41826082,45.15179735
"BR",20.48623605,20.33673378,21.02829014,20.40514611,20.97892316,21.26862372,22.34472652,22.61842864,22.89234018,24.3802088,24.12350084,23.93524827
"BN",38.63206155,39.80796104,40.93581177,40.24786286,40.36916176,39.84259309,40.07268131,44.27399408,45.54687919,45.9063665,46.25622261,46.11765036
"BF",36.92128372,37.36658072,41.92089457,40.46799122,41.15103862,40.25292099,40.5029845,41.36708366,41.1173984,42.76401564,44.00806195,44.32556997
"BI",53.91085549,54.16593269,53.7712636,53.76534804,51.73232294,53.07296015,52.05699944,49.48943528,50.40908926,51.24865776,50.93548298,51.62723234
"KH",50.33808382,50.17012017,59.70543711,62.55056524,63.07568185,63.11029919,62.80408966,62.38311177,63.88789661,64.27752894,64.31832025,64.71735376
"CM",23.08009772,23.56555266,26.59640866,25.98737571,25.88859652,25.77938497,25.80113968,25.68155385,25.72232345,25.33963826,25.4673245,25.77242746
"CV",35.13336911,34.91473581,34.78716212,34.03838132,34.51603403,34.79117556,35.87259967,36.52350001,35.85824472,37.69966677,37.29679997,38.29006627
"CF",31.26852193,31.16424729,31.40901324,31.27023206,31.73821025,32.19084192,32.49172283,32.87825621,32.07259777,31.71832607,32.55584109,32.70164034
"TD",56.00562354,56.31273771,56.94860602,53.90200242,53.84987418,52.90480373,51.48141486,49.86723452,43.69061982,39.57449658,40.42318623,40.14928723
"CL",30.4322425,29.96378722,28.36667472,27.97126748,26.64726549,26.73203477,25.754016,27.32659917,27.45678457,28.23167415,28.5790603,28.56653082
"CN",21.29325773,21.59998341,22.3405996,21.23337545,22.01977573,22.93812813,23.93445676,24.54400288,25.12293289,25.06447111,25.43540032,26.54231826
"CO",22.6486821,22.43675795,21.44058907,21.53584524,21.41394836,21.31493575,21.92319801,22.2857254,22.02996,22.77002,22.2320257,22.0057091
"KM",47.88522673,48.291631,49.16295623,50.33799581,50.36091848,51.12517288,52.26635275,50.34947934,56.9961548,56.97922187,56.03663262,55.63968723
"CG",34.26497993,34.39565736,35.75308543,35.34542603,34.99592507,34.86692583,34.95480712,35.41693478,36.46677149,36.40137574,36.51622322,36.71421974
"CR",32.51588369,31.85619362,32.17130443,31.93751964,32.27956606,32.61921542,32.45833379,32.63174508,31.42561781,31.11174659,31.12227371,30.14225635
"CI",22.3368563,21.09250752,20.08274966,20.11190328,19.67883304,19.3864312,20.84663227,21.63553446,22.04308272,22.07428505,20.83712291,20.8964178
"CU",35.85319221,35.07334525,38.22227057,38.77987544,38.94785537,39.18154763,39.02051931,37.19131454,37.27912667,36.85304768,36.76316139,35.39360416
"KP",40.56889806,45.56470997,45.83152941,45.68202587,45.64288223,45.56074548,45.97562556,46.81940048,47.400121,47.69891896,47.92463707,48.17356412
"CD",37.70153439,37.33617218,38.55807514,38.59985371,43.13294142,40.72550694,39.6972567,39.42400585,39.43678207,39.33048566,39.48199642,39.66914545
"DJ",46.10737252,49.96204816,53.75945576,55.88023977,56.21285167,55.36506835,55.15116206,54.96231449,54.53650651,55.46238303,56.56315871,57.4021824
"DM",40.25273711,39.7833731,39.37997561,39.71241556,39.80799764,36.61351879,37.34294355,38.44984192,43.13855733,43.33363859,43.5271712,42.78655979
"DO",23.57892907,23.85175693,24.45313619,24.9274948,25.67846058,25.82368884,25.81406283,27.90523474,44.53416211,47.09800466,48.44228652,47.5670527
"EC",30.21303193,30.61618631,30.78324287,30.68249618,30.28000333,30.64448043,30.55728501,34.59060963,34.31492002,35.22638536,35.88372663,35.84394308
"EG",18.4309201,18.44658254,18.70820231,20.60980498,21.09181384,23.9407878,25.70759694,25.65453914,25.80233302,25.18316337,24.75916675,24.93701954
"SV",29.7818523,30.07335164,30.43429347,32.47572368,33.70840766,35.00171142,35.64475713,34.82973573,34.23872805,33.41385861,33.3088808,30.72404208
"GQ",42.12327689,43.59089392,44.82179506,41.17805166,42.15272371,46.39607752,46.46072607,51.88503418,51.05278712,51.16915847,51.17389116,51.489151
"ER",58.98674888,56.13536991,59.04098763,,,,,,,,,
"ET",31.38334265,31.62683264,32.06606486,,,,,,,,,
"FJ",42.54127476,42.85728243,42.8295609,41.88729431,42.62258223,43.81252094,44.23775249,44.93244411,44.72625596,46.48855288,46.81141672,46.58943565
"GA",38.72139677,34.22537355,34.08397455,33.84290358,35.97046819,35.55682689,37.02363255,37.12432567,37.28549308,37.2745083,36.80682089,36.19222805
"GM",67.33981028,66.54064436,65.46671357,60.96589621,61.08251382,60.56654523,61.55265167,61.69835648,62.06439006,52.27496125,49.64345393,49.93936367
"GH",29.47159394,28.71807304,30.91062398,30.94336551,31.46210841,32.14095808,31.930497,33.41646759,33.93166796,37.76427472,42.84956412,47.41863781
"GD",46.01693283,46.05758662,46.16068068,46.37069479,46.59477038,46.64343143,46.4264668,41.99903244,34.9821353,35.24491059,34.50312903,34.48133367
