"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AD",,,,,,,,,,,3238.16,3498.04,4217.17,5342.36,6321.02,7168.87,7151.47,7751.84,9127.27,11820.51,12378.78,10371.68,9610.76,8023.64,7729.27,7774.92,10362.26,12615.39,14305.21,15166.15,18877.81,19531.51,20542.13,16507.81,16227.04,18459.91,19037.58,18404.56,18969.64,19324.45,21432.98,21897.86,24174.27,31744.22,37233.83,39991.33,42419.4,47255.96,46734.27,42704.02,39641.75,41627.46,39666.04,42804.2,,
"AE",,,,,,,,,,,,,,,,27708.72,30886.57,34407.98,28735.8,33673.42,42878.86,45131.34,40244.84,35135.87,32655.37,30067.13,23727.7,23953.34,22476.97,24218.55,27989.3,26945.66,26864.19,26141.33,26495.82,27973.74,29813.37,30378.55,27681.31,29278.77,34207.54,32105.65,32355.41,34294.89,37179.68,40298.52,42950.1,42913.78,45720.02,32905.05,34341.91,39901.22,41712.4,42986.66,44238.6,40438.76
"AF",59.79,59.89,58.51,78.8,82.23,101.32,137.95,161.38,129.56,129.86,157.26,160.44,136.18,144.17,175.03,188.09,199.16,226.2,249.57,278.39,275.65,267.66,,,,,,,,,,,,,,,,,,,,119.9,192.15,203.65,224.91,257.18,280.25,380.4,384.13,458.96,569.94,622.38,690.84,653.35,633.95,594.32
"AG",,,,,,,,,,,,,,,,,,941.92,1061.66,1307.4,1565.65,1784.42,2000.75,2255.37,2595.02,3070.44,3806.15,4512.54,5415.85,6025.85,6325.24,6575.48,6680.38,7037.94,7514.48,7230.32,7702.67,8027.63,8355.62,8572.37,10094.76,9797.97,10027.86,10382.63,10993.37,12079.87,13599.91,15276.07,15786.17,13979.26,13017.31,12817.84,13525.62,13342.08,13432.08,13714.73
"AL",,,,,,,,,,,,,,,,,,,,,,,,,662.52,662.91,719.16,699.38,676.57,723.41,639.46,348.71,218.49,380.53,619.07,760.56,1046.36,749.58,865.3,1098.43,1175.79,1326.97,1453.64,1890.68,2416.59,2709.14,3005.01,3603.01,4370.54,4114.14,4094.36,4437.81,4247.84,4412.35,4568.57,3945.22
"AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68,589,368.92,356.51,399.75,455.55,503.23,522.52,608.34,596.51,621.42,692.3,779.83,924.46,1181.97,1625.41,2126.62,3080.97,3919.98,2915.58,3124.78,3417.17,3565.52,3716.83,3861.92,3489.13
"AO",,,,,,,,,,,,,,,,,,,,,,,,,,686.38,667.31,650.32,634.33,927.22,901.65,,,,490.34,374.1,560.68,554.25,454.3,421.38,606.27,574.19,775.77,850.08,1135.6,1576.16,2253.84,3151.02,4242.36,3678.95,3886.48,4744.99,5086.85,5327.15,5232.76,4101.47
"AR",,,,,,,,,,,,683.18,1121.19,1875.58,2542.19,1860.81,1932.59,2112.5,2129.31,2501.48,2738.28,2756.4,2907.76,3530.13,2643.37,2909.52,3595.09,3546.72,3969.33,2375.34,4318.77,5715.5,6798.03,6940.35,7449.48,7373.43,7683.57,8172.67,8248.76,7736.37,7669.27,7170.69,2579.19,3330.43,4251.57,5096.26,5904.68,7226.27,8992.59,8198.57,10332.03,12800.2,13040.31,13027.2,12324.94,13431.88
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",935.46,1031.82,1087.83,1167,1269.41,1374.53,1486.97,1569.67,1677.67,1825.39,2053.81,2375.24,2917,3881.35,4619.6,5272.89,5664.71,6794.22,8185.7,9770.17,10843.36,9362.64,9387.68,9514.43,8969.41,9150,13051.56,16353.28,17536.27,17426.86,21628.76,22356.92,24820.23,24023.52,25584.92,30252.79,29742.43,26646.88,27289.63,27116.68,24517.27,24489.74,26351.38,32102.93,36693.4,38242.04,40430.99,46586.65,51386.38,47654.19,46659.84,51123.56,48333.57,50504.72,51322.64,43774.99
"AU",1806.8,1873.45,1851.01,1963.23,2127.17,2276.57,2338.9,2574.67,2718.12,2985.12,3297.78,3487.61,3940.86,4759.99,6469.08,6987.82,7469.2,7757.72,8233.59,9272.76,10186.13,11826.04,12758.67,11510.14,12429.09,11434.35,11361.27,11625.56,14261.34,17810.95,18221.69,18836.78,18591.22,17657.24,18079.26,20360.18,21917.72,23522.78,21340.06,20536.41,21665.12,19495.15,20059.45,23440.01,30440.85,33982.95,36084.86,40957.83,49628.12,42715.13,51845.65,62216.55,67646.1,67652.68,61995.83,56310.96
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47,16441.38,16586.19,17927.41,19081.57,19356.42,20619.57,20671.55,20433.65,20834.94,22566.68,23302.83,24015.42,25921.54,27549.89,24640.42,24289.14,25353.79,,,,
"AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.32,1209.24,676.15,530.09,436.19,397.2,409.22,505.56,561.91,573.89,655.1,703.67,763.1,883.61,1045.03,1578.37,2473.09,3851.44,5574.6,4950.29,5842.81,7189.69,7393.77,7811.62,7886.46,5496.34
