"id","2011","2012","2013","2014"
"d101",134,100,79,59.8
"d102",136,60.9,,94.5
"d103",108,100,106,98.1
"d104",74,72.6,117,111.7
"d105",97,100,108,105.6
"d106",113,100,123,117.8
"d107",76,92,100,95.9
"d108",94,94.7,104,94.2
"d109",86,87.6,87,77.9
"d110",102,37.2,83,106.8
"d111",107,79,79,64.2
"d112",94,100,99,101.4
"d113",93,96.3,81,97.5
"d114",93,100,88,108.7
"d115",102,100,105,101.8
"d116",71,61.2,65,71.3
"d117",76,69.2,81,83.7
"d118",115,75.1,65,108.8
"d119",94,87.1,71,87.3
"d120",139,100,126,98
"d121",89,88.2,93,96.9
"d122",102,100,150,70.3
"d123",132,100,86,93.4
"d124",58,74.6,82,144.3
"d201",109,,107,111
"d202",51,86.2,74,91.6
"d203",83,75.2,83,92.8
"d204",84,85.8,98,88.7
"d205",102,100,136,145.7
"d206",77,74.5,59,62.8
"d207",91,,93,78.4
"d208",95,78.7,81,80
"d209",109,100,122,112.3
"d210",90,51,81,89.5
"d211",38,100,67,103.5
"d212",95,97.1,78,98.2
"d213",94,87,83,85
"d214",92,100,71,89.1
"d215",152,73,131,82.1
"d216",55,100,49,53.7
"d217",88,95.8,95,104.2
"d218",159,76.4,108,137
"d219",113,96.8,97,92
"d220",102,97,96,117.5
"d221",106,100,78,83.4
"d222",78,71.9,74,96.4
"d223",115,100,123,99.5
"d224",93,87.1,103,107.9
"d225",,97.8,98,81.9
"d226",105,62.6,109,118.2
"d227",81,83.2,68,77.1
"d228",,2.6,51,60.4
"d229",71,86,93,81.2
"d230",68,71,114,91.2
"d231",94,100,92,83.1
"d232",,84.1,56,103.5
"d301",38,38.7,32,33.4
"d302",86,85.4,85,87.6
"d303",82,64.1,82,102
"d304",110,100,125,117.7
"d305",62,69.5,79,86.5
"d306",102,89.4,104,79.3
"d307",93,100,97,90
"d308",72,61.2,61,57.8
"d309",27,50.8,20,21.4
"d310",91,80.6,73,97.5
"d311",81,67.3,104,99.6
"d312",76,40.2,68,73.1
"d313",58,60.6,58,68.2
"d314",191,100,179,143.8
"d315",138,,123,110
"d316",97,68.6,87,90.8
"d317",92,93.2,78,91.8
"d318",55,100,68,50.3
"d319",115,100,85,105.6
"d320",100,10,78,104.4
"d321",72,92.5,106,106.8
"d322",80,84.2,92,105.9
"d323",,51.6,103,120.3
"d324",49,55.4,57,41.6
"d325",79,93.3,73,89.9
"d326",77,,74,86.4
"d327",114,,101,98.4
"d328",153,100,198,228.5
"d329",82,100,99,84.2
"d330",92,87.3,86,102
"d401",89,93.6,77,96.8
"d402",93,100,89,91.5
"d403",72,,71,81.8
"d404",93,99.7,84,89.2
"d405",113,100,114,119.5
"d406",98,79.5,90,89
"d407",90,87.5,67,109.6
"d408",94,100,93,98.3
"d409",72,66.8,68,67.5
"d410",98,94.3,76,86.4
"d411",86,92.8,65,79.7
"d412",91,,82,93.8
"d413",95,100,112,125.4
"d414",75,67.8,74,75.5
"d415",92,100,99,110.1
"d416",97,100,107,116.3
"d417",86,100,82,77.5
"d418",97,88.5,87,96.1
"d419",76,100,120,109.1
"d420",69,100,99,98.8
"d421",79,94.8,70,82.8
"d422",87,100,115,149.7
"d423",221,91.2,68,103.2
"d424",,63.2,64,62.5
"d425",120,100,105,74.9
"d426",69,100,63,54.3
