"district_id","2014","2016"
"d18974",53.8,60.3
"d18975",52.2,65.8
"d18987",41.4,56.3
"d18988",58.5,58.9
"d18976",65,83.8
"d18955",81.5,76.9
"d18965",39.8,52.6
"d18968",60.4,65.9
"d18956",43.8,50.8
"d18991",63.2,74.5
"d18989",48.6,74.7
"d18977",64.4,70.7
"d18943",92.6,86.6
"d18949",52.3,56.6
"d18944",92.3,94.4
"d18969",72.8,93
"d18970",69.2,87.5
"d18957",46.2,68.1
"d18950",50.1,69.3
"d18978",49.5,62.2
"d18951",47.3,56.4
"d18958",63.4,76.8
"d18959",54.6,64.8
"d18966",38.7,26.2
"d18960",25.8,31
"d18961",82.8,86.3
"d18971",53.4,74.3
"d18952",82.8,90.9
"d18946",85.5,91.2
"d18964",89.1,95
"d18979",69.5,69.4
"d18980",46.8,61.1
"d18981",40.3,61.7
"d18962",76.6,73.7
"d18972",74.1,83.8
"d18947",85.3,87
"d18948",88.1,92.7
"d18982",29,30.7
"d18973",70.4,81.4
"d18953",62.5,79.3
"d18954",32.2,46.3
"d18983",41.8,49.8
"d18984",22.8,30.5
"d18985",59,75.2
"d18990",50.3,71
"d18967",21.7,24
"d18986",27,33.3
