"series","country-year"
"id","avg-income-of-extreme-poor"
"type","simple"
"parent",
"name","Average income of extreme poor"
"columns","id, year, value, original-value"
"description","Average income ($PPP) of people living on less than $1.25/day)"
"default-scale","lin"
"themes","poorest20pct"
"map-theme",
"theme-order",
"global-picture-color-ramp","darkred"
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range","0.75, 1.0, 1.1, 1.2"
"interpolated","1"
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","Average daily consumption of individuals living on less than $1.25-a-day (2005 PPP$)"
"laymans-heading",
