id,flow,year,value,percent-of-total-oda
AE,oda-loans-equity-investments,2015,2162994796.60,48.48
AE,total-oda,2015,4461454843.90,100.00
afdb,oda-loans-equity-investments,2015,,0.00
afdb,total-oda,2015,123731970.00,100.00
afdf,oda-loans-equity-investments,2015,1500083190.00,69.49
afdf,total-oda,2015,2158559990.00,100.00
all-donors-total,oda-loans-equity-investments,2015,43518754491.17,25.00
all-donors-total,total-oda,2015,174103612586.97,100.00
arab-fund-afesd,oda-loans-equity-investments,2015,594245247.80,96.10
arab-fund-afesd,total-oda,2015,618374732.18,100.00
asdb-special-funds,oda-loans-equity-investments,2015,2052267030.00,76.02
asdb-special-funds,total-oda,2015,2699533010.00,100.00
AT,oda-loans-equity-investments,2015,8327593.00,1.06
AT,total-oda,2015,788962300.24,100.00
AU,oda-loans-equity-investments,2015,14121300.00,0.51
AU,total-oda,2015,2755933183.47,100.00
badea,oda-loans-equity-investments,2015,119429208.88,95.11
badea,total-oda,2015,125568893.12,100.00
BE,oda-loans-equity-investments,2015,22095024.00,1.87
BE,total-oda,2015,1184069656.94,100.00
BG,oda-loans-equity-investments,2015,,0.00
BG,total-oda,2015,1400000.00,100.00
CA,oda-loans-equity-investments,2015,156458000.00,5.19
CA,total-oda,2015,3014537734.22,100.00
cardb,oda-loans-equity-investments,2015,39767920.00,69.59
cardb,total-oda,2015,57146937.30,100.00
ceb,oda-loans-equity-investments,2015,48606807.00,89.78
ceb,total-oda,2015,54140907.40,100.00
CH,oda-loans-equity-investments,2015,61934940.00,2.19
CH,total-oda,2015,2827714346.76,100.00
cif,oda-loans-equity-investments,2015,197125860.00,79.67
cif,total-oda,2015,247439370.00,100.00
CY,oda-loans-equity-investments,2015,,0.00
CY,total-oda,2015,567700.00,100.00
CZ,oda-loans-equity-investments,2015,,0.00
CZ,total-oda,2015,70103691.12,100.00
dac-countries-total,oda-loans-equity-investments,2015,16699714412.93,15.82
dac-countries-total,total-oda,2015,105540426128.42,100.00
DE,oda-loans-equity-investments,2015,5449386973.11,34.22
DE,total-oda,2015,15924396875.83,100.00
DK,oda-loans-equity-investments,2015,57784778.85,2.92
DK,total-oda,2015,1979590398.92,100.00
EE,oda-loans-equity-investments,2015,,0.00
EE,total-oda,2015,15042704.49,100.00
ES,oda-loans-equity-investments,2015,31022972.08,4.10
ES,total-oda,2015,756574833.47,100.00
EU,oda-loans-equity-investments,2015,4314241069.90,27.74
EU,total-oda,2015,15555127427.00,100.00
FI,oda-loans-equity-investments,2015,43805830.80,6.10
FI,total-oda,2015,718224844.84,100.00
FR,oda-loans-equity-investments,2015,2981534831.17,43.85
FR,total-oda,2015,6798634107.41,100.00
gavi,oda-loans-equity-investments,2015,,0.00
gavi,total-oda,2015,1725188560.00,100.00
GB,oda-loans-equity-investments,2015,36906430.00,0.31
GB,total-oda,2015,11841277588.73,100.00
gef,oda-loans-equity-investments,2015,,0.00
gef,total-oda,2015,813068125.40,100.00
gggi,oda-loans-equity-investments,2015,,0.00
gggi,total-oda,2015,9067133.70,100.00
global-fund,oda-loans-equity-investments,2015,,0.00
global-fund,total-oda,2015,3239201760.00,100.00
GR,oda-loans-equity-investments,2015,,0.00
GR,total-oda,2015,71880918.44,100.00
HR,oda-loans-equity-investments,2015,,0.00
HR,total-oda,2015,16200000.00,100.00
HU,oda-loans-equity-investments,2015,,0.00
HU,total-oda,2015,47342029.04,100.00
iaea,oda-loans-equity-investments,2015,,0.00
iaea,total-oda,2015,63679783.50,100.00
ida,oda-loans-equity-investments,2015,11503292147.64,86.01
ida,total-oda,2015,13374692683.81,100.00
idb,oda-loans-equity-investments,2015,19948390.00,16.74
idb,total-oda,2015,119156840.00,100.00
idb-special-fund,oda-loans-equity-investments,2015,970026350.00,48.34
idb-special-fund,total-oda,2015,2006761150.00,100.00
IE,oda-loans-equity-investments,2015,,0.00
IE,total-oda,2015,427466280.16,100.00
ifad,oda-loans-equity-investments,2015,380212970.00,69.63
ifad,total-oda,2015,546077482.10,100.00
IL,oda-loans-equity-investments,2015,,0.00
IL,total-oda,2015,178268868.90,100.00
imf-concessional-trust-funds,oda-loans-equity-investments,2015,1364757250.00,92.73
imf-concessional-trust-funds,total-oda,2015,1471761650.00,100.00
international-labour-organisation,oda-loans-equity-investments,2015,,0.00
international-labour-organisation,total-oda,2015,285735420.00,100.00
IS,oda-loans-equity-investments,2015,,0.00
IS,total-oda,2015,31042642.00,100.00
islamic-dev-bank,oda-loans-equity-investments,2015,194857180.00,100.00
islamic-dev-bank,total-oda,2015,194857180.00,100.00
IT,oda-loans-equity-investments,2015,98507869.80,5.23
IT,total-oda,2015,1882719797.63,100.00
