id-from,id-to,flow,year,value
AT,north-of-sahara,fdi-regions-new,2015,0
AT,north-of-sahara,oda-regions,2015,4890000
AT,north-of-sahara,oofs-regions,2015,2290000
AT,north-of-sahara,remittances-regions,2015,96115385.894244
AT,oceania,fdi-regions-new,2015,0
AT,oceania,oda-regions,2015,810000
AT,oceania,oofs-regions,2015,
AT,oceania,remittances-regions,2015,188323.798522919
AT,south-america,fdi-regions-new,2015,214087631.724904
AT,south-america,oda-regions,2015,6990000
AT,south-america,oofs-regions,2015,12410000
AT,south-america,remittances-regions,2015,18409881.7074183
AT,south-central-asia,fdi-regions-new,2015,59900166.389351
AT,south-central-asia,oda-regions,2015,31920000
AT,south-central-asia,oofs-regions,2015,24230000
AT,south-central-asia,remittances-regions,2015,119887074.067859
AT,south-of-sahara,fdi-regions-new,2015,0
AT,south-of-sahara,oda-regions,2015,50260000
AT,south-of-sahara,oofs-regions,2015,20820000
AT,south-of-sahara,remittances-regions,2015,199825661.951065
AU,europe,fdi-regions-new,2015,0
AU,europe,oda-regions,2015,620000
AU,europe,oofs-regions,2015,430000
AU,europe,remittances-regions,2015,235784341.780618
AU,far-east-asia,fdi-regions-new,2015,731835599.96995
AU,far-east-asia,oda-regions,2015,759780000
AU,far-east-asia,oofs-regions,2015,36850000
AU,far-east-asia,remittances-regions,2015,5591082609.75517
AU,middle-east,fdi-regions-new,2015,0
AU,middle-east,oda-regions,2015,79280000
AU,middle-east,oofs-regions,2015,30710000
AU,middle-east,remittances-regions,2015,972175940.515677
AU,north-central-america,fdi-regions-new,2015,35314448.869186
AU,north-central-america,oda-regions,2015,4690000
AU,north-central-america,oofs-regions,2015,10000
AU,north-central-america,remittances-regions,2015,50892200.4885362
AU,north-of-sahara,fdi-regions-new,2015,0
AU,north-of-sahara,oda-regions,2015,1690000
AU,north-of-sahara,oofs-regions,2015,20000
AU,north-of-sahara,remittances-regions,2015,239830511.183625
AU,oceania,fdi-regions-new,2015,266736794.650232
AU,oceania,oda-regions,2015,852110000
AU,oceania,oofs-regions,2015,42040000
AU,oceania,remittances-regions,2015,157334415.29733
AU,south-america,fdi-regions-new,2015,543992786.835974
AU,south-america,oda-regions,2015,6440000
AU,south-america,oofs-regions,2015,860000
AU,south-america,remittances-regions,2015,101759561.700869
AU,south-central-asia,fdi-regions-new,2015,72883011.49598
AU,south-central-asia,oda-regions,2015,329040000
AU,south-central-asia,oofs-regions,2015,132650000
AU,south-central-asia,remittances-regions,2015,2662681280.8148
AU,south-of-sahara,fdi-regions-new,2015,30806221.353971
AU,south-of-sahara,oda-regions,2015,91010000
AU,south-of-sahara,oofs-regions,2015,400000
AU,south-of-sahara,remittances-regions,2015,459392908.858087
BE,europe,fdi-regions-new,2015,868552412.645595
BE,europe,oda-regions,2015,8570000
BE,europe,oofs-regions,2015,170000
BE,europe,remittances-regions,2015,155181079.79328
BE,far-east-asia,fdi-regions-new,2015,481419855.7959
BE,far-east-asia,oda-regions,2015,28750000
BE,far-east-asia,oofs-regions,2015,5980000
BE,far-east-asia,remittances-regions,2015,197649345.465125
BE,middle-east,fdi-regions-new,2015,18857459.7892402
BE,middle-east,oda-regions,2015,81080000
BE,middle-east,oofs-regions,2015,
BE,middle-east,remittances-regions,2015,38421741.5730645
BE,north-central-america,fdi-regions-new,2015,19966722.1297835
BE,north-central-america,oda-regions,2015,18950000
BE,north-central-america,oofs-regions,2015,4300000
BE,north-central-america,remittances-regions,2015,9235531.47943968
BE,north-of-sahara,fdi-regions-new,2015,127565169.162508
BE,north-of-sahara,oda-regions,2015,20380000
BE,north-of-sahara,oofs-regions,2015,4040000
BE,north-of-sahara,remittances-regions,2015,552092243.089811
BE,oceania,fdi-regions-new,2015,1109262.3405435
BE,oceania,oda-regions,2015,0
BE,oceania,oofs-regions,2015,
BE,oceania,remittances-regions,2015,0
BE,south-america,fdi-regions-new,2015,971713810.31614
BE,south-america,oda-regions,2015,50200000
BE,south-america,oofs-regions,2015,21930000
BE,south-america,remittances-regions,2015,28038820.1175014
BE,south-central-asia,fdi-regions-new,2015,11092623.4054353
BE,south-central-asia,oda-regions,2015,8880000
BE,south-central-asia,oofs-regions,2015,27930000
BE,south-central-asia,remittances-regions,2015,142622727.07604
BE,south-of-sahara,fdi-regions-new,2015,1088186356.07321
BE,south-of-sahara,oda-regions,2015,406460000
BE,south-of-sahara,oofs-regions,2015,32860000
BE,south-of-sahara,remittances-regions,2015,168810161.70974
BG,europe,fdi-regions-new,2015,
BG,europe,oda-regions,2015,1060000
BG,europe,oofs-regions,2015,
BG,europe,remittances-regions,2015,19239193.1638447
BG,far-east-asia,fdi-regions-new,2015,
BG,far-east-asia,oda-regions,2015,10000
BG,far-east-asia,oofs-regions,2015,
BG,far-east-asia,remittances-regions,2015,8276481.0793181
BG,middle-east,fdi-regions-new,2015,
BG,middle-east,oda-regions,2015,140000
BG,middle-east,oofs-regions,2015,
BG,middle-east,remittances-regions,2015,7194072.36098851
BG,north-central-america,fdi-regions-new,2015,
BG,north-central-america,oda-regions,2015,
BG,north-central-america,oofs-regions,2015,
BG,north-central-america,remittances-regions,2015,283434.80392826
BG,north-of-sahara,fdi-regions-new,2015,
BG,north-of-sahara,oda-regions,2015,
BG,north-of-sahara,oofs-regions,2015,
BG,north-of-sahara,remittances-regions,2015,1453576.18240489
BG,oceania,fdi-regions-new,2015,
BG,oceania,oda-regions,2015,
BG,oceania,oofs-regions,2015,
BG,oceania,remittances-regions,2015,47675.8461546991
BG,south-america,fdi-regions-new,2015,
BG,south-america,oda-regions,2015,
BG,south-america,oofs-regions,2015,
BG,south-america,remittances-regions,2015,351122.055497492
BG,south-central-asia,fdi-regions-new,2015,
BG,south-central-asia,oda-regions,2015,160000
BG,south-central-asia,oofs-regions,2015,
BG,south-central-asia,remittances-regions,2015,8216718.6908939
BG,south-of-sahara,fdi-regions-new,2015,
BG,south-of-sahara,oda-regions,2015,30000
BG,south-of-sahara,oofs-regions,2015,
BG,south-of-sahara,remittances-regions,2015,1728374.3068918
CA,europe,fdi-regions-new,2015,0
CA,europe,oda-regions,2015,277620000
CA,europe,oofs-regions,2015,5330000
CA,europe,remittances-regions,2015,221069274.474994
CA,far-east-asia,fdi-regions-new,2015,0
CA,far-east-asia,oda-regions,2015,78130000
CA,far-east-asia,oofs-regions,2015,390570000
CA,far-east-asia,remittances-regions,2015,7322651971.31605
CA,middle-east,fdi-regions-new,2015,0
CA,middle-east,oda-regions,2015,379440000
