id,bundle,year,value
AE,cash-grant,2015,361358332.00
AE,cash-loan-equity,2015,2162994796.60
AE,commodities-food,2015,154777029.30
AE,gpgs-nngos,2015,701878.80
AE,mixed-project-aid,2015,1744070995.10
AE,non-transfer,2015,15321763.00
AE,technical-ooperation,2015,22230049.10
afdb,cash-grant,2015,1011080.00
afdb,mixed-project-aid,2015,12674340.00
afdb,non-transfer,2015,110046550.00
afdb,technical-ooperation,2015,0.00
afdf,cash-grant,2015,611088730.00
afdf,cash-loan-equity,2015,1500083190.00
afdf,commodities-food,2015,317420.00
afdf,mixed-project-aid,2015,46994310.00
afdf,non-transfer,2015,4110.00
afdf,technical-ooperation,2015,72230.00
arab-fund-afesd,cash-grant,2015,13094643.80
arab-fund-afesd,cash-loan-equity,2015,594245247.80
arab-fund-afesd,gpgs-nngos,2015,869116.00
arab-fund-afesd,mixed-project-aid,2015,10139062.38
arab-fund-afesd,technical-ooperation,2015,26662.20
asdb-special-funds,cash-grant,2015,460149790.00
asdb-special-funds,cash-loan-equity,2015,2052267030.00
asdb-special-funds,mixed-project-aid,2015,50347750.00
asdb-special-funds,non-transfer,2015,6073590.00
asdb-special-funds,technical-ooperation,2015,130694850.00
AT,cash-grant,2015,41912063.57
AT,cash-loan-equity,2015,8327593.00
AT,commodities-food,2015,7915752.60
AT,gpgs-nngos,2015,281445.56
AT,mixed-project-aid,2015,19008426.20
AT,non-transfer,2015,623695617.16
AT,technical-ooperation,2015,87821402.15
AU,cash-grant,2015,1228892609.32
AU,cash-loan-equity,2015,14121300.00
AU,commodities-food,2015,59517042.02
AU,gpgs-nngos,2015,39777559.98
AU,mixed-project-aid,2015,268853991.27
AU,non-transfer,2015,450972790.96
AU,technical-ooperation,2015,693797889.92
badea,cash-loan-equity,2015,119429208.88
badea,technical-ooperation,2015,6139684.24
BE,cash-grant,2015,329223768.78
BE,cash-loan-equity,2015,22095024.00
BE,commodities-food,2015,22212970.00
BE,mixed-project-aid,2015,48862564.21
BE,non-transfer,2015,432215858.34
BE,technical-ooperation,2015,329459471.61
BG,mixed-project-aid,2015,1400000.00
CA,cash-grant,2015,1168624806.44
CA,cash-loan-equity,2015,156458000.00
CA,commodities-food,2015,212381399.68
CA,gpgs-nngos,2015,7549187.39
CA,mixed-project-aid,2015,181730997.26
CA,non-transfer,2015,553139911.13
CA,technical-ooperation,2015,734653432.31
cardb,cash-grant,2015,13751520.00
cardb,cash-loan-equity,2015,39767920.00
cardb,mixed-project-aid,2015,3627497.30
cardb,non-transfer,2015,0.00
cardb,technical-ooperation,2015,0.00
ceb,cash-loan-equity,2015,48606807.00
ceb,mixed-project-aid,2015,5068211.00
ceb,technical-ooperation,2015,465889.40
CH,cash-grant,2015,764489005.80
CH,cash-loan-equity,2015,61934940.00
CH,commodities-food,2015,87573178.02
CH,gpgs-nngos,2015,55219704.28
CH,mixed-project-aid,2015,844397625.65
CH,non-transfer,2015,687139289.85
CH,technical-ooperation,2015,326960603.17
cif,cash-grant,2015,0.00
cif,cash-loan-equity,2015,197125860.00
cif,mixed-project-aid,2015,40036070.00
cif,technical-ooperation,2015,10277440.00
CY,mixed-project-aid,2015,567700.00
CZ,cash-grant,2015,20826207.14
CZ,commodities-food,2015,1341866.81
CZ,gpgs-nngos,2015,335244.90
CZ,mixed-project-aid,2015,12061501.76
CZ,non-transfer,2015,24427444.95
CZ,technical-ooperation,2015,11111425.56
dac-countries-total,cash-grant,2015,24405132666.48
dac-countries-total,cash-loan-equity,2015,16624047912.93
dac-countries-total,commodities-food,2015,4573485717.01
dac-countries-total,gpgs-nngos,2015,1170834555.05
dac-countries-total,mixed-project-aid,2015,21825464443.15
dac-countries-total,non-transfer,2015,22472223483.59
dac-countries-total,technical-ooperation,2015,14469237350.22
DE,cash-grant,2015,1427399776.09
DE,cash-loan-equity,2015,5412617873.11
DE,commodities-food,2015,301593709.50
DE,gpgs-nngos,2015,4438409.25
DE,mixed-project-aid,2015,1060710986.63
DE,non-transfer,2015,4753625253.65
DE,technical-ooperation,2015,2964010867.60
DK,cash-grant,2015,879890565.22
DK,cash-loan-equity,2015,57784778.85
DK,commodities-food,2015,2255176.70
DK,gpgs-nngos,2015,13165817.24
DK,mixed-project-aid,2015,374354182.79
DK,non-transfer,2015,597152027.87
DK,technical-ooperation,2015,54987850.25
EE,cash-grant,2015,4338325.38
EE,gpgs-nngos,2015,1462007.35
EE,mixed-project-aid,2015,4337215.59
EE,non-transfer,2015,2411535.75
EE,technical-ooperation,2015,2493620.42
ES,cash-grant,2015,106166847.78
ES,cash-loan-equity,2015,31022972.08
ES,commodities-food,2015,13058403.92
ES,gpgs-nngos,2015,2148255.50
ES,mixed-project-aid,2015,203368553.15
ES,non-transfer,2015,279005866.72
ES,technical-ooperation,2015,121803934.33
EU,cash-grant,2015,4760771016.99
EU,cash-loan-equity,2015,4314241069.90
EU,commodities-food,2015,482540707.21
EU,gpgs-nngos,2015,74697546.43
EU,mixed-project-aid,2015,3505935669.80
EU,non-transfer,2015,880957259.48
EU,technical-ooperation,2015,1535984157.20
FI,cash-grant,2015,232878847.71
FI,cash-loan-equity,2015,43805830.80
FI,commodities-food,2015,29434488.20
FI,gpgs-nngos,2015,1430078.90
FI,mixed-project-aid,2015,123625813.25
FI,non-transfer,2015,110650699.68
FI,technical-ooperation,2015,176399086.30
FR,cash-grant,2015,655723923.24
FR,cash-loan-equity,2015,2981534831.17
FR,commodities-food,2015,43964506.63
FR,gpgs-nngos,2015,552413.00
FR,mixed-project-aid,2015,471377425.25
FR,non-transfer,2015,1857011077.95
FR,technical-ooperation,2015,788469930.17
gavi,cash-grant,2015,176683560.00
gavi,commodities-food,2015,1355576670.00
gavi,mixed-project-aid,2015,81504780.00
gavi,non-transfer,2015,111423550.00
GB,cash-grant,2015,4474964665.76
GB,cash-loan-equity,2015,36906430.00
GB,commodities-food,2015,492029667.99
GB,gpgs-nngos,2015,177900703.89
GB,mixed-project-aid,2015,3293805588.75
GB,non-transfer,2015,1146391044.14
GB,technical-ooperation,2015,2219279488.20
gef,cash-grant,2015,23052833.00
gef,mixed-project-aid,2015,790015292.40
gggi,cash-grant,2015,593375.00
gggi,mixed-project-aid,2015,8222697.70
gggi,technical-ooperation,2015,251061.00
global-fund,cash-grant,2015,779916100.00
global-fund,gpgs-nngos,2015,0.00
global-fund,mixed-project-aid,2015,2393079220.00
global-fund,technical-ooperation,2015,66206440.00
GR,cash-grant,2015,349621.60
GR,mixed-project-aid,2015,738016.20
GR,non-transfer,2015,69366747.86
GR,technical-ooperation,2015,1426532.77
HR,mixed-project-aid,2015,14490000.00
HR,non-transfer,2015,1610000.00
HR,technical-ooperation,2015,100000.00
HU,cash-grant,2015,8896896.52
HU,commodities-food,2015,47304.38
HU,mixed-project-aid,2015,1766193.23
HU,non-transfer,2015,36000274.24
HU,technical-ooperation,2015,631360.67
iaea,cash-grant,2015,63679783.50
ida,cash-grant,2015,1115103578.00
ida,cash-loan-equity,2015,11503292147.64
ida,commodities-food,2015,10030940.00
ida,mixed-project-aid,2015,158275092.37
ida,non-transfer,2015,534823432.55
ida,technical-ooperation,2015,53167493.26
idb,cash-loan-equity,2015,19948390.00
idb,technical-ooperation,2015,99208450.00
idb-special-fund,cash-grant,2015,183865890.00
idb-special-fund,cash-loan-equity,2015,970026350.00
idb-special-fund,mixed-project-aid,2015,3983370.00
idb-special-fund,non-transfer,2015,791000000.00
idb-special-fund,technical-ooperation,2015,57885540.00
IE,cash-grant,2015,334760856.52
IE,commodities-food,2015,23281250.55
IE,gpgs-nngos,2015,2782320.50
IE,mixed-project-aid,2015,13262642.97
IE,non-transfer,2015,38901608.98
IE,technical-ooperation,2015,14477600.64
ifad,cash-grant,2015,0.00
ifad,cash-loan-equity,2015,380212970.00
