id,flow-name,year,value,percent-of-total-oda
IS,Total ODA,2014,27254008.93,100.00
islamic-dev-bank,ODA Grants,2014,0.00,0.00
islamic-dev-bank,ODA loans & equity investments,2014,243584839.13,100.00
islamic-dev-bank,Total ODA,2014,243584839.13,100.00
IT,ODA Grants,2014,1339415899.79,96.76
IT,ODA loans & equity investments,2014,44904224.00,3.24
IT,Total ODA,2014,1384320123.79,100.00
JP,ODA Grants,2014,6663951536.14,40.79
JP,ODA loans & equity investments,2014,9672322380.13,59.21
JP,Total ODA,2014,16336273916.27,100.00
KR,ODA Grants,2014,814552001.56,59.83
KR,ODA loans & equity investments,2014,546883550.43,40.17
KR,Total ODA,2014,1361435551.99,100.00
KW,ODA Grants,2014,186990275.64,34.33
KW,ODA loans & equity investments,2014,357722999.37,65.67
KW,Total ODA,2014,544713275.01,100.00
KZ,ODA Grants,2014,0.00,
KZ,ODA loans & equity investments,2014,,
KZ,Total ODA,2014,0.00,
LT,ODA Grants,2014,6059065.96,100.00
LT,ODA loans & equity investments,2014,,0.00
LT,Total ODA,2014,6059065.96,100.00
LU,ODA Grants,2014,285540151.17,100.00
LU,ODA loans & equity investments,2014,,0.00
LU,Total ODA,2014,285540151.17,100.00
NL,ODA Grants,2014,3963714962.30,100.00
NL,ODA loans & equity investments,2014,0.00,0.00
NL,Total ODA,2014,3963714962.30,100.00
NO,ODA Grants,2014,4109757694.54,100.00
NO,ODA loans & equity investments,2014,,0.00
NO,Total ODA,2014,4109757694.54,100.00
nordic-dev-fund,ODA Grants,2014,40994714.95,83.44
nordic-dev-fund,ODA loans & equity investments,2014,8138354.29,16.56
nordic-dev-fund,Total ODA,2014,49133069.24,100.00
NZ,ODA Grants,2014,381812791.17,100.00
NZ,ODA loans & equity investments,2014,,0.00
NZ,Total ODA,2014,381812791.17,100.00
ofid,ODA Grants,2014,36676681.76,8.04
ofid,ODA loans & equity investments,2014,419245945.39,91.96
ofid,Total ODA,2014,455922627.15,100.00
osce,ODA Grants,2014,129279059.35,100.00
osce,ODA loans & equity investments,2014,,0.00
osce,Total ODA,2014,129279059.35,100.00
PL,ODA Grants,2014,63090286.38,63.34
PL,ODA loans & equity investments,2014,36508706.87,36.66
PL,Total ODA,2014,99598993.25,100.00
PT,ODA Grants,2014,126173715.84,46.26
PT,ODA loans & equity investments,2014,146600882.04,53.74
PT,Total ODA,2014,272774597.88,100.00
RO,ODA Grants,2014,69370120.29,100.00
RO,ODA loans & equity investments,2014,,0.00
RO,Total ODA,2014,69370120.29,100.00
SE,ODA Grants,2014,4308530262.24,98.68
SE,ODA loans & equity investments,2014,57614984.77,1.32
SE,Total ODA,2014,4366145247.01,100.00
SI,ODA Grants,2014,19258270.85,100.00
SI,ODA loans & equity investments,2014,,0.00
SI,Total ODA,2014,19258270.85,100.00
SK,ODA Grants,2014,15793297.31,100.00
SK,ODA loans & equity investments,2014,,0.00
SK,Total ODA,2014,15793297.31,100.00
TL,ODA Grants,2014,0.00,
TL,ODA loans & equity investments,2014,,
TL,Total ODA,2014,0.00,
unaids,ODA Grants,2014,236422478.19,100.00
unaids,ODA loans & equity investments,2014,,0.00
unaids,Total ODA,2014,236422478.19,100.00
undp,ODA Grants,2014,458604636.55,100.00
undp,ODA loans & equity investments,2014,,0.00
undp,Total ODA,2014,458604636.55,100.00
unece,ODA Grants,2014,13875987.24,100.00
unece,ODA loans & equity investments,2014,,0.00
unece,Total ODA,2014,13875987.24,100.00
unfpa,ODA Grants,2014,336801989.49,100.00
unfpa,ODA loans & equity investments,2014,,0.00
unfpa,Total ODA,2014,336801989.49,100.00
unhcr,ODA Grants,2014,475557215.78,100.00
unhcr,ODA loans & equity investments,2014,,0.00
unhcr,Total ODA,2014,475557215.78,100.00
unicef,ODA Grants,2014,1329747237.33,100.00
unicef,ODA loans & equity investments,2014,,0.00
unicef,Total ODA,2014,1329747237.33,100.00
unpbf,ODA Grants,2014,64398161.28,100.00
unpbf,ODA loans & equity investments,2014,,0.00
unpbf,Total ODA,2014,64398161.28,100.00
unrwa,ODA Grants,2014,673690525.14,100.00
unrwa,ODA loans & equity investments,2014,,0.00
unrwa,Total ODA,2014,673690525.14,100.00
US,ODA Grants,2014,27353369352.94,100.00
US,ODA loans & equity investments,2014,0.00,0.00
US,Total ODA,2014,27353369352.94,100.00
wfp,ODA Grants,2014,305901950.49,100.00
wfp,ODA loans & equity investments,2014,,0.00
wfp,Total ODA,2014,305901950.49,100.00
who,ODA Grants,2014,466920298.62,100.00
who,ODA loans & equity investments,2014,,0.00
who,Total ODA,2014,466920298.62,100.00
