id-from,id-to,year,rank,total-oda,bundle,bundle-value
DK,KE,2014,6,51175497,technical-ooperation,1250250
DK,MZ,2014,4,64145193,cash-grant,46883250
DK,MZ,2014,4,64145193,cash-loan-equity,0
DK,MZ,2014,4,64145193,gpgs-nngos,0
DK,MZ,2014,4,64145193,mixed-project-aid,2915394
DK,MZ,2014,4,64145193,non-transfer,14307895
DK,MZ,2014,4,64145193,technical-ooperation,38654
DK,other,2014,11,1601150147,cash-grant,292193144
DK,other,2014,11,1601150147,cash-loan-equity,38612739
DK,other,2014,11,1601150147,commodities-food,848016
DK,other,2014,11,1601150147,gpgs-nngos,471253364
DK,other,2014,11,1601150147,mixed-project-aid,333207572
DK,other,2014,11,1601150147,non-transfer,418265646
DK,other,2014,11,1601150147,technical-ooperation,46769666
DK,SS,2014,10,36449474,cash-grant,12659474
DK,SS,2014,10,36449474,commodities-food,5907754
DK,SS,2014,10,36449474,mixed-project-aid,17757677
DK,SS,2014,10,36449474,technical-ooperation,124569
DK,SY,2014,5,51996175,cash-grant,16711005
DK,SY,2014,5,51996175,gpgs-nngos,202552
DK,SY,2014,5,51996175,mixed-project-aid,35048860
DK,SY,2014,5,51996175,technical-ooperation,33758
DK,TZ,2014,2,67117193,cash-grant,55474519
DK,TZ,2014,2,67117193,mixed-project-aid,9938201
DK,TZ,2014,2,67117193,technical-ooperation,1704473
DK,UG,2014,7,48783380,cash-grant,35897225
DK,UG,2014,7,48783380,cash-loan-equity,170312
DK,UG,2014,7,48783380,mixed-project-aid,12332683
DK,UG,2014,7,48783380,technical-ooperation,383160
DK,ZM,2014,9,40187196,cash-grant,1035376
DK,ZM,2014,9,40187196,mixed-project-aid,663693
DK,ZM,2014,9,40187196,non-transfer,38488127
ES,BO,2014,4,21641512,cash-grant,6132795
ES,BO,2014,4,21641512,cash-loan-equity,0
ES,BO,2014,4,21641512,commodities-food,2406
ES,BO,2014,4,21641512,gpgs-nngos,78169
ES,BO,2014,4,21641512,mixed-project-aid,11182610
ES,BO,2014,4,21641512,non-transfer,223066
ES,BO,2014,4,21641512,technical-ooperation,4022466
ES,CO,2014,1,26336762,cash-grant,2921294
ES,CO,2014,1,26336762,cash-loan-equity,973171
ES,CO,2014,1,26336762,commodities-food,16939
ES,CO,2014,1,26336762,gpgs-nngos,105191
ES,CO,2014,1,26336762,mixed-project-aid,19466637
ES,CO,2014,1,26336762,non-transfer,1373770
ES,CO,2014,1,26336762,technical-ooperation,1479760
ES,GT,2014,8,16262596,cash-grant,1852310
ES,GT,2014,8,16262596,cash-loan-equity,0
ES,GT,2014,8,16262596,commodities-food,58304
ES,GT,2014,8,16262596,gpgs-nngos,57198
ES,GT,2014,8,16262596,mixed-project-aid,11621682
ES,GT,2014,8,16262596,non-transfer,20825
ES,GT,2014,8,16262596,technical-ooperation,2652277
ES,HT,2014,10,12737241,cash-grant,980599
ES,HT,2014,10,12737241,cash-loan-equity,7704388
ES,HT,2014,10,12737241,mixed-project-aid,3701288
ES,HT,2014,10,12737241,non-transfer,65038
ES,HT,2014,10,12737241,technical-ooperation,285928
ES,MA,2014,2,23417538,cash-grant,1957824
ES,MA,2014,2,23417538,cash-loan-equity,0
ES,MA,2014,2,23417538,commodities-food,5610987
ES,MA,2014,2,23417538,gpgs-nngos,303910
ES,MA,2014,2,23417538,mixed-project-aid,10095766
ES,MA,2014,2,23417538,non-transfer,425580
ES,MA,2014,2,23417538,technical-ooperation,5023471
ES,NE,2014,7,16875342,cash-grant,7122031
ES,NE,2014,7,16875342,cash-loan-equity,0
ES,NE,2014,7,16875342,commodities-food,1958198
ES,NE,2014,7,16875342,mixed-project-aid,7782272
ES,NE,2014,7,16875342,technical-ooperation,12841
ES,NI,2014,9,14512154,cash-grant,2223268
ES,NI,2014,9,14512154,cash-loan-equity,0
ES,NI,2014,9,14512154,gpgs-nngos,3852
ES,NI,2014,9,14512154,mixed-project-aid,8709065
ES,NI,2014,9,14512154,non-transfer,41687
ES,NI,2014,9,14512154,technical-ooperation,3534282
ES,other,2014,11,487486084,cash-grant,77332586
ES,other,2014,11,487486084,cash-loan-equity,17302143
ES,other,2014,11,487486084,commodities-food,6252387
ES,other,2014,11,487486084,gpgs-nngos,27135288
ES,other,2014,11,487486084,mixed-project-aid,138423303
ES,other,2014,11,487486084,non-transfer,176376627
ES,other,2014,11,487486084,technical-ooperation,44663750
ES,PE,2014,3,22809832,cash-grant,2393275
ES,PE,2014,3,22809832,cash-loan-equity,0
ES,PE,2014,3,22809832,commodities-food,48765
ES,PE,2014,3,22809832,gpgs-nngos,235760
ES,PE,2014,3,22809832,mixed-project-aid,14263639
ES,PE,2014,3,22809832,non-transfer,173497
ES,PE,2014,3,22809832,technical-ooperation,5694896
ES,PS,2014,6,20051072,cash-grant,6544543
ES,PS,2014,6,20051072,cash-loan-equity,0
ES,PS,2014,6,20051072,commodities-food,2851514
ES,PS,2014,6,20051072,mixed-project-aid,9563354
ES,PS,2014,6,20051072,non-transfer,193609
ES,PS,2014,6,20051072,technical-ooperation,898052
ES,SV,2014,5,20680975,cash-grant,1982499
ES,SV,2014,5,20680975,cash-loan-equity,0
ES,SV,2014,5,20680975,gpgs-nngos,0
ES,SV,2014,5,20680975,mixed-project-aid,15486759
ES,SV,2014,5,20680975,non-transfer,26801
ES,SV,2014,5,20680975,technical-ooperation,3184916
EU,AF,2014,8,340291853,cash-grant,216578520
EU,AF,2014,8,340291853,commodities-food,4246448
EU,AF,2014,8,340291853,gpgs-nngos,215557
EU,AF,2014,8,340291853,mixed-project-aid,8079411
EU,AF,2014,8,340291853,non-transfer,227870
EU,AF,2014,8,340291853,technical-ooperation,110944047
EU,BA,2014,7,366491527,cash-grant,90034003
EU,BA,2014,7,366491527,cash-loan-equity,231376964
EU,BA,2014,7,366491527,commodities-food,647995
EU,BA,2014,7,366491527,gpgs-nngos,815168
EU,BA,2014,7,366491527,mixed-project-aid,22765296
EU,BA,2014,7,366491527,non-transfer,231837
EU,BA,2014,7,366491527,technical-ooperation,20620264
EU,EG,2014,9,329712054,cash-grant,84364423
EU,EG,2014,9,329712054,cash-loan-equity,200291355
EU,EG,2014,9,329712054,gpgs-nngos,5418358
EU,EG,2014,9,329712054,mixed-project-aid,15693458
EU,EG,2014,9,329712054,non-transfer,2021023
EU,EG,2014,9,329712054,technical-ooperation,21923437
EU,MA,2014,2,538705726,cash-grant,93637589
EU,MA,2014,2,538705726,cash-loan-equity,436882197
EU,MA,2014,2,538705726,gpgs-nngos,947740
EU,MA,2014,2,538705726,mixed-project-aid,3322264
EU,MA,2014,2,538705726,non-transfer,482503
EU,MA,2014,2,538705726,technical-ooperation,3433433
EU,ML,2014,10,292793933,cash-grant,223348618
EU,ML,2014,10,292793933,commodities-food,12299410
EU,ML,2014,10,292793933,mixed-project-aid,46372060
EU,ML,2014,10,292793933,non-transfer,8408
EU,ML,2014,10,292793933,technical-ooperation,10765437
EU,other,2014,11,10698050200,cash-grant,5133079115
EU,other,2014,11,10698050200,cash-loan-equity,968690586
EU,other,2014,11,10698050200,commodities-food,345688425
EU,other,2014,11,10698050200,gpgs-nngos,166907633
EU,other,2014,11,10698050200,mixed-project-aid,1916427015
EU,other,2014,11,10698050200,non-transfer,970306845
EU,other,2014,11,10698050200,technical-ooperation,1196950581
EU,PS,2014,5,458271949,cash-grant,376513857
EU,PS,2014,5,458271949,cash-loan-equity,0
EU,PS,2014,5,458271949,commodities-food,14566404
EU,PS,2014,5,458271949,gpgs-nngos,3144015
EU,PS,2014,5,458271949,mixed-project-aid,40494848
EU,PS,2014,5,458271949,non-transfer,990642
EU,PS,2014,5,458271949,technical-ooperation,22562183
