id-from,id-to,region,year,value-1,value-2,value-3
AE,AF,south-central-asia,2015,56770000,184,2.79
AE,AL,europe,2015,9730000,2892.8,0.2
AE,AM,south-central-asia,2015,1340000,1906.4,0.56
AE,AR,south-america,2015,10000,,
AE,BD,south-central-asia,2015,3710000,326.5,1.85
AE,BF,south-of-sahara,2015,2120000,301.8,12.22
AE,BI,south-of-sahara,2015,140000,131.6,30.6
AE,BJ,south-of-sahara,2015,1200000,352.7,17.24
AE,BO,south-america,2015,10000,2449.3,3.8
AE,BR,south-america,2015,90000,4808.7,2.77
AE,BW,south-of-sahara,2015,20000,5880,3.83
AE,BY,europe,2015,20000,8181.9,0
AE,CD,south-of-sahara,2015,10000,109.3,38.05
AE,CF,south-of-sahara,2015,40000,53.3,47.3
AE,CG,south-of-sahara,2015,380000,2817.7,14.41
AE,CI,south-of-sahara,2015,450000,657.3,8.88
AE,CL,south-america,2015,10000,4789.4,0.45
AE,CM,south-of-sahara,2015,210000,545.8,8.46
AE,CN,far-east-asia,2015,50000,4113,0.35
AE,CO,south-america,2015,110000,3708.2,2.48
AE,CR,north-central-america,2015,10000,2184.7,0.6
AE,CU,north-central-america,2015,50000,,
AE,DJ,south-of-sahara,2015,12920000,875.5,7.51
AE,DM,north-central-america,2015,10000,2908.5,2.6
AE,DZ,north-of-sahara,2015,90000,5073.5,
AE,EC,south-america,2015,50000,3930.8,1.72
AE,EG,north-of-sahara,2015,2460310000,2421.1,
AE,ER,south-of-sahara,2015,36130000,,
AE,ET,south-of-sahara,2015,2250000,272.3,5.58
AE,FJ,oceania,2015,3250000,2547.7,0.75
AE,FM,oceania,2015,1790000,911,6.35
AE,GH,south-of-sahara,2015,2790000,740,3.74
AE,GM,south-of-sahara,2015,210000,324.8,17.39
AE,GN,south-of-sahara,2015,40000,249.9,10.45
AE,GW,south-of-sahara,2015,10000,185.6,30.73
AE,HN,north-central-america,2015,10000,879.6,7.66
