"district_id","district_name","year","value","value_ncu"
"d18974","Baringo",2013,201500000,1568354.53027916
"d18974","Baringo",2014,249723429,1943696.6312109
"d18974","Baringo",2015,279317203,2174036.7280891
"d18974","Baringo",2016,288518677,2245655.45480446
"d18974","Baringo",2017,301404377,2345949.97575145
"d18975","Bomet",2013,200900000,1563684.4919756
"d18975","Bomet",2014,206386334,1606386.80851914
"d18975","Bomet",2015,166987287,1299728.37749616
"d18975","Bomet",2016,236697038,1842307.0563323
"d18975","Bomet",2017,181375343,1411716.33188579
"d18987","Bungoma",2013,182700000,1422026.66343425
"d18987","Bungoma",2014,504623643,3927686.23615395
"d18987","Bungoma",2015,630988485,4911233.99009296
"d18987","Bungoma",2016,661588149,5149403.32835311
"d18987","Bungoma",2017,656750139,5111747.17499809
"d18988","Busia",2013,3.29e+08,2560737.66978582
"d18988","Busia",2014,315202075,2453342.93935305
"d18988","Busia",2015,334222084,2601383.22362651
"d18988","Busia",2016,256826239,1998980.62248242
"d18988","Busia",2017,176294585,1372170.77443392
"d18976","Elgeyo-Marakwet",2013,6.1e+07,474787.227528678
"d18976","Elgeyo-Marakwet",2014,128905771,1003324.81353339
"d18976","Elgeyo-Marakwet",2015,128055734,996708.637950981
"d18976","Elgeyo-Marakwet",2016,97323973,757511.136274523
"d18976","Elgeyo-Marakwet",2017,105483195,821017.601719949
"d18955","Embu",2013,168500000,1311502.42358331
"d18955","Embu",2014,401105103,3121960.32460614
"d18955","Embu",2015,396525612,3086316.32730479
"d18955","Embu",2016,416272247,3240012.23033218
"d18955","Embu",2017,416111597,3238761.8275764
"d18965","Garissa",2013,35900000,279423.958496386
"d18965","Garissa",2014,130717649,1017427.37963569
"d18965","Garissa",2015,105943675,824601.700449988
"d18965","Garissa",2016,81958151,637912.840765028
"d18965","Garissa",2017,86687563,674723.732753895
"d18968","Homa Bay",2013,1.35e+08,1050758.61830117
"d18968","Homa Bay",2014,157860245,1228688.98459914
"d18968","Homa Bay",2015,183765405,1430319.13369893
"d18968","Homa Bay",2016,144131692,1121834.20399504
"d18968","Homa Bay",2017,106939465,832352.329520493
"d18956","Isiolo",2013,1.25e+08,972924.646575159
"d18956","Isiolo",2014,133699318,1040634.89369992
"d18956","Isiolo",2015,110108172,857015.634625095
"d18956","Isiolo",2016,94996063,739392.088162453
"d18956","Isiolo",2017,114557116,891643.532775756
"d18991","Kajiado",2013,442800000,3446488.26802784
"d18991","Kajiado",2014,785837768,6116487.4615745
"d18991","Kajiado",2015,650984978,5066874.6371711
"d18991","Kajiado",2016,557094069,4336084.40152754
"d18991","Kajiado",2017,682162558,5309542.12519165
"d18989","Kakamega",2013,325200000,2531160.76052993
"d18989","Kakamega",2014,516889024,4023152.56795023
"d18989","Kakamega",2015,504238292,3924686.8962701
"d18989","Kakamega",2016,443176020,3449414.98103269
"d18989","Kakamega",2017,440611031,3429450.65290233
"d18977","Kericho",2013,3.71e+08,2887640.35103507
"d18977","Kericho",2014,413581432,3219068.54846919
"d18977","Kericho",2015,434404563,3381143.24741929
"d18977","Kericho",2016,489980629,3813713.84238799
"d18977","Kericho",2017,414048710,3222705.5587332
"d18943","Kiambu",2013,1.25e+09,9729246.46575159
"d18943","Kiambu",2014,2110856557,16429634.9575207
"d18943","Kiambu",2015,2461351513,19157676.4070621
"d18943","Kiambu",2016,2032980758,15823496.68377
"d18943","Kiambu",2017,1693708234,13182803.8797271
"d18949","Kilifi",2013,459600000,3577249.34052755
"d18949","Kilifi",2014,545499050,4245835.76342668
"d18949","Kilifi",2015,519075625,4040171.75199124
"d18949","Kilifi",2016,620093575,4826434.57840322
"d18949","Kilifi",2017,523347190,4073419.03893482
"d18944","Kirinyaga",2013,200400000,1559792.7933893
"d18944","Kirinyaga",2014,311635045,2425579.32813647
"d18944","Kirinyaga",2015,390377140,3038460.32772417
"d18944","Kirinyaga",2016,320638299,2495655.22986428
"d18944","Kirinyaga",2017,343970322,2677257.63171355
"d18969","Kisii",2013,2.5e+08,1945849.29315032
"d18969","Kisii",2014,296771415,2309889.79241988
"d18969","Kisii",2015,306129638,2382728.55885865
"d18969","Kisii",2016,271644380,2114316.09924503
"d18969","Kisii",2017,256284854,1994766.80800413
"d18970","Kisumu",2013,621900000,4840494.70164073
"d18970","Kisumu",2014,970903407,7556926.83291274
"d18970","Kisumu",2015,978889261,7619083.90635715
"d18970","Kisumu",2016,1004043906,7814872.49912794
"d18970","Kisumu",2017,874901775,6809708.00183884
"d18957","Kitui",2013,255200000,1986322.95844785
"d18957","Kitui",2014,320521294,2494744.5334781
"d18957","Kitui",2015,416188728,3239362.16878372
"d18957","Kitui",2016,315347364,2454473.78134486
"d18957","Kitui",2017,335122477,2608391.33995694
"d18950","Kwale",2013,208500000,1622838.31048737
"d18950","Kwale",2014,253972260,1976766.97040316
"d18950","Kwale",2015,248617586,1935089.41593135
"d18950","Kwale",2016,221011186,1720217.84022565
"d18950","Kwale",2017,276295129,2150514.7258621
"d18978","Laikipia",2013,3.47e+08,2700838.81889264
"d18978","Laikipia",2014,400484744,3117131.82411955
"d18978","Laikipia",2015,471147987,3667131.90989258
"d18978","Laikipia",2016,462723251,3601558.84353027
"d18978","Laikipia",2017,413328186,3217097.43426881
"d18951","Lamu",2013,35600000,277088.939344605
"d18951","Lamu",2014,61672255,480019.655194945
"d18951","Lamu",2015,57324400,446178.572881064
"d18951","Lamu",2016,76960788,599016.379720366
"d18951","Lamu",2017,55286688,430318.251061689
"d18958","Machakos",2013,1.18e+09,9184408.6636695
"d18958","Machakos",2014,1356559888,10558644.3967235
"d18958","Machakos",2015,1121680950,8730488.33479071
"d18958","Machakos",2016,1259304944,9801670.54057241
"d18958","Machakos",2017,1063726784,8279408.04300585
"d18959","Makueni",2013,189200000,1472618.74505616
"d18959","Makueni",2014,215349954,1676154.22308341
