"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,,,,,,,,,,,0.2,0.2,0.2883333333,,0.3766666667,,0.465,,0.5533333333,,0.6416666667,,0.73,0.73,0.63,,0.53,0.53,0.44,0.44,0.36,,0.28,,0.2,0.2,0.265,,0.33,,0.395,,0.46,0.46,,
"AM",,,,,,,,,,,,,17.5,17.5,17.2533333333,,17.0066666667,,16.76,16.76,17.795,,18.83,18.83,14.5,14.5,10.68,10.68,7.6,7.6,4.22,4.22,3.17,3.17,3.37,3.37,1.41,1.41,1.56,1.56,2.5,2.5,2.45,2.45,1.75,1.75,,
"AO",,,,,,,,,,,,,,,,,,,,,54.31,54.31,53.0944444444,,51.8788888889,,50.6633333333,,49.4477777778,,48.2322222222,,47.0166666667,,45.8011111111,,44.5855555556,,43.37,43.37,,,,,,,,
"AR",,,0.97,0.97,1.77,1.77,2.05,2.05,1.93,1.93,3.87,3.87,4.27,4.27,3.77,3.77,3.99,3.99,4.2,4.2,5.06,5.06,8.25,8.25,12.58,12.58,9,9,6.29,6.29,4.62,4.62,3.76,3.76,3.01,3.01,2.74,2.74,2.68,2.68,1.73,1.73,1.41,1.41,,,,
"AZ",,,,,,,,,,,25.23,25.23,22.07,,18.91,,15.75,,12.59,,9.43,,6.27,6.27,0.02,0.02,0.04,0.04,0,0,0,0,0.1033333333,,0.2066666667,,0.31,0.31,,,,,,,,,,
"BA",,,,,,,,,,,,,,,,,,,,,,,0.28,0.28,0.22,,0.16,,0.1,0.1,0.08,,0.06,,0.04,0.04,,,,,,,,,,,,
"BD",,,,,70.22,70.22,67.8925,,65.565,,63.2375,,60.91,60.91,60.33,,59.75,,59.17,,58.59,58.59,56.966,,55.342,,53.718,,52.094,,50.47,50.47,49.026,,47.582,,46.138,,44.694,,43.25,43.25,,,,,,
"BF",,,,,,,,,71.17,71.17,70.885,,70.6,,70.315,,70.03,70.03,65.804,,61.578,,57.352,,53.126,,48.9,48.9,48.16,,47.42,,46.68,,45.94,,45.2,,44.46,44.46,,,,,,,,
"BG",,,,,0,0,0.11,,0.22,0.22,0.82,0.82,0.57,,0.32,0.32,0.77,,1.22,,1.67,,2.12,2.12,1.37,,0.62,0.62,0.53,,0.44,,0.35,,0.26,0.26,0.73,0.73,1.185,,1.64,1.64,1.9,1.9,,,,
"BI",,,,,84.24,84.24,84.605,,84.97,,85.335,,85.7,,86.065,,86.43,86.43,85.79125,,85.1525,,84.51375,,83.875,,83.23625,,82.5975,,81.95875,,81.32,81.32,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,,,,,,,,,,,,47.33,47.33,47.8055555556,,48.2811111111,,48.7566666667,,49.2322222222,,49.7077777778,,50.1833333333,,50.6588888889,,51.1344444444,,51.61,51.61,,
"BO",,,5.24,5.24,6.875,,8.51,8.51,10.6275,,12.745,,14.8625,,16.98,16.98,20.15,,23.32,23.32,26.87,26.87,21.33,21.33,21.98,21.98,16.835,,11.69,11.69,18.31,18.31,15.86,15.86,12.19,12.19,10.48,10.48,10.67,10.67,8.82,,6.97,6.97,7.98,7.98,,
"BR",16.23,16.23,16.465,,16.7,16.7,15.87,15.87,12.9,,9.93,9.93,11.21,11.21,10.9,10.9,9.58,9.58,9.87,9.87,10.035,,10.2,10.2,8.87,8.87,9.62,9.62,8.14,8.14,7.18,7.18,5.93,5.93,5.84,5.84,4.87,4.87,4.72,4.72,4.625,,4.53,4.53,3.75,3.75,,
"BT",,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,23.96,20.525,,17.09,,13.655,,10.22,10.22,8.652,,7.084,,5.516,,3.948,,2.38,2.38,,
"BW",,,,,,,,,31.23,31.23,30.4666666667,,29.7033333333,,28.94,,28.1766666667,,27.4133333333,,26.65,,25.8866666667,,25.1233333333,,24.36,24.36,22.535,,20.71,,18.885,,17.06,,15.235,,13.41,13.41,,,,,,,,
"BY",,,,,,,0.02,0.02,0.19,,0.36,0.36,0.52,,0.68,,0.84,0.84,0.38,0.38,0.26,0.26,0.12,0.12,0.47,0.47,0.5,0.5,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0.01,0.01,0,0,0,0,,,,
"BZ",,,,,,,9.09,9.09,8.93,8.93,14.03,14.03,9.66,9.66,12.45,12.45,11.31,11.31,12.21,12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.72,87.72,,,,,,,,,,,,,,
"CF",,,,,83.15,83.15,81.2663636364,,79.3827272727,,77.4990909091,,75.6154545455,,73.7318181818,,71.8481818182,,69.9645454545,,68.0809090909,,66.1972727273,,64.3136363636,,62.43,62.43,62.51,,62.59,,62.67,,62.75,,62.83,62.83,,,,,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,54.1,50.5533333333,,47.0066666667,,43.46,,39.9133333333,,36.3666666667,,32.82,32.82,,,,
"CI",,,,,,,26.47,26.47,23.78,,21.09,21.09,24.08,,27.07,,30.06,30.06,29.96,,29.86,,29.76,,29.66,29.66,30.5566666667,,31.4533333333,,32.35,,33.2466666667,,34.1433333333,,35.04,35.04,,,,,,,,,,
"CL",4.91,4.91,3.825,,2.74,2.74,2.895,,3.05,3.05,2.625,,2.2,2.2,2.26,,2.32,2.32,2.24,,2.16,2.16,2.0166666667,,1.8733333333,,1.73,1.73,1.51,,1.29,,1.07,1.07,1.14,,1.21,,1.28,1.28,1.055,,0.83,0.83,,,,
"CM",,,,,,,,,,,,,47.43,47.43,42.916,,38.402,,33.888,,29.374,,24.86,24.86,25.3183333333,,25.7766666667,,26.235,,26.6933333333,,27.1516666667,,27.61,27.61,,,,,,,,,,,,
"CN",60.73,60.73,58.77,,56.81,,54.85,54.85,49.03,,43.21,,37.39,37.39,36.9266666667,,36.4633333333,,36,36,33.3533333333,,30.7066666667,,28.06,28.06,23.9633333333,,19.8666666667,,15.77,15.77,14.6266666667,,13.4833333333,,12.34,12.34,10.765,,9.19,9.19,6.26,6.26,,,,
"CO",,,8.18,8.18,6.29,6.29,7.9675,,9.645,,11.3225,,13,13,14.06,,15.12,,16.18,16.18,17.85,17.85,17.86,17.86,11.14,11.14,10.34,10.34,9.01,9.01,7.87,7.87,11.04,11.04,8.84,8.84,8.5,8.5,7.26,7.26,6.17,6.17,4.95,4.95,5.63,5.63,,
"CR",8.45,8.45,9.69,9.69,8.12,8.12,6.89,6.89,5.75,5.75,6.01,6.01,7.02,7.02,5.3,5.3,4.22,4.22,5.43,5.43,5.56,5.56,5.51,5.51,5.5,5.5,5.4,5.4,4.85,4.85,3.57,3.57,3.72,3.72,2.06,2.06,2.28,2.28,2.86,2.86,1.27,1.27,1.36,1.36,1.35,1.35,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,,,,,,,,,,,,,,,,,,,,,21.02,21.02,19.8033333333,,18.5866666667,,17.37,,16.1533333333,,14.9366666667,,13.72,13.72,,,,,,,,,,
"CZ",,,,,,,0,0,0.0433333333,,0.0866666667,,0.13,0.13,0.1155555556,,0.1011111111,,0.0866666667,,0.0722222222,,0.0577777778,,0.0433333333,,0.0288888889,,0.0144444444,,0,0,0.07,0.07,0.055,,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,,,,
"DJ",,,,,,,,,,,,,,,,,,,,,,,,,18.83,18.83,,,,,,,,,,,,,,,,,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,4.66,4.66,4.6675,,4.675,,4.6825,,4.69,4.69,4.95,4.95,5.0466666667,,5.1433333333,,5.24,5.24,3.68,3.68,5.27,5.27,6.43,6.43,7.83,7.83,5.38,5.38,4.23,4.23,3.72,3.72,3.35,3.35,2.99,2.99,2.24,2.24,2.54,2.54,2.25,2.25,,
"DZ",,,,,,,,,,,6.38,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EE",,,,,,,0.79,0.79,0.52,,0.25,0.25,0.1833333333,,0.1166666667,,0.05,0.05,0.325,,0.6,0.6,0.57,0.57,0.57,0.57,0.37,0.37,0.545,,0.72,0.72,0.73,0.73,0.47,0.47,0.45,0.45,0.59,0.59,0.81,0.81,0.98,0.98,,,,
"EG",,,4.46,4.46,4.06,,3.66,,3.26,,2.86,,2.46,2.46,2.2975,,2.135,,1.9725,,1.81,1.81,1.9,,1.99,,2.08,,2.17,,2.26,2.26,2.0666666667,,1.8733333333,,1.68,1.68,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET",,,,,,,,,,,63.2,63.2,61.474,,59.748,,58.022,,56.296,,54.57,54.57,51.448,,48.326,,45.204,,42.082,,38.96,38.96,38.5983333333,,38.2366666667,,37.875,,37.5133333333,,37.1516666667,,36.79,36.79,,,,
"FJ",,,,,,,,,,,,,,,,,,,,,,,,,,,29.16,29.16,25.28,,21.4,,17.52,,13.64,,9.76,,5.88,5.88,,,,,,,,
"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,6.09,,,,,,,,,,,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",,,,,,,,,,,,,4.72,4.72,17.52,17.52,13.36,13.36,17.19,17.19,17.75,17.75,17.42,17.42,14.19,14.19,15.62,15.62,15.11,15.11,14.86,14.86,13.87,13.87,14.75,14.75,14.05,14.05,13.99,13.99,18.04,18.04,16.05,16.05,14.14,14.14,,
"GH",,,,,51.07,51.07,49.0783333333,,47.0866666667,,45.095,,43.1033333333,,41.1116666667,,39.12,39.12,37.80375,,36.4875,,35.17125,,33.855,,32.53875,,31.2225,,29.90625,,28.59,28.59,,,,,,,,,,,,,,
"GM",,,,,,,,,,,,,,,,,65.61,65.61,59.214,,52.818,,46.422,,40.026,,33.63,33.63,,,,,,,,,,,,,,,,,,,,
"GN",,,93.74,93.74,83.7633333333,,73.7866666667,,63.81,63.81,62.9777777778,,62.1455555556,,61.3133333333,,60.4811111111,,59.6488888889,,58.8166666667,,57.9844444444,,57.1522222222,,56.32,56.32,52.0725,,47.825,,43.5775,,39.33,39.33,39.638,,39.946,,40.254,,40.562,,40.87,40.87,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GT",,,,,,,,,,,,,,,,,16.23,16.23,14.01,,11.79,11.79,15.85,,19.91,19.91,17.97,17.97,16.47,16.47,14.96,,13.45,13.45,13.5,,13.55,,13.6,,13.65,,13.7,13.7,,,,
"GW",,,41.31,41.31,53.32,,65.33,65.33,63.5044444444,,61.6788888889,,59.8533333333,,58.0277777778,,56.2022222222,,54.3766666667,,52.5511111111,,50.7255555556,,48.9,48.9,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,6.91,6.91,7.268,,7.626,,7.984,,8.342,,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",46.91,46.91,33.04,33.04,26.86,26.86,20.97,20.97,24.21,24.21,26.18,26.18,28.48,28.48,19.45,19.45,24.4,24.4,24.84,24.84,20.9,,16.96,16.96,27.48,27.48,25.59,25.59,24.59,24.59,25.85,25.85,22.4,22.4,15.8,15.8,14.61,14.61,12.4,12.4,13.41,13.41,16.48,16.48,,,,
"HR",,,,,,,,,,,,,,,,,0,0,0.19,0.19,0.07,0.07,0.06,0.06,0.04,,0.02,,0,0,0,,0,,0,,0,0,,,,,,,,,,
"HT",,,,,,,,,,,,,,,,,,,,,,,61.71,61.71,,,,,,,,,,,,,,,,,,,,,,,,
"HU",,,,,,,0.15,0.15,0.12,,0.09,,0.06,,0.03,,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,,0,0,0.13,0.13,0.08,,0.03,0.03,0.04,,0.05,0.05,0.05,0.05,,,,
