"series","country-year"
"id","employment-by-sector"
"type","composite"
"parent",
"name","Employment % by sector"
"columns","id, year, employment-agriculture, employment-industry, employment-services, original-employment-agriculture, original-employment-industry, original-employment-services"
"description","Percentage employment in agriculture, industry & services"
"default-scale","lin"
"theme","employment"
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow",
"range",
"interpolated","1"
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"theme-order",
