id-from,region-to,flow,year,value
FR,europe,oda,2014,345260000
FR,middle-east,oda,2014,223140000
FR,south-central-asia,oda,2014,317570000
FR,north-central-america,oda,2014,354380000
FR,south-of-sahara,oda,2014,2532260000
FR,south-america,oda,2014,818570000
FR,oceania,oda,2014,104860000
FR,east-asia,oda,2014,710920000
FR,north-of-sahara,oda,2014,1114430000
FR,europe,oofs,2014,41110000
FR,middle-east,oofs,2014,5290000
FR,south-central-asia,oofs,2014,12810000
FR,north-central-america,oofs,2014,6410000
FR,south-of-sahara,oofs,2014,251010000
FR,south-america,oofs,2014,102710000
FR,oceania,oofs,2014,
FR,east-asia,oofs,2014,9620000
FR,north-of-sahara,oofs,2014,97410000
FR,europe,fdi,2012,0
FR,middle-east,fdi,2012,176093000
FR,south-central-asia,fdi,2012,564268000
FR,north-central-america,fdi,2012,28278000
FR,south-of-sahara,fdi,2012,1962727000
FR,south-america,fdi,2012,2611825000
FR,oceania,fdi,2012,2571000
FR,east-asia,fdi,2012,2640103000
FR,north-of-sahara,fdi,2012,1060411000
FR,europe,rems,2014,396198208.4
FR,middle-east,rems,2014,542724160.1
FR,south-central-asia,rems,2014,535849483.6
FR,north-central-america,rems,2014,190586105.2
FR,south-of-sahara,rems,2014,1545012604
FR,south-america,rems,2014,171488541.7
FR,oceania,rems,2014,2579799.547
FR,east-asia,rems,2014,1338312409
FR,north-of-sahara,rems,2014,5316479343
