"from_di_id","entity_from_name","to_di_id","entity_to_name","year","sector","bundle","channel","value"
"US","USA","AF","Afghanistan",2005,"debt-relief","oof-loan","unspecified",16189000
"US","USA","AF","Afghanistan",2006,"industry-and-trade","oof-loan","unspecified",8362050
"US","USA","AF","Afghanistan",2006,"banking-and-business","oof-loan","unspecified",1934220
"US","USA","AF","Afghanistan",2006,"agriculture-and-food-security","oof-loan","unspecified",705063
"US","USA","AF","Afghanistan",2007,"banking-and-business","oof-loan","unspecified",215864
"US","USA","AF","Afghanistan",2007,"industry-and-trade","oof-loan","unspecified",3458080
"FR","France","AF","Afghanistan",2008,"infrastructure","oof-loan","unspecified",6257400
"US","USA","AF","Afghanistan",2008,"other","oof-loan","unspecified",2076850
"US","USA","AF","Afghanistan",2008,"agriculture-and-food-security","oof-loan","unspecified",2806550
"US","USA","AF","Afghanistan",2008,"banking-and-business","oof-loan","unspecified",1958970
"AU","Australia","AF","Afghanistan",2009,"other-social-services","oof-grant","unspecified",4051920
"FR","France","AF","Afghanistan",2009,"infrastructure","oof-loan","unspecified",3764030
"FR","France","AF","Afghanistan",2009,"banking-and-business","oof-loan","unspecified",3764030
"US","USA","AF","Afghanistan",2009,"industry-and-trade","oof-loan","unspecified",22241919
"US","USA","AF","Afghanistan",2009,"banking-and-business","oof-loan","unspecified",3286770
"US","USA","AF","Afghanistan",2009,"infrastructure","oof-loan","unspecified",6573540
"AU","Australia","AF","Afghanistan",2010,"other","oof-grant","unspecified",13057800
"US","USA","AF","Afghanistan",2010,"banking-and-business","oof-loan","unspecified",27220730
"US","USA","AF","Afghanistan",2010,"other","oof-loan","unspecified",44747600
"US","USA","AF","Afghanistan",2010,"industry-and-trade","oof-loan","unspecified",935608
"US","USA","AF","Afghanistan",2010,"agriculture-and-food-security","oof-loan","unspecified",770501
"AU","Australia","AF","Afghanistan",2011,"other","oof-grant","unspecified",11910000
"US","USA","AF","Afghanistan",2011,"infrastructure","oof-loan","unspecified",539225
"US","USA","AF","Afghanistan",2011,"industry-and-trade","oof-loan","unspecified",2603780
"US","USA","AF","Afghanistan",2011,"other","oof-loan","unspecified",16176700
"US","USA","AF","Afghanistan",2011,"banking-and-business","oof-loan","unspecified",7063840
"AU","Australia","AF","Afghanistan",2012,"other","oof-grant","unspecified",25552700
"US","USA","AF","Afghanistan",2012,"banking-and-business","oof-loan","unspecified",6883130
"US","USA","AF","Afghanistan",2012,"agriculture-and-food-security","oof-loan","unspecified",264736
"US","USA","AF","Afghanistan",2012,"other","oof-loan","unspecified",11130100
"AU","Australia","AF","Afghanistan",2013,"other","oof-grant","unspecified",5934210
"CA","Canada","AF","Afghanistan",2013,"other","oof-grant","unspecified",1898510
"CA","Canada","AF","Afghanistan",2013,"governance-security-and-civil-society","oof-grant","unspecified",49890
"US","USA","AF","Afghanistan",2013,"agriculture-and-food-security","oof-loan","unspecified",4741620
"US","USA","AF","Afghanistan",2013,"industry-and-trade","oof-loan","unspecified",174908
"US","USA","AF","Afghanistan",2013,"infrastructure","oof-loan","unspecified",4272670
"US","USA","AF","Afghanistan",2013,"other","oof-loan","unspecified",6014870
"AU","Australia","AF","Afghanistan",2014,"other","oof-grant","unspecified",4949450
"AU","Australia","AF","Afghanistan",2015,"other-social-services","oof-grant","unspecified",125670000
"US","USA","AF","Afghanistan",2015,"banking-and-business","oof-loan","unspecified",3088910
"AU","Australia","AF","Afghanistan",2016,"governance-security-and-civil-society","oof-grant","unspecified",97773300
"US","USA","AF","Afghanistan",2016,"infrastructure","oof-loan","unspecified",450000
"DE","Germany","africa","Africa, regional",1974,"other","oof-loan","unspecified",69425500
