id-from,year,financing-type,value
IN,2008,interest-subsidy,40984215
IN,2008,other,5911214
IN,2008,intl-orgs,237857542
IN,2008,loans-advances,161444370
IN,2008,tech-econ-coop,397596669
IN,2009,interest-subsidy,32044064
IN,2009,other,4809885
IN,2009,intl-orgs,145073054
IN,2009,loans-advances,127857143
IN,2009,tech-econ-coop,461966991
IN,2010,interest-subsidy,27044550
IN,2010,other,5458600
IN,2010,intl-orgs,132523314
IN,2010,loans-advances,100949561
IN,2010,tech-econ-coop,519520680
IN,2011,interest-subsidy,25618881
IN,2011,other,7011459
IN,2011,intl-orgs,156960156
IN,2011,loans-advances,166511380
IN,2011,tech-econ-coop,463484818
IN,2012,interest-subsidy,46497540
IN,2012,other,8427945
IN,2012,intl-orgs,174536255
IN,2012,loans-advances,302151420
IN,2012,tech-econ-coop,617800658
IN,2013,interest-subsidy,68055980
IN,2013,other,11167864
IN,2013,intl-orgs,217798076
IN,2013,loans-advances,299339677
IN,2013,tech-econ-coop,879812724
ZA,2000,intl-orgs,39902963
ZA,2000,prog-exp,0
ZA,2000,trf-arf,0
ZA,2000,other,2853750
ZA,2001,intl-orgs,47879592
ZA,2001,prog-exp,15125875
ZA,2001,trf-arf,0
ZA,2001,other,1379220
ZA,2002,intl-orgs,112467517
ZA,2002,prog-exp,5703795
ZA,2002,trf-arf,0
ZA,2002,other,1560234
ZA,2003,intl-orgs,97895367
ZA,2003,prog-exp,371163
ZA,2003,trf-arf,7933011
ZA,2003,other,1934538
ZA,2004,intl-orgs,68648133
ZA,2004,prog-exp,1359615
ZA,2004,trf-arf,8521284
ZA,2004,other,4883262
ZA,2005,intl-orgs,67123134
ZA,2005,prog-exp,3491246
ZA,2005,trf-arf,14076551
ZA,2005,other,3584183
ZA,2006,intl-orgs,78118066
ZA,2006,prog-exp,4239213
ZA,2006,trf-arf,19572716
ZA,2006,other,2577389
ZA,2007,intl-orgs,69243245
ZA,2007,prog-exp,51975275
ZA,2007,trf-arf,31646553
ZA,2007,other,3675485
ZA,2008,intl-orgs,66003513
ZA,2008,prog-exp,7187020
ZA,2008,trf-arf,66295993
ZA,2008,other,3083246
ZA,2009,intl-orgs,84406696
ZA,2009,prog-exp,48295093
ZA,2009,trf-arf,81340778
ZA,2009,other,4724066
ZA,2010,intl-orgs,69926736
ZA,2010,prog-exp,48664904
ZA,2010,trf-arf,52195067
ZA,2010,other,3616360
ZA,2011,intl-orgs,60496802
ZA,2011,prog-exp,58966456
ZA,2011,trf-arf,43794936
ZA,2011,other,2533775
ZA,2012,intl-orgs,59260507
ZA,2012,prog-exp,70102132
ZA,2012,trf-arf,45929205
ZA,2012,other,2256519
