"district_id","2013","2014","2015","2016"
"d314",,50.3,56.6,61
"d301",,84.3,83,78.8
"d322",,34.5,47,66.5
"d323",,75.9,81.4,80.5
"d315",,78.9,78.2,85
"d324",,5.4,10.3,17.1
"d216",,75.4,78.9,84.5
"d316",,72.4,72,72.8
"d302",,71.4,78.3,80.3
"d303",,63,69.8,73
"d217",,69.5,58.4,66
"d218",,71,75,72
"d201",,82.7,82.2,80.5
"d420",,57,78.3,87
"d117",,75,75,75
"d219",,77,80.8,84
"d118",,79.5,91.6,68.8
"d220",,76.2,80,61.4
"d225",,68.9,69.9,70.6
"d416",,65,68.6,68
"d401",,71,72,72
"d402",,89,91.8,92.6
"d202",,84,87.5,88.2
"d221",,80,68,75
"d119",,65,67,68
"d120",,29.2,36,38
"d226",,80,85,81.3
"d317",,84,86,89
"d121",,55,55,55
"d304",,71.3,73,74
"d403",,73.7,74,91
"d417",,88.4,87,89
"d203",,74.8,75,76.8
"d418",,86.4,90.4,91.4
"d204",,82.5,81.3,75.3
"d318",,20.9,19.1,21.3
"d404",,94,87.1,96
"d405",,56,81,83.7
"d213",,69,77.6,83
"d101",,65,69,69
"d222",,85,70,74.2
"d122",,75,90.8,92.5
"d102",,,,
"d205",,78,78,70.2
"d413",,79,78.1,80.2
"d414",,92,93,93
"d206",,74.4,77,82.4
"d406",,85.4,84.8,86
"d207",,63.2,73.2,74.6
"d112",,69.7,71.2,72.4
"d407",,75,78.8,84
"d103",,49,51,60
"d227",,84.6,81.6,85.7
"d419",,89,90.5,91
"d421",,72,67.5,68.2
"d408",,63,75,77.3
"d305",,55.9,50.5,59
"d319",,73,78,78
"d325",,73.4,86,78
"d306",,20.3,25.1,8.4
"d208",,90,91,92
"d228",,80,83.5,80
"d123",,63,55,59
"d422",,77.5,81.6,70.9
"d415",,84.5,86,87
"d326",,42,40,43.6
"d307",,82,80.8,80
"d229",,63,65,65.6
"d104",,82,78,83
"d124",,96,76,76
"d114",,86,86,89
"d223",,75,75,79
"d320",,70,70,82
"d105",,77,84,84.5
"d409",,75,77,79
"d214",,62.7,67.2,68
"d209",,70,93.2,81
"d410",,97,98,98.6
"d423",,89.6,91.1,92
"d115",,88.2,89,87.9
"d308",,3.6,2.2,2.3
"d309",,88,91,94
"d106",,65,65.3,66
"d107",,82.1,82,83.2
"d108",,83,81,91
"d311",,15.4,22.3,31.4
"d116",,82.7,83.8,84.4
"d109",,89,87,87
"d230",,69,48.3,61.5
"d224",,74,84.1,84.1
"d327",,28,13.1,22
"d310",,77.6,77,80
"d231",,81,83,84
"d424",,66.3,66.9,66.7
"d411",,99.1,94.6,94.9
"d328",,70.1,74.6,74.8
"d329",,58,58,66
"d321",,84.1,89.9,89.9
"d312",,46.8,54,51
"d210",,78.4,82.9,87
"d110",,86,86,84
"d425",,80.5,83.7,85.4
"d412",,98.9,98.9,98.9
"d111",,69.8,71,70
"d232",,70,80,85
"d426",,78.4,88.9,89
"d215",,89.4,77,77
"d211",,80,78.6,83.2
"d212",,76.1,82.1,81
"d113",,89,89.5,89.7
"d313",,50,53.5,75.3
"d330",,71,76,80
